   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_719.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.19255, 0, 8.95056e-10, 0, 1.41421, -8.95056e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70909e-12, 2.39444e-10, 0, 6.51903e-10, 0, 0, 0
0.200439, 0, 1.24398e-09, 3.92364e-44, 1.41421, -1.24398e-09, 3.92364e-44, 0, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 5.32557e-12, 3.44889e-10, 3.92364e-44, 8.93765e-10, 3.92364e-44, 3.92364e-44, 3.92364e-44
0.208327, 0, 1.72384e-09, 7.16064e-43, 1.41421, -1.72384e-09, 7.16064e-43, 0, 7.16064e-43, 7.16064e-43, 7.16064e-43, 7.16064e-43, 7.16064e-43, 7.16064e-43, 7.16064e-43, 7.16064e-43, 7.16064e-43, 7.16064e-43, 7.16064e-43, 7.64099e-12, 4.95494e-10, 7.16064e-43, 1.2207e-09, 7.16064e-43, 7.16064e-43, 7.16064e-43
0.216215, 0, 2.38196e-09, 1.05013e-41, 1.41421, -2.38196e-09, 1.05013e-41, 0, 1.05013e-41, 1.05013e-41, 1.05013e-41, 1.05013e-41, 1.05013e-41, 1.05013e-41, 1.05013e-41, 1.05013e-41, 1.05013e-41, 1.05013e-41, 1.05013e-41, 1.09576e-11, 7.10098e-10, 1.05013e-41, 1.66091e-09, 1.05013e-41, 1.05013e-41, 1.05013e-41
0.224103, 0, 3.28223e-09, 1.41112e-40, 1.41421, -3.28223e-09, 1.41112e-40, 0, 1.41112e-40, 1.41112e-40, 1.41112e-40, 1.41112e-40, 1.41112e-40, 1.41112e-40, 1.41112e-40, 1.41112e-40, 1.41112e-40, 1.41112e-40, 1.41112e-40, 1.57091e-11, 1.01521e-09, 1.41112e-40, 2.25131e-09, 1.41112e-40, 1.41112e-40, 1.41112e-40
0.231991, 0, 4.51067e-09, 1.70017e-39, 1.41421, -4.51067e-09, 1.70017e-39, 0, 1.70017e-39, 1.70017e-39, 1.70017e-39, 1.70017e-39, 1.70017e-39, 1.70017e-39, 1.70017e-39, 1.70017e-39, 1.70017e-39, 1.70017e-39, 1.70017e-39, 2.25189e-11, 1.44805e-09, 1.70017e-39, 3.04009e-09, 1.70017e-39, 1.70017e-39, 1.70017e-39
0.239879, 0, 6.18295e-09, 1.84439e-38, 1.41421, -6.18295e-09, 1.84439e-38, 0, 1.84439e-38, 1.84439e-38, 1.84439e-38, 1.84439e-38, 1.84439e-38, 1.84439e-38, 1.84439e-38, 1.84439e-38, 1.84439e-38, 1.84439e-38, 1.84439e-38, 3.22827e-11, 2.06084e-09, 1.84439e-38, 4.08983e-09, 1.84439e-38, 1.84439e-38, 1.84439e-38
0.247767, 0, 8.45434e-09, 1.80816e-37, 1.41421, -8.45434e-09, 1.80816e-37, 0, 1.80816e-37, 1.80816e-37, 1.80816e-37, 1.80816e-37, 1.80816e-37, 1.80816e-37, 1.80816e-37, 1.80816e-37, 1.80816e-37, 1.80816e-37, 1.80816e-37, 4.62892e-11, 2.92662e-09, 1.80816e-37, 5.48143e-09, 1.80816e-37, 1.80816e-37, 1.80816e-37
0.255655, 0, 1.1533e-08, 1.61087e-36, 1.41421, -1.1533e-08, 1.61087e-36, 0, 1.61087e-36, 1.61087e-36, 1.61087e-36, 1.61087e-36, 1.61087e-36, 1.61087e-36, 1.61087e-36, 1.61087e-36, 1.61087e-36, 1.61087e-36, 1.61087e-36, 6.63927e-11, 4.14747e-09, 1.61087e-36, 7.31914e-09, 1.61087e-36, 1.61087e-36, 1.61087e-36
0.263544, 0, 1.56977e-08, 1.31109e-35, 1.41421, -1.56977e-08, 1.31109e-35, 0, 1.31109e-35, 1.31109e-35, 1.31109e-35, 1.31109e-35, 1.31109e-35, 1.31109e-35, 1.31109e-35, 1.31109e-35, 1.31109e-35, 1.31109e-35, 1.31109e-35, 9.52618e-11, 5.86579e-09, 1.31109e-35, 9.73669e-09, 1.31109e-35, 1.31109e-35, 1.31109e-35
0.271432, 0, 2.13215e-08, 9.79701e-35, 1.41421, -2.13215e-08, 9.79701e-35, 0, 9.79701e-35, 9.79701e-35, 9.79701e-35, 9.79701e-35, 9.79701e-35, 9.79701e-35, 9.79701e-35, 9.79701e-35, 9.79701e-35, 9.79701e-35, 9.79701e-35, 1.36736e-10, 8.27987e-09, 9.79701e-35, 1.29049e-08, 9.79701e-35, 9.79701e-35, 9.79701e-35
0.27932, 0, 2.89026e-08, 6.63973e-34, 1.41421, -2.89026e-08, 6.63973e-34, 0, 6.63973e-34, 6.63973e-34, 6.63973e-34, 6.63973e-34, 6.63973e-34, 6.63973e-34, 6.63973e-34, 6.63973e-34, 6.63973e-34, 6.63973e-34, 6.63973e-34, 1.96336e-10, 1.16653e-08, 6.63973e-34, 1.70409e-08, 6.63973e-34, 6.63973e-34, 6.63973e-34
0.287208, 0, 3.91066e-08, 4.44952e-33, 1.41421, -3.91066e-08, 4.44952e-33, 0, 4.44952e-33, 4.44952e-33, 4.44952e-33, 4.44952e-33, 4.44952e-33, 4.44952e-33, 4.44952e-33, 4.44952e-33, 4.44952e-33, 4.44952e-33, 4.44952e-33, 2.81995e-10, 1.64044e-08, 4.44952e-33, 2.24202e-08, 4.44952e-33, 4.44952e-33, 4.44952e-33
0.295096, 0, 5.28218e-08, 2.61444e-32, 1.41421, -5.28218e-08, 2.61444e-32, 0, 2.61444e-32, 2.61444e-32, 2.61444e-32, 2.61444e-32, 2.61444e-32, 2.61444e-32, 2.61444e-32, 2.61444e-32, 2.61444e-32, 2.61444e-32, 2.61444e-32, 4.05096e-10, 2.30268e-08, 2.61444e-32, 2.93899e-08, 2.61444e-32, 2.61444e-32, 2.61444e-32
0.302984, 0, 7.12326e-08, 1.44555e-31, 1.41421, -7.12326e-08, 1.44555e-31, 0, 1.44555e-31, 1.44555e-31, 1.44555e-31, 1.44555e-31, 1.44555e-31, 1.44555e-31, 1.44555e-31, 1.44555e-31, 1.44555e-31, 1.44555e-31, 1.44555e-31, 5.81952e-10, 3.22641e-08, 1.44555e-31, 3.83865e-08, 1.44555e-31, 1.44555e-31, 1.44555e-31
0.310872, 0, 9.59173e-08, 7.82893e-31, 1.41421, -9.59173e-08, 7.82893e-31, 0, 7.82893e-31, 7.82893e-31, 7.82893e-31, 7.82893e-31, 7.82893e-31, 7.82893e-31, 7.82893e-31, 7.82893e-31, 7.82893e-31, 7.82893e-31, 7.82893e-31, 8.35887e-10, 4.51252e-08, 7.82893e-31, 4.99562e-08, 7.82893e-31, 7.82893e-31, 7.82893e-31
0.31876, 0, 1.28978e-07, 4.01888e-30, 1.41421, -1.28978e-07, 4.01888e-30, 0, 4.01888e-30, 4.01888e-30, 4.01888e-30, 4.01888e-30, 4.01888e-30, 4.01888e-30, 4.01888e-30, 4.01888e-30, 4.01888e-30, 4.01888e-30, 4.01888e-30, 1.20018e-09, 6.29979e-08, 4.01888e-30, 6.47798e-08, 4.01888e-30, 4.01888e-30, 4.01888e-30
0.326649, 0, 1.73211e-07, 1.94014e-29, 1.41421, -1.73211e-07, 1.94014e-29, 0, 1.94014e-29, 1.94014e-29, 1.94014e-29, 1.94014e-29, 1.94014e-29, 1.94014e-29, 1.94014e-29, 1.94014e-29, 1.94014e-29, 1.94014e-29, 1.94014e-29, 1.72221e-09, 8.77861e-08, 1.94014e-29, 8.37024e-08, 1.94014e-29, 1.94014e-29, 1.94014e-29
0.334537, 0, 2.32333e-07, 8.86982e-29, 1.41421, -2.32333e-07, 8.86982e-29, 0, 8.86982e-29, 8.86982e-29, 8.86982e-29, 8.86982e-29, 8.86982e-29, 8.86982e-29, 8.86982e-29, 8.86982e-29, 8.86982e-29, 8.86982e-29, 8.86982e-29, 2.4692e-09, 1.22095e-07, 8.86982e-29, 1.07769e-07, 8.86982e-29, 8.86982e-29, 8.86982e-29
0.342425, 0, 3.11282e-07, 3.8866e-28, 1.41421, -3.11282e-07, 3.8866e-28, 0, 3.8866e-28, 3.8866e-28, 3.8866e-28, 3.8866e-28, 3.8866e-28, 3.8866e-28, 3.8866e-28, 3.8866e-28, 3.8866e-28, 3.8866e-28, 3.8866e-28, 3.53624e-09, 1.69478e-07, 3.8866e-28, 1.38267e-07, 3.8866e-28, 3.8866e-28, 3.8866e-28
