   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_149.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00336322, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00450293, 0, 6.24844e-18, 0, 1.41421, -6.24844e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43168e-20, 0, 1.1769e-22, 6.17627e-20, 0, 6.13224e-18, 0, 0, 0
0.0123691, 0, 1.15438e-17, 0, 1.41421, -1.15438e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00328e-19, 0, 2.20726e-22, 1.16481e-19, 0, 1.13268e-17, 0, 0, 0
0.0202352, 0, 2.11589e-17, 0, 1.41421, -2.11589e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83853e-19, 0, 4.10768e-22, 2.18004e-19, 0, 2.07566e-17, 0, 0, 0
0.0281014, 0, 3.84839e-17, 0, 1.41421, -3.84839e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34319e-19, 0, 7.58669e-22, 4.04991e-19, 0, 3.77439e-17, 0, 0, 0
0.0359675, 0, 6.94668e-17, 0, 1.41421, -6.94668e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.03335e-19, 0, 1.39089e-21, 7.46939e-19, 0, 6.81151e-17, 0, 0, 0
0.0438337, 0, 1.24466e-16, 0, 1.41421, -1.24466e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08075e-18, 0, 2.53156e-21, 1.36793e-18, 0, 1.22014e-16, 0, 0, 0
0.0516998, 0, 2.21389e-16, 0, 1.41421, -2.21389e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92186e-18, 0, 4.5751e-21, 2.48806e-18, 0, 2.16974e-16, 0, 0, 0
0.059566, 0, 3.90975e-16, 0, 1.41421, -3.90975e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39315e-18, 0, 8.2109e-21, 4.49516e-18, 0, 3.83079e-16, 0, 0, 0
0.0674321, 0, 6.85619e-16, 0, 1.41421, -6.85619e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94863e-18, 0, 1.46357e-20, 8.0683e-18, 0, 6.71587e-16, 0, 0, 0
