   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_149.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0752983, 0, 1.194e-15, 0, 1.41421, -1.194e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03565e-17, 0, 2.59132e-20, 1.43892e-17, 0, 1.16923e-15, 0, 0, 0
0.0831644, 0, 2.06516e-15, 0, 1.41421, -2.06516e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79074e-17, 0, 4.55787e-20, 2.55016e-17, 0, 2.02171e-15, 0, 0, 0
0.0910306, 0, 3.54794e-15, 0, 1.41421, -3.54794e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07551e-17, 0, 7.9649e-20, 4.49186e-17, 0, 3.47219e-15, 0, 0, 0
0.0988967, 0, 6.05493e-15, 0, 1.41421, -6.05493e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.24693e-17, 0, 1.38299e-19, 7.86447e-17, 0, 5.92368e-15, 0, 0, 0
0.106763, 0, 1.02656e-14, 0, 1.41421, -1.02656e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.89261e-17, 0, 2.38626e-19, 1.3688e-16, 0, 1.00396e-14, 0, 0, 0
0.114629, 0, 1.72917e-14, 0, 1.41421, -1.72917e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49734e-16, 0, 4.09184e-19, 2.36859e-16, 0, 1.69047e-14, 0, 0, 0
0.122495, 0, 2.89399e-14, 0, 1.41421, -2.89399e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50503e-16, 0, 6.97371e-19, 4.07527e-16, 0, 2.82812e-14, 0, 0, 0
0.130361, 0, 4.81271e-14, 0, 1.41421, -4.81271e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16416e-16, 0, 1.18138e-18, 6.97237e-16, 0, 4.70123e-14, 0, 0, 0
0.138227, 0, 7.95319e-14, 0, 1.41421, -7.95319e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.87848e-16, 0, 1.98942e-18, 1.18631e-15, 0, 7.76558e-14, 0, 0, 0
0.146094, 0, 1.3061e-13, 0, 1.41421, -1.3061e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1291e-15, 0, 3.33052e-18, 2.00746e-15, 0, 1.2747e-13, 0, 0, 0
0.15396, 0, 2.13165e-13, 0, 1.41421, -2.13165e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84188e-15, 0, 5.54348e-18, 3.37875e-15, 0, 2.07939e-13, 0, 0, 0
0.161826, 0, 3.45763e-13, 0, 1.41421, -3.45763e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98612e-15, 0, 9.17429e-18, 5.65661e-15, 0, 3.37111e-13, 0, 0, 0
0.169692, 0, 5.57426e-13, 0, 1.41421, -5.57426e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81154e-15, 0, 1.5098e-17, 9.42148e-15, 0, 5.43178e-13, 0, 0, 0
0.177558, 0, 8.93217e-13, 0, 1.41421, -8.93217e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.70567e-15, 0, 2.47096e-17, 1.56118e-14, 0, 8.69875e-13, 0, 0, 0
0.185424, 0, 1.42267e-12, 0, 1.41421, -1.42267e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2266e-14, 0, 4.02209e-17, 2.5739e-14, 0, 1.38463e-12, 0, 0, 0
0.19329, 0, 2.2524e-12, 0, 1.41421, -2.2524e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94077e-14, 0, 6.51216e-17, 4.2225e-14, 0, 2.19071e-12, 0, 0, 0
0.201157, 0, 3.54485e-12, 0, 1.41421, -3.54485e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05239e-14, 0, 1.04893e-16, 6.89326e-14, 0, 3.44529e-12, 0, 0, 0
0.209023, 0, 5.5459e-12, 0, 1.41421, -5.5459e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77217e-14, 0, 1.68101e-16, 1.11993e-13, 0, 5.38602e-12, 0, 0, 0
0.216889, 0, 8.62552e-12, 0, 1.41421, -8.62552e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.41677e-14, 0, 2.68078e-16, 1.81099e-13, 0, 8.36999e-12, 0, 0, 0
0.224755, 0, 1.33367e-11, 0, 1.41421, -1.33367e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1459e-13, 0, 4.2549e-16, 2.91497e-13, 0, 1.29302e-11, 0, 0, 0
0.232621, 0, 2.05013e-11, 0, 1.41421, -2.05013e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76008e-13, 0, 6.72257e-16, 4.67088e-13, 0, 1.98575e-11, 0, 0, 0
0.240487, 0, 3.13322e-11, 0, 1.41421, -3.13322e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68767e-13, 0, 1.05752e-15, 7.45173e-13, 0, 3.03172e-11, 0, 0, 0
0.248353, 0, 4.76241e-11, 0, 1.41421, -4.76241e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08152e-13, 0, 1.65955e-15, 1.18591e-12, 0, 4.60284e-11, 0, 0, 0
0.25622, 0, 7.1949e-11, 0, 1.41421, -7.1949e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1605e-13, 0, 2.58985e-15, 1.87605e-12, 0, 6.94543e-11, 0, 0, 0
0.264086, 0, 1.0808e-10, 0, 1.41421, -1.0808e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.24516e-13, 0, 4.02717e-15, 2.95605e-12, 0, 1.04196e-10, 0, 0, 0
0.271952, 0, 1.6144e-10, 8.40779e-44, 1.41421, -1.6144e-10, 8.40779e-44, 0, 8.40779e-44, 8.40779e-44, 8.40779e-44, 8.40779e-44, 8.40779e-44, 8.40779e-44, 8.40779e-44, 8.40779e-44, 1.37953e-12, 8.40779e-44, 6.24163e-15, 4.64006e-12, 8.40779e-44, 1.55414e-10, 8.40779e-44, 8.40779e-44, 8.40779e-44
0.279818, 0, 2.39792e-10, 1.39149e-42, 1.41421, -2.39792e-10, 1.39149e-42, 0, 1.39149e-42, 1.39149e-42, 1.39149e-42, 1.39149e-42, 1.39149e-42, 1.39149e-42, 1.39149e-42, 1.39149e-42, 2.04684e-12, 1.39149e-42, 9.64516e-15, 7.25684e-12, 1.39149e-42, 2.30479e-10, 1.39149e-42, 1.39149e-42, 1.39149e-42
0.287684, 0, 3.54188e-10, 1.92468e-41, 1.41421, -3.54188e-10, 1.92468e-41, 0, 1.92468e-41, 1.92468e-41, 1.92468e-41, 1.92468e-41, 1.92468e-41, 1.92468e-41, 1.92468e-41, 1.92468e-41, 3.01985e-12, 1.92468e-41, 1.48657e-14, 1.13099e-11, 1.92468e-41, 3.39843e-10, 1.92468e-41, 1.92468e-41, 1.92468e-41
0.29555, 0, 5.20269e-10, 2.36029e-40, 1.41421, -5.20269e-10, 2.36029e-40, 0, 2.36029e-40, 2.36029e-40, 2.36029e-40, 2.36029e-40, 2.36029e-40, 2.36029e-40, 2.36029e-40, 2.36029e-40, 4.4305e-12, 2.36029e-40, 2.28603e-14, 1.75687e-11, 2.36029e-40, 4.98247e-10, 2.36029e-40, 2.36029e-40, 2.36029e-40
0.303417, 0, 7.60045e-10, 2.60168e-39, 1.41421, -7.60045e-10, 2.60168e-39, 0, 2.60168e-39, 2.60168e-39, 2.60168e-39, 2.60168e-39, 2.60168e-39, 2.60168e-39, 2.60168e-39, 2.60168e-39, 6.46408e-12, 2.60168e-39, 3.50882e-14, 2.72062e-11, 2.60168e-39, 7.2634e-10, 2.60168e-39, 2.60168e-39, 2.60168e-39
0.311283, 0, 1.10431e-09, 2.5926e-38, 1.41421, -1.10431e-09, 2.5926e-38, 0, 2.5926e-38, 2.5926e-38, 2.5926e-38, 2.5926e-38, 2.5926e-38, 2.5926e-38, 2.5926e-38, 2.5926e-38, 9.37919e-12, 2.5926e-38, 5.3776e-14, 4.20078e-11, 2.5926e-38, 1.05287e-09, 2.5926e-38, 2.5926e-38, 2.5926e-38
0.319149, 0, 1.59592e-09, 2.34859e-37, 1.41421, -1.59592e-09, 2.34859e-37, 0, 2.34859e-37, 2.34859e-37, 2.34859e-37, 2.34859e-37, 2.34859e-37, 2.34859e-37, 2.34859e-37, 2.34859e-37, 1.35347e-11, 2.34859e-37, 8.23229e-14, 6.46852e-11, 2.34859e-37, 1.51762e-09, 2.34859e-37, 2.34859e-37, 2.34859e-37
0.327015, 0, 2.29416e-09, 1.94411e-36, 1.41421, -2.29416e-09, 1.94411e-36, 0, 1.94411e-36, 1.94411e-36, 1.94411e-36, 1.94411e-36, 1.94411e-36, 1.94411e-36, 1.94411e-36, 1.94411e-36, 1.94259e-11, 1.94411e-36, 1.25924e-13, 9.93519e-11, 1.94411e-36, 2.17526e-09, 1.94411e-36, 1.94411e-36, 1.94411e-36
0.334881, 0, 3.28068e-09, 1.47788e-35, 1.41421, -3.28068e-09, 1.47788e-35, 0, 1.47788e-35, 1.47788e-35, 1.47788e-35, 1.47788e-35, 1.47788e-35, 1.47788e-35, 1.47788e-35, 1.47788e-35, 2.77322e-11, 1.47788e-35, 1.92525e-13, 1.52237e-10, 1.47788e-35, 3.10052e-09, 1.47788e-35, 1.47788e-35, 1.47788e-35
0.342747, 0, 4.6673e-09, 1.03621e-34, 1.41421, -4.6673e-09, 1.03621e-34, 0, 1.03621e-34, 1.03621e-34, 1.03621e-34, 1.03621e-34, 1.03621e-34, 1.03621e-34, 1.03621e-34, 1.03621e-34, 3.9381e-11, 1.03621e-34, 2.94287e-13, 2.32761e-10, 1.03621e-34, 4.39486e-09, 1.03621e-34, 1.03621e-34, 1.03621e-34
0.350613, 0, 6.60646e-09, 7.05369e-34, 1.41421, -6.60646e-09, 7.05369e-34, 0, 7.05369e-34, 7.05369e-34, 7.05369e-34, 7.05369e-34, 7.05369e-34, 7.05369e-34, 7.05369e-34, 7.05369e-34, 5.56307e-11, 7.05369e-34, 4.49831e-13, 3.55148e-10, 7.05369e-34, 6.19523e-09, 7.05369e-34, 7.05369e-34, 7.05369e-34
0.35848, 0, 9.305e-09, 4.65613e-33, 1.41421, -9.305e-09, 4.65613e-33, 0, 4.65613e-33, 4.65613e-33, 4.65613e-33, 4.65613e-33, 4.65613e-33, 4.65613e-33, 4.65613e-33, 4.65613e-33, 7.81805e-11, 4.65613e-33, 6.87672e-13, 5.40837e-10, 4.65613e-33, 8.6853e-09, 4.65613e-33, 4.65613e-33, 4.65613e-33
0.366346, 0, 1.30424e-08, 2.8894e-32, 1.41421, -1.30424e-08, 2.8894e-32, 0, 2.8894e-32, 2.8894e-32, 2.8894e-32, 2.8894e-32, 2.8894e-32, 2.8894e-32, 2.8894e-32, 2.8894e-32, 1.09312e-10, 2.8894e-32, 1.05145e-12, 8.22089e-10, 2.8894e-32, 1.21099e-08, 2.8894e-32, 2.8894e-32, 2.8894e-32
0.374212, 0, 1.81945e-08, 1.67546e-31, 1.41421, -1.81945e-08, 1.67546e-31, 0, 1.67546e-31, 1.67546e-31, 1.67546e-31, 1.67546e-31, 1.67546e-31, 1.67546e-31, 1.67546e-31, 1.67546e-31, 1.52076e-10, 1.67546e-31, 1.60793e-12, 1.24735e-09, 1.67546e-31, 1.67935e-08, 1.67546e-31, 1.67546e-31, 1.67546e-31
0.382078, 0, 2.52657e-08, 9.08716e-31, 1.41421, -2.52657e-08, 9.08716e-31, 0, 9.08716e-31, 9.08716e-31, 9.08716e-31, 9.08716e-31, 9.08716e-31, 9.08716e-31, 9.08716e-31, 9.08716e-31, 2.10526e-10, 9.08716e-31, 2.45904e-12, 1.88921e-09, 9.08716e-31, 2.31635e-08, 9.08716e-31, 9.08716e-31, 9.08716e-31
0.389944, 0, 3.49293e-08, 4.62234e-30, 1.41421, -3.49293e-08, 4.62234e-30, 0, 4.62234e-30, 4.62234e-30, 4.62234e-30, 4.62234e-30, 4.62234e-30, 4.62234e-30, 4.62234e-30, 4.62234e-30, 2.90031e-10, 4.62234e-30, 3.76016e-12, 2.85611e-09, 4.62234e-30, 3.17793e-08, 4.62234e-30, 4.62234e-30, 4.62234e-30
0.39781, 0, 4.80822e-08, 2.21199e-29, 1.41421, -4.80822e-08, 2.21199e-29, 0, 2.21199e-29, 2.21199e-29, 2.21199e-29, 2.21199e-29, 2.21199e-29, 2.21199e-29, 2.21199e-29, 2.21199e-29, 3.9766e-10, 2.21199e-29, 5.74749e-12, 4.30962e-09, 2.21199e-29, 4.33692e-08, 2.21199e-29, 2.21199e-29, 2.21199e-29
0.405676, 0, 6.59162e-08, 9.99029e-29, 1.41421, -6.59162e-08, 9.99029e-29, 0, 9.99029e-29, 9.99029e-29, 9.99029e-29, 9.99029e-29, 9.99029e-29, 9.99029e-29, 9.99029e-29, 9.99029e-29, 5.42684e-10, 9.99029e-29, 8.77903e-12, 6.48954e-09, 9.99029e-29, 5.88752e-08, 9.99029e-29, 9.99029e-29, 9.99029e-29
0.413543, 0, 9.00102e-08, 4.27155e-28, 1.41421, -9.00102e-08, 4.27155e-28, 0, 4.27155e-28, 4.27155e-28, 4.27155e-28, 4.27155e-28, 4.27155e-28, 4.27155e-28, 4.27155e-28, 4.27155e-28, 7.37207e-10, 4.27155e-28, 1.33954e-11, 9.75051e-09, 4.27155e-28, 7.95091e-08, 4.27155e-28, 4.27155e-28, 4.27155e-28
0.421409, 0, 1.22452e-07, 1.73383e-27, 1.41421, -1.22452e-07, 1.73383e-27, 0, 1.73383e-27, 1.73383e-27, 1.73383e-27, 1.73383e-27, 1.73383e-27, 1.73383e-27, 1.73383e-27, 1.73383e-27, 9.96961e-10, 1.73383e-27, 2.04097e-11, 1.46145e-08, 1.73383e-27, 1.0682e-07, 1.73383e-27, 1.73383e-27, 1.73383e-27
0.429275, 0, 1.65999e-07, 6.69925e-27, 1.41421, -1.65999e-07, 6.69925e-27, 0, 6.69925e-27, 6.69925e-27, 6.69925e-27, 6.69925e-27, 6.69925e-27, 6.69925e-27, 6.69925e-27, 6.69925e-27, 1.3423e-09, 6.69925e-27, 3.1039e-11, 2.18464e-08, 6.69925e-27, 1.42779e-07, 6.69925e-27, 6.69925e-27, 6.69925e-27
0.437141, 0, 2.24282e-07, 2.47029e-26, 1.41421, -2.24282e-07, 2.47029e-26, 0, 2.47029e-26, 2.47029e-26, 2.47029e-26, 2.47029e-26, 7.68192e-14, 2.47029e-26, 2.47029e-26, 2.47029e-26, 1.79948e-09, 2.47029e-26, 4.70966e-11, 3.25607e-08, 2.47029e-26, 1.89875e-07, 2.47029e-26, 2.47029e-26, 2.47029e-26
0.445007, 0, 3.02084e-07, 8.71399e-26, 1.41421, -3.02084e-07, 8.71399e-26, 0, 8.71399e-26, 8.71399e-26, 8.71399e-26, 8.71399e-26, 2.42039e-13, 8.71399e-26, 8.71399e-26, 8.71399e-26, 2.40215e-09, 8.71399e-26, 7.12687e-11, 4.83722e-08, 8.71399e-26, 2.51238e-07, 8.71399e-26, 8.71399e-26, 8.71399e-26
0.452873, 0, 4.07047e-07, 2.98013e-25, 1.41421, -4.07047e-07, 4.8505e-12, 0, 1.99835e-14, 5.26613e-14, 4.04837e-12, 3.57872e-12, 4.04704e-12, 6.29268e-12, 1.08834e-12, 1.28395e-09, 3.1934e-09, 1.64153e-14, 1.07513e-10, 7.16059e-08, 1.26717e-15, 3.30817e-07, 2.98013e-25, 2.98013e-25, 1.45693e-11
0.460739, 0, 5.48128e-07, 5.20432e-10, 1.41421, -5.48128e-07, 5.35658e-10, 5.20432e-10, 5.20494e-10, 5.20597e-10, 5.3314e-10, 5.31666e-10, 5.32591e-10, 5.40186e-10, 5.23848e-10, 4.551e-09, 4.74842e-09, 5.20483e-10, 6.82065e-10, 1.06109e-07, 5.20436e-10, 4.33999e-07, 5.20432e-10, 5.20432e-10, 5.66168e-10
0.468606, 0, 7.37854e-07, 1.63327e-09, 1.41421, -7.37854e-07, 1.67024e-09, 1.63327e-09, 1.63342e-09, 1.63367e-09, 1.66412e-09, 1.66054e-09, 1.66237e-09, 1.68123e-09, 1.64156e-09, 1.14178e-08, 7.20858e-09, 1.6334e-09, 1.87534e-09, 1.56679e-07, 1.63328e-09, 5.66914e-07, 1.63327e-09, 1.63327e-09, 1.7443e-09
0.476472, 0, 9.9432e-07, 3.96387e-09, 1.41421, -9.9432e-07, 4.0455e-09, 3.96387e-09, 3.9642e-09, 3.96475e-09, 4.032e-09, 4.0241e-09, 4.02768e-09, 4.06978e-09, 3.98218e-09, 2.55735e-08, 1.12868e-08, 3.96414e-09, 4.3249e-09, 2.30604e-07, 3.96389e-09, 7.37741e-07, 3.96387e-09, 3.96387e-09, 4.20908e-09
0.484338, 0, 1.34357e-06, 8.75026e-09, 1.41421, -1.34357e-06, 8.92203e-09, 8.75026e-09, 8.75097e-09, 8.75212e-09, 8.89362e-09, 8.87699e-09, 8.88392e-09, 8.9731e-09, 8.7888e-09, 5.42191e-08, 1.83311e-08, 8.75084e-09, 9.28633e-09, 3.38453e-07, 8.7503e-09, 9.56929e-07, 8.75026e-09, 8.75026e-09, 9.26621e-09
0.492204, 0, 1.82429e-06, 1.84044e-08, 1.41421, -1.82429e-06, 1.87548e-08, 1.84044e-08, 1.84058e-08, 1.84082e-08, 1.86968e-08, 1.86629e-08, 1.8676e-08, 1.88589e-08, 1.8483e-08, 1.11155e-07, 3.08909e-08, 1.84056e-08, 1.91966e-08, 4.95607e-07, 1.84045e-08, 1.2383e-06, 1.84044e-08, 1.84044e-08, 1.94568e-08
0.50007, 0, 2.49595e-06, 3.75286e-08, 1.41421, -2.49595e-06, 3.82267e-08, 3.75286e-08, 3.75315e-08, 3.75362e-08, 3.81113e-08, 3.80437e-08, 3.81294e-08, 3.84343e-08, 3.76853e-08, 2.22324e-07, 5.37399e-08, 3.7531e-08, 3.86936e-08, 7.25204e-07, 3.75288e-08, 1.60053e-06, 3.75286e-08, 3.75286e-08, 3.96255e-08
0.507936, 0, 3.44907e-06, 7.47444e-08, 1.41421, -3.44907e-06, 7.61076e-08, 7.47444e-08, 7.475e-08, 7.47592e-08, 7.58822e-08, 7.57502e-08, 7.59874e-08, 7.65129e-08, 7.50503e-08, 4.35593e-07, 9.5712e-08, 7.4749e-08, 7.64487e-08, 1.05959e-06, 7.47447e-08, 2.06976e-06, 7.47444e-08, 7.47444e-08, 7.88391e-08
0.515803, 0, 4.82922e-06, 1.45895e-07, 1.41421, -4.82922e-06, 1.48508e-07, 1.45895e-07, 1.45906e-07, 1.45923e-07, 1.48076e-07, 1.47823e-07, 1.49146e-07, 1.49285e-07, 1.46481e-07, 8.37597e-07, 1.72912e-07, 1.45904e-07, 1.48375e-07, 1.54832e-06, 1.45896e-07, 2.68374e-06, 1.45895e-07, 1.45895e-07, 1.53744e-07
0.523669, 0, 6.86757e-06, 2.79552e-07, 1.41421, -6.86757e-06, 2.84473e-07, 2.79552e-07, 2.79572e-07, 2.79605e-07, 2.83659e-07, 2.83183e-07, 2.8679e-07, 2.85936e-07, 2.80656e-07, 1.58221e-06, 3.14235e-07, 2.79569e-07, 2.83142e-07, 2.26503e-06, 2.79553e-07, 3.4989e-06, 2.79552e-07, 2.79552e-07, 2.94334e-07
0.531535, 0, 9.9368e-06, 5.26265e-07, 1.41421, -9.9368e-06, 5.35375e-07, 5.26265e-07, 5.26303e-07, 5.26364e-07, 5.33868e-07, 5.32986e-07, 5.41291e-07, 5.38083e-07, 5.28309e-07, 2.93756e-06, 5.70624e-07, 5.26296e-07, 5.31435e-07, 3.32063e-06, 5.26268e-07, 4.60175e-06, 5.26265e-07, 5.26265e-07, 5.53627e-07
0.539401, 0, 1.4637e-05, 9.73775e-07, 1.41421, -1.4637e-05, 9.90353e-07, 9.73775e-07, 9.73843e-07, 9.73955e-07, 9.87612e-07, 9.86006e-07, 1.00375e-06, 9.95282e-07, 9.77495e-07, 5.362e-06, 1.0303e-06, 9.73831e-07, 9.81177e-07, 4.88325e-06, 9.73779e-07, 6.12744e-06, 9.73775e-07, 9.73775e-07, 1.02357e-06
0.547267, 0, 2.19304e-05, 1.77148e-06, 1.41421, -2.19304e-05, 1.80114e-06, 1.77148e-06, 1.7716e-06, 1.7718e-06, 1.79624e-06, 1.79336e-06, 1.82902e-06, 1.80996e-06, 1.77813e-06, 9.62412e-06, 1.84325e-06, 1.77158e-06, 1.78202e-06, 7.20874e-06, 1.77148e-06, 8.2895e-06, 1.77148e-06, 1.77148e-06, 1.86058e-06
0.555133, 0, 3.33496e-05, 3.16891e-06, 1.41421, -3.33496e-05, 3.22112e-06, 3.16891e-06, 3.16912e-06, 3.16948e-06, 3.21248e-06, 3.20743e-06, 3.27791e-06, 3.23664e-06, 3.18062e-06, 1.69882e-05, 3.25972e-06, 3.16908e-06, 3.18383e-06, 1.0687e-05, 3.16892e-06, 1.14259e-05, 3.16891e-06, 3.16891e-06, 3.32572e-06
0.562999, 0, 5.13076e-05, 5.57481e-06, 1.41421, -5.13076e-05, 5.66518e-06, 5.57481e-06, 5.57519e-06, 5.5758e-06, 5.65023e-06, 5.64148e-06, 5.77852e-06, 5.69204e-06, 5.59509e-06, 2.94936e-05, 5.68933e-06, 5.57512e-06, 5.59583e-06, 1.59111e-05, 5.57484e-06, 1.60703e-05, 5.57481e-06, 5.57481e-06, 5.84623e-06
0.570866, 0, 7.95553e-05, 9.64594e-06, 1.41421, -7.95553e-05, 9.79978e-06, 9.64594e-06, 9.64658e-06, 9.64761e-06, 9.77434e-06, 9.75944e-06, 1.00215e-05, 9.84552e-06, 9.68046e-06, 5.03668e-05, 9.78986e-06, 9.64646e-06, 9.67538e-06, 2.37793e-05, 9.64598e-06, 2.30574e-05, 9.64594e-06, 9.64594e-06, 1.0108e-05
0.578732, 0, 0.00012384, 1.64168e-05, 1.41421, -0.00012384, 1.66744e-05, 1.64168e-05, 1.64178e-05, 1.64196e-05, 1.66318e-05, 1.66069e-05, 1.70997e-05, 1.6751e-05, 1.64746e-05, 8.46119e-05, 1.65971e-05, 1.64177e-05, 1.64578e-05, 3.56425e-05, 1.64169e-05, 3.36814e-05, 1.64168e-05, 1.64168e-05, 1.71906e-05
0.586598, 0, 0.00019282, 2.74854e-05, 1.41421, -0.00019282, 2.79098e-05, 2.74854e-05, 2.74871e-05, 2.749e-05, 2.78396e-05, 2.77985e-05, 2.87101e-05, 2.8036e-05, 2.75806e-05, 0.00013984, 2.77106e-05, 2.74868e-05, 2.75423e-05, 5.35126e-05, 2.74855e-05, 4.99115e-05, 2.74854e-05, 2.74854e-05, 2.87603e-05
0.594464, 0, 0.000299329, 4.52712e-05, 1.41421, -0.000299329, 4.59592e-05, 4.52712e-05, 4.5274e-05, 4.52787e-05, 4.58454e-05, 4.57788e-05, 4.7437e-05, 4.61638e-05, 4.54256e-05, 0.000227393, 4.55517e-05, 4.52735e-05, 4.53497e-05, 8.03514e-05, 4.52714e-05, 7.47064e-05, 4.52712e-05, 4.52712e-05, 4.73378e-05
0.60233, 0, 0.000462044, 7.33645e-05, 1.41421, -0.000462044, 7.44619e-05, 7.33645e-05, 7.3369e-05, 7.33764e-05, 7.42804e-05, 7.41742e-05, 7.71409e-05, 7.47881e-05, 7.36107e-05, 0.000363839, 7.37131e-05, 7.33682e-05, 7.34724e-05, 0.00012046, 7.33648e-05, 0.000112432, 7.33645e-05, 7.33645e-05, 7.66606e-05
0.610196, 0, 0.000707645, 0.000116986, 1.41421, -0.000707645, 0.000118708, 0.000116986, 0.000116993, 0.000117004, 0.000118423, 0.000118257, 0.000123477, 0.00011922, 0.000117372, 0.000572884, 0.000117418, 0.000116992, 0.000117133, 0.000179993, 0.000116986, 0.000169412, 0.000116986, 0.000116986, 0.000122159
0.618062, 0, 0.00107352, 0.00018357, 1.41421, -0.00107352, 0.000186231, 0.00018357, 0.000183581, 0.000183599, 0.000185791, 0.000185533, 0.000194566, 0.000187022, 0.000184167, 0.000887751, 0.000184105, 0.000183579, 0.000183772, 0.000267608, 0.000183571, 0.000254641, 0.00018357, 0.00018357, 0.000191561
0.625929, 0, 0.00161105, 0.00028349, 1.41421, -0.00161105, 0.000287534, 0.00028349, 0.000283506, 0.000283534, 0.000286865, 0.000286473, 0.000301848, 0.000288736, 0.000284397, 0.00135402, 0.000284149, 0.000283503, 0.000283763, 0.000395282, 0.000283491, 0.000380656, 0.00028349, 0.00028349, 0.000295638
