   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_344.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0106413, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00277313, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00509509, 0, 4.36686e-23, 0, 1.41421, -4.36686e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50446e-25, 0, 0, 0, 7.43642e-24, 0, 3.56818e-23, 0, 0, 0
0.0129633, 0, 1.12172e-22, 0, 1.41421, -1.12172e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40635e-24, 0, 0, 0, 1.96011e-23, 0, 9.11643e-23, 0, 0, 0
0.0208315, 0, 2.8163e-22, 0, 1.41421, -2.8163e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5132e-24, 0, 0, 0, 5.03799e-23, 0, 2.27737e-22, 0, 0, 0
0.0286998, 0, 6.9245e-22, 0, 1.41421, -6.9245e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.59686e-24, 0, 0, 0, 1.26576e-22, 0, 5.57277e-22, 0, 0, 0
0.036568, 0, 1.78309e-21, 0, 1.41421, -1.78309e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19876e-23, 0, 0, 0, 3.35793e-22, 0, 1.42531e-21, 0, 0, 0
0.0444362, 0, 4.19244e-21, 0, 1.41421, -4.19244e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.14803e-23, 0, 0, 0, 8.03826e-22, 0, 3.33713e-21, 0, 0, 0
0.0523044, 0, 9.7001e-21, 0, 1.41421, -9.7001e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18622e-22, 0, 0, 0, 1.89198e-21, 0, 7.6895e-21, 0, 0, 0
0.0601727, 0, 2.21032e-20, 0, 1.41421, -2.21032e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69211e-22, 0, 0, 0, 4.38277e-21, 0, 1.74512e-20, 0, 0, 0
