   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_154.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.196925, 0, 1.49015e-22, 0, 1.41421, -1.49015e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4711e-25, 0, 0, 2.53468e-27, 0, 3.14553e-26, 0, 1.48634e-22, 0, 0, 0
0.204771, 0, 4.72939e-22, 0, 1.41421, -4.72939e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10164e-24, 0, 0, 8.08291e-27, 0, 1.03233e-25, 0, 4.71726e-22, 0, 0, 0
0.212617, 0, 1.4582e-21, 0, 1.41421, -1.4582e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39663e-24, 0, 0, 2.50478e-26, 0, 3.28304e-25, 0, 1.45445e-21, 0, 0, 0
0.220463, 0, 4.37686e-21, 0, 1.41421, -4.37686e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01951e-23, 0, 0, 7.55826e-26, 0, 1.0143e-24, 0, 4.36557e-21, 0, 0, 0
0.228309, 0, 1.28111e-20, 0, 1.41421, -1.28111e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98408e-23, 0, 0, 2.22472e-25, 0, 3.05067e-24, 0, 1.2778e-20, 0, 0, 0
0.236155, 0, 3.66201e-20, 0, 1.41421, -3.66201e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.52984e-23, 0, 0, 6.39681e-25, 0, 8.9477e-24, 0, 3.65252e-20, 0, 0, 0
0.244001, 0, 1.02352e-19, 0, 1.41421, -1.02352e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38406e-22, 0, 0, 1.79899e-24, 0, 2.56304e-23, 0, 1.02087e-19, 0, 0, 0
0.251847, 0, 2.80019e-19, 0, 1.41421, -2.80019e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.52236e-22, 0, 0, 4.95382e-24, 0, 7.17918e-23, 0, 2.7929e-19, 0, 0, 0
0.259693, 0, 7.50566e-19, 0, 1.41421, -7.50566e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74825e-21, 0, 0, 1.33692e-23, 0, 1.96852e-22, 0, 7.48607e-19, 0, 0, 0
0.267539, 0, 1.97264e-18, 0, 1.41421, -1.97264e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59472e-21, 0, 0, 3.53898e-23, 0, 5.28878e-22, 0, 1.96748e-18, 0, 0, 0
0.275385, 0, 5.08708e-18, 0, 1.41421, -5.08708e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18489e-20, 0, 0, 9.19535e-23, 0, 1.3934e-21, 0, 5.07374e-18, 0, 0, 0
0.283231, 0, 1.28802e-17, 0, 1.41421, -1.28802e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00004e-20, 0, 0, 2.34671e-22, 0, 3.60261e-21, 0, 1.28464e-17, 0, 0, 0
0.291077, 0, 3.20366e-17, 0, 1.41421, -3.20366e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.46185e-20, 0, 0, 5.88565e-22, 0, 9.14647e-21, 0, 3.19522e-17, 0, 0, 0
0.298923, 0, 7.83158e-17, 0, 1.41421, -7.83158e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82408e-19, 0, 0, 1.45142e-21, 0, 2.28156e-20, 0, 7.81091e-17, 0, 0, 0
0.306769, 0, 1.88243e-16, 0, 1.41421, -1.88243e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38437e-19, 0, 0, 3.52092e-21, 0, 5.59457e-20, 0, 1.87745e-16, 0, 0, 0
0.314615, 0, 4.48844e-16, 0, 1.41421, -4.48844e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04538e-18, 0, 0, 8.48979e-21, 0, 1.36394e-19, 0, 4.47654e-16, 0, 0, 0
0.322461, 0, 1.04276e-15, 0, 1.41421, -1.04276e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42859e-18, 0, 0, 1.99235e-20, 0, 3.23072e-19, 0, 1.03999e-15, 0, 0, 0
0.330307, 0, 2.38494e-15, 0, 1.41421, -2.38494e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5544e-18, 0, 0, 4.60545e-20, 0, 7.53355e-19, 0, 2.37859e-15, 0, 0, 0
0.338153, 0, 5.37134e-15, 0, 1.41421, -5.37134e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25092e-17, 0, 0, 1.04892e-19, 0, 1.72991e-18, 0, 5.357e-15, 0, 0, 0
0.345999, 0, 1.1915e-14, 0, 1.41421, -1.1915e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77476e-17, 0, 0, 2.35453e-19, 0, 3.91286e-18, 0, 1.18831e-14, 0, 0, 0
0.353845, 0, 2.60379e-14, 0, 1.41421, -2.60379e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06346e-17, 0, 0, 5.21057e-19, 0, 8.72025e-18, 0, 2.5968e-14, 0, 0, 0
0.361691, 0, 5.60648e-14, 0, 1.41421, -5.60648e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30553e-16, 0, 0, 1.1371e-18, 0, 1.91525e-17, 0, 5.5914e-14, 0, 0, 0
0.369537, 0, 1.18967e-13, 0, 1.41421, -1.18967e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77015e-16, 0, 0, 2.44777e-18, 0, 4.14657e-17, 0, 1.18646e-13, 0, 0, 0
0.377383, 0, 2.48813e-13, 0, 1.41421, -2.48813e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79336e-16, 0, 0, 5.19917e-18, 0, 8.85138e-17, 0, 2.4814e-13, 0, 0, 0
0.385229, 0, 5.12973e-13, 1.12104e-44, 1.41421, -5.12973e-13, 1.12104e-44, 0, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.19436e-15, 1.12104e-44, 1.12104e-44, 1.09003e-17, 1.12104e-44, 1.86331e-16, 1.12104e-44, 5.11581e-13, 1.12104e-44, 1.12104e-44, 1.12104e-44
