   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_71.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.00402708, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0118606, 0, 6.84812e-30, 0, 1.41421, -6.84812e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18119e-32, 0, 0, 3.56966e-35, 0, 1.50107e-35, 0, 6.78626e-30, 0, 0
0.0196941, 0, 6.35987e-29, 0, 1.41421, -6.35987e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.74026e-31, 0, 0, 3.31502e-34, 0, 2.59716e-33, 0, 6.30218e-29, 0, 0
0.0275275, 0, 3.72027e-28, 0, 1.41421, -3.72027e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35775e-30, 0, 0, 1.93911e-33, 0, 2.36404e-32, 0, 3.68644e-28, 0, 0
0.035361, 0, 1.74691e-27, 0, 1.41421, -1.74691e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57666e-29, 0, 0, 9.11199e-33, 0, 1.3757e-31, 0, 1.731e-27, 0, 0
0.0431945, 0, 7.17809e-27, 0, 1.41421, -7.17809e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.47844e-29, 0, 0, 3.75466e-32, 0, 6.44979e-31, 0, 7.11262e-27, 0, 0
0.051028, 0, 2.69016e-26, 0, 1.41421, -2.69016e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42793e-28, 0, 0, 1.41365e-31, 0, 2.64945e-30, 0, 2.6656e-26, 0, 0
0.0588615, 0, 9.41141e-26, 0, 1.41421, -9.41141e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.49396e-28, 0, 0, 4.97441e-31, 0, 9.93147e-30, 0, 9.32543e-26, 0, 0
0.066695, 0, 3.118e-25, 0, 1.41421, -3.118e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81403e-27, 0, 0, 1.65886e-30, 0, 3.47698e-29, 0, 3.08949e-25, 0, 0
0.0745284, 0, 9.87621e-25, 0, 1.41421, -9.87621e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.91334e-27, 0, 0, 5.29149e-30, 0, 1.15318e-28, 0, 9.78587e-25, 0, 0
0.0823619, 0, 3.01096e-24, 0, 1.41421, -3.01096e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7174e-26, 0, 0, 1.62512e-29, 0, 3.65751e-28, 0, 2.9834e-24, 0, 0
0.0901954, 0, 8.87887e-24, 0, 1.41421, -8.87887e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.01317e-26, 0, 0, 4.8288e-29, 0, 1.11675e-27, 0, 8.79757e-24, 0, 0
0.0980289, 0, 2.54198e-23, 0, 1.41421, -2.54198e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29412e-25, 0, 0, 1.39331e-28, 0, 3.29856e-27, 0, 2.51869e-23, 0, 0
