   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_139.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00262186, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00524294, 0, 3.39795e-18, 0, 1.41421, -3.39795e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64114e-21, 0, 0, 5.91577e-23, 4.59208e-20, 0, 3.34433e-18, 0, 0
0.0131077, 0, 6.37359e-18, 0, 1.41421, -6.37359e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43288e-20, 0, 0, 1.12572e-22, 8.779e-20, 0, 6.27136e-18, 0, 0
0.0209726, 0, 1.18581e-17, 0, 1.41421, -1.18581e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66516e-20, 0, 0, 2.12513e-22, 1.66511e-19, 0, 1.16647e-17, 0, 0
0.0288374, 0, 2.18873e-17, 0, 1.41421, -2.18873e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91787e-20, 0, 0, 3.98079e-22, 3.13403e-19, 0, 2.15243e-17, 0, 0
0.0367022, 0, 4.00851e-17, 0, 1.41421, -4.00851e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.00415e-20, 0, 0, 7.40036e-22, 5.85481e-19, 0, 3.94089e-17, 0, 0
0.044567, 0, 7.28547e-17, 0, 1.41421, -7.28547e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63601e-19, 0, 0, 1.36555e-21, 1.08582e-18, 0, 7.1604e-17, 0, 0
0.0524318, 0, 1.31425e-16, 0, 1.41421, -1.31425e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95031e-19, 0, 0, 2.50148e-21, 1.99945e-18, 0, 1.29128e-16, 0, 0
0.0602966, 0, 2.35341e-16, 0, 1.41421, -2.35341e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.28136e-19, 0, 0, 4.54972e-21, 3.65638e-18, 0, 2.31152e-16, 0, 0
0.0681614, 0, 4.1838e-16, 0, 1.41421, -4.1838e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.38578e-19, 0, 0, 8.2172e-21, 6.64113e-18, 0, 4.10792e-16, 0, 0
0.0760262, 0, 7.38493e-16, 0, 1.41421, -7.38493e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65611e-18, 0, 0, 1.4739e-20, 1.19825e-17, 0, 7.24839e-16, 0, 0
0.083891, 0, 1.2944e-15, 0, 1.41421, -1.2944e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90168e-18, 0, 0, 2.62582e-20, 2.14798e-17, 0, 1.26999e-15, 0, 0
0.0917558, 0, 2.25309e-15, 0, 1.41421, -2.25309e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0488e-18, 0, 0, 4.64684e-20, 3.82598e-17, 0, 2.20973e-15, 0, 0
