   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_236.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0262172, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.018228, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0102389, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00224979, 0, 7.04283e-14, 0, 1.41421, -7.04283e-14, 0, 0, 0, 0, 0, 0, 0, 4.29153e-16, 0, 0, 1.23877e-18, 3.90461e-17, 0, 6.99589e-14, 0, 0
0.00573933, 0, 1.19163e-13, 0, 1.41421, -1.19163e-13, 0, 0, 0, 0, 0, 0, 0, 7.26101e-16, 0, 0, 2.1431e-18, 6.86483e-17, 0, 1.18366e-13, 0, 0
0.0137285, 0, 2.00117e-13, 0, 1.41421, -2.00117e-13, 0, 0, 0, 0, 0, 0, 0, 1.21935e-15, 0, 0, 3.6807e-18, 1.19863e-16, 0, 1.98774e-13, 0, 0
0.0217176, 0, 3.33594e-13, 0, 1.41421, -3.33594e-13, 0, 0, 0, 0, 0, 0, 0, 2.0326e-15, 0, 0, 6.27628e-18, 2.07866e-16, 0, 3.31348e-13, 0, 0
0.0297067, 0, 5.52064e-13, 0, 1.41421, -5.52064e-13, 0, 0, 0, 0, 0, 0, 0, 3.36366e-15, 0, 0, 1.0627e-17, 3.58069e-16, 0, 5.48332e-13, 0, 0
0.0376958, 0, 9.07068e-13, 0, 1.41421, -9.07068e-13, 0, 0, 0, 0, 0, 0, 0, 5.5265e-15, 0, 0, 1.78694e-17, 6.12736e-16, 0, 9.00911e-13, 0, 0
0.0456849, 0, 1.47981e-12, 0, 1.41421, -1.47981e-12, 0, 0, 0, 0, 0, 0, 0, 9.0158e-15, 0, 0, 2.98429e-17, 1.04169e-15, 0, 1.46972e-12, 0, 0
0.0536741, 0, 2.39734e-12, 0, 1.41421, -2.39734e-12, 0, 0, 0, 0, 0, 0, 0, 1.46055e-14, 0, 0, 4.95058e-17, 1.75952e-15, 0, 2.38092e-12, 0, 0
0.0616632, 0, 3.86261e-12, 0, 1.41421, -3.86261e-12, 0, 0, 0, 0, 0, 0, 0, 2.35318e-14, 0, 0, 8.18189e-17, 2.96579e-15, 0, 3.83603e-12, 0, 0
0.0696523, 0, 6.17106e-12, 0, 1.41421, -6.17106e-12, 0, 0, 0, 0, 0, 0, 0, 3.75945e-14, 0, 0, 1.33932e-16, 4.9449e-15, 0, 6.12839e-12, 0, 0
0.0776414, 0, 9.79277e-12, 0, 1.41421, -9.79277e-12, 0, 0, 0, 0, 0, 0, 0, 5.96567e-14, 0, 0, 2.17843e-16, 8.1936e-15, 0, 9.7247e-12, 0, 0
0.0856306, 0, 1.54365e-11, 0, 1.41421, -1.54365e-11, 0, 0, 0, 0, 0, 0, 0, 9.40357e-14, 0, 0, 3.52113e-16, 1.34934e-14, 0, 1.53286e-11, 0, 0
0.0936197, 0, 2.41724e-11, 0, 1.41421, -2.41724e-11, 0, 0, 0, 0, 0, 0, 0, 1.4725e-13, 0, 0, 5.65651e-16, 2.20867e-14, 0, 2.40025e-11, 0, 0
0.101609, 0, 3.76054e-11, 0, 1.41421, -3.76054e-11, 0, 0, 0, 0, 0, 0, 0, 2.29077e-13, 0, 0, 9.03255e-16, 3.59359e-14, 0, 3.73394e-11, 0, 0
0.109598, 0, 5.81256e-11, 0, 1.41421, -5.81256e-11, 0, 0, 0, 0, 0, 0, 0, 3.54077e-13, 0, 0, 1.4339e-15, 5.81231e-14, 0, 5.7712e-11, 0, 0
0.117587, 0, 8.92689e-11, 0, 1.41421, -8.92689e-11, 0, 0, 0, 0, 0, 0, 0, 5.43793e-13, 0, 0, 2.26326e-15, 9.34587e-14, 0, 8.86294e-11, 0, 0
0.125576, 0, 1.36231e-10, 0, 1.41421, -1.36231e-10, 0, 0, 0, 0, 0, 0, 0, 8.29883e-13, 0, 0, 3.55241e-15, 1.49408e-13, 0, 1.35248e-10, 0, 0
0.133565, 0, 2.06595e-10, 0, 1.41421, -2.06595e-10, 0, 0, 0, 0, 0, 0, 0, 1.25857e-12, 0, 0, 5.54574e-15, 2.3749e-13, 0, 2.05093e-10, 0, 0
0.141554, 0, 3.11358e-10, 0, 1.41421, -3.11358e-10, 0, 0, 0, 0, 0, 0, 0, 1.89688e-12, 0, 0, 8.61236e-15, 3.75378e-13, 0, 3.09077e-10, 0, 0
0.149544, 0, 4.66496e-10, 0, 1.41421, -4.66496e-10, 0, 0, 0, 0, 0, 0, 0, 2.8423e-12, 0, 0, 1.33273e-14, 5.9092e-13, 0, 4.6305e-10, 0, 0
0.157533, 0, 6.94452e-10, 0, 1.41421, -6.94452e-10, 0, 0, 0, 0, 0, 0, 0, 4.23167e-12, 0, 0, 2.04949e-14, 9.23716e-13, 0, 6.89276e-10, 0, 0
0.165522, 0, 1.02756e-09, 0, 1.41421, -1.02756e-09, 0, 0, 0, 0, 0, 0, 0, 6.26242e-12, 0, 0, 3.13739e-14, 1.43622e-12, 0, 1.01983e-09, 0, 0
