   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_529.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0106035, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00273022, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00514303, 0, 1.92856e-14, 0, 1.41421, -1.92856e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.97462e-17, 0, 0, 5.9999e-17, 9.03848e-16, 0, 1.8222e-14, 0, 0, 0
0.0130163, 0, 3.02599e-14, 0, 1.41421, -3.02599e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56269e-16, 0, 0, 9.57628e-17, 1.46014e-15, 0, 2.85478e-14, 0, 0, 0
0.0208895, 0, 4.72599e-14, 0, 1.41421, -4.72599e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43673e-16, 0, 0, 1.52157e-16, 2.34895e-15, 0, 4.45151e-14, 0, 0, 0
0.0287628, 0, 7.34726e-14, 0, 1.41421, -7.34726e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78199e-16, 0, 0, 2.40685e-16, 3.76314e-15, 0, 6.90906e-14, 0, 0, 0
0.036636, 0, 1.13706e-13, 0, 1.41421, -1.13706e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84284e-16, 0, 0, 3.79046e-16, 6.00404e-15, 0, 1.06739e-13, 0, 0, 0
0.0445093, 0, 1.75178e-13, 0, 1.41421, -1.75178e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.98531e-16, 0, 0, 5.94352e-16, 9.54037e-15, 0, 1.64145e-13, 0, 0, 0
0.0523826, 0, 2.68679e-13, 0, 1.41421, -2.68679e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3755e-15, 0, 0, 9.27948e-16, 1.50984e-14, 0, 2.51277e-13, 0, 0, 0
0.0602558, 0, 4.10256e-13, 0, 1.41421, -4.10256e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09613e-15, 0, 0, 1.44263e-15, 2.37988e-14, 0, 3.82918e-13, 0, 0, 0
