   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_230.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.178906, 0, 4.76631e-15, 0, 1.41421, -4.76631e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.41367e-17, 0, 2.80644e-20, 6.23866e-19, 0, 4.75153e-15, 0, 0
0.187018, 0, 9.46013e-15, 0, 1.41421, -9.46013e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.80583e-17, 0, 5.66322e-20, 1.25928e-18, 0, 9.43075e-15, 0, 0
0.195131, 0, 1.85894e-14, 0, 1.41421, -1.85894e-14, 0, 0, 0, 0, 0, 0, 0, 0, 5.51348e-17, 0, 1.1318e-19, 2.51726e-18, 0, 1.85316e-14, 0, 0
0.203243, 0, 3.61703e-14, 0, 1.41421, -3.61703e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.07278e-16, 0, 2.24053e-19, 4.98422e-18, 0, 3.60579e-14, 0, 0
0.211355, 0, 6.96985e-14, 0, 1.41421, -6.96985e-14, 0, 0, 0, 0, 0, 0, 0, 0, 2.06718e-16, 0, 4.39416e-19, 9.77723e-18, 0, 6.94815e-14, 0, 0
0.219467, 0, 1.33026e-13, 0, 1.41421, -1.33026e-13, 0, 0, 0, 0, 0, 0, 0, 0, 3.94537e-16, 0, 8.53919e-19, 1.90049e-17, 0, 1.32611e-13, 0, 0
0.227579, 0, 2.51503e-13, 0, 1.41421, -2.51503e-13, 0, 0, 0, 0, 0, 0, 0, 0, 7.45918e-16, 0, 1.64459e-18, 3.66125e-17, 0, 2.50718e-13, 0, 0
0.235692, 0, 4.71077e-13, 0, 1.41421, -4.71077e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.39713e-15, 0, 3.13955e-18, 6.99165e-17, 0, 4.69607e-13, 0, 0
0.243804, 0, 8.74233e-13, 0, 1.41421, -8.74233e-13, 0, 0, 0, 0, 0, 0, 0, 0, 2.5928e-15, 0, 5.94165e-18, 1.32369e-16, 0, 8.71501e-13, 0, 0
0.251916, 0, 1.60764e-12, 0, 1.41421, -1.60764e-12, 0, 0, 0, 0, 0, 0, 0, 0, 4.76792e-15, 0, 1.11493e-17, 2.48497e-16, 0, 1.60261e-12, 0, 0
0.260028, 0, 2.92963e-12, 0, 1.41421, -2.92963e-12, 0, 0, 0, 0, 0, 0, 0, 0, 8.68865e-15, 0, 2.0747e-17, 4.62645e-16, 0, 2.92046e-12, 0, 0
0.268141, 0, 5.29091e-12, 0, 1.41421, -5.29091e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.56917e-14, 0, 3.82916e-17, 8.54342e-16, 0, 5.27433e-12, 0, 0
0.276253, 0, 9.47049e-12, 0, 1.41421, -9.47049e-12, 0, 0, 0, 0, 0, 0, 0, 0, 2.80878e-14, 0, 7.01092e-17, 1.56522e-15, 0, 9.44077e-12, 0, 0
0.284365, 0, 1.68022e-11, 0, 1.41421, -1.68022e-11, 0, 0, 0, 0, 0, 0, 0, 0, 4.98331e-14, 0, 1.27366e-16, 2.84533e-15, 0, 1.67494e-11, 0, 0
0.292477, 0, 2.95483e-11, 0, 1.41421, -2.95483e-11, 0, 0, 0, 0, 0, 0, 0, 0, 8.76394e-14, 0, 2.29636e-16, 5.13309e-15, 0, 2.94553e-11, 0, 0
0.300589, 0, 5.15103e-11, 0, 1.41421, -5.15103e-11, 0, 0, 0, 0, 0, 0, 0, 0, 1.52786e-13, 0, 4.10998e-16, 9.19176e-15, 0, 5.13479e-11, 0, 0
0.308702, 0, 8.90169e-11, 0, 1.41421, -8.90169e-11, 0, 0, 0, 0, 0, 0, 0, 0, 2.64056e-13, 0, 7.30432e-16, 1.63412e-14, 0, 8.87358e-11, 0, 0
0.316814, 0, 1.52505e-10, 0, 1.41421, -1.52505e-10, 0, 0, 0, 0, 0, 0, 0, 0, 4.52434e-13, 0, 1.28944e-15, 2.88492e-14, 0, 1.52023e-10, 0, 0
0.324926, 0, 2.59029e-10, 0, 1.41421, -2.59029e-10, 0, 0, 0, 0, 0, 0, 0, 0, 7.6857e-13, 0, 2.26182e-15, 5.05903e-14, 0, 2.58207e-10, 0, 0
