   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_60.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0133337, 0, 2.72838e-18, 0, 1.41421, -2.72838e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48026e-20, 0, 0, 4.08473e-23, 5.1922e-22, 0, 2.71302e-18, 0, 0
0.0211273, 0, 5.08113e-18, 0, 1.41421, -5.08113e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75672e-20, 0, 0, 7.72049e-23, 9.84574e-22, 0, 5.0525e-18, 0, 0
0.028921, 0, 9.38848e-18, 0, 1.41421, -9.38848e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.09362e-20, 0, 0, 1.44803e-22, 1.85276e-21, 0, 9.33555e-18, 0, 0
0.0367146, 0, 1.72142e-17, 0, 1.41421, -1.72142e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33934e-20, 0, 0, 2.6955e-22, 3.46065e-21, 0, 1.71171e-17, 0, 0
0.0445083, 0, 3.1326e-17, 0, 1.41421, -3.1326e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69954e-19, 0, 0, 4.98086e-22, 6.41725e-21, 0, 3.11491e-17, 0, 0
0.052302, 0, 5.65868e-17, 0, 1.41421, -5.65868e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07001e-19, 0, 0, 9.13784e-22, 1.18162e-20, 0, 5.6267e-17, 0, 0
0.0600956, 0, 1.01478e-16, 0, 1.41421, -1.01478e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5055e-19, 0, 0, 1.66462e-21, 2.16078e-20, 0, 1.00904e-16, 0, 0
0.0678893, 0, 1.80691e-16, 0, 1.41421, -1.80691e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.80297e-19, 0, 0, 3.0115e-21, 3.92486e-20, 0, 1.79668e-16, 0, 0
0.0756829, 0, 3.19488e-16, 0, 1.41421, -3.19488e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7333e-18, 0, 0, 5.41126e-21, 7.08244e-20, 0, 3.17678e-16, 0, 0
0.0834766, 0, 5.61011e-16, 0, 1.41421, -5.61011e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04361e-18, 0, 0, 9.65851e-21, 1.26983e-19, 0, 5.57831e-16, 0, 0
0.0912703, 0, 9.78434e-16, 0, 1.41421, -9.78434e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.30818e-18, 0, 0, 1.71264e-20, 2.2624e-19, 0, 9.72883e-16, 0, 0
0.0990639, 0, 1.69502e-15, 0, 1.41421, -1.69502e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.19571e-18, 0, 0, 3.01723e-20, 4.006e-19, 0, 1.68539e-15, 0, 0
0.106858, 0, 2.91699e-15, 0, 1.41421, -2.91699e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5825e-17, 0, 0, 5.28178e-20, 7.05049e-19, 0, 2.90041e-15, 0, 0
0.114651, 0, 4.98708e-15, 0, 1.41421, -4.98708e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70553e-17, 0, 0, 9.18788e-20, 1.23351e-18, 0, 4.9587e-15, 0, 0
0.122445, 0, 8.47111e-15, 0, 1.41421, -8.47111e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59561e-17, 0, 0, 1.58837e-19, 2.14548e-18, 0, 8.42285e-15, 0, 0
0.130239, 0, 1.4297e-14, 0, 1.41421, -1.4297e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.75614e-17, 0, 0, 2.72918e-19, 3.71031e-18, 0, 1.42155e-14, 0, 0
0.138032, 0, 2.39765e-14, 0, 1.41421, -2.39765e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30072e-16, 0, 0, 4.66113e-19, 6.38029e-18, 0, 2.38396e-14, 0, 0
0.145826, 0, 3.99567e-14, 0, 1.41421, -3.99567e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16763e-16, 0, 0, 7.91345e-19, 1.09107e-17, 0, 3.97282e-14, 0, 0
0.15362, 0, 6.61721e-14, 0, 1.41421, -6.61721e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58979e-16, 0, 0, 1.33563e-18, 1.8556e-17, 0, 6.57932e-14, 0, 0
0.161413, 0, 1.08909e-13, 0, 1.41421, -1.08909e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90822e-16, 0, 0, 2.24123e-18, 3.13884e-17, 0, 1.08284e-13, 0, 0
0.169207, 0, 1.78145e-13, 0, 1.41421, -1.78145e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.66426e-16, 0, 0, 3.73939e-18, 5.28129e-17, 0, 1.77122e-13, 0, 0
0.177001, 0, 2.89618e-13, 0, 1.41421, -2.89618e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57116e-15, 0, 0, 6.20392e-18, 8.83953e-17, 0, 2.87952e-13, 0, 0
0.184794, 0, 4.67985e-13, 0, 1.41421, -4.67985e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53882e-15, 0, 0, 1.02358e-17, 1.47199e-16, 0, 4.65289e-13, 0, 0
0.192588, 0, 7.51639e-13, 0, 1.41421, -7.51639e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07771e-15, 0, 0, 1.67959e-17, 2.43881e-16, 0, 7.47301e-13, 0, 0
0.200382, 0, 1.19998e-12, 0, 1.41421, -1.19998e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.51013e-15, 0, 0, 2.74131e-17, 4.02057e-16, 0, 1.19304e-12, 0, 0
0.208175, 0, 1.90428e-12, 0, 1.41421, -1.90428e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03315e-14, 0, 0, 4.45077e-17, 6.59579e-16, 0, 1.89325e-12, 0, 0
0.215969, 0, 3.004e-12, 0, 1.41421, -3.004e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62987e-14, 0, 0, 7.18943e-17, 1.07685e-15, 0, 2.98655e-12, 0, 0
0.223763, 0, 4.71075e-12, 0, 1.41421, -4.71075e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55605e-14, 0, 0, 1.15557e-16, 1.74983e-15, 0, 4.68332e-12, 0, 0
0.231556, 0, 7.34361e-12, 0, 1.41421, -7.34361e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.98498e-14, 0, 0, 1.84842e-16, 2.83026e-15, 0, 7.30075e-12, 0, 0
0.23935, 0, 1.13808e-11, 0, 1.41421, -1.13808e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.17638e-14, 0, 0, 2.94297e-16, 4.55721e-15, 0, 1.13141e-11, 0, 0
0.247143, 0, 1.75341e-11, 0, 1.41421, -1.75341e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.51711e-14, 0, 0, 4.6648e-16, 7.30567e-15, 0, 1.74312e-11, 0, 0
0.254937, 0, 2.68569e-11, 0, 1.41421, -2.68569e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45798e-13, 0, 0, 7.36268e-16, 1.16618e-14, 0, 2.66987e-11, 0, 0
0.262731, 0, 4.08975e-11, 0, 1.41421, -4.08975e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22068e-13, 0, 0, 1.15743e-15, 1.85385e-14, 0, 4.06557e-11, 0, 0
0.270524, 0, 6.19177e-11, 0, 1.41421, -6.19177e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.36293e-13, 0, 0, 1.81271e-15, 2.93526e-14, 0, 6.15503e-11, 0, 0
0.278318, 0, 9.32007e-11, 1.82169e-44, 1.41421, -9.32007e-11, 1.82169e-44, 0, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 5.06363e-13, 1.82169e-44, 1.82169e-44, 2.82914e-15, 4.62972e-14, 1.82169e-44, 9.26452e-11, 1.82169e-44, 1.82169e-44
0.286112, 0, 1.39482e-10, 3.20897e-43, 1.41421, -1.39482e-10, 3.20897e-43, 0, 3.20897e-43, 3.20897e-43, 3.20897e-43, 3.20897e-43, 3.20897e-43, 3.20897e-43, 3.20897e-43, 3.20897e-43, 3.20897e-43, 3.20897e-43, 3.20897e-43, 7.58109e-13, 3.20897e-43, 3.20897e-43, 4.40161e-15, 7.2756e-14, 3.20897e-43, 1.38647e-10, 3.20897e-43, 3.20897e-43
0.293905, 0, 2.07549e-10, 4.62709e-42, 1.41421, -2.07549e-10, 4.62709e-42, 0, 4.62709e-42, 4.62709e-42, 4.62709e-42, 4.62709e-42, 4.62709e-42, 4.62709e-42, 4.62709e-42, 4.62709e-42, 4.62709e-42, 4.62709e-42, 4.62709e-42, 1.1286e-12, 4.62709e-42, 4.62709e-42, 6.82876e-15, 1.13938e-13, 4.62709e-42, 2.06299e-10, 4.62709e-42, 4.62709e-42
0.301699, 0, 3.07068e-10, 5.90507e-41, 1.41421, -3.07068e-10, 5.90507e-41, 0, 5.90507e-41, 5.90507e-41, 5.90507e-41, 5.90507e-41, 5.90507e-41, 5.90507e-41, 5.90507e-41, 5.90507e-41, 5.90507e-41, 5.90507e-41, 5.90507e-41, 1.67072e-12, 5.90507e-41, 5.90507e-41, 1.05682e-14, 1.77841e-13, 5.90507e-41, 3.05208e-10, 5.90507e-41, 5.90507e-41
0.309493, 0, 4.5172e-10, 6.75583e-40, 1.41421, -4.5172e-10, 6.75583e-40, 0, 6.75583e-40, 6.75583e-40, 6.75583e-40, 6.75583e-40, 6.75583e-40, 6.75583e-40, 6.75583e-40, 6.75583e-40, 6.75583e-40, 6.75583e-40, 6.75583e-40, 2.45943e-12, 6.75583e-40, 6.75583e-40, 1.63209e-14, 2.76726e-13, 6.75583e-40, 4.48967e-10, 6.75583e-40, 6.75583e-40
0.317286, 0, 6.60744e-10, 6.98045e-39, 1.41421, -6.60744e-10, 6.98045e-39, 0, 6.98045e-39, 6.98045e-39, 6.98045e-39, 6.98045e-39, 6.98045e-39, 6.98045e-39, 6.98045e-39, 6.98045e-39, 6.98045e-39, 6.98045e-39, 6.98045e-39, 3.60043e-12, 6.98045e-39, 6.98045e-39, 2.51614e-14, 4.29346e-13, 6.98045e-39, 6.56689e-10, 6.98045e-39, 6.98045e-39
0.32508, 0, 9.61032e-10, 6.54642e-38, 1.41421, -9.61032e-10, 6.54642e-38, 0, 6.54642e-38, 6.54642e-38, 6.54642e-38, 6.54642e-38, 6.54642e-38, 6.54642e-38, 6.54642e-38, 6.54642e-38, 6.54642e-38, 6.54642e-38, 6.54642e-38, 5.24179e-12, 6.54642e-38, 6.54642e-38, 3.87379e-14, 6.64349e-13, 6.54642e-38, 9.55087e-10, 6.54642e-38, 6.54642e-38
0.332874, 0, 1.38993e-09, 5.601e-37, 1.41421, -1.38993e-09, 5.601e-37, 0, 5.601e-37, 5.601e-37, 5.601e-37, 5.601e-37, 5.601e-37, 5.601e-37, 5.601e-37, 5.601e-37, 5.601e-37, 5.601e-37, 5.601e-37, 7.58981e-12, 5.601e-37, 5.601e-37, 5.95797e-14, 1.02543e-12, 5.601e-37, 1.38125e-09, 5.601e-37, 5.601e-37
0.340667, 0, 1.99897e-09, 4.394e-36, 1.41421, -1.99897e-09, 4.394e-36, 0, 4.394e-36, 4.394e-36, 4.394e-36, 4.394e-36, 4.394e-36, 4.394e-36, 4.394e-36, 4.394e-36, 4.394e-36, 4.394e-36, 4.394e-36, 1.09302e-11, 4.394e-36, 4.394e-36, 9.15729e-14, 1.57913e-12, 4.394e-36, 1.98637e-09, 4.394e-36, 4.394e-36
