   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_74.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0108135, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00291138, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00499079, 0, 1.26082e-17, 0, 1.41421, -1.26082e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.25001e-20, 0, 2.54122e-22, 0, 1.36536e-21, 0, 1.25341e-17, 0, 0
0.012893, 0, 2.29137e-17, 0, 1.41421, -2.29137e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31759e-19, 0, 4.69952e-22, 0, 2.53299e-21, 0, 2.2779e-17, 0, 0
0.0207951, 0, 4.13349e-17, 0, 1.41421, -4.13349e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37683e-19, 0, 8.62763e-22, 0, 4.66616e-21, 0, 4.10916e-17, 0, 0
0.0286973, 0, 7.40246e-17, 0, 1.41421, -7.40246e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25654e-19, 0, 1.57261e-21, 0, 8.53682e-21, 0, 7.35889e-17, 0, 0
0.0365995, 0, 1.31623e-16, 0, 1.41421, -1.31623e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.56854e-19, 0, 2.84647e-21, 0, 1.55136e-20, 0, 1.30848e-16, 0, 0
0.0445016, 0, 2.32401e-16, 0, 1.41421, -2.32401e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33633e-18, 0, 5.11683e-21, 0, 2.80077e-20, 0, 2.31031e-16, 0, 0
0.0524038, 0, 4.07509e-16, 0, 1.41421, -4.07509e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34322e-18, 0, 9.13605e-21, 0, 5.02395e-20, 0, 4.05107e-16, 0, 0
0.060306, 0, 7.09702e-16, 0, 1.41421, -7.09702e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08085e-18, 0, 1.62041e-20, 0, 8.95514e-20, 0, 7.05516e-16, 0, 0
0.0682081, 0, 1.22771e-15, 0, 1.41421, -1.22771e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05944e-18, 0, 2.8553e-20, 0, 1.58641e-19, 0, 1.22047e-15, 0, 0
0.0761103, 0, 2.10977e-15, 0, 1.41421, -2.10977e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21313e-17, 0, 4.9989e-20, 0, 2.7933e-19, 0, 2.09731e-15, 0, 0
0.0840125, 0, 3.60188e-15, 0, 1.41421, -3.60188e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07109e-17, 0, 8.69634e-20, 0, 4.88911e-19, 0, 3.58059e-15, 0, 0
0.0919146, 0, 6.10955e-15, 0, 1.41421, -6.10955e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51298e-17, 0, 1.5034e-19, 0, 8.50734e-19, 0, 6.07342e-15, 0, 0
0.0998168, 0, 1.02969e-14, 0, 1.41421, -1.02969e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92067e-17, 0, 2.58298e-19, 0, 1.4718e-18, 0, 1.02359e-14, 0, 0
0.107719, 0, 1.72444e-14, 0, 1.41421, -1.72444e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.91542e-17, 0, 4.41087e-19, 0, 2.53185e-18, 0, 1.71422e-14, 0, 0
0.115621, 0, 2.86986e-14, 0, 1.41421, -2.86986e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65015e-16, 0, 7.48714e-19, 0, 4.33105e-18, 0, 2.85285e-14, 0, 0
0.123523, 0, 4.74643e-14, 0, 1.41421, -4.74643e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72916e-16, 0, 1.26337e-18, 0, 7.36798e-18, 0, 4.71828e-14, 0, 0
0.131425, 0, 7.80178e-14, 0, 1.41421, -7.80178e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48595e-16, 0, 2.11934e-18, 0, 1.24663e-17, 0, 7.75546e-14, 0, 0
0.139328, 0, 1.27455e-13, 0, 1.41421, -1.27455e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32854e-16, 0, 3.53475e-18, 0, 2.09793e-17, 0, 1.26697e-13, 0, 0
