   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_350.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0113979, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00352159, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00435467, 0, 5.66857e-16, 0, 1.41421, -5.66857e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04323e-19, 7.97719e-17, 0, 4.86981e-16, 0, 0, 0
0.0122309, 0, 9.57352e-16, 0, 1.41421, -9.57352e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78681e-19, 1.37729e-16, 0, 8.19444e-16, 0, 0, 0
0.0201072, 0, 1.60754e-15, 0, 1.41421, -1.60754e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04276e-19, 2.36517e-16, 0, 1.37071e-15, 0, 0, 0
0.0279835, 0, 2.68396e-15, 0, 1.41421, -2.68396e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15207e-19, 4.04017e-16, 0, 2.27943e-15, 0, 0, 0
0.0358597, 0, 4.4561e-15, 0, 1.41421, -4.4561e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.67475e-19, 6.86559e-16, 0, 3.76867e-15, 0, 0, 0
0.043736, 0, 7.39423e-15, 0, 1.41421, -7.39423e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46224e-18, 1.17079e-15, 0, 6.22199e-15, 0, 0, 0
0.0516123, 0, 1.21363e-14, 0, 1.41421, -1.21363e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43356e-18, 1.96811e-15, 0, 1.01658e-14, 0, 0, 0
0.0594885, 0, 1.98133e-14, 0, 1.41421, -1.98133e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02852e-18, 3.29218e-15, 0, 1.65171e-14, 0, 0, 0
0.0673648, 0, 3.21758e-14, 0, 1.41421, -3.21758e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.63374e-18, 5.48028e-15, 0, 2.66889e-14, 0, 0, 0
0.0752411, 0, 5.19789e-14, 0, 1.41421, -5.19789e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08669e-17, 9.07892e-15, 0, 4.28891e-14, 0, 0, 0
0.0831173, 0, 8.35368e-14, 0, 1.41421, -8.35368e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77099e-17, 1.49693e-14, 0, 6.85498e-14, 0, 0, 0
