   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_763.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00357901, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00428618, 0, 1.62807e-19, 0, 1.41421, -1.62807e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.51052e-20, 0, 1.17702e-19, 0, 0
0.0121514, 0, 3.26209e-19, 0, 1.41421, -3.26209e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.17073e-20, 0, 2.34502e-19, 0, 0
0.0200166, 0, 6.47113e-19, 0, 1.41421, -6.47113e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84584e-19, 0, 4.6253e-19, 0, 0
0.0278818, 0, 1.27136e-18, 0, 1.41421, -1.27136e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67925e-19, 0, 9.03438e-19, 0, 0
0.035747, 0, 2.47454e-18, 0, 1.41421, -2.47454e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26525e-19, 0, 1.74801e-18, 0, 0
0.0436122, 0, 4.77276e-18, 0, 1.41421, -4.77276e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42168e-18, 0, 3.35108e-18, 0, 0
0.0514774, 0, 9.12452e-18, 0, 1.41421, -9.12452e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75766e-18, 0, 6.36686e-18, 0, 0
0.0593426, 0, 1.72949e-17, 0, 1.41421, -1.72949e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.30378e-18, 0, 1.19912e-17, 0, 0
0.0672078, 0, 3.25079e-17, 0, 1.41421, -3.25079e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01168e-17, 0, 2.23911e-17, 0, 0
