   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_138.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.199977, 0, 1.7987e-12, 0, 1.41421, -1.7987e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21765e-15, 0, 0, 3.68214e-17, 3.82646e-14, 0, 1.75318e-12, 0, 0
0.207851, 0, 2.88378e-12, 0, 1.41421, -2.88378e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15632e-14, 0, 0, 6.03784e-17, 6.35907e-14, 0, 2.80857e-12, 0, 0
0.215724, 0, 4.59402e-12, 0, 1.41421, -4.59402e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84062e-14, 0, 0, 9.84572e-17, 1.05127e-13, 0, 4.47039e-12, 0, 0
0.223598, 0, 7.27219e-12, 0, 1.41421, -7.27219e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91121e-14, 0, 0, 1.59685e-16, 1.72901e-13, 0, 7.07002e-12, 0, 0
0.231471, 0, 1.14393e-11, 0, 1.41421, -1.14393e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57535e-14, 0, 0, 2.57632e-16, 2.82943e-13, 0, 1.11103e-11, 0, 0
0.239345, 0, 1.78818e-11, 0, 1.41421, -1.78818e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14546e-14, 0, 0, 4.13553e-16, 4.60752e-13, 0, 1.73491e-11, 0, 0
0.247219, 0, 2.77789e-11, 0, 1.41421, -2.77789e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10894e-13, 0, 0, 6.60615e-16, 7.46718e-13, 0, 2.69206e-11, 0, 0
0.255092, 0, 4.28877e-11, 0, 1.41421, -4.28877e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7103e-13, 0, 0, 1.05039e-15, 1.20456e-12, 0, 4.1511e-11, 0, 0
0.262966, 0, 6.58079e-11, 0, 1.41421, -6.58079e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62142e-13, 0, 0, 1.66282e-15, 1.93441e-12, 0, 6.36097e-11, 0, 0
0.270839, 0, 1.00362e-10, 0, 1.41421, -1.00362e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9932e-13, 0, 0, 2.62154e-15, 3.09303e-12, 0, 9.68674e-11, 0, 0
0.278713, 0, 1.52136e-10, 0, 1.41421, -1.52136e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04563e-13, 0, 0, 4.11731e-15, 4.9251e-12, 0, 1.46602e-10, 0, 0
0.286587, 0, 2.29233e-10, 1.41531e-43, 1.41421, -2.29233e-10, 1.41531e-43, 0, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 9.09733e-13, 1.41531e-43, 1.41531e-43, 6.44413e-15, 7.81123e-12, 1.41531e-43, 2.20506e-10, 1.41531e-43, 1.41531e-43
0.29446, 0, 3.43408e-10, 1.5092e-41, 1.41421, -3.43408e-10, 1.5092e-41, 0, 1.5092e-41, 1.5092e-41, 1.5092e-41, 1.5092e-41, 1.5092e-41, 1.5092e-41, 1.5092e-41, 1.5092e-41, 1.36089e-12, 1.5092e-41, 1.5092e-41, 1.00714e-14, 1.23617e-11, 1.5092e-41, 3.29675e-10, 1.5092e-41, 1.5092e-41
0.302334, 0, 5.11316e-10, 1.8842e-40, 1.41421, -5.11316e-10, 1.8842e-40, 0, 1.8842e-40, 1.8842e-40, 1.8842e-40, 1.8842e-40, 1.8842e-40, 1.8842e-40, 1.8842e-40, 1.8842e-40, 2.02325e-12, 1.8842e-40, 1.8842e-40, 1.56715e-14, 1.94618e-11, 1.8842e-40, 4.89816e-10, 1.8842e-40, 1.8842e-40
0.310207, 0, 7.56882e-10, 2.11275e-39, 1.41421, -7.56882e-10, 2.11275e-39, 0, 2.11275e-39, 2.11275e-39, 2.11275e-39, 2.11275e-39, 2.11275e-39, 2.11275e-39, 2.11275e-39, 2.11275e-39, 2.9901e-12, 2.11275e-39, 2.11275e-39, 2.43283e-14, 3.05374e-11, 2.11275e-39, 7.2333e-10, 2.11275e-39, 2.11275e-39
0.318081, 0, 1.11392e-09, 2.14014e-38, 1.41421, -1.11392e-09, 2.14014e-38, 0, 2.14014e-38, 2.14014e-38, 2.14014e-38, 2.14014e-38, 2.14014e-38, 2.14014e-38, 2.14014e-38, 2.14014e-38, 4.39294e-12, 2.14014e-38, 2.14014e-38, 3.76937e-14, 4.77661e-11, 2.14014e-38, 1.06172e-09, 2.14014e-38, 2.14014e-38
0.325955, 0, 1.63003e-09, 1.96958e-37, 1.41421, -1.63003e-09, 1.96958e-37, 0, 1.96958e-37, 1.96958e-37, 1.96958e-37, 1.96958e-37, 1.96958e-37, 1.96958e-37, 1.96958e-37, 1.96958e-37, 6.41624e-12, 1.96958e-37, 1.96958e-37, 5.83117e-14, 7.44979e-11, 1.96958e-37, 1.54906e-09, 1.96958e-37, 1.96958e-37
0.333828, 0, 2.37186e-09, 1.65522e-36, 1.41421, -2.37186e-09, 1.65522e-36, 0, 1.65522e-36, 1.65522e-36, 1.65522e-36, 1.65522e-36, 1.65522e-36, 1.65522e-36, 1.65522e-36, 1.65522e-36, 9.31724e-12, 1.65522e-36, 1.65522e-36, 9.0103e-14, 1.15878e-10, 1.65522e-36, 2.24657e-09, 1.65522e-36, 1.65522e-36
0.341702, 0, 3.4322e-09, 1.27672e-35, 1.41421, -3.4322e-09, 1.27672e-35, 0, 1.27672e-35, 1.27672e-35, 1.27672e-35, 1.27672e-35, 1.27672e-35, 1.27672e-35, 1.27672e-35, 1.27672e-35, 1.34525e-11, 1.27672e-35, 1.27672e-35, 1.39116e-13, 1.79796e-10, 1.27672e-35, 3.23881e-09, 1.27672e-35, 1.27672e-35
0.349575, 0, 4.93955e-09, 9.06566e-35, 1.41421, -4.93955e-09, 9.06566e-35, 0, 9.06566e-35, 9.06566e-35, 9.06566e-35, 9.06566e-35, 9.06566e-35, 9.06566e-35, 9.06566e-35, 9.06566e-35, 1.93131e-11, 9.06566e-35, 9.06566e-35, 2.14683e-13, 2.78336e-10, 9.06566e-35, 4.64168e-09, 9.06566e-35, 9.06566e-35
0.357449, 0, 7.071e-09, 6.20748e-34, 1.41421, -7.071e-09, 6.20748e-34, 0, 6.20748e-34, 6.20748e-34, 6.20748e-34, 6.20748e-34, 6.20748e-34, 6.20748e-34, 6.20748e-34, 6.20748e-34, 2.7572e-11, 6.20748e-34, 6.20748e-34, 3.31223e-13, 4.29974e-10, 6.20748e-34, 6.61313e-09, 6.20748e-34, 6.20748e-34
