   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_834.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00661468, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00125222, 0, 5.22354e-19, 0, 1.41421, -5.22354e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94997e-21, 0, 0, 1.84841e-19, 0, 3.31563e-19, 0, 0
0.00911912, 0, 1.01522e-18, 0, 1.41421, -1.01522e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14878e-20, 0, 0, 3.63571e-19, 0, 6.40158e-19, 0, 0
0.016986, 0, 1.95544e-18, 0, 1.41421, -1.95544e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19778e-20, 0, 0, 7.08747e-19, 0, 1.22472e-18, 0, 0
0.0248529, 0, 3.73373e-18, 0, 1.41421, -3.73373e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16746e-20, 0, 0, 1.36973e-18, 0, 2.32232e-18, 0, 0
0.0327198, 0, 7.06906e-18, 0, 1.41421, -7.06906e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.83427e-20, 0, 0, 2.62506e-18, 0, 4.36566e-18, 0, 0
0.0405867, 0, 1.3274e-17, 0, 1.41421, -1.3274e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46035e-19, 0, 0, 4.99017e-18, 0, 8.13783e-18, 0, 0
0.0484536, 0, 2.47264e-17, 0, 1.41421, -2.47264e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69981e-19, 0, 0, 9.41165e-18, 0, 1.50447e-17, 0, 0
0.0563205, 0, 4.57004e-17, 0, 1.41421, -4.57004e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95113e-19, 0, 0, 1.76151e-17, 0, 2.75902e-17, 0, 0
0.0641874, 0, 8.38231e-17, 0, 1.41421, -8.38231e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.00829e-19, 0, 0, 3.27234e-17, 0, 5.01989e-17, 0, 0
