   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_325.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00466826, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00319855, 0, 2.35669e-21, 0, 1.41421, -2.35669e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.69504e-24, 0, 0, 0, 9.05857e-22, 0, 1.44314e-21, 0, 0
0.0110654, 0, 5.25875e-21, 0, 1.41421, -5.25875e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70578e-23, 0, 0, 0, 2.04264e-21, 0, 3.19905e-21, 0, 0
0.0189322, 0, 1.15694e-20, 0, 1.41421, -1.15694e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72833e-23, 0, 0, 0, 4.5399e-21, 0, 6.99218e-21, 0, 0
0.026799, 0, 2.5113e-20, 0, 1.41421, -2.5113e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.04052e-23, 0, 0, 0, 9.95324e-21, 0, 1.50793e-20, 0, 0
0.0346658, 0, 5.38178e-20, 0, 1.41421, -5.38178e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71196e-22, 0, 0, 0, 2.15401e-20, 0, 3.21065e-20, 0, 0
0.0425326, 0, 1.1393e-19, 0, 1.41421, -1.1393e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60062e-22, 0, 0, 0, 4.60431e-20, 0, 6.75266e-20, 0, 0
0.0503994, 0, 2.38372e-19, 0, 1.41421, -2.38372e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.48414e-22, 0, 0, 0, 9.72641e-20, 0, 1.40359e-19, 0, 0
0.0582662, 0, 4.93147e-19, 0, 1.41421, -4.93147e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53807e-21, 0, 0, 0, 2.03155e-19, 0, 2.88453e-19, 0, 0
0.066133, 0, 1.0092e-18, 0, 1.41421, -1.0092e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12642e-21, 0, 0, 0, 4.1974e-19, 0, 5.86334e-19, 0, 0
0.0739998, 0, 2.04373e-18, 0, 1.41421, -2.04373e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28789e-21, 0, 0, 0, 8.58197e-19, 0, 1.17924e-18, 0, 0
0.0818667, 0, 4.09691e-18, 0, 1.41421, -4.09691e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25166e-20, 0, 0, 0, 1.73701e-18, 0, 2.34738e-18, 0, 0
0.0897335, 0, 8.13226e-18, 0, 1.41421, -8.13226e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46667e-20, 0, 0, 0, 3.48154e-18, 0, 4.62605e-18, 0, 0
0.0976003, 0, 1.59885e-17, 0, 1.41421, -1.59885e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81387e-20, 0, 0, 0, 6.91234e-18, 0, 9.02801e-18, 0, 0
0.105467, 0, 3.11426e-17, 0, 1.41421, -3.11426e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.30531e-20, 0, 0, 0, 1.35981e-17, 0, 1.74514e-17, 0, 0
0.113334, 0, 6.01112e-17, 0, 1.41421, -6.01112e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78203e-19, 0, 0, 0, 2.65124e-17, 0, 3.34206e-17, 0, 0
0.121201, 0, 1.15001e-16, 0, 1.41421, -1.15001e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38165e-19, 0, 0, 0, 5.12423e-17, 0, 6.34202e-17, 0, 0
0.129068, 0, 2.18111e-16, 0, 1.41421, -2.18111e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35984e-19, 0, 0, 0, 9.82011e-17, 0, 1.19274e-16, 0, 0
