   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_848.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00194699, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00591584, 0, 3.40802e-21, 0, 1.41421, -3.40802e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27334e-25, 0, 1.17246e-21, 0, 2.23543e-21, 0, 0
0.0137787, 0, 7.54417e-21, 0, 1.41421, -7.54417e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83555e-25, 0, 2.62969e-21, 0, 4.9142e-21, 0, 0
0.0216415, 0, 1.64727e-20, 0, 1.41421, -1.64727e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.22966e-25, 0, 5.81511e-21, 0, 1.0657e-20, 0, 0
0.0295043, 0, 3.55007e-20, 0, 1.41421, -3.55007e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35112e-24, 0, 1.26873e-20, 0, 2.2812e-20, 0, 0
0.0373672, 0, 7.55569e-20, 0, 1.41421, -7.55569e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89444e-24, 0, 2.73289e-20, 0, 4.82252e-20, 0, 0
0.04523, 0, 1.58891e-19, 0, 1.41421, -1.58891e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.12767e-24, 0, 5.81512e-20, 0, 1.00733e-19, 0, 0
0.0530928, 0, 3.303e-19, 0, 1.41421, -3.303e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28257e-23, 0, 1.22294e-19, 0, 2.07992e-19, 0, 0
0.0609557, 0, 6.79024e-19, 0, 1.41421, -6.79024e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65519e-23, 0, 2.54312e-19, 0, 4.24685e-19, 0, 0
0.0688185, 0, 1.38101e-18, 0, 1.41421, -1.38101e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43881e-23, 0, 5.2315e-19, 0, 8.57803e-19, 0, 0
