   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_229.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0509043, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0427999, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0346955, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0265911, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0184867, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0103823, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0022779, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00582649, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0139309, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0220353, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0301397, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0382441, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0463485, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0544529, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0625573, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0706616, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.078766, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0868705, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0949749, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.103079, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.111184, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.119288, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.127392, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.135497, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.143601, 0, 7.90547e-29, 0, 1.41421, -7.90547e-29, 0, 0, 0, 0, 0, 0, 0, 0, 2.50201e-31, 0, 0, 3.04574e-34, 1.40949e-34, 7.8804e-29, 0, 0
0.151706, 0, 9.77098e-28, 0, 1.41421, -9.77098e-28, 0, 0, 0, 0, 0, 0, 0, 0, 3.09237e-30, 0, 0, 3.7644e-33, 1.91939e-32, 9.73983e-28, 0, 0
0.15981, 0, 7.57908e-27, 0, 1.41421, -7.57908e-27, 0, 0, 0, 0, 0, 0, 0, 0, 2.39864e-29, 0, 0, 2.91991e-32, 2.36849e-31, 7.55483e-27, 0, 0
0.167914, 0, 4.6911e-26, 0, 1.41421, -4.6911e-26, 0, 0, 0, 0, 0, 0, 0, 0, 1.48463e-28, 0, 0, 1.80727e-31, 1.8522e-30, 4.67605e-26, 0, 0
0.176019, 0, 2.52243e-25, 0, 1.41421, -2.52243e-25, 0, 0, 0, 0, 0, 0, 0, 0, 7.9829e-28, 0, 0, 9.72435e-31, 1.15484e-29, 2.51432e-25, 0, 0
0.184123, 0, 1.22729e-24, 0, 1.41421, -1.22729e-24, 0, 0, 0, 0, 0, 0, 0, 0, 3.88408e-27, 0, 0, 4.73776e-30, 6.24654e-29, 1.22334e-24, 0, 0
0.192228, 0, 5.52873e-24, 0, 1.41421, -5.52873e-24, 0, 0, 0, 0, 0, 0, 0, 0, 1.7497e-26, 0, 0, 2.13823e-29, 3.05399e-28, 5.51091e-24, 0, 0
0.200332, 0, 2.33926e-23, 0, 1.41421, -2.33926e-23, 0, 0, 0, 0, 0, 0, 0, 0, 7.40312e-26, 0, 0, 9.06724e-29, 1.38143e-27, 2.33171e-23, 0, 0
0.208436, 0, 9.38655e-23, 0, 1.41421, -9.38655e-23, 0, 0, 0, 0, 0, 0, 0, 0, 2.97058e-25, 0, 0, 3.64758e-28, 5.86616e-27, 9.35622e-23, 0, 0
0.216541, 0, 3.59675e-22, 0, 1.41421, -3.59675e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.13827e-24, 0, 0, 1.40162e-27, 2.36162e-26, 3.58512e-22, 0, 0
0.224645, 0, 1.32289e-21, 0, 1.41421, -1.32289e-21, 0, 0, 0, 0, 0, 0, 0, 0, 4.18656e-24, 0, 0, 5.17107e-27, 9.07687e-26, 1.31861e-21, 0, 0
0.23275, 0, 4.68905e-21, 0, 1.41421, -4.68905e-21, 0, 0, 0, 0, 0, 0, 0, 0, 1.48394e-23, 0, 0, 1.83902e-26, 3.34815e-25, 4.67386e-21, 0, 0
0.240854, 0, 1.60681e-20, 0, 1.41421, -1.60681e-20, 0, 0, 0, 0, 0, 0, 0, 0, 5.08502e-23, 0, 0, 6.32445e-26, 1.19006e-24, 1.60159e-20, 0, 0
0.248958, 0, 5.33671e-20, 0, 1.41421, -5.33671e-20, 0, 0, 0, 0, 0, 0, 0, 0, 1.68889e-22, 0, 0, 2.10865e-25, 4.08902e-24, 5.31939e-20, 0, 0
0.257063, 0, 1.72161e-19, 0, 1.41421, -1.72161e-19, 0, 0, 0, 0, 0, 0, 0, 0, 5.44831e-22, 0, 0, 6.83058e-25, 1.36172e-23, 1.71602e-19, 0, 0
0.265167, 0, 5.4063e-19, 0, 1.41421, -5.4063e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.71091e-21, 0, 0, 2.15473e-24, 4.40817e-23, 5.38873e-19, 0, 0
0.273272, 0, 1.65423e-18, 0, 1.41421, -1.65423e-18, 0, 0, 0, 0, 0, 0, 0, 0, 5.23504e-21, 0, 0, 6.62496e-24, 1.38831e-22, 1.64884e-18, 0, 0
0.281376, 0, 4.93837e-18, 0, 1.41421, -4.93837e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.56282e-20, 0, 0, 1.98793e-23, 4.26045e-22, 4.9223e-18, 0, 0
0.28948, 0, 1.43994e-17, 0, 1.41421, -1.43994e-17, 0, 0, 0, 0, 0, 0, 0, 0, 4.55688e-20, 0, 0, 5.82816e-23, 1.27567e-21, 1.43525e-17, 0, 0
0.297585, 0, 4.10472e-17, 0, 1.41421, -4.10472e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.29899e-19, 0, 0, 1.67105e-22, 3.73091e-21, 4.09134e-17, 0, 0
0.305689, 0, 1.14487e-16, 0, 1.41421, -1.14487e-16, 0, 0, 0, 0, 0, 0, 0, 0, 3.62306e-19, 0, 0, 4.6896e-22, 1.06686e-20, 1.14114e-16, 0, 0
0.313794, 0, 3.12654e-16, 0, 1.41421, -3.12654e-16, 0, 0, 0, 0, 0, 0, 0, 0, 9.8942e-19, 0, 0, 1.28909e-21, 2.98514e-20, 3.11633e-16, 0, 0
0.321898, 0, 8.36508e-16, 0, 1.41421, -8.36508e-16, 0, 0, 0, 0, 0, 0, 0, 0, 2.64718e-18, 0, 0, 3.47303e-21, 8.17905e-20, 8.33775e-16, 0, 0
0.330002, 0, 2.19386e-15, 0, 1.41421, -2.19386e-15, 0, 0, 0, 0, 0, 0, 0, 0, 6.94251e-18, 0, 0, 9.17596e-21, 2.19581e-19, 2.18669e-15, 0, 0
0.338107, 0, 5.64266e-15, 0, 1.41421, -5.64266e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.78561e-17, 0, 0, 2.37867e-20, 5.77941e-19, 5.6242e-15, 0, 0
0.346211, 0, 1.42391e-14, 0, 1.41421, -1.42391e-14, 0, 0, 0, 0, 0, 0, 0, 0, 4.50584e-17, 0, 0, 6.05275e-20, 1.49207e-18, 1.41925e-14, 0, 0
0.354315, 0, 3.52667e-14, 0, 1.41421, -3.52667e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.11596e-16, 0, 0, 1.51247e-19, 3.78018e-18, 3.51512e-14, 0, 0
0.36242, 0, 8.57594e-14, 0, 1.41421, -8.57594e-14, 0, 0, 0, 0, 0, 0, 0, 0, 2.71364e-16, 0, 0, 3.71286e-19, 9.40228e-18, 8.54783e-14, 0, 0
0.370524, 0, 2.04816e-13, 0, 1.41421, -2.04816e-13, 0, 0, 0, 0, 0, 0, 0, 0, 6.48066e-16, 0, 0, 8.95752e-19, 2.29677e-17, 2.04144e-13, 0, 0
0.378629, 0, 4.80537e-13, 0, 1.41421, -4.80537e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.52043e-15, 0, 0, 2.12463e-18, 5.5121e-17, 4.7896e-13, 0, 0
0.386733, 0, 1.10786e-12, 0, 1.41421, -1.10786e-12, 0, 0, 0, 0, 0, 0, 0, 0, 3.50512e-15, 0, 0, 4.9563e-18, 1.3001e-16, 1.10422e-12, 0, 0
0.394837, 0, 2.51031e-12, 0, 1.41421, -2.51031e-12, 0, 0, 0, 0, 0, 0, 0, 0, 7.94193e-15, 0, 0, 1.13756e-17, 3.01455e-16, 2.50206e-12, 0, 0
0.402942, 0, 5.5917e-12, 5.84341e-43, 1.41421, -5.5917e-12, 5.84341e-43, 0, 5.84341e-43, 5.84341e-43, 5.84341e-43, 5.84341e-43, 5.84341e-43, 5.84341e-43, 1.76897e-14, 5.84341e-43, 5.84341e-43, 2.56985e-17, 6.87353e-16, 5.5733e-12, 5.84341e-43, 5.84341e-43
0.411046, 0, 1.22465e-11, 1.18606e-41, 1.41421, -1.22465e-11, 1.18606e-41, 0, 1.18606e-41, 1.18606e-41, 1.18606e-41, 1.18606e-41, 1.18606e-41, 1.18606e-41, 3.87408e-14, 1.18606e-41, 1.18606e-41, 5.71692e-17, 1.54158e-15, 1.22061e-11, 1.18606e-41, 1.18606e-41
0.419151, 0, 2.63751e-11, 1.95256e-40, 1.41421, -2.63751e-11, 1.95256e-40, 0, 1.95256e-40, 1.95256e-40, 1.95256e-40, 1.95256e-40, 1.95256e-40, 1.95256e-40, 8.34333e-14, 1.95256e-40, 1.95256e-40, 1.25305e-16, 3.40175e-15, 2.62882e-11, 1.95256e-40, 1.95256e-40
0.427255, 0, 5.5868e-11, 2.80594e-39, 1.41421, -5.5868e-11, 2.80594e-39, 0, 2.80594e-39, 2.80594e-39, 2.80594e-39, 2.80594e-39, 2.80594e-39, 2.80594e-39, 1.76727e-13, 2.80594e-39, 2.80594e-39, 2.7077e-16, 7.3878e-15, 5.56836e-11, 2.80594e-39, 2.80594e-39
0.435359, 0, 1.16405e-10, 3.58693e-38, 1.41421, -1.16405e-10, 3.58693e-38, 0, 3.58693e-38, 3.58693e-38, 3.58693e-38, 3.58693e-38, 3.58693e-38, 3.58693e-38, 3.68231e-13, 3.58693e-38, 3.58693e-38, 5.77286e-16, 1.57954e-14, 1.1602e-10, 3.58693e-38, 3.58693e-38
0.443464, 0, 2.38601e-10, 4.11461e-37, 1.41421, -2.38601e-10, 4.11461e-37, 0, 4.11461e-37, 4.11461e-37, 4.11461e-37, 4.11461e-37, 4.11461e-37, 4.11461e-37, 7.54841e-13, 4.11461e-37, 4.11461e-37, 1.21545e-15, 3.32582e-14, 2.37812e-10, 4.11461e-37, 4.11461e-37
0.451568, 0, 4.81194e-10, 4.26239e-36, 1.41421, -4.81194e-10, 4.26239e-36, 0, 4.26239e-36, 4.26239e-36, 4.26239e-36, 4.26239e-36, 4.26239e-36, 4.26239e-36, 1.52254e-12, 4.26239e-36, 4.26239e-36, 2.52998e-15, 6.89908e-14, 4.796e-10, 4.26239e-36, 4.26239e-36
0.459673, 0, 9.54906e-10, 4.01158e-35, 1.41421, -9.54906e-10, 4.01158e-35, 0, 4.01158e-35, 4.01158e-35, 4.01158e-35, 4.01158e-35, 4.01158e-35, 4.01158e-35, 3.02222e-12, 4.01158e-35, 4.01158e-35, 5.21312e-15, 1.41065e-13, 9.51738e-10, 4.01158e-35, 4.01158e-35
0.467777, 0, 1.86484e-09, 3.44927e-34, 1.41421, -1.86484e-09, 3.44927e-34, 0, 3.44927e-34, 3.44927e-34, 3.44927e-34, 3.44927e-34, 3.44927e-34, 3.44927e-34, 5.90459e-12, 3.44927e-34, 3.44927e-34, 1.06494e-14, 2.84476e-13, 1.85864e-09, 3.44927e-34, 3.44927e-34
0.475881, 0, 3.5844e-09, 2.72394e-33, 1.41421, -3.5844e-09, 2.72394e-33, 0, 2.72394e-33, 2.72394e-33, 2.72394e-33, 2.72394e-33, 2.72394e-33, 2.72394e-33, 1.13564e-11, 2.72394e-33, 2.72394e-33, 2.16036e-14, 5.66243e-13, 3.57246e-09, 2.72394e-33, 2.72394e-33
0.483986, 0, 6.78226e-09, 4.22018e-32, 1.41421, -6.78226e-09, 4.22018e-32, 0, 4.22018e-32, 4.22018e-32, 4.22018e-32, 4.22018e-32, 4.22018e-32, 4.22018e-32, 2.15083e-11, 4.22018e-32, 4.22018e-32, 4.3678e-14, 1.11466e-12, 6.75959e-09, 4.22018e-32, 4.22018e-32
0.49209, 0, 1.26319e-08, 2.90929e-31, 1.41421, -1.26319e-08, 2.90929e-31, 0, 2.90929e-31, 2.90929e-31, 2.90929e-31, 2.90929e-31, 2.90929e-31, 2.90929e-31, 4.01099e-11, 2.90929e-31, 2.90929e-31, 8.78311e-14, 2.16844e-12, 1.25895e-08, 2.90929e-31, 2.90929e-31
0.500195, 0, 2.31637e-08, 1.88043e-30, 1.41421, -2.31637e-08, 1.88043e-30, 0, 1.88043e-30, 1.88043e-30, 1.88043e-30, 1.88043e-30, 1.88043e-30, 1.88043e-30, 7.368e-11, 1.88043e-30, 1.88043e-30, 1.76277e-13, 4.17899e-12, 2.30857e-08, 1.88043e-30, 1.88043e-30
0.508299, 0, 4.18268e-08, 1.13803e-29, 1.41421, -4.18268e-08, 1.13803e-29, 0, 1.13803e-29, 1.13803e-29, 1.13803e-29, 1.13803e-29, 1.13803e-29, 1.13803e-29, 1.33355e-10, 1.13803e-29, 1.13803e-29, 3.53541e-13, 7.99274e-12, 4.16851e-08, 1.13803e-29, 1.13803e-29
0.516403, 0, 7.43816e-08, 6.45987e-29, 1.41421, -7.43816e-08, 6.45987e-29, 0, 6.45987e-29, 6.45987e-29, 6.45987e-29, 6.45987e-29, 6.45987e-29, 6.45987e-29, 2.37881e-10, 6.45987e-29, 6.45987e-29, 7.09075e-13, 1.52033e-11, 7.41278e-08, 6.45987e-29, 6.45987e-29
0.524508, 0, 1.30288e-07, 3.44901e-28, 1.41421, -1.30288e-07, 3.44901e-28, 0, 3.44901e-28, 3.44901e-28, 3.44901e-28, 3.44901e-28, 3.44901e-28, 3.44901e-28, 4.18346e-10, 3.44901e-28, 3.44901e-28, 1.42228e-12, 2.88286e-11, 1.2984e-07, 3.44901e-28, 3.44901e-28
0.532612, 0, 2.24827e-07, 1.73771e-27, 1.41421, -2.24827e-07, 1.73771e-27, 0, 1.73771e-27, 1.73771e-27, 1.73771e-27, 1.73771e-27, 1.73771e-27, 1.73771e-27, 7.25598e-10, 1.73771e-27, 1.73771e-27, 2.85144e-12, 5.46299e-11, 2.24044e-07, 1.73771e-27, 1.73771e-27
