   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_577.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.0085311, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000667322, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00719646, 0, 7.37388e-18, 0, 1.41421, -7.37388e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38229e-18, 0, 5.99158e-18, 0, 0
0.0150602, 0, 1.36003e-17, 0, 1.41421, -1.36003e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5906e-18, 0, 1.10097e-17, 0, 0
0.022924, 0, 2.48933e-17, 0, 1.41421, -2.48933e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81928e-18, 0, 2.0074e-17, 0, 0
0.0307878, 0, 4.52252e-17, 0, 1.41421, -4.52252e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.90093e-18, 0, 3.63243e-17, 0, 0
0.0386516, 0, 8.15658e-17, 0, 1.41421, -8.15658e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63243e-17, 0, 6.52415e-17, 0, 0
0.0465153, 0, 1.4606e-16, 0, 1.41421, -1.4606e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97342e-17, 0, 1.16326e-16, 0, 0
0.0543791, 0, 2.59722e-16, 0, 1.41421, -2.59722e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3798e-17, 0, 2.05924e-16, 0, 0
0.0622429, 0, 4.58667e-16, 0, 1.41421, -4.58667e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67006e-17, 0, 3.61966e-16, 0, 0
0.0701067, 0, 8.0454e-16, 0, 1.41421, -8.0454e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72704e-16, 0, 6.31835e-16, 0, 0
0.0779705, 0, 1.40187e-15, 0, 1.41421, -1.40187e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06508e-16, 0, 1.09536e-15, 0, 0
