   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_27.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.244604, 0, 4.87061e-10, 1.55544e-43, 1.41421, -4.87061e-10, 0, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 7.40609e-12, 1.55544e-43, 6.19447e-14, 5.21215e-13, 1.55544e-43, 4.79072e-10, 1.55544e-43, 1.55544e-43
0.252252, 0, 6.83596e-10, 2.16641e-42, 1.41421, -6.83596e-10, 0, 2.16641e-42, 2.16641e-42, 2.16641e-42, 2.16641e-42, 2.16641e-42, 2.16641e-42, 2.16641e-42, 2.16641e-42, 1.04004e-11, 2.16641e-42, 9.12643e-14, 7.71548e-13, 2.16641e-42, 6.72333e-10, 2.16641e-42, 2.16641e-42
0.259899, 0, 9.5483e-10, 2.76995e-41, 1.41421, -9.5483e-10, 0, 2.76995e-41, 2.76995e-41, 2.76995e-41, 2.76995e-41, 2.76995e-41, 2.76995e-41, 2.76995e-41, 2.76995e-41, 1.45366e-11, 2.76995e-41, 1.34284e-13, 1.13839e-12, 2.76995e-41, 9.39021e-10, 2.76995e-41, 2.76995e-41
0.267547, 0, 1.32732e-09, 3.19617e-40, 1.41421, -1.32732e-09, 0, 3.19617e-40, 3.19617e-40, 3.19617e-40, 3.19617e-40, 3.19617e-40, 3.19617e-40, 3.19617e-40, 3.19617e-40, 2.02232e-11, 3.19617e-40, 1.97379e-13, 1.67439e-12, 3.19617e-40, 1.30523e-09, 3.19617e-40, 3.19617e-40
0.275195, 0, 1.83637e-09, 3.33972e-39, 1.41421, -1.83637e-09, 0, 3.33972e-39, 3.33972e-39, 3.33972e-39, 3.33972e-39, 3.33972e-39, 3.33972e-39, 3.33972e-39, 3.33972e-39, 2.80045e-11, 3.33972e-39, 2.89905e-13, 2.45532e-12, 3.33972e-39, 1.80562e-09, 3.33972e-39, 3.33972e-39
0.282842, 0, 2.5287e-09, 3.17149e-38, 1.41421, -2.5287e-09, 0, 3.17149e-38, 3.17149e-38, 3.17149e-38, 3.17149e-38, 3.17149e-38, 3.17149e-38, 3.17149e-38, 3.17149e-38, 3.86028e-11, 3.17149e-38, 4.25597e-13, 3.59005e-12, 3.17149e-38, 2.48608e-09, 3.17149e-38, 3.17149e-38
0.29049, 0, 3.46575e-09, 2.75079e-37, 1.41421, -3.46575e-09, 0, 2.75079e-37, 2.75079e-37, 2.75079e-37, 2.75079e-37, 2.75079e-37, 2.75079e-37, 2.75079e-37, 2.75079e-37, 5.29716e-11, 2.75079e-37, 6.24632e-13, 5.23462e-12, 2.75079e-37, 3.40692e-09, 2.75079e-37, 2.75079e-37
0.298137, 0, 4.72801e-09, 2.18994e-36, 1.41421, -4.72801e-09, 0, 2.18994e-36, 2.18994e-36, 2.18994e-36, 2.18994e-36, 2.18994e-36, 2.18994e-36, 2.18994e-36, 2.18994e-36, 7.23648e-11, 2.18994e-36, 9.1667e-13, 7.61222e-12, 2.18994e-36, 4.64711e-09, 2.18994e-36, 2.18994e-36
0.305785, 0, 6.42025e-09, 1.60734e-35, 1.41421, -6.42025e-09, 0, 1.60734e-35, 1.60734e-35, 1.60734e-35, 1.60734e-35, 1.60734e-35, 1.60734e-35, 1.60734e-35, 1.60734e-35, 9.84222e-11, 1.60734e-35, 1.34529e-12, 1.10414e-11, 1.60734e-35, 6.30944e-09, 1.60734e-35, 1.60734e-35
0.313433, 0, 8.67831e-09, 1.09224e-34, 1.41421, -8.67831e-09, 0, 1.09224e-34, 1.09224e-34, 1.09224e-34, 1.09224e-34, 1.09224e-34, 1.09224e-34, 1.09224e-34, 1.09224e-34, 1.3328e-10, 1.09224e-34, 1.97455e-12, 1.59756e-11, 1.09224e-34, 8.52708e-09, 1.09224e-34, 1.09224e-34
0.32108, 0, 1.16776e-08, 2.31278e-33, 1.41421, -1.16776e-08, 0, 2.31278e-33, 2.31278e-33, 2.31278e-33, 2.31278e-33, 2.31278e-33, 2.31278e-33, 2.31278e-33, 2.31278e-33, 1.79716e-10, 2.31278e-33, 2.90203e-12, 2.30717e-11, 2.31278e-33, 1.1472e-08, 2.31278e-33, 2.31278e-33
0.328728, 0, 1.56425e-08, 1.40348e-32, 1.41421, -1.56425e-08, 0, 1.40348e-32, 1.40348e-32, 1.40348e-32, 1.40348e-32, 1.40348e-32, 1.40348e-32, 1.40348e-32, 1.40348e-32, 2.41298e-10, 1.40348e-32, 4.25991e-12, 3.3223e-11, 1.40348e-32, 1.53637e-08, 1.40348e-32, 1.40348e-32
0.336376, 0, 2.08601e-08, 7.98309e-32, 1.41421, -2.08601e-08, 0, 7.98309e-32, 7.98309e-32, 7.98309e-32, 7.98309e-32, 7.98309e-32, 7.98309e-32, 7.98309e-32, 7.98309e-32, 3.22633e-10, 7.98309e-32, 6.25287e-12, 4.77315e-11, 7.98309e-32, 2.04835e-08, 7.98309e-32, 7.98309e-32
0.344023, 0, 2.76952e-08, 4.25757e-31, 1.41421, -2.76952e-08, 0, 4.25757e-31, 4.25757e-31, 4.25757e-31, 4.25757e-31, 4.25757e-31, 4.25757e-31, 4.25757e-31, 4.25757e-31, 4.29618e-10, 4.25757e-31, 9.17631e-12, 6.84203e-11, 4.25757e-31, 2.7188e-08, 4.25757e-31, 4.25757e-31
0.351671, 0, 3.6609e-08, 2.13428e-30, 1.41421, -3.6609e-08, 0, 2.13428e-30, 2.13428e-30, 2.13428e-30, 2.13428e-30, 2.13428e-30, 2.13428e-30, 2.13428e-30, 2.13428e-30, 5.69777e-10, 2.13428e-30, 1.3461e-11, 9.78543e-11, 2.13428e-30, 3.59279e-08, 2.13428e-30, 2.13428e-30
0.359318, 0, 4.81822e-08, 1.00849e-29, 1.41421, -4.81822e-08, 0, 1.00849e-29, 1.00849e-29, 1.00849e-29, 1.00849e-29, 1.00849e-29, 1.00849e-29, 1.00849e-29, 1.00849e-29, 7.52674e-10, 1.00849e-29, 1.97331e-11, 1.3963e-10, 1.00849e-29, 4.72702e-08, 1.00849e-29, 1.00849e-29
