   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_102.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0715974, 0, 1.30328e-15, 0, 1.41421, -1.30328e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05643e-17, 0, 5.38189e-20, 3.28092e-19, 0, 1.29233e-15, 0, 0, 0
0.0794835, 0, 2.23e-15, 0, 1.41421, -2.23e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80761e-17, 0, 9.38528e-20, 5.74788e-19, 0, 2.21126e-15, 0, 0, 0
0.0873697, 0, 3.79125e-15, 0, 1.41421, -3.79125e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07312e-17, 0, 1.62644e-19, 1.00113e-18, 0, 3.75935e-15, 0, 0, 0
0.0952559, 0, 6.40469e-15, 0, 1.41421, -6.40469e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19148e-17, 0, 2.80119e-19, 1.73374e-18, 0, 6.35076e-15, 0, 0, 0
0.103142, 0, 1.07519e-14, 0, 1.41421, -1.07519e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.71512e-17, 0, 4.79509e-19, 2.98559e-18, 0, 1.06612e-14, 0, 0, 0
0.111028, 0, 1.79377e-14, 0, 1.41421, -1.79377e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45396e-16, 0, 8.15923e-19, 5.11291e-18, 0, 1.77864e-14, 0, 0, 0
0.118914, 0, 2.97421e-14, 0, 1.41421, -2.97421e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41076e-16, 0, 1.38016e-18, 8.7082e-18, 0, 2.94909e-14, 0, 0, 0
0.126801, 0, 4.90142e-14, 0, 1.41421, -4.90142e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97285e-16, 0, 2.32099e-18, 1.47519e-17, 0, 4.85999e-14, 0, 0, 0
0.134687, 0, 8.02862e-14, 0, 1.41421, -8.02862e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.50756e-16, 0, 3.88072e-18, 2.48574e-17, 0, 7.96067e-14, 0, 0, 0
0.142573, 0, 1.30721e-13, 0, 1.41421, -1.30721e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05955e-15, 0, 6.4518e-18, 4.1666e-17, 0, 1.29614e-13, 0, 0, 0
