   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_581.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.000687004, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00717438, 0, 9.6171e-18, 0, 1.41421, -9.6171e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.07303e-20, 0, 0, 0, 2.00267e-18, 0, 7.5537e-18, 0, 0
0.0150358, 0, 1.76088e-17, 0, 1.41421, -1.76088e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10729e-19, 0, 0, 0, 3.72551e-18, 0, 1.37726e-17, 0, 0
0.0228972, 0, 3.20011e-17, 0, 1.41421, -3.20011e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00356e-19, 0, 0, 0, 6.88029e-18, 0, 2.49205e-17, 0, 0
0.0307585, 0, 5.77327e-17, 0, 1.41421, -5.77327e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59829e-19, 0, 0, 0, 1.26169e-17, 0, 4.47559e-17, 0, 0
0.0386199, 0, 1.04557e-16, 0, 1.41421, -1.04557e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.47895e-19, 0, 0, 0, 2.33237e-17, 0, 8.05858e-17, 0, 0
0.0464813, 0, 1.85779e-16, 0, 1.41421, -1.85779e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14562e-18, 0, 0, 0, 4.21398e-17, 0, 1.42494e-16, 0, 0
0.0543427, 0, 3.2786e-16, 0, 1.41421, -3.2786e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0116e-18, 0, 0, 0, 7.56433e-17, 0, 2.50205e-16, 0, 0
0.0622041, 0, 5.7475e-16, 0, 1.41421, -5.7475e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50792e-18, 0, 0, 0, 1.34923e-16, 0, 4.36319e-16, 0, 0
0.0700655, 0, 1.00097e-15, 0, 1.41421, -1.00097e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.07588e-18, 0, 0, 0, 2.39165e-16, 0, 7.55725e-16, 0, 0
0.0779269, 0, 1.73202e-15, 0, 1.41421, -1.73202e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04534e-17, 0, 0, 0, 4.2136e-16, 0, 1.3002e-15, 0, 0
0.0857883, 0, 2.97798e-15, 0, 1.41421, -2.97798e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78661e-17, 0, 0, 0, 7.37909e-16, 0, 2.22221e-15, 0, 0
0.0936497, 0, 5.08825e-15, 0, 1.41421, -5.08825e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03361e-17, 0, 0, 0, 1.28467e-15, 0, 3.77325e-15, 0, 0
0.101511, 0, 8.64033e-15, 0, 1.41421, -8.64033e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11775e-17, 0, 0, 0, 2.22362e-15, 0, 6.36554e-15, 0, 0
0.109372, 0, 1.45829e-14, 0, 1.41421, -1.45829e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.57858e-17, 0, 0, 0, 3.82694e-15, 0, 1.06702e-14, 0, 0
0.117234, 0, 2.44649e-14, 0, 1.41421, -2.44649e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42888e-16, 0, 0, 0, 6.54943e-15, 0, 1.77726e-14, 0, 0
0.125095, 0, 4.08004e-14, 0, 1.41421, -4.08004e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36508e-16, 0, 0, 0, 1.11468e-14, 0, 2.94171e-14, 0, 0
0.132957, 0, 6.76453e-14, 0, 1.41421, -6.76453e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89033e-16, 0, 0, 0, 1.88681e-14, 0, 4.83882e-14, 0, 0
0.140818, 0, 1.11505e-13, 0, 1.41421, -1.11505e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35976e-16, 0, 0, 0, 3.17665e-14, 0, 7.91027e-14, 0, 0
0.148679, 0, 1.82754e-13, 0, 1.41421, -1.82754e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03331e-15, 0, 0, 0, 5.31993e-14, 0, 1.28521e-13, 0, 0
0.156541, 0, 2.97845e-13, 0, 1.41421, -2.97845e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66867e-15, 0, 0, 0, 8.8632e-14, 0, 2.07544e-13, 0, 0
0.164402, 0, 4.82716e-13, 0, 1.41421, -4.82716e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67843e-15, 0, 0, 0, 1.46907e-13, 0, 3.33131e-13, 0, 0
