   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_133.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.123419, 0, 1.45566e-13, 0, 1.41421, -1.45566e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.81672e-16, 0, 0, 5.01981e-18, 7.31051e-17, 0, 1.44807e-13, 0, 0
0.131283, 0, 2.32505e-13, 0, 1.41421, -2.32505e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08879e-15, 0, 0, 8.17987e-18, 1.20488e-16, 0, 2.31288e-13, 0, 0
0.139147, 0, 3.69293e-13, 0, 1.41421, -3.69293e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72935e-15, 0, 0, 1.32605e-17, 1.97645e-16, 0, 3.67353e-13, 0, 0
0.147011, 0, 5.83301e-13, 0, 1.41421, -5.83301e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73152e-15, 0, 0, 2.13876e-17, 3.22693e-16, 0, 5.80225e-13, 0, 0
0.154875, 0, 9.16243e-13, 0, 1.41421, -9.16243e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29066e-15, 0, 0, 3.43233e-17, 5.24417e-16, 0, 9.11393e-13, 0, 0
0.162739, 0, 1.43132e-12, 0, 1.41421, -1.43132e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.7028e-15, 0, 0, 5.4812e-17, 8.4835e-16, 0, 1.42371e-12, 0, 0
0.170603, 0, 2.22374e-12, 0, 1.41421, -2.22374e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04139e-14, 0, 0, 8.71118e-17, 1.3662e-15, 0, 2.21188e-12, 0, 0
0.178467, 0, 3.43609e-12, 0, 1.41421, -3.43609e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60919e-14, 0, 0, 1.37795e-16, 2.1904e-15, 0, 3.41767e-12, 0, 0
0.186331, 0, 5.28065e-12, 0, 1.41421, -5.28065e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47315e-14, 0, 0, 2.16966e-16, 3.49648e-15, 0, 5.25221e-12, 0, 0
0.194195, 0, 8.07168e-12, 0, 1.41421, -8.07168e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78055e-14, 0, 0, 3.40106e-16, 5.5574e-15, 0, 8.02798e-12, 0, 0
0.202058, 0, 1.22717e-11, 0, 1.41421, -1.22717e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.74817e-14, 0, 0, 5.30835e-16, 8.79584e-15, 0, 1.22048e-11, 0, 0
0.209922, 0, 1.85572e-11, 0, 1.41421, -1.85572e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.69332e-14, 0, 0, 8.25083e-16, 1.38639e-14, 0, 1.84556e-11, 0, 0
0.217786, 0, 2.79129e-11, 0, 1.41421, -2.79129e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30778e-13, 0, 0, 1.27735e-15, 2.17638e-14, 0, 2.7759e-11, 0, 0
0.22565, 0, 4.17623e-11, 0, 1.41421, -4.17623e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95699e-13, 0, 0, 1.97006e-15, 3.40306e-14, 0, 4.15306e-11, 0, 0
0.233514, 0, 6.21529e-11, 0, 1.41421, -6.21529e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91311e-13, 0, 0, 3.02762e-15, 5.30069e-14, 0, 6.18055e-11, 0, 0
0.241378, 0, 9.20117e-11, 0, 1.41421, -9.20117e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31371e-13, 0, 0, 4.63749e-15, 8.2257e-14, 0, 9.14934e-11, 0, 0
0.249242, 0, 1.355e-10, 0, 1.41421, -1.355e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35451e-13, 0, 0, 7.08169e-15, 1.27187e-13, 0, 1.3473e-10, 0, 0
0.257106, 0, 1.98497e-10, 1.12104e-44, 1.41421, -1.98497e-10, 1.12104e-44, 0, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 9.31245e-13, 1.12104e-44, 1.12104e-44, 1.07842e-14, 1.95976e-13, 1.12104e-44, 1.97359e-10, 1.12104e-44, 1.12104e-44
0.26497, 0, 2.89268e-10, 1.91978e-43, 1.41421, -2.89268e-10, 1.91978e-43, 0, 1.91978e-43, 1.91978e-43, 1.91978e-43, 1.91978e-43, 1.91978e-43, 1.91978e-43, 1.91978e-43, 1.91978e-43, 1.91978e-43, 1.35771e-12, 1.91978e-43, 1.91978e-43, 1.63819e-14, 3.00957e-13, 1.91978e-43, 2.87593e-10, 1.91978e-43, 1.91978e-43
0.272834, 0, 4.19356e-10, 2.8012e-42, 1.41421, -4.19356e-10, 2.8012e-42, 0, 2.8012e-42, 2.8012e-42, 2.8012e-42, 2.8012e-42, 2.8012e-42, 2.8012e-42, 2.8012e-42, 2.8012e-42, 2.8012e-42, 1.96937e-12, 2.8012e-42, 2.8012e-42, 2.48316e-14, 4.60695e-13, 2.8012e-42, 4.16901e-10, 2.8012e-42, 2.8012e-42
0.280697, 0, 6.04801e-10, 3.75324e-41, 1.41421, -6.04801e-10, 3.75324e-41, 0, 3.75324e-41, 3.75324e-41, 3.75324e-41, 3.75324e-41, 3.75324e-41, 3.75324e-41, 3.75324e-41, 3.75324e-41, 3.75324e-41, 2.8421e-12, 3.75324e-41, 3.75324e-41, 3.75713e-14, 7.03062e-13, 3.75324e-41, 6.01218e-10, 3.75324e-41, 3.75324e-41
0.288561, 0, 8.67751e-10, 4.51242e-40, 1.41421, -8.67751e-10, 4.51242e-40, 0, 4.51242e-40, 4.51242e-40, 4.51242e-40, 4.51242e-40, 4.51242e-40, 4.51242e-40, 4.51242e-40, 4.51242e-40, 4.51242e-40, 4.0809e-12, 4.51242e-40, 4.51242e-40, 5.67622e-14, 1.06982e-12, 4.51242e-40, 8.62544e-10, 4.51242e-40, 4.51242e-40
0.296425, 0, 1.23863e-09, 4.88762e-39, 1.41421, -1.23863e-09, 4.88762e-39, 0, 4.88762e-39, 4.88762e-39, 4.88762e-39, 4.88762e-39, 4.88762e-39, 4.88762e-39, 4.88762e-39, 4.88762e-39, 4.88762e-39, 5.83036e-12, 4.88762e-39, 4.88762e-39, 8.56566e-14, 1.62342e-12, 4.88762e-39, 1.23109e-09, 4.88762e-39, 4.88762e-39
0.304289, 0, 1.75898e-09, 4.78954e-38, 1.41421, -1.75898e-09, 4.78954e-38, 0, 4.78954e-38, 4.78954e-38, 4.78954e-38, 4.78954e-38, 4.78954e-38, 4.78954e-38, 4.78954e-38, 4.78954e-38, 4.78954e-38, 8.28849e-12, 4.78954e-38, 4.78954e-38, 1.29152e-13, 2.45711e-12, 4.78954e-38, 1.74811e-09, 4.78954e-38, 4.78954e-38
0.312153, 0, 2.48522e-09, 4.26855e-37, 1.41421, -2.48522e-09, 4.26855e-37, 0, 4.26855e-37, 4.26855e-37, 4.26855e-37, 4.26855e-37, 4.26855e-37, 4.26855e-37, 4.26855e-37, 4.26855e-37, 4.26855e-37, 1.17251e-11, 4.26855e-37, 4.26855e-37, 1.94629e-13, 3.70983e-12, 4.26855e-37, 2.46959e-09, 4.26855e-37, 4.26855e-37
0.320017, 0, 3.4935e-09, 3.478e-36, 1.41421, -3.4935e-09, 3.478e-36, 0, 3.478e-36, 3.478e-36, 3.478e-36, 3.478e-36, 3.478e-36, 3.478e-36, 3.478e-36, 3.478e-36, 3.478e-36, 1.65058e-11, 3.478e-36, 3.478e-36, 2.93221e-13, 5.58835e-12, 3.478e-36, 3.47111e-09, 3.478e-36, 3.478e-36
0.327881, 0, 4.88608e-09, 2.60363e-35, 1.41421, -4.88608e-09, 2.60363e-35, 0, 2.60363e-35, 2.60363e-35, 2.60363e-35, 2.60363e-35, 2.60363e-35, 2.60363e-35, 2.60363e-35, 2.60363e-35, 2.60363e-35, 2.31238e-11, 2.60363e-35, 2.60363e-35, 4.41733e-13, 8.39982e-12, 2.60363e-35, 4.85412e-09, 2.60363e-35, 2.60363e-35
0.335745, 0, 6.7995e-09, 1.79534e-34, 1.41421, -6.7995e-09, 1.79534e-34, 0, 1.79534e-34, 1.79534e-34, 1.79534e-34, 1.79534e-34, 1.79534e-34, 1.79534e-34, 1.79534e-34, 1.79534e-34, 1.79534e-34, 3.22409e-11, 1.79534e-34, 1.79534e-34, 6.6554e-13, 1.25998e-11, 1.79534e-34, 6.75399e-09, 1.79534e-34, 1.79534e-34
0.343609, 0, 9.41503e-09, 1.21371e-33, 1.41421, -9.41503e-09, 1.21371e-33, 0, 1.21371e-33, 1.21371e-33, 1.21371e-33, 1.21371e-33, 1.21371e-33, 1.21371e-33, 1.21371e-33, 1.21371e-33, 1.21371e-33, 4.47413e-11, 1.21371e-33, 1.21371e-33, 1.00296e-12, 1.8863e-11, 1.21371e-33, 9.35042e-09, 1.21371e-33, 1.21371e-33
0.351473, 0, 1.2972e-08, 7.91668e-33, 1.41421, -1.2972e-08, 7.91668e-33, 0, 7.91668e-33, 7.91668e-33, 7.91668e-33, 7.91668e-33, 7.91668e-33, 7.91668e-33, 7.91668e-33, 7.91668e-33, 7.91668e-33, 6.17999e-11, 7.91668e-33, 7.91668e-33, 1.51183e-12, 2.81864e-11, 7.91668e-33, 1.28805e-08, 7.91668e-33, 7.91668e-33
0.359336, 0, 1.77848e-08, 4.84642e-32, 1.41421, -1.77848e-08, 4.84642e-32, 0, 4.84642e-32, 4.84642e-32, 4.84642e-32, 4.84642e-32, 4.84642e-32, 4.84642e-32, 4.84642e-32, 4.84642e-32, 4.84642e-32, 8.49717e-11, 4.84642e-32, 4.84642e-32, 2.27937e-12, 4.20409e-11, 4.84642e-32, 1.76556e-08, 4.84642e-32, 4.84642e-32
0.3672, 0, 2.4264e-08, 2.77143e-31, 1.41421, -2.4264e-08, 2.77143e-31, 0, 2.77143e-31, 2.77143e-31, 2.77143e-31, 2.77143e-31, 2.77143e-31, 2.77143e-31, 2.77143e-31, 2.77143e-31, 2.77143e-31, 1.16305e-10, 2.77143e-31, 2.77143e-31, 3.43698e-12, 6.25914e-11, 2.77143e-31, 2.40817e-08, 2.77143e-31, 2.77143e-31
0.375064, 0, 3.29428e-08, 1.4824e-30, 1.41421, -3.29428e-08, 1.4824e-30, 0, 1.4824e-30, 1.4824e-30, 1.4824e-30, 1.4824e-30, 1.4824e-30, 1.4824e-30, 1.4824e-30, 1.4824e-30, 1.4824e-30, 1.58485e-10, 1.4824e-30, 1.4824e-30, 5.18215e-12, 9.30156e-11, 1.4824e-30, 3.26861e-08, 1.4824e-30, 1.4824e-30
0.382928, 0, 4.45102e-08, 7.43797e-30, 1.41421, -4.45102e-08, 7.43797e-30, 0, 7.43797e-30, 7.43797e-30, 7.43797e-30, 7.43797e-30, 7.43797e-30, 7.43797e-30, 7.43797e-30, 7.43797e-30, 7.43797e-30, 2.15021e-10, 7.43797e-30, 7.43797e-30, 7.81113e-12, 1.37966e-10, 7.43797e-30, 4.41494e-08, 7.43797e-30, 7.43797e-30
0.390792, 0, 5.98522e-08, 3.51191e-29, 1.41421, -5.98522e-08, 3.51191e-29, 0, 3.51191e-29, 3.51191e-29, 3.51191e-29, 3.51191e-29, 3.51191e-29, 3.51191e-29, 3.51191e-29, 3.51191e-29, 3.51191e-29, 2.90473e-10, 3.51191e-29, 3.51191e-29, 1.1767e-11, 2.04234e-10, 3.51191e-29, 5.93457e-08, 3.51191e-29, 3.51191e-29
0.398656, 0, 8.01009e-08, 1.56528e-28, 1.41421, -8.01009e-08, 1.56528e-28, 0, 1.56528e-28, 1.56528e-28, 1.56528e-28, 1.56528e-28, 1.56528e-28, 1.56528e-28, 1.56528e-28, 1.56528e-28, 1.56528e-28, 3.90749e-10, 1.56528e-28, 1.56528e-28, 1.77102e-11, 3.01691e-10, 1.56528e-28, 7.93907e-08, 1.56528e-28, 1.56528e-28
0.40652, 0, 1.06697e-07, 6.60542e-28, 1.41421, -1.06697e-07, 6.60542e-28, 0, 6.60542e-28, 6.60542e-28, 6.60542e-28, 6.60542e-28, 6.60542e-28, 6.60542e-28, 6.60542e-28, 6.60542e-28, 6.60542e-28, 5.23469e-10, 6.60542e-28, 6.60542e-28, 2.66214e-11, 4.44641e-10, 6.60542e-28, 1.05702e-07, 6.60542e-28, 6.60542e-28
0.414384, 0, 1.41462e-07, 2.64671e-27, 1.41421, -1.41462e-07, 2.64671e-27, 0, 2.64671e-27, 2.64671e-27, 2.64671e-27, 2.64671e-27, 2.64671e-27, 2.64671e-27, 2.64671e-27, 2.64671e-27, 2.64671e-27, 6.98424e-10, 2.64671e-27, 2.64671e-27, 3.99512e-11, 6.53709e-10, 2.64671e-27, 1.4007e-07, 2.64671e-27, 2.64671e-27
0.422248, 0, 1.86693e-07, 1.00964e-26, 1.41421, -1.86693e-07, 1.00964e-26, 0, 1.00964e-26, 1.00964e-26, 1.00964e-26, 1.00964e-26, 1.00964e-26, 1.00964e-26, 1.00964e-26, 1.00964e-26, 1.00964e-26, 9.28141e-10, 1.00964e-26, 1.00964e-26, 5.98343e-11, 9.58503e-10, 1.00964e-26, 1.84746e-07, 1.00964e-26, 1.00964e-26
0.430112, 0, 2.45263e-07, 3.67607e-26, 1.41421, -2.45263e-07, 3.67607e-26, 0, 3.67607e-26, 3.67607e-26, 3.67607e-26, 3.67607e-26, 3.67607e-26, 3.67607e-26, 1.80471e-13, 3.67607e-26, 3.67607e-26, 1.22859e-09, 3.67607e-26, 3.67607e-26, 8.93982e-11, 1.40131e-09, 3.67607e-26, 2.42543e-07, 3.67607e-26, 3.67607e-26
0.437975, 0, 3.20756e-07, 1.28056e-25, 1.41421, -3.20756e-07, 1.28056e-25, 0, 1.28056e-25, 1.28056e-25, 1.28056e-25, 1.28056e-25, 1.28056e-25, 1.28056e-25, 5.52869e-13, 1.28056e-25, 1.28056e-25, 1.62006e-09, 1.28056e-25, 1.28056e-25, 1.332e-10, 2.04217e-09, 1.28056e-25, 3.1696e-07, 1.28056e-25, 1.28056e-25
0.445839, 0, 4.19804e-07, 4.3321e-25, 1.41421, -4.19804e-07, 5.9998e-12, 0, 1.71009e-14, 1.02988e-13, 1.77246e-13, 2.78764e-13, 3.45068e-11, 5.24581e-13, 9.34388e-12, 9.94133e-12, 2.04534e-09, 2.12824e-09, 4.32938e-13, 4.72625e-14, 1.97843e-10, 2.9659e-09, 1.55782e-15, 4.12386e-07, 4.3321e-25, 1.97086e-11
0.453703, 0, 5.48964e-07, 9.52231e-10, 1.41421, -5.48964e-07, 9.70549e-10, 9.52231e-10, 9.52283e-10, 9.52545e-10, 9.52772e-10, 9.53082e-10, 1.05758e-09, 9.53832e-10, 9.79573e-10, 9.82583e-10, 7.19693e-09, 3.7377e-09, 9.53553e-10, 9.52375e-10, 1.24509e-09, 5.24375e-09, 9.52236e-10, 5.35103e-07, 9.52231e-10, 1.0124e-09
0.461567, 0, 7.1729e-07, 2.89673e-09, 1.41421, -7.1729e-07, 2.93989e-09, 2.89673e-09, 2.89686e-09, 2.89748e-09, 2.89801e-09, 2.89874e-09, 3.14496e-09, 2.90051e-09, 2.96028e-09, 2.96825e-09, 1.76096e-08, 6.52905e-09, 2.89985e-09, 2.89707e-09, 3.32863e-09, 9.08165e-09, 2.89675e-09, 6.91748e-07, 2.89673e-09, 3.03851e-09
0.469431, 0, 9.38454e-07, 6.80089e-09, 1.41421, -9.38454e-07, 6.89329e-09, 6.80089e-09, 6.80115e-09, 6.80247e-09, 6.80362e-09, 6.80518e-09, 7.33234e-09, 6.80897e-09, 6.93601e-09, 6.954e-09, 3.83019e-08, 1.15204e-08, 6.80755e-09, 6.80161e-09, 7.43526e-09, 1.56767e-08, 6.80091e-09, 8.91484e-07, 6.80089e-09, 7.10443e-09
0.477295, 0, 1.23414e-06, 1.4972e-08, 1.41421, -1.23414e-06, 1.51634e-08, 1.4972e-08, 1.49725e-08, 1.49753e-08, 1.49777e-08, 1.49809e-08, 1.60729e-08, 1.49887e-08, 1.52504e-08, 1.52892e-08, 8.0228e-08, 2.10823e-08, 1.49858e-08, 1.49735e-08, 1.58999e-08, 2.76547e-08, 1.49721e-08, 1.14659e-06, 1.4972e-08, 1.56008e-08
0.485159, 0, 1.63209e-06, 3.00085e-08, 1.41421, -1.63209e-06, 3.03841e-08, 3.00085e-08, 3.00096e-08, 3.00149e-08, 3.00196e-08, 3.00259e-08, 3.2169e-08, 3.00413e-08, 3.06197e-08, 3.06309e-08, 1.58069e-07, 3.78914e-08, 3.00356e-08, 3.00115e-08, 3.13594e-08, 4.80563e-08, 3.00086e-08, 1.47164e-06, 3.00085e-08, 3.12425e-08
0.493023, 0, 2.18276e-06, 5.88239e-08, 1.41421, -2.18276e-06, 5.95473e-08, 5.88239e-08, 5.8826e-08, 5.88363e-08, 5.88453e-08, 5.88575e-08, 6.29842e-08, 5.88872e-08, 6.00759e-08, 6.00225e-08, 3.05421e-07, 6.89581e-08, 5.88761e-08, 5.88296e-08, 6.07815e-08, 8.43686e-08, 5.88241e-08, 1.88862e-06, 5.88239e-08, 6.12001e-08
0.500887, 0, 2.966e-06, 1.13163e-07, 1.41421, -2.966e-06, 1.14532e-07, 1.13163e-07, 1.13167e-07, 1.13187e-07, 1.13204e-07, 1.13227e-07, 1.21037e-07, 1.13283e-07, 1.16464e-07, 1.15432e-07, 5.79902e-07, 1.26146e-07, 1.13262e-07, 1.13174e-07, 1.15986e-07, 1.49136e-07, 1.13163e-07, 2.42781e-06, 1.13163e-07, 1.17661e-07
0.508751, 0, 4.11124e-06, 2.14002e-07, 1.41421, -4.11124e-06, 2.16552e-07, 2.14002e-07, 2.1401e-07, 2.14046e-07, 2.14078e-07, 2.14121e-07, 2.28664e-07, 2.14225e-07, 2.21316e-07, 2.18226e-07, 1.08307e-06, 2.30578e-07, 2.14186e-07, 2.14022e-07, 2.18054e-07, 2.64399e-07, 2.14003e-07, 3.13334e-06, 2.14002e-07, 2.22377e-07
0.516614, 0, 5.83197e-06, 3.98141e-07, 1.41421, -5.83197e-06, 4.02813e-07, 3.98141e-07, 3.98155e-07, 3.98221e-07, 3.98279e-07, 3.98358e-07, 4.25011e-07, 3.9855e-07, 4.13197e-07, 4.05882e-07, 1.99077e-06, 4.1923e-07, 3.98478e-07, 3.98178e-07, 4.03927e-07, 4.68372e-07, 3.98142e-07, 4.07131e-06, 3.98141e-07, 4.13488e-07
0.524478, 0, 8.47897e-06, 7.29041e-07, 1.41421, -8.47897e-06, 7.37469e-07, 7.29041e-07, 7.29065e-07, 7.29186e-07, 7.2929e-07, 7.29432e-07, 7.77515e-07, 7.29778e-07, 7.58791e-07, 7.43006e-07, 3.60227e-06, 7.55782e-07, 7.29649e-07, 7.29107e-07, 7.3726e-07, 8.26388e-07, 7.29043e-07, 5.3429e-06, 7.29041e-07, 7.56727e-07
0.532342, 0, 1.26241e-05, 1.3142e-06, 1.41421, -1.26241e-05, 1.32917e-06, 1.3142e-06, 1.31424e-06, 1.31446e-06, 1.31464e-06, 1.3149e-06, 1.4003e-06, 1.31551e-06, 1.3707e-06, 1.33901e-06, 6.41789e-06, 1.34799e-06, 1.31528e-06, 1.31432e-06, 1.32582e-06, 1.44841e-06, 1.3142e-06, 7.10524e-06, 1.3142e-06, 1.36338e-06
0.540206, 0, 1.91927e-05, 2.33252e-06, 1.41421, -1.91927e-05, 2.35871e-06, 2.33252e-06, 2.3326e-06, 2.33297e-06, 2.3333e-06, 2.33374e-06, 2.48313e-06, 2.33481e-06, 2.43847e-06, 2.37591e-06, 1.12594e-05, 2.37509e-06, 2.33441e-06, 2.33273e-06, 2.34886e-06, 2.51657e-06, 2.33253e-06, 9.60387e-06, 2.33252e-06, 2.41854e-06
0.54807, 0, 2.9662e-05, 4.07653e-06, 1.41421, -2.9662e-05, 4.12164e-06, 4.07653e-06, 4.07666e-06, 4.07731e-06, 4.07786e-06, 4.07863e-06, 4.33595e-06, 4.08047e-06, 4.27272e-06, 4.15127e-06, 1.94529e-05, 4.12997e-06, 4.07979e-06, 4.07689e-06, 4.09938e-06, 4.32759e-06, 4.07654e-06, 1.32228e-05, 4.07653e-06, 4.2247e-06
0.555934, 0, 4.63563e-05, 7.01592e-06, 1.41421, -4.63563e-05, 7.09244e-06, 7.01592e-06, 7.01614e-06, 7.01724e-06, 7.01819e-06, 7.01948e-06, 7.45599e-06, 7.02261e-06, 7.37462e-06, 7.14271e-06, 3.31001e-05, 7.0828e-06, 7.02145e-06, 7.01653e-06, 7.04773e-06, 7.35666e-06, 7.01594e-06, 1.85591e-05, 7.01592e-06, 7.26727e-06
0.563798, 0, 7.28805e-05, 1.18916e-05, 1.41421, -7.28805e-05, 1.20194e-05, 1.18916e-05, 1.18919e-05, 1.18938e-05, 1.18954e-05, 1.18975e-05, 1.26268e-05, 1.19028e-05, 1.2539e-05, 1.21034e-05, 5.54724e-05, 1.1975e-05, 1.19008e-05, 1.18926e-05, 1.19356e-05, 1.23518e-05, 1.18916e-05, 2.6536e-05, 1.18916e-05, 1.23115e-05
0.571662, 0, 0.000114729, 1.98509e-05, 1.41421, -0.000114729, 2.00613e-05, 1.98509e-05, 1.98515e-05, 1.98545e-05, 1.98571e-05, 1.98607e-05, 2.10609e-05, 1.98693e-05, 2.10044e-05, 2.01995e-05, 9.15707e-05, 1.99547e-05, 1.98661e-05, 1.98526e-05, 1.99117e-05, 2.04695e-05, 1.9851e-05, 3.85575e-05, 1.98509e-05, 2.0542e-05
0.579526, 0, 0.000180143, 3.26385e-05, 1.41421, -0.000180143, 3.29795e-05, 3.26385e-05, 3.26394e-05, 3.26443e-05, 3.26485e-05, 3.26543e-05, 3.45999e-05, 3.26683e-05, 3.46669e-05, 3.32036e-05, 0.000148898, 3.27673e-05, 3.26631e-05, 3.26412e-05, 3.27218e-05, 3.34665e-05, 3.26386e-05, 5.6737e-05, 3.26385e-05, 3.37587e-05
0.58739, 0, 0.000281267, 5.28587e-05, 1.41421, -0.000281267, 5.34032e-05, 5.28587e-05, 5.28602e-05, 5.2868e-05, 5.28747e-05, 5.2884e-05, 5.59908e-05, 5.29063e-05, 5.63787e-05, 5.3761e-05, 0.00023851, 5.3018e-05, 5.2898e-05, 5.28629e-05, 5.29725e-05, 5.39626e-05, 5.28588e-05, 8.42068e-05, 5.28587e-05, 5.46476e-05
0.595254, 0, 0.000435684, 8.43268e-05, 1.41421, -0.000435684, 8.51835e-05, 8.43268e-05, 8.43292e-05, 8.43415e-05, 8.43521e-05, 8.43666e-05, 8.92541e-05, 8.44017e-05, 9.03543e-05, 8.57463e-05, 0.000376388, 8.45235e-05, 8.43886e-05, 8.43335e-05, 8.44817e-05, 8.57933e-05, 8.4327e-05, 0.000125533, 8.43268e-05, 8.71411e-05
0.603117, 0, 0.000668391, 0.000132527, 1.41421, -0.000668391, 0.000133855, 0.000132527, 0.000132531, 0.00013255, 0.000132566, 0.000132589, 0.000140164, 0.000132643, 0.00014271, 0.000134727, 0.000585201, 0.00013277, 0.000132623, 0.000132538, 0.000132737, 0.000134469, 0.000132528, 0.000187263, 0.000132527, 0.000136889
