   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_133.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00240306, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00546084, 0, 6.39618e-17, 0, 1.41421, -6.39618e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99572e-19, 0, 0, 1.69383e-21, 2.17928e-20, 0, 6.36387e-17, 0, 0
0.0133247, 0, 1.11851e-16, 0, 1.41421, -1.11851e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2386e-19, 0, 0, 3.00983e-21, 3.89523e-20, 0, 1.11285e-16, 0, 0
0.0211886, 0, 1.94309e-16, 0, 1.41421, -1.94309e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.1005e-19, 0, 0, 5.3141e-21, 6.9197e-20, 0, 1.93324e-16, 0, 0
0.0290525, 0, 3.35372e-16, 0, 1.41421, -3.35372e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57071e-18, 0, 0, 9.3236e-21, 1.22189e-19, 0, 3.3367e-16, 0, 0
0.0369165, 0, 5.75156e-16, 0, 1.41421, -5.75156e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69371e-18, 0, 0, 1.62574e-20, 2.14498e-19, 0, 5.72231e-16, 0, 0
0.0447804, 0, 9.80189e-16, 0, 1.41421, -9.80189e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59061e-18, 0, 0, 2.81756e-20, 3.74382e-19, 0, 9.75196e-16, 0, 0
0.0526443, 0, 1.6601e-15, 0, 1.41421, -1.6601e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.77485e-18, 0, 0, 4.85393e-20, 6.4976e-19, 0, 1.65163e-15, 0, 0
0.0605082, 0, 2.79445e-15, 0, 1.41421, -2.79445e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30873e-17, 0, 0, 8.31281e-20, 1.12146e-18, 0, 2.78016e-15, 0, 0
0.0683721, 0, 4.6755e-15, 0, 1.41421, -4.6755e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18965e-17, 0, 0, 1.41538e-19, 1.92508e-18, 0, 4.65153e-15, 0, 0
0.076236, 0, 7.77596e-15, 0, 1.41421, -7.77596e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64163e-17, 0, 0, 2.39608e-19, 3.28691e-18, 0, 7.73602e-15, 0, 0
0.0840999, 0, 1.2856e-14, 0, 1.41421, -1.2856e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02063e-17, 0, 0, 4.03331e-19, 5.58264e-18, 0, 1.27898e-14, 0, 0
0.0919638, 0, 2.11304e-14, 0, 1.41421, -2.11304e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.89554e-17, 0, 0, 6.75145e-19, 9.43278e-18, 0, 2.10214e-14, 0, 0
0.0998277, 0, 3.45289e-14, 0, 1.41421, -3.45289e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.617e-16, 0, 0, 1.12392e-18, 1.5857e-17, 0, 3.43503e-14, 0, 0
0.107692, 0, 5.60989e-14, 0, 1.41421, -5.60989e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6271e-16, 0, 0, 1.86084e-18, 2.65224e-17, 0, 5.58078e-14, 0, 0
0.115555, 0, 9.06234e-14, 0, 1.41421, -9.06234e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24383e-16, 0, 0, 3.06444e-18, 4.41414e-17, 0, 9.01518e-14, 0, 0
