   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0685948, 0, 1.41142e-15, 0, 1.41421, -1.41142e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93709e-18, 0, 0, 3.98219e-20, 0, 2.40775e-18, 0, 1.40504e-15, 0, 0
0.0764935, 0, 2.56277e-15, 0, 1.41421, -2.56277e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14842e-18, 0, 0, 7.36546e-20, 0, 4.47016e-18, 0, 2.55107e-15, 0, 0
0.0843923, 0, 4.61711e-15, 0, 1.41421, -4.61711e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28782e-17, 0, 0, 1.35197e-19, 0, 8.23881e-18, 0, 4.59586e-15, 0, 0
0.092291, 0, 8.25454e-15, 0, 1.41421, -8.25454e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30228e-17, 0, 0, 2.46307e-19, 0, 1.50765e-17, 0, 8.21619e-15, 0, 0
0.10019, 0, 1.4646e-14, 0, 1.41421, -1.4646e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08475e-17, 0, 0, 4.45431e-19, 0, 2.7396e-17, 0, 1.45774e-14, 0, 0
0.108088, 0, 2.57928e-14, 0, 1.41421, -2.57928e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19322e-17, 0, 0, 7.99699e-19, 0, 4.94408e-17, 0, 2.56707e-14, 0, 0
0.115987, 0, 4.50886e-14, 0, 1.41421, -4.50886e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25739e-16, 0, 0, 1.42547e-18, 0, 8.86227e-17, 0, 4.48729e-14, 0, 0
0.123886, 0, 7.82463e-14, 0, 1.41421, -7.82463e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18194e-16, 0, 0, 2.52301e-18, 0, 1.57804e-16, 0, 7.78678e-14, 0, 0
0.131785, 0, 1.3481e-13, 0, 1.41421, -1.3481e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75905e-16, 0, 0, 4.43463e-18, 0, 2.79159e-16, 0, 1.3415e-13, 0, 0
0.139683, 0, 2.30609e-13, 0, 1.41421, -2.30609e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.42998e-16, 0, 0, 7.7414e-18, 0, 4.90676e-16, 0, 2.29467e-13, 0, 0
0.147582, 0, 3.91702e-13, 0, 1.41421, -3.91702e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09211e-15, 0, 0, 1.34228e-17, 0, 8.57015e-16, 0, 3.8974e-13, 0, 0
0.155481, 0, 6.6068e-13, 0, 1.41421, -6.6068e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84195e-15, 0, 0, 2.3119e-17, 0, 1.48756e-15, 0, 6.57327e-13, 0, 0
0.16338, 0, 1.10665e-12, 0, 1.41421, -1.10665e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08514e-15, 0, 0, 3.95585e-17, 0, 2.56624e-15, 0, 1.10095e-12, 0, 0
0.171278, 0, 1.84091e-12, 0, 1.41421, -1.84091e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1319e-15, 0, 0, 6.72504e-17, 0, 4.40041e-15, 0, 1.83131e-12, 0, 0
0.179177, 0, 3.0415e-12, 0, 1.41421, -3.0415e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.47844e-15, 0, 0, 1.13601e-16, 0, 7.50105e-15, 0, 3.02541e-12, 0, 0
0.187076, 0, 4.99111e-12, 0, 1.41421, -4.99111e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39127e-14, 0, 0, 1.90695e-16, 0, 1.27122e-14, 0, 4.96429e-12, 0, 0
0.194975, 0, 8.13545e-12, 0, 1.41421, -8.13545e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26771e-14, 0, 0, 3.18144e-16, 0, 2.14201e-14, 0, 8.09104e-12, 0, 0
0.202873, 0, 1.31723e-11, 0, 1.41421, -1.31723e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67168e-14, 0, 0, 5.27571e-16, 0, 3.58898e-14, 0, 1.30992e-11, 0, 0
0.210772, 0, 2.11862e-11, 0, 1.41421, -2.11862e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90561e-14, 0, 0, 8.69695e-16, 0, 5.98011e-14, 0, 2.10665e-11, 0, 0
0.218671, 0, 3.38515e-11, 0, 1.41421, -3.38515e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.43645e-14, 0, 0, 1.42547e-15, 0, 9.91022e-14, 0, 3.36566e-11, 0, 0
0.22657, 0, 5.37342e-11, 0, 1.41421, -5.37342e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49802e-13, 0, 0, 2.32335e-15, 0, 1.63358e-13, 0, 5.34188e-11, 0, 0
0.234468, 0, 8.47403e-11, 0, 1.41421, -8.47403e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36271e-13, 0, 0, 3.76627e-15, 0, 2.67873e-13, 0, 8.42324e-11, 0, 0
0.242367, 0, 1.32773e-10, 0, 1.41421, -1.32773e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70261e-13, 0, 0, 6.07342e-15, 0, 4.37025e-13, 0, 1.31959e-10, 0, 0
0.250266, 0, 2.06693e-10, 0, 1.41421, -2.06693e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76544e-13, 0, 0, 9.74482e-15, 0, 7.09465e-13, 0, 2.05398e-10, 0, 0
0.258164, 0, 3.19709e-10, 0, 1.41421, -3.19709e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.92082e-13, 0, 0, 1.55609e-14, 0, 1.14621e-12, 0, 3.17655e-10, 0, 0
0.266063, 0, 4.91371e-10, 0, 1.41421, -4.91371e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37166e-12, 0, 0, 2.47363e-14, 0, 1.84321e-12, 0, 4.88131e-10, 0, 0
0.273962, 0, 7.50422e-10, 0, 1.41421, -7.50422e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09596e-12, 0, 0, 3.91558e-14, 0, 2.95078e-12, 0, 7.45336e-10, 0, 0
0.281861, 0, 1.13883e-09, 2.99878e-43, 1.41421, -1.13883e-09, 2.99878e-43, 0, 2.99878e-43, 2.99878e-43, 2.99878e-43, 2.99878e-43, 2.99878e-43, 2.99878e-43, 2.99878e-43, 2.99878e-43, 2.99878e-43, 2.99878e-43, 2.99878e-43, 2.99878e-43, 3.183e-12, 2.99878e-43, 2.99878e-43, 6.17387e-14, 2.99878e-43, 4.70358e-12, 2.99878e-43, 1.13088e-09, 2.99878e-43, 2.99878e-43
0.289759, 0, 1.71743e-09, 5.24786e-42, 1.41421, -1.71743e-09, 5.24786e-42, 0, 5.24786e-42, 5.24786e-42, 5.24786e-42, 5.24786e-42, 5.24786e-42, 5.24786e-42, 5.24786e-42, 5.24786e-42, 5.24786e-42, 5.24786e-42, 5.24786e-42, 5.24786e-42, 4.80436e-12, 5.24786e-42, 5.24786e-42, 9.69993e-14, 5.24786e-42, 7.46678e-12, 5.24786e-42, 1.70506e-09, 5.24786e-42, 5.24786e-42
0.297658, 0, 2.57387e-09, 7.88146e-41, 1.41421, -2.57387e-09, 7.88146e-41, 0, 7.88146e-41, 7.88146e-41, 7.88146e-41, 7.88146e-41, 7.88146e-41, 7.88146e-41, 7.88146e-41, 7.88146e-41, 7.88146e-41, 7.88146e-41, 7.88146e-41, 7.88146e-41, 7.20788e-12, 7.88146e-41, 7.88146e-41, 1.5191e-13, 7.88146e-41, 1.1807e-11, 7.88146e-41, 2.55471e-09, 7.88146e-41, 7.88146e-41
0.305557, 0, 3.8335e-09, 1.04625e-39, 1.41421, -3.8335e-09, 1.04625e-39, 0, 1.04625e-39, 1.04625e-39, 1.04625e-39, 1.04625e-39, 1.04625e-39, 1.04625e-39, 1.04625e-39, 1.04625e-39, 1.04625e-39, 1.04625e-39, 1.04625e-39, 1.04625e-39, 1.07494e-11, 1.04625e-39, 1.04625e-39, 2.37236e-13, 1.04625e-39, 1.86012e-11, 1.04625e-39, 3.80391e-09, 1.04625e-39, 1.04625e-39
0.313456, 0, 5.67442e-09, 1.24225e-38, 1.41421, -5.67442e-09, 1.24225e-38, 0, 1.24225e-38, 1.24225e-38, 1.24225e-38, 1.24225e-38, 1.24225e-38, 1.24225e-38, 1.24225e-38, 1.24225e-38, 1.24225e-38, 1.24225e-38, 1.24225e-38, 1.24225e-38, 1.59367e-11, 1.24225e-38, 1.24225e-38, 3.69593e-13, 1.24225e-38, 2.92034e-11, 1.24225e-38, 5.62891e-09, 1.24225e-38, 1.24225e-38
0.321354, 0, 8.34795e-09, 1.32891e-37, 1.41421, -8.34795e-09, 1.32891e-37, 0, 1.32891e-37, 1.32891e-37, 1.32891e-37, 1.32891e-37, 1.32891e-37, 1.32891e-37, 1.32891e-37, 1.32891e-37, 1.32891e-37, 1.32891e-37, 1.32891e-37, 1.32891e-37, 2.34901e-11, 1.32891e-37, 1.32891e-37, 5.74629e-13, 1.32891e-37, 4.56996e-11, 1.32891e-37, 8.27818e-09, 1.32891e-37, 1.32891e-37
0.329253, 0, 1.22073e-08, 5.15247e-36, 1.41421, -1.22073e-08, 5.15247e-36, 0, 5.15247e-36, 5.15247e-36, 5.15247e-36, 5.15247e-36, 5.15247e-36, 5.15247e-36, 5.15247e-36, 5.15247e-36, 5.15247e-36, 5.15247e-36, 5.15247e-36, 5.15247e-36, 3.44301e-11, 5.15247e-36, 5.15247e-36, 8.93396e-13, 5.15247e-36, 7.13892e-11, 5.15247e-36, 1.21006e-08, 5.15247e-36, 5.15247e-36
0.337152, 0, 1.77416e-08, 4.1672e-35, 1.41421, -1.77416e-08, 4.1672e-35, 0, 4.1672e-35, 4.1672e-35, 4.1672e-35, 4.1672e-35, 4.1672e-35, 4.1672e-35, 4.1672e-35, 4.1672e-35, 4.1672e-35, 4.1672e-35, 4.1672e-35, 4.1672e-35, 5.0175e-11, 4.1672e-35, 4.1672e-35, 1.38499e-12, 4.1672e-35, 1.11058e-10, 4.1672e-35, 1.7579e-08, 4.1672e-35, 4.1672e-35
0.345051, 0, 2.56305e-08, 3.10006e-34, 1.41421, -2.56305e-08, 3.10006e-34, 0, 3.10006e-34, 3.10006e-34, 3.10006e-34, 3.10006e-34, 3.10006e-34, 3.10006e-34, 3.10006e-34, 3.10006e-34, 3.10006e-34, 3.10006e-34, 3.10006e-34, 3.10006e-34, 7.27174e-11, 3.10006e-34, 3.10006e-34, 2.1451e-12, 3.10006e-34, 1.72318e-10, 3.10006e-34, 2.53833e-08, 3.10006e-34, 3.10006e-34
0.352949, 0, 3.68067e-08, 2.1416e-33, 1.41421, -3.68067e-08, 2.1416e-33, 0, 2.1416e-33, 2.1416e-33, 2.1416e-33, 2.1416e-33, 2.1416e-33, 2.1416e-33, 2.1416e-33, 2.1416e-33, 2.1416e-33, 2.1416e-33, 2.1416e-33, 2.1416e-33, 1.04818e-10, 2.1416e-33, 2.1416e-33, 3.32029e-12, 2.1416e-33, 2.66722e-10, 2.1416e-33, 3.64319e-08, 2.1416e-33, 2.1416e-33
0.360848, 0, 5.25444e-08, 1.47684e-32, 1.41421, -5.25444e-08, 1.47684e-32, 0, 1.47684e-32, 1.47684e-32, 1.47684e-32, 1.47684e-32, 1.47684e-32, 1.47684e-32, 1.47684e-32, 1.47684e-32, 1.47684e-32, 1.47684e-32, 1.47684e-32, 1.47684e-32, 1.50293e-10, 1.47684e-32, 1.47684e-32, 5.13726e-12, 1.47684e-32, 4.1191e-10, 1.47684e-32, 5.19771e-08, 1.47684e-32, 1.47684e-32
0.368747, 0, 7.45727e-08, 9.64379e-32, 1.41421, -7.45727e-08, 9.64379e-32, 0, 9.64379e-32, 9.64379e-32, 9.64379e-32, 9.64379e-32, 9.64379e-32, 9.64379e-32, 9.64379e-32, 9.64379e-32, 9.64379e-32, 9.64379e-32, 9.64379e-32, 9.64379e-32, 2.14386e-10, 9.64379e-32, 9.64379e-32, 7.94665e-12, 9.64379e-32, 6.34779e-10, 9.64379e-32, 7.37155e-08, 9.64379e-32, 9.64379e-32
0.376645, 0, 1.05223e-07, 5.8832e-31, 1.41421, -1.05223e-07, 5.8832e-31, 0, 5.8832e-31, 5.8832e-31, 5.8832e-31, 5.8832e-31, 5.8832e-31, 5.8832e-31, 5.8832e-31, 5.8832e-31, 5.8832e-31, 5.8832e-31, 5.8832e-31, 5.8832e-31, 3.04276e-10, 5.8832e-31, 5.8832e-31, 1.22904e-11, 5.8832e-31, 9.76234e-10, 5.8832e-31, 1.0393e-07, 5.8832e-31, 5.8832e-31
0.384544, 0, 1.47618e-07, 3.35211e-30, 1.41421, -1.47618e-07, 3.35211e-30, 0, 3.35211e-30, 3.35211e-30, 3.35211e-30, 3.35211e-30, 3.35211e-30, 3.35211e-30, 3.35211e-30, 3.35211e-30, 3.35211e-30, 3.35211e-30, 3.35211e-30, 3.35211e-30, 4.29749e-10, 3.35211e-30, 3.35211e-30, 1.90055e-11, 3.35211e-30, 1.49837e-09, 3.35211e-30, 1.45671e-07, 3.35211e-30, 3.35211e-30
0.392443, 0, 2.05922e-07, 1.78768e-29, 1.41421, -2.05922e-07, 1.78768e-29, 0, 1.78768e-29, 1.78768e-29, 1.78768e-29, 1.78768e-29, 1.78768e-29, 1.78768e-29, 1.78768e-29, 1.78768e-29, 1.78768e-29, 1.78768e-29, 1.78768e-29, 1.78768e-29, 6.04088e-10, 1.78768e-29, 1.78768e-29, 2.93817e-11, 1.78768e-29, 2.29517e-09, 1.78768e-29, 2.02993e-07, 1.78768e-29, 1.78768e-29
0.400342, 0, 2.85644e-07, 8.95028e-29, 1.41421, -2.85644e-07, 8.95028e-29, 0, 8.95028e-29, 8.95028e-29, 8.95028e-29, 8.95028e-29, 8.95028e-29, 8.95028e-29, 8.95028e-29, 8.95028e-29, 8.95028e-29, 8.95028e-29, 8.95028e-29, 8.95028e-29, 8.45255e-10, 8.95028e-29, 8.95028e-29, 4.54032e-11, 8.95028e-29, 3.50846e-09, 8.95028e-29, 2.81245e-07, 8.95028e-29, 8.95028e-29
0.40824, 0, 3.94038e-07, 4.22123e-28, 1.41421, -3.94038e-07, 4.22123e-28, 0, 4.22123e-28, 4.22123e-28, 4.22123e-28, 4.22123e-28, 4.22123e-28, 4.22123e-28, 4.22123e-28, 4.22123e-28, 4.22123e-28, 4.22123e-28, 4.22123e-28, 4.22123e-28, 1.17745e-09, 4.22123e-28, 4.22123e-28, 7.0113e-11, 4.22123e-28, 5.3515e-09, 4.22123e-28, 3.87439e-07, 4.22123e-28, 4.22123e-28
0.416139, 0, 5.40599e-07, 1.88117e-27, 1.41421, -5.40599e-07, 1.88117e-27, 0, 1.88117e-27, 1.88117e-27, 1.88117e-27, 1.88117e-27, 1.88117e-27, 1.88117e-27, 1.88117e-27, 1.88117e-27, 1.88117e-27, 1.88117e-27, 1.88117e-27, 1.88117e-27, 1.63314e-09, 1.88117e-27, 1.88117e-27, 1.08163e-10, 1.88117e-27, 8.14371e-09, 1.88117e-27, 5.30714e-07, 1.88117e-27, 1.88117e-27
0.424038, 0, 7.37686e-07, 7.94421e-27, 1.41421, -7.37686e-07, 7.94421e-27, 0, 7.94421e-27, 7.94421e-27, 7.94421e-27, 7.94421e-27, 7.94421e-27, 7.94421e-27, 7.94421e-27, 7.94421e-27, 7.94421e-27, 7.94421e-27, 7.94421e-27, 7.94421e-27, 2.25577e-09, 7.94421e-27, 7.94421e-27, 1.66634e-10, 7.94421e-27, 1.23613e-08, 7.94421e-27, 7.22902e-07, 7.94421e-27, 7.94421e-27
0.431937, 0, 1.0013e-06, 3.18824e-26, 1.41421, -1.0013e-06, 3.18824e-26, 0, 3.18824e-26, 3.18824e-26, 3.18824e-26, 3.18824e-26, 3.18824e-26, 3.18824e-26, 3.18824e-26, 3.18824e-26, 3.18824e-26, 3.18824e-26, 3.18824e-26, 3.18824e-26, 3.10322e-09, 3.18824e-26, 3.18824e-26, 2.56265e-10, 3.18824e-26, 1.87108e-08, 3.18824e-26, 9.79231e-07, 3.18824e-26, 3.18824e-26
0.439835, 0, 1.35206e-06, 1.21918e-25, 1.41421, -1.35206e-06, 1.21918e-25, 0, 1.21918e-25, 1.21918e-25, 1.21918e-25, 1.21918e-25, 1.21918e-25, 1.21918e-25, 1.21918e-25, 1.21918e-25, 8.84887e-12, 1.21918e-25, 1.21918e-25, 1.21918e-25, 4.25238e-09, 1.21918e-25, 1.21918e-25, 3.9325e-10, 1.21918e-25, 2.82345e-08, 1.21918e-25, 1.31917e-06, 1.21918e-25, 1.21918e-25
0.447734, 0, 1.81636e-06, 4.45329e-25, 1.41421, -1.81636e-06, 4.45329e-25, 0, 4.45329e-25, 4.45329e-25, 4.45329e-25, 4.45329e-25, 4.45329e-25, 4.45329e-25, 4.45329e-25, 4.45329e-25, 2.84566e-11, 4.45329e-25, 4.45329e-25, 4.45329e-25, 5.80492e-09, 4.45329e-25, 4.45329e-25, 6.01892e-10, 4.45329e-25, 4.2461e-08, 4.45329e-25, 1.76747e-06, 4.45329e-25, 4.45329e-25
0.455633, 0, 2.42788e-06, 1.5657e-24, 1.41421, -2.42788e-06, 1.5657e-24, 0, 1.5657e-24, 1.5657e-24, 1.5657e-24, 1.5657e-24, 1.5657e-24, 1.5657e-24, 1.5657e-24, 1.5657e-24, 7.07619e-11, 1.5657e-24, 1.5657e-24, 1.5657e-24, 7.89489e-09, 1.5657e-24, 1.5657e-24, 9.18447e-10, 1.5657e-24, 6.36176e-08, 1.5657e-24, 2.35538e-06, 1.5657e-24, 1.5657e-24
0.463532, 0, 3.24102e-06, 8.78062e-09, 1.41421, -3.24102e-06, 8.89332e-09, 8.78062e-09, 8.78074e-09, 8.78111e-09, 8.78404e-09, 8.79059e-09, 8.78187e-09, 8.78992e-09, 8.81904e-09, 8.80023e-09, 9.35129e-09, 8.92536e-09, 8.81374e-09, 9.33984e-09, 1.94793e-08, 9.85321e-09, 8.7811e-09, 1.01773e-08, 8.78072e-09, 1.03708e-07, 8.78063e-09, 3.13133e-06, 8.78062e-09, 8.87621e-09
0.47143, 0, 4.31197e-06, 2.79922e-08, 1.41421, -4.31197e-06, 2.83529e-08, 2.79922e-08, 2.79926e-08, 2.79938e-08, 2.80032e-08, 2.80241e-08, 2.79962e-08, 2.8022e-08, 2.81152e-08, 2.8055e-08, 2.96508e-08, 2.84554e-08, 2.80982e-08, 2.97818e-08, 4.24384e-08, 3.14246e-08, 2.79937e-08, 3.01083e-08, 2.79942e-08, 1.69011e-07, 2.79923e-08, 4.14601e-06, 2.79922e-08, 2.82981e-08
0.479329, 0, 5.72486e-06, 6.91654e-08, 1.41421, -5.72486e-06, 7.00584e-08, 6.91654e-08, 6.91664e-08, 6.91693e-08, 6.91925e-08, 6.92444e-08, 6.91753e-08, 6.92391e-08, 6.94698e-08, 6.93208e-08, 7.31371e-08, 7.03122e-08, 6.94278e-08, 7.35964e-08, 8.86025e-08, 7.76641e-08, 6.91692e-08, 7.23579e-08, 6.91717e-08, 2.77655e-07, 6.91655e-08, 5.47311e-06, 6.91654e-08, 6.99228e-08
0.487228, 0, 7.59589e-06, 1.55593e-07, 1.41421, -7.59589e-06, 1.57605e-07, 1.55593e-07, 1.55595e-07, 1.55602e-07, 1.55654e-07, 1.55771e-07, 1.55615e-07, 1.55759e-07, 1.56279e-07, 1.55943e-07, 1.64382e-07, 1.58176e-07, 1.56184e-07, 1.65574e-07, 1.81653e-07, 1.74737e-07, 1.55602e-07, 1.60388e-07, 1.55609e-07, 4.62262e-07, 1.55593e-07, 7.21207e-06, 1.55593e-07, 1.57299e-07
0.495126, 0, 1.00937e-05, 3.33401e-07, 1.41421, -1.00937e-05, 3.37715e-07, 3.33401e-07, 3.33406e-07, 3.3342e-07, 3.33532e-07, 3.33782e-07, 3.33448e-07, 3.33757e-07, 3.34871e-07, 3.34152e-07, 3.52016e-07, 3.38942e-07, 3.34668e-07, 3.54809e-07, 3.68216e-07, 3.74462e-07, 3.33419e-07, 3.40568e-07, 3.33439e-07, 7.82058e-07, 3.33401e-07, 9.50393e-06, 3.33401e-07, 3.3706e-07
0.503025, 0, 1.34731e-05, 6.92236e-07, 1.41421, -1.34731e-05, 7.01201e-07, 6.92236e-07, 6.92246e-07, 6.92275e-07, 6.92509e-07, 6.93029e-07, 6.92335e-07, 6.92975e-07, 6.95292e-07, 6.93796e-07, 7.31378e-07, 7.03749e-07, 6.9487e-07, 7.36716e-07, 7.38581e-07, 7.7755e-07, 6.92274e-07, 7.02896e-07, 6.92319e-07, 1.34551e-06, 6.92237e-07, 1.25565e-05, 6.92236e-07, 6.99839e-07
0.510924, 0, 1.81369e-05, 1.40259e-06, 1.41421, -1.81369e-05, 1.42076e-06, 1.40259e-06, 1.40261e-06, 1.40267e-06, 1.40314e-06, 1.4042e-06, 1.40279e-06, 1.40409e-06, 1.40878e-06, 1.40575e-06, 1.49052e-06, 1.42593e-06, 1.40793e-06, 1.49276e-06, 1.46406e-06, 1.57554e-06, 1.40267e-06, 1.41836e-06, 1.40276e-06, 2.34768e-06, 1.40259e-06, 1.66876e-05, 1.40259e-06, 1.418e-06
0.518823, 0, 2.47983e-05, 2.78226e-06, 1.41421, -2.47983e-05, 2.81832e-06, 2.78226e-06, 2.7823e-06, 2.78241e-06, 2.78335e-06, 2.78544e-06, 2.78265e-06, 2.78523e-06, 2.79455e-06, 2.78853e-06, 3.0437e-06, 2.82857e-06, 2.79285e-06, 2.9612e-06, 2.86349e-06, 3.12548e-06, 2.78241e-06, 2.80546e-06, 2.78262e-06, 4.14122e-06, 2.78226e-06, 2.24007e-05, 2.78226e-06, 2.81284e-06
0.526721, 0, 3.45233e-05, 5.41151e-06, 1.41421, -3.45233e-05, 5.48168e-06, 5.41151e-06, 5.41159e-06, 5.41182e-06, 5.41364e-06, 5.41771e-06, 5.41229e-06, 5.4173e-06, 5.43543e-06, 5.42372e-06, 6.02985e-06, 5.50163e-06, 5.43213e-06, 5.7597e-06, 5.51846e-06, 6.07935e-06, 5.4118e-06, 5.44546e-06, 5.41224e-06, 7.3535e-06, 5.41151e-06, 3.05131e-05, 5.41151e-06, 5.47103e-06
0.53462, 0, 4.91568e-05, 1.03283e-05, 1.41421, -4.91568e-05, 1.04623e-05, 1.03283e-05, 1.03285e-05, 1.03289e-05, 1.03324e-05, 1.03402e-05, 1.03298e-05, 1.03394e-05, 1.0374e-05, 1.03517e-05, 1.16676e-05, 1.05004e-05, 1.03677e-05, 1.09932e-05, 1.04686e-05, 1.16035e-05, 1.03289e-05, 1.03778e-05, 1.03298e-05, 1.30861e-05, 1.03284e-05, 4.23709e-05, 1.03283e-05, 1.0442e-05
0.542519, 0, 7.17945e-05, 1.93519e-05, 1.41421, -7.17945e-05, 1.9603e-05, 1.93519e-05, 1.93521e-05, 1.9353e-05, 1.93595e-05, 1.93741e-05, 1.93546e-05, 1.93726e-05, 1.94375e-05, 1.93956e-05, 2.21136e-05, 1.96744e-05, 1.94256e-05, 2.0598e-05, 1.95352e-05, 2.17419e-05, 1.93529e-05, 1.94234e-05, 1.93546e-05, 2.32435e-05, 1.93519e-05, 6.0202e-05, 1.93519e-05, 1.95648e-05
