   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0103925, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0024938, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00540493, 0, 8.65898e-18, 0, 1.41421, -8.65898e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41604e-20, 0, 0, 2.10594e-22, 0, 1.24556e-20, 0, 8.62216e-18, 0, 0
0.0133037, 0, 1.68667e-17, 0, 1.41421, -1.68667e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70601e-20, 0, 0, 4.17537e-22, 0, 2.47441e-20, 0, 1.67944e-17, 0, 0
0.0212024, 0, 3.25476e-17, 0, 1.41421, -3.25476e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.08092e-20, 0, 0, 8.2018e-22, 0, 4.87075e-20, 0, 3.24073e-17, 0, 0
0.0291011, 0, 6.22366e-17, 0, 1.41421, -6.22366e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73637e-19, 0, 0, 1.59663e-21, 0, 9.50316e-20, 0, 6.19664e-17, 0, 0
0.0369999, 0, 1.19784e-16, 0, 1.41421, -1.19784e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34178e-19, 0, 0, 3.14398e-21, 0, 1.87779e-19, 0, 1.19259e-16, 0, 0
0.0448986, 0, 2.24697e-16, 0, 1.41421, -2.24697e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.26848e-19, 0, 0, 6.00377e-21, 0, 3.5955e-19, 0, 2.23705e-16, 0, 0
0.0527973, 0, 4.17985e-16, 0, 1.41421, -4.17985e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16603e-18, 0, 0, 1.1371e-20, 0, 6.82972e-19, 0, 4.16125e-16, 0, 0
0.0606961, 0, 7.71189e-16, 0, 1.41421, -7.71189e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15127e-18, 0, 0, 2.13637e-20, 0, 1.28725e-18, 0, 7.67729e-16, 0, 0
