   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_155.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.21205, 0, 2.29513e-12, 0, 1.41421, -2.29513e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13353e-14, 0, 5.61176e-17, 1.37294e-15, 0, 2.27236e-12, 0, 0, 0
0.219784, 0, 3.58229e-12, 0, 1.41421, -3.58229e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33025e-14, 0, 8.96829e-17, 2.21948e-15, 0, 3.54668e-12, 0, 0, 0
0.227517, 0, 5.55964e-12, 0, 1.41421, -5.55964e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16884e-14, 0, 1.42658e-16, 3.57198e-15, 0, 5.50423e-12, 0, 0, 0
0.23525, 0, 8.57969e-12, 0, 1.41421, -8.57969e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.97735e-14, 0, 2.25904e-16, 5.72363e-15, 0, 8.49397e-12, 0, 0, 0
0.242984, 0, 1.3171e-11, 0, 1.41421, -1.3171e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2248e-13, 0, 3.56814e-16, 9.15083e-15, 0, 1.3039e-11, 0, 0, 0
0.250717, 0, 2.00966e-11, 0, 1.41421, -2.00966e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86911e-13, 0, 5.60241e-16, 1.45391e-14, 0, 1.98945e-11, 0, 0, 0
0.258451, 0, 3.04924e-11, 0, 1.41421, -3.04924e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83653e-13, 0, 8.76197e-16, 2.3008e-14, 0, 3.01848e-11, 0, 0, 0
0.266184, 0, 4.60079e-11, 0, 1.41421, -4.60079e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28086e-13, 0, 1.36527e-15, 3.62695e-14, 0, 4.55421e-11, 0, 0, 0
0.273917, 0, 6.90326e-11, 1.68156e-44, 1.41421, -6.90326e-11, 1.68156e-44, 0, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 1.68156e-44, 6.42508e-13, 1.68156e-44, 2.12002e-15, 5.69627e-14, 1.68156e-44, 6.8331e-11, 1.68156e-44, 1.68156e-44, 1.68156e-44
0.281651, 0, 1.03006e-10, 2.67648e-43, 1.41421, -1.03006e-10, 2.67648e-43, 0, 2.67648e-43, 2.67648e-43, 2.67648e-43, 2.67648e-43, 2.67648e-43, 2.67648e-43, 2.67648e-43, 2.67648e-43, 2.67648e-43, 2.67648e-43, 9.59048e-13, 2.67648e-43, 3.28157e-15, 8.91445e-14, 2.67648e-43, 1.01955e-10, 2.67648e-43, 2.67648e-43, 2.67648e-43
