   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_578.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00750202, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000362537, 0, 2.98175e-18, 0, 1.41421, -2.98175e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46253e-19, 0, 2.4355e-18, 0, 0
0.0082271, 0, 5.59261e-18, 0, 1.41421, -5.59261e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04122e-18, 0, 4.55139e-18, 0, 0
0.0160917, 0, 1.04054e-17, 0, 1.41421, -1.04054e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96902e-18, 0, 8.43635e-18, 0, 0
0.0239562, 0, 1.92081e-17, 0, 1.41421, -1.92081e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69499e-18, 0, 1.55131e-17, 0, 0
0.0318208, 0, 3.51861e-17, 0, 1.41421, -3.51861e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8821e-18, 0, 2.8304e-17, 0, 0
0.0396853, 0, 6.39718e-17, 0, 1.41421, -6.39718e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27248e-17, 0, 5.1247e-17, 0, 0
0.0475499, 0, 1.15453e-16, 0, 1.41421, -1.15453e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33605e-17, 0, 9.20924e-17, 0, 0
0.0554145, 0, 2.06862e-16, 0, 1.41421, -2.06862e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25876e-17, 0, 1.64274e-16, 0, 0
0.063279, 0, 3.68024e-16, 0, 1.41421, -3.68024e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7113e-17, 0, 2.90911e-16, 0, 0
0.0711436, 0, 6.50195e-16, 0, 1.41421, -6.50195e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38698e-16, 0, 5.11496e-16, 0, 0
0.0790082, 0, 1.14088e-15, 0, 1.41421, -1.14088e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47845e-16, 0, 8.93031e-16, 0, 0
0.0868727, 0, 1.98842e-15, 0, 1.41421, -1.98842e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40057e-16, 0, 1.54836e-15, 0, 0
0.0947373, 0, 3.44269e-15, 0, 1.41421, -3.44269e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.76443e-16, 0, 2.66625e-15, 0, 0
0.102602, 0, 5.92181e-15, 0, 1.41421, -5.92181e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36155e-15, 0, 4.56026e-15, 0, 0
0.110466, 0, 1.01209e-14, 0, 1.41421, -1.01209e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37318e-15, 0, 7.7477e-15, 0, 0
0.118331, 0, 1.71882e-14, 0, 1.41421, -1.71882e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11193e-15, 0, 1.30763e-14, 0, 0
0.126196, 0, 2.90086e-14, 0, 1.41421, -2.90086e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08301e-15, 0, 2.19256e-14, 0, 0
0.13406, 0, 4.86571e-14, 0, 1.41421, -4.86571e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21308e-14, 0, 3.65262e-14, 0, 0
0.141925, 0, 8.11185e-14, 0, 1.41421, -8.11185e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06585e-14, 0, 6.046e-14, 0, 0
0.149789, 0, 1.34426e-13, 0, 1.41421, -1.34426e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.49847e-14, 0, 9.94411e-14, 0, 0
0.157654, 0, 2.21446e-13, 0, 1.41421, -2.21446e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.89208e-14, 0, 1.62525e-13, 0, 0
0.165518, 0, 3.62668e-13, 0, 1.41421, -3.62668e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.86989e-14, 0, 2.63969e-13, 0, 0
0.173383, 0, 5.90528e-13, 0, 1.41421, -5.90528e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64458e-13, 0, 4.2607e-13, 0, 0
