   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_279.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00376087, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00410479, 0, 4.00806e-19, 0, 1.41421, -4.00806e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.78018e-20, 0, 3.03004e-19, 0, 0
0.0119705, 0, 7.87437e-19, 0, 1.41421, -7.87437e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95131e-19, 0, 5.92306e-19, 0, 0
0.0198361, 0, 1.53287e-18, 0, 1.41421, -1.53287e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85756e-19, 0, 1.14712e-18, 0, 0
0.0277018, 0, 2.95746e-18, 0, 1.41421, -2.95746e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.55846e-19, 0, 2.20162e-18, 0, 0
0.0355675, 0, 5.65658e-18, 0, 1.41421, -5.65658e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46826e-18, 0, 4.18832e-18, 0, 0
0.0434331, 0, 1.07277e-17, 0, 1.41421, -1.07277e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82835e-18, 0, 7.89934e-18, 0, 0
0.0512988, 0, 2.01773e-17, 0, 1.41421, -2.01773e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.40407e-18, 0, 1.47732e-17, 0, 0
0.0591644, 0, 3.76447e-17, 0, 1.41421, -3.76447e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02438e-17, 0, 2.7401e-17, 0, 0
0.0670301, 0, 6.96795e-17, 0, 1.41421, -6.96795e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92679e-17, 0, 5.04116e-17, 0, 0
0.0748958, 0, 1.27978e-16, 0, 1.41421, -1.27978e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5969e-17, 0, 9.20092e-17, 0, 0
0.0827614, 0, 2.35475e-16, 0, 1.41421, -2.35475e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.75035e-17, 0, 1.67971e-16, 0, 0
