   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_146.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0995598, 0, 4.98833e-15, 0, 1.41421, -4.98833e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92368e-17, 0, 1.27461e-19, 0, 1.35127e-16, 0, 4.81383e-15, 0, 0
0.107425, 0, 8.50912e-15, 0, 1.41421, -8.50912e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.68824e-17, 0, 2.21259e-19, 0, 2.36432e-16, 0, 8.20559e-15, 0, 0
0.115289, 0, 1.44192e-14, 0, 1.41421, -1.44192e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13251e-16, 0, 3.81646e-19, 0, 4.11227e-16, 0, 1.38944e-14, 0, 0
0.123154, 0, 2.42746e-14, 0, 1.41421, -2.42746e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90505e-16, 0, 6.54173e-19, 0, 7.1106e-16, 0, 2.33724e-14, 0, 0
0.131019, 0, 4.06017e-14, 0, 1.41421, -4.06017e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18372e-16, 0, 1.11438e-18, 0, 1.22243e-15, 0, 3.90598e-14, 0, 0
0.138883, 0, 6.74753e-14, 0, 1.41421, -6.74753e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.28629e-16, 0, 1.88677e-18, 0, 2.08962e-15, 0, 6.48551e-14, 0, 0
0.146748, 0, 1.11424e-13, 0, 1.41421, -1.11424e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.72128e-16, 0, 3.17531e-18, 0, 3.55204e-15, 0, 1.06997e-13, 0, 0
0.154613, 0, 1.82839e-13, 0, 1.41421, -1.82839e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42969e-15, 0, 5.3121e-18, 0, 6.00464e-15, 0, 1.75399e-13, 0, 0
0.162477, 0, 2.98152e-13, 0, 1.41421, -2.98152e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32894e-15, 0, 8.83486e-18, 0, 1.00955e-14, 0, 2.85719e-13, 0, 0
0.170342, 0, 4.83178e-13, 0, 1.41421, -4.83178e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77006e-15, 0, 1.46091e-17, 0, 1.68837e-14, 0, 4.6251e-13, 0, 0
0.178207, 0, 7.78212e-13, 0, 1.41421, -7.78212e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06501e-15, 0, 2.40206e-17, 0, 2.80882e-14, 0, 7.44034e-13, 0, 0
0.186071, 0, 1.24574e-12, 0, 1.41421, -1.24574e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.69667e-15, 0, 3.92754e-17, 0, 4.64868e-14, 0, 1.18952e-12, 0, 0
0.193936, 0, 1.98205e-12, 0, 1.41421, -1.98205e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54078e-14, 0, 6.3868e-17, 0, 7.65461e-14, 0, 1.89004e-12, 0, 0
0.201801, 0, 3.13458e-12, 0, 1.41421, -3.13458e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43333e-14, 0, 1.03308e-16, 0, 1.25412e-13, 0, 2.98474e-12, 0, 0
0.209665, 0, 4.92763e-12, 0, 1.41421, -4.92763e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8196e-14, 0, 1.66238e-16, 0, 2.04467e-13, 0, 4.6848e-12, 0, 0
0.21753, 0, 7.70034e-12, 0, 1.41421, -7.70034e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.95946e-14, 0, 2.66154e-16, 0, 3.31751e-13, 0, 7.30873e-12, 0, 0
0.225395, 0, 1.19622e-11, 0, 1.41421, -1.19622e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.24236e-14, 0, 4.24053e-16, 0, 5.35738e-13, 0, 1.13336e-11, 0, 0
0.233259, 0, 1.8474e-11, 0, 1.41421, -1.8474e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42482e-13, 0, 6.72462e-16, 0, 8.61174e-13, 0, 1.74697e-11, 0, 0
0.241124, 0, 2.83645e-11, 0, 1.41421, -2.83645e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18348e-13, 0, 1.06162e-15, 0, 1.37809e-12, 0, 2.6767e-11, 0, 0
0.248989, 0, 4.32988e-11, 0, 1.41421, -4.32988e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32637e-13, 0, 1.66889e-15, 0, 2.19569e-12, 0, 4.07688e-11, 0, 0
0.256854, 0, 6.57176e-11, 0, 1.41421, -6.57176e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03774e-13, 0, 2.61307e-15, 0, 3.48361e-12, 0, 6.17276e-11, 0, 0
0.264718, 0, 9.91773e-11, 0, 1.41421, -9.91773e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.58504e-13, 0, 4.07629e-15, 0, 5.50444e-12, 0, 9.29103e-11, 0, 0
0.272583, 0, 1.4883e-10, 1.12104e-44, 1.41421, -1.4883e-10, 1.12104e-44, 0, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.13541e-12, 1.12104e-44, 6.33728e-15, 1.12104e-44, 8.66349e-12, 1.12104e-44, 1.39025e-10, 1.12104e-44, 1.12104e-44
0.280448, 0, 2.22097e-10, 2.34017e-43, 1.41421, -2.22097e-10, 2.34017e-43, 0, 2.34017e-43, 2.34017e-43, 2.34017e-43, 2.34017e-43, 2.34017e-43, 2.34017e-43, 2.34017e-43, 2.34017e-43, 2.34017e-43, 1.68981e-12, 2.34017e-43, 9.82223e-15, 2.34017e-43, 1.35844e-11, 2.34017e-43, 2.06813e-10, 2.34017e-43, 2.34017e-43
0.288312, 0, 3.29604e-10, 3.46261e-42, 1.41421, -3.29604e-10, 3.46261e-42, 0, 3.46261e-42, 3.46261e-42, 3.46261e-42, 3.46261e-42, 3.46261e-42, 3.46261e-42, 3.46261e-42, 3.46261e-42, 3.46261e-42, 2.50052e-12, 3.46261e-42, 1.51824e-14, 3.46261e-42, 2.12243e-11, 3.46261e-42, 3.05864e-10, 3.46261e-42, 3.46261e-42
0.296177, 0, 4.86486e-10, 4.68917e-41, 1.41421, -4.86486e-10, 4.68917e-41, 0, 4.68917e-41, 4.68917e-41, 4.68917e-41, 4.68917e-41, 4.68917e-41, 4.68917e-41, 4.68917e-41, 4.68917e-41, 4.68917e-41, 3.67914e-12, 4.68917e-41, 2.34131e-14, 4.68917e-41, 3.30486e-11, 4.68917e-41, 4.49734e-10, 4.68917e-41, 4.68917e-41
0.304042, 0, 7.1418e-10, 5.69809e-40, 1.41421, -7.1418e-10, 5.69809e-40, 0, 5.69809e-40, 5.69809e-40, 5.69809e-40, 5.69809e-40, 5.69809e-40, 5.69809e-40, 5.69809e-40, 5.69809e-40, 5.69809e-40, 5.38276e-12, 5.69809e-40, 3.60354e-14, 5.69809e-40, 5.12956e-11, 5.69809e-40, 6.57465e-10, 5.69809e-40, 5.69809e-40
0.311906, 0, 1.0429e-09, 6.2374e-39, 1.41421, -1.0429e-09, 6.2374e-39, 0, 6.2374e-39, 6.2374e-39, 6.2374e-39, 6.2374e-39, 6.2374e-39, 6.2374e-39, 6.2374e-39, 6.2374e-39, 6.2374e-39, 7.83117e-12, 6.2374e-39, 5.5376e-14, 6.2374e-39, 7.93785e-11, 6.2374e-39, 9.55632e-10, 6.2374e-39, 6.2374e-39
0.319771, 0, 1.51499e-09, 6.17612e-38, 1.41421, -1.51499e-09, 6.17612e-38, 0, 6.17612e-38, 6.17612e-38, 6.17612e-38, 6.17612e-38, 6.17612e-38, 6.17612e-38, 6.17612e-38, 6.17612e-38, 6.17612e-38, 1.13301e-11, 6.17612e-38, 8.49961e-14, 6.17612e-38, 1.22491e-10, 6.17612e-38, 1.38108e-09, 6.17612e-38, 6.17612e-38
0.327636, 0, 2.18991e-09, 2.12956e-36, 1.41421, -2.18991e-09, 2.12956e-36, 0, 2.12956e-36, 2.12956e-36, 2.12956e-36, 2.12956e-36, 2.12956e-36, 2.12956e-36, 2.12956e-36, 2.12956e-36, 2.12956e-36, 1.63034e-11, 2.12956e-36, 1.30573e-13, 2.12956e-36, 1.88762e-10, 2.12956e-36, 1.98471e-09, 2.12956e-36, 2.12956e-36
0.3355, 0, 3.14919e-09, 1.61258e-35, 1.41421, -3.14919e-09, 1.61258e-35, 0, 1.61258e-35, 1.61258e-35, 1.61258e-35, 1.61258e-35, 1.61258e-35, 1.61258e-35, 1.61258e-35, 1.61258e-35, 1.61258e-35, 2.33303e-11, 1.61258e-35, 2.00141e-13, 1.61258e-35, 2.89795e-10, 1.61258e-35, 2.83587e-09, 1.61258e-35, 1.61258e-35
0.343365, 0, 4.50668e-09, 1.12678e-34, 1.41421, -4.50668e-09, 1.12678e-34, 0, 1.12678e-34, 1.12678e-34, 1.12678e-34, 1.12678e-34, 1.12678e-34, 1.12678e-34, 1.12678e-34, 1.12678e-34, 1.12678e-34, 3.32064e-11, 1.12678e-34, 3.06699e-13, 1.12678e-34, 4.43896e-10, 1.12678e-34, 4.02927e-09, 1.12678e-34, 1.12678e-34
0.35123, 0, 6.41886e-09, 7.68539e-34, 1.41421, -6.41886e-09, 7.68539e-34, 0, 7.68539e-34, 7.68539e-34, 7.68539e-34, 7.68539e-34, 7.68539e-34, 7.68539e-34, 7.68539e-34, 7.68539e-34, 7.68539e-34, 4.70122e-11, 7.68539e-34, 4.6998e-13, 7.68539e-34, 6.78504e-10, 7.68539e-34, 5.69288e-09, 7.68539e-34, 7.68539e-34
0.359094, 0, 9.10062e-09, 5.06326e-33, 1.41421, -9.10062e-09, 5.06326e-33, 0, 5.06326e-33, 5.06326e-33, 5.06326e-33, 5.06326e-33, 5.06326e-33, 5.06326e-33, 5.06326e-33, 5.06326e-33, 5.06326e-33, 6.62088e-11, 5.06326e-33, 7.20271e-13, 5.06326e-33, 1.03504e-09, 5.06326e-33, 7.99865e-09, 5.06326e-33, 5.06326e-33
0.366959, 0, 1.28461e-08, 3.13337e-32, 1.41421, -1.28461e-08, 3.13337e-32, 0, 3.13337e-32, 3.13337e-32, 3.13337e-32, 3.13337e-32, 3.13337e-32, 3.13337e-32, 3.13337e-32, 3.13337e-32, 3.13337e-32, 9.27622e-11, 3.13337e-32, 1.10406e-12, 3.13337e-32, 1.57594e-09, 3.13337e-32, 1.11763e-08, 3.13337e-32, 3.13337e-32
0.374824, 0, 1.80568e-08, 1.81187e-31, 1.41421, -1.80568e-08, 1.81187e-31, 0, 1.81187e-31, 1.81187e-31, 1.81187e-31, 1.81187e-31, 1.81187e-31, 1.81187e-31, 1.81187e-31, 1.81187e-31, 1.81187e-31, 1.29303e-10, 1.81187e-31, 1.69261e-12, 1.81187e-31, 2.3951e-09, 1.81187e-31, 1.55307e-08, 1.81187e-31, 1.81187e-31
