   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_107.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0240351, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0160726, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00811008, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000147583, 0, 3.73477e-20, 0, 1.41421, -3.73477e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88702e-22, 0, 1.47325e-24, 8.92189e-24, 0, 3.71486e-20, 0, 0
0.00781491, 0, 7.92791e-20, 0, 1.41421, -7.92791e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00562e-22, 0, 3.18563e-24, 1.92853e-23, 0, 7.88561e-20, 0, 0
0.0157774, 0, 1.6625e-19, 0, 1.41421, -1.6625e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.39983e-22, 0, 6.80483e-24, 4.11767e-23, 0, 1.65362e-19, 0, 0
0.0237399, 0, 3.44565e-19, 0, 1.41421, -3.44565e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74092e-21, 0, 1.43665e-23, 8.68878e-23, 0, 3.42723e-19, 0, 0
0.0317024, 0, 7.06106e-19, 0, 1.41421, -7.06106e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56758e-21, 0, 2.99906e-23, 1.81285e-22, 0, 7.02328e-19, 0, 0
0.0396649, 0, 1.43125e-18, 0, 1.41421, -1.43125e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23132e-21, 0, 6.1928e-23, 3.7415e-22, 0, 1.42359e-18, 0, 0
0.0476274, 0, 2.93105e-18, 0, 1.41421, -2.93105e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48089e-20, 0, 1.29955e-22, 7.84829e-22, 0, 2.91533e-18, 0, 0
