   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_34.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00799276, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000102583, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0077876, 0, 1.81614e-26, 0, 1.41421, -1.81614e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40888e-28, 0, 3.27947e-31, 4.71175e-30, 0, 1.80155e-26, 0, 0, 0
0.0156778, 0, 7.47489e-26, 0, 1.41421, -7.47489e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79856e-28, 0, 1.36638e-30, 2.09551e-29, 0, 7.41467e-26, 0, 0, 0
0.023568, 0, 2.82782e-25, 0, 1.41421, -2.82782e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19362e-27, 0, 5.23707e-30, 8.39096e-29, 0, 2.805e-25, 0, 0, 0
0.0314581, 0, 1.00341e-24, 0, 1.41421, -1.00341e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.78358e-27, 0, 1.88414e-29, 3.11636e-28, 0, 9.95292e-25, 0, 0, 0
0.0393483, 0, 3.3802e-24, 0, 1.41421, -3.3802e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62204e-26, 0, 6.43826e-29, 1.09109e-27, 0, 3.35282e-24, 0, 0, 0
0.0472385, 0, 1.08976e-23, 0, 1.41421, -1.08976e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.45322e-26, 0, 2.10615e-28, 3.63838e-27, 0, 1.08092e-23, 0, 0, 0
0.0551287, 0, 3.38148e-23, 0, 1.41421, -3.38148e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62298e-25, 0, 6.63318e-28, 1.16372e-26, 0, 3.35402e-23, 0, 0, 0
0.0630189, 0, 1.01416e-22, 0, 1.41421, -1.01416e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.86668e-25, 0, 2.01975e-27, 3.58834e-26, 0, 1.00592e-22, 0, 0, 0
0.070909, 0, 3.22474e-22, 0, 1.41421, -3.22474e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50133e-24, 0, 6.58407e-27, 1.18661e-25, 0, 3.19847e-22, 0, 0, 0
0.0787992, 0, 9.02659e-22, 0, 1.41421, -9.02659e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00159e-24, 0, 1.87142e-26, 3.39824e-25, 0, 8.95299e-22, 0, 0, 0
0.0866894, 0, 2.46525e-21, 0, 1.41421, -2.46525e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91218e-23, 0, 5.19137e-26, 9.48601e-25, 0, 2.44512e-21, 0, 0, 0
0.0945796, 0, 6.58409e-21, 0, 1.41421, -6.58409e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.10694e-23, 0, 1.40946e-25, 2.58886e-24, 0, 6.53029e-21, 0, 0, 0
0.10247, 0, 1.72035e-20, 0, 1.41421, -1.72035e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33438e-22, 0, 3.74466e-25, 6.90749e-24, 0, 1.70628e-20, 0, 0, 0
0.11036, 0, 4.40281e-20, 0, 1.41421, -4.40281e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41498e-22, 0, 9.74696e-25, 1.80421e-23, 0, 4.36676e-20, 0, 0, 0
0.11825, 0, 1.10475e-19, 0, 1.41421, -1.10475e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.56879e-22, 0, 2.48804e-24, 4.61845e-23, 0, 1.0957e-19, 0, 0, 0
0.12614, 0, 2.72019e-19, 0, 1.41421, -2.72019e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10984e-21, 0, 6.23381e-24, 1.15975e-22, 0, 2.69787e-19, 0, 0, 0
0.13403, 0, 6.5774e-19, 0, 1.41421, -6.5774e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.10153e-21, 0, 1.5342e-23, 2.85932e-22, 0, 6.52337e-19, 0, 0, 0
0.141921, 0, 1.56287e-18, 0, 1.41421, -1.56287e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21218e-20, 0, 3.7114e-23, 6.92646e-22, 0, 1.55002e-18, 0, 0, 0
0.149811, 0, 3.6514e-18, 0, 1.41421, -3.6514e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83203e-20, 0, 8.8303e-23, 1.64969e-21, 0, 3.62134e-18, 0, 0, 0
0.157701, 0, 8.39253e-18, 0, 1.41421, -8.39253e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5092e-20, 0, 2.06742e-22, 3.86542e-21, 0, 8.32336e-18, 0, 0, 0
0.165591, 0, 1.92836e-17, 0, 1.41421, -1.92836e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49561e-19, 0, 4.86094e-22, 9.09421e-21, 0, 1.91244e-17, 0, 0, 0
0.173481, 0, 4.28798e-17, 0, 1.41421, -4.28798e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32566e-19, 0, 1.10142e-21, 2.06161e-20, 0, 4.25255e-17, 0, 0, 0
0.181372, 0, 9.39429e-17, 0, 1.41421, -9.39429e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.28593e-19, 0, 2.45965e-21, 4.60581e-20, 0, 9.31658e-17, 0, 0, 0
0.189262, 0, 2.02849e-16, 0, 1.41421, -2.02849e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57322e-18, 0, 5.41555e-21, 1.01449e-19, 0, 2.01169e-16, 0, 0, 0
0.197152, 0, 4.31838e-16, 0, 1.41421, -4.31838e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34914e-18, 0, 1.17601e-20, 2.20397e-19, 0, 4.28257e-16, 0, 0, 0
0.205042, 0, 9.06643e-16, 0, 1.41421, -9.06643e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.03141e-18, 0, 2.51948e-20, 4.72428e-19, 0, 8.99114e-16, 0, 0, 0
0.212932, 0, 1.87777e-15, 0, 1.41421, -1.87777e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45627e-17, 0, 5.32694e-20, 9.99529e-19, 0, 1.86215e-15, 0, 0, 0
0.220822, 0, 3.83754e-15, 0, 1.41421, -3.83754e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9761e-17, 0, 1.11182e-19, 2.088e-18, 0, 3.80558e-15, 0, 0, 0
0.228713, 0, 7.74065e-15, 0, 1.41421, -7.74065e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.00295e-17, 0, 2.29137e-19, 4.30803e-18, 0, 7.67608e-15, 0, 0, 0
0.236603, 0, 1.54139e-14, 0, 1.41421, -1.54139e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19535e-16, 0, 4.66414e-19, 8.78162e-18, 0, 1.52851e-14, 0, 0, 0
0.244493, 0, 3.0308e-14, 0, 1.41421, -3.0308e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35034e-16, 0, 9.37956e-19, 1.76908e-17, 0, 3.00543e-14, 0, 0, 0
0.252383, 0, 5.88571e-14, 0, 1.41421, -5.88571e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.56419e-16, 0, 1.86394e-18, 3.52306e-17, 0, 5.83635e-14, 0, 0, 0
0.260273, 0, 1.13133e-13, 0, 1.41421, -1.13133e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.77299e-16, 0, 3.67385e-18, 6.96408e-17, 0, 1.12182e-13, 0, 0, 0
0.268164, 0, 2.14362e-13, 0, 1.41421, -2.14362e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66227e-15, 0, 7.13199e-18, 1.3559e-16, 0, 2.12557e-13, 0, 0, 0
0.276054, 0, 4.01378e-13, 0, 1.41421, -4.01378e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11243e-15, 0, 1.3692e-17, 2.6118e-16, 0, 3.9799e-13, 0, 0, 0
0.283944, 0, 7.42795e-13, 0, 1.41421, -7.42795e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75985e-15, 0, 2.60011e-17, 4.97889e-16, 0, 7.36512e-13, 0, 0, 0
0.291834, 0, 1.35883e-12, 0, 1.41421, -1.35883e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05367e-14, 0, 4.88545e-17, 9.39518e-16, 0, 1.3473e-12, 0, 0, 0
0.299724, 0, 2.45752e-12, 0, 1.41421, -2.45752e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90564e-14, 0, 9.08491e-17, 1.75537e-15, 0, 2.43662e-12, 0, 0, 0
0.307614, 0, 4.39469e-12, 0, 1.41421, -4.39469e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40784e-14, 0, 1.67252e-16, 3.24817e-15, 0, 4.3572e-12, 0, 0, 0
0.315505, 0, 7.77167e-12, 0, 1.41421, -7.77167e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02671e-14, 0, 3.04936e-16, 5.95442e-15, 0, 7.70514e-12, 0, 0, 0
0.323395, 0, 1.35928e-11, 0, 1.41421, -1.35928e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05415e-13, 0, 5.50794e-16, 1.08169e-14, 0, 1.34761e-11, 0, 0, 0
0.331285, 0, 2.35163e-11, 0, 1.41421, -2.35163e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8239e-13, 0, 9.86039e-16, 1.94791e-14, 0, 2.33134e-11, 0, 0, 0
0.339175, 0, 4.0248e-11, 4.90454e-44, 1.41421, -4.0248e-11, 0, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 4.90454e-44, 3.122e-13, 4.90454e-44, 1.75036e-15, 3.47853e-14, 4.90454e-44, 3.98992e-11, 4.90454e-44, 4.90454e-44, 4.90454e-44
0.347065, 0, 6.81532e-11, 9.08041e-43, 1.41421, -6.81532e-11, 0, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 5.28758e-13, 9.08041e-43, 3.0826e-15, 6.1625e-14, 9.08041e-43, 6.75598e-11, 9.08041e-43, 9.08041e-43, 9.08041e-43
0.354955, 0, 1.14195e-10, 1.40522e-41, 1.41421, -1.14195e-10, 0, 1.40522e-41, 1.40522e-41, 1.40522e-41, 1.40522e-41, 1.40522e-41, 1.40522e-41, 1.40522e-41, 1.40522e-41, 1.40522e-41, 8.8619e-13, 1.40522e-41, 5.38901e-15, 1.08352e-13, 1.40522e-41, 1.13195e-10, 1.40522e-41, 1.40522e-41, 1.40522e-41
0.362846, 0, 1.89383e-10, 8.67963e-40, 1.41421, -1.89383e-10, 0, 8.67963e-40, 8.67963e-40, 8.67963e-40, 8.67963e-40, 8.67963e-40, 8.67963e-40, 8.67963e-40, 8.67963e-40, 8.67963e-40, 1.47021e-12, 8.67963e-40, 9.37228e-15, 1.89447e-13, 8.67963e-40, 1.87714e-10, 8.67963e-40, 8.67963e-40, 8.67963e-40
0.370736, 0, 3.10799e-10, 9.61454e-39, 1.41421, -3.10799e-10, 0, 9.61454e-39, 9.61454e-39, 9.61454e-39, 9.61454e-39, 9.61454e-39, 9.61454e-39, 9.61454e-39, 9.61454e-39, 9.61454e-39, 2.41387e-12, 9.61454e-39, 1.61777e-14, 3.28608e-13, 9.61454e-39, 3.08041e-10, 9.61454e-39, 9.61454e-39, 9.61454e-39
