   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_370.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.600597, 0, 0.000163642, 8.10635e-07, 1.41421, -0.000163642, 1.2478e-06, 8.10635e-07, 8.10654e-07, 1.18566e-06, 4.02042e-06, 9.48058e-07, 3.35816e-06, 1.39788e-06, 1.5405e-06, 8.47338e-07, 1.31177e-06, 8.34726e-07, 8.36973e-07, 8.11292e-07, 8.1663e-07, 0.000151534, 8.10641e-07, 4.29925e-06, 8.10635e-07, 8.10635e-07
0.608464, 0, 0.000244168, 1.54778e-06, 1.41421, -0.000244168, 2.3842e-06, 1.54778e-06, 1.54782e-06, 2.2653e-06, 7.68898e-06, 1.81071e-06, 6.42189e-06, 2.67134e-06, 2.94421e-06, 1.61801e-06, 2.50658e-06, 1.57938e-06, 1.59817e-06, 1.54904e-06, 1.5596e-06, 0.00022303, 1.54779e-06, 6.20895e-06, 1.54778e-06, 1.54778e-06
0.61633, 0, 0.000362961, 2.88473e-06, 1.41421, -0.000362961, 4.44696e-06, 2.88473e-06, 2.8848e-06, 4.22489e-06, 1.43551e-05, 3.37582e-06, 1.19884e-05, 4.98329e-06, 5.49293e-06, 3.01589e-06, 4.67555e-06, 2.92597e-06, 2.97885e-06, 2.88708e-06, 2.9075e-06, 0.000325914, 2.88475e-06, 9.17494e-06, 2.88473e-06, 2.88473e-06
0.624197, 0, 0.000537895, 5.24932e-06, 1.41421, -0.000537895, 8.09842e-06, 5.24932e-06, 5.24944e-06, 7.69341e-06, 2.61682e-05, 6.14493e-06, 2.18521e-05, 9.07652e-06, 1.0006e-05, 5.48852e-06, 8.5153e-06, 5.3029e-06, 5.42097e-06, 5.2536e-06, 5.29216e-06, 0.000473221, 5.24936e-06, 1.3851e-05, 5.24932e-06, 5.24932e-06
0.632064, 0, 0.000795109, 9.328e-06, 1.41421, -0.000795109, 1.44025e-05, 9.328e-06, 9.32822e-06, 1.36812e-05, 4.65866e-05, 1.09232e-05, 3.88991e-05, 1.61446e-05, 1.78001e-05, 9.75404e-06, 1.5145e-05, 9.39734e-06, 9.63373e-06, 9.33563e-06, 9.40677e-06, 0.000683318, 9.32807e-06, 2.12732e-05, 9.328e-06, 9.328e-06
0.639931, 0, 0.00117267, 1.61905e-05, 1.41421, -0.00117267, 2.50194e-05, 1.61905e-05, 1.61908e-05, 2.37643e-05, 8.10148e-05, 1.89658e-05, 6.76398e-05, 2.80504e-05, 3.09306e-05, 1.69317e-05, 2.63112e-05, 1.62798e-05, 1.67224e-05, 1.62037e-05, 1.6332e-05, 0.000982117, 1.61906e-05, 3.30509e-05, 1.61905e-05, 1.61905e-05
0.647797, 0, 0.00172558, 2.74542e-05, 1.41421, -0.00172558, 4.24627e-05, 2.74542e-05, 2.74548e-05, 4.03291e-05, 0.000137651, 3.21721e-05, 0.000114914, 4.76152e-05, 5.25114e-05, 2.87142e-05, 4.46587e-05, 2.7569e-05, 2.83584e-05, 2.74767e-05, 2.77029e-05, 0.00140618, 2.74544e-05, 5.16198e-05, 2.74542e-05, 2.74542e-05
0.655664, 0, 0.00253251, 4.54918e-05, 1.41421, -0.00253251, 7.04254e-05, 4.54918e-05, 4.54929e-05, 6.6881e-05, 0.000228561, 5.33297e-05, 0.000190789, 7.89852e-05, 8.71192e-05, 4.75852e-05, 7.40737e-05, 4.5639e-05, 4.6994e-05, 4.55293e-05, 4.59193e-05, 0.002007, 4.54922e-05, 8.05693e-05, 4.54918e-05, 4.54918e-05
0.663531, 0, 0.00370437, 7.36777e-05, 1.41421, -0.00370437, 0.000114168, 7.36777e-05, 7.36795e-05, 0.000108412, 0.000370968, 8.64057e-05, 0.000309629, 0.000128068, 0.000141277, 7.70771e-05, 0.000120092, 7.38656e-05, 7.61171e-05, 7.37385e-05, 7.43965e-05, 0.0028566, 7.36782e-05, 0.000125043, 7.36777e-05, 7.36777e-05
0.671398, 0, 0.00539482, 0.00011666, 1.41421, -0.00539482, 0.000180949, 0.00011666, 0.000116662, 0.00017181, 0.000588689, 0.000136869, 0.000491297, 0.00020302, 0.000223992, 0.000122057, 0.000190356, 0.000116899, 0.000120533, 0.000116756, 0.000117842, 0.00405478, 0.000116661, 0.0001922, 0.00011666, 0.00011666
