   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_430.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00450946, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00335454, 0, 8.81885e-19, 0, 1.41421, -8.81885e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03889e-19, 0, 6.77996e-19, 0, 0
0.0112185, 0, 1.69804e-18, 0, 1.41421, -1.69804e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97969e-19, 0, 1.30007e-18, 0, 0
0.0190825, 0, 3.24116e-18, 0, 1.41421, -3.24116e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.70172e-19, 0, 2.47099e-18, 0, 0
0.0269465, 0, 6.13442e-18, 0, 1.41421, -6.13442e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47815e-18, 0, 4.65627e-18, 0, 0
0.0348106, 0, 1.15151e-17, 0, 1.41421, -1.15151e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81418e-18, 0, 8.70088e-18, 0, 0
0.0426746, 0, 2.1442e-17, 0, 1.41421, -2.1442e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31599e-18, 0, 1.6126e-17, 0, 0
0.0505386, 0, 3.96145e-17, 0, 1.41421, -3.96145e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.96564e-18, 0, 2.96488e-17, 0, 0
0.0584026, 0, 7.26282e-17, 0, 1.41421, -7.26282e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85438e-17, 0, 5.40844e-17, 0, 0
0.0662666, 0, 1.32157e-16, 0, 1.41421, -1.32157e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42564e-17, 0, 9.79004e-17, 0, 0
0.0741306, 0, 2.3871e-16, 0, 1.41421, -2.3871e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28357e-17, 0, 1.75874e-16, 0, 0
0.0819946, 0, 4.28066e-16, 0, 1.41421, -4.28066e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14462e-16, 0, 3.13604e-16, 0, 0
0.0898586, 0, 7.62192e-16, 0, 1.41421, -7.62192e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07094e-16, 0, 5.55099e-16, 0, 0
0.0977226, 0, 1.34767e-15, 0, 1.41421, -1.34767e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72205e-16, 0, 9.75469e-16, 0, 0
0.105587, 0, 2.36658e-15, 0, 1.41421, -2.36658e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64603e-16, 0, 1.70197e-15, 0, 0
0.113451, 0, 4.12783e-15, 0, 1.41421, -4.12783e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17913e-15, 0, 2.9487e-15, 0, 0
0.121315, 0, 7.15202e-15, 0, 1.41421, -7.15202e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07885e-15, 0, 5.07317e-15, 0, 0
0.129179, 0, 1.23108e-14, 0, 1.41421, -1.23108e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64249e-15, 0, 8.6683e-15, 0, 0
0.137043, 0, 2.10539e-14, 0, 1.41421, -2.10539e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.34349e-15, 0, 1.47104e-14, 0, 0
0.144907, 0, 3.57773e-14, 0, 1.41421, -3.57773e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09813e-14, 0, 2.4796e-14, 0, 0
