   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_375.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00634478, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00152395, 0, 5.65801e-21, 0, 1.41421, -5.65801e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02823e-22, 0, 0, 0, 2.16947e-21, 0, 3.38572e-21, 0, 0
0.00939269, 0, 1.22841e-20, 0, 1.41421, -1.22841e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2169e-22, 0, 0, 0, 4.76269e-21, 0, 7.29972e-21, 0, 0
0.0172614, 0, 2.63371e-20, 0, 1.41421, -2.63371e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7201e-22, 0, 0, 0, 1.0323e-20, 0, 1.55422e-20, 0, 0
0.0251301, 0, 5.57917e-20, 0, 1.41421, -5.57917e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.92945e-22, 0, 0, 0, 2.21034e-20, 0, 3.26953e-20, 0, 0
0.0329989, 0, 1.1683e-19, 0, 1.41421, -1.1683e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06473e-21, 0, 0, 0, 4.67782e-20, 0, 6.79866e-20, 0, 0
0.0408676, 0, 2.41937e-19, 0, 1.41421, -2.41937e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24557e-21, 0, 0, 0, 9.78943e-20, 0, 1.39797e-19, 0, 0
0.0487363, 0, 4.95662e-19, 0, 1.41421, -4.95662e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.63586e-21, 0, 0, 0, 2.02667e-19, 0, 2.84359e-19, 0, 0
0.0566051, 0, 1.00498e-18, 0, 1.41421, -1.00498e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73825e-20, 0, 0, 0, 4.1523e-19, 0, 5.72364e-19, 0, 0
0.0644738, 0, 2.01721e-18, 0, 1.41421, -2.01721e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46324e-20, 0, 0, 0, 8.42215e-19, 0, 1.14036e-18, 0, 0
