   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_91.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00196889, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00589269, 0, 5.60392e-17, 0, 1.41421, -5.60392e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90547e-19, 0, 1.38855e-21, 7.73105e-21, 0, 5.57395e-17, 0, 0
0.0137543, 0, 9.86285e-17, 0, 1.41421, -9.86285e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11359e-19, 0, 2.48404e-21, 1.3902e-20, 0, 9.81007e-17, 0, 0
0.0216159, 0, 1.7243e-16, 0, 1.41421, -1.7243e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.93993e-19, 0, 4.41497e-21, 2.48433e-20, 0, 1.71506e-16, 0, 0
0.0294775, 0, 2.99482e-16, 0, 1.41421, -2.99482e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55271e-18, 0, 7.79691e-21, 4.4126e-20, 0, 2.97877e-16, 0, 0
0.0373391, 0, 5.16794e-16, 0, 1.41421, -5.16794e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67939e-18, 0, 1.36831e-20, 7.79085e-20, 0, 5.14023e-16, 0, 0
0.0452006, 0, 8.86125e-16, 0, 1.41421, -8.86125e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59422e-18, 0, 2.38651e-20, 1.36753e-19, 0, 8.8137e-16, 0, 0
0.0530622, 0, 1.50987e-15, 0, 1.41421, -1.50987e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.82808e-18, 0, 4.13711e-20, 2.38669e-19, 0, 1.50177e-15, 0, 0
0.0609238, 0, 2.55675e-15, 0, 1.41421, -2.55675e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32556e-17, 0, 7.1289e-20, 4.14201e-19, 0, 2.54301e-15, 0, 0
0.0687854, 0, 4.30298e-15, 0, 1.41421, -4.30298e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2309e-17, 0, 1.22117e-19, 7.14863e-19, 0, 4.27984e-15, 0, 0
0.076647, 0, 7.19804e-15, 0, 1.41421, -7.19804e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73183e-17, 0, 2.07966e-19, 1.22708e-18, 0, 7.15928e-15, 0, 0
0.0845086, 0, 1.19688e-14, 0, 1.41421, -1.19688e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2052e-17, 0, 3.5213e-19, 2.09506e-18, 0, 1.19043e-14, 0, 0
0.0923702, 0, 1.97834e-14, 0, 1.41421, -1.97834e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02566e-16, 0, 5.92849e-19, 3.55821e-18, 0, 1.96767e-14, 0, 0
0.100232, 0, 3.25082e-14, 0, 1.41421, -3.25082e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68537e-16, 0, 9.92542e-19, 6.01192e-18, 0, 3.23326e-14, 0, 0
0.108093, 0, 5.31062e-14, 0, 1.41421, -5.31062e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75325e-16, 0, 1.65252e-18, 1.01058e-17, 0, 5.28191e-14, 0, 0
0.115955, 0, 8.62539e-14, 0, 1.41421, -8.62539e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.47177e-16, 0, 2.73631e-18, 1.69018e-17, 0, 8.57871e-14, 0, 0
0.123817, 0, 1.39288e-13, 0, 1.41421, -1.39288e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.22128e-16, 0, 4.50649e-18, 2.81273e-17, 0, 1.38533e-13, 0, 0
0.131678, 0, 2.23649e-13, 0, 1.41421, -2.23649e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15949e-15, 0, 7.38232e-18, 4.65784e-17, 0, 2.22435e-13, 0, 0
0.13954, 0, 3.57069e-13, 0, 1.41421, -3.57069e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85121e-15, 0, 1.20298e-17, 7.6758e-17, 0, 3.55129e-13, 0, 0
0.147401, 0, 5.66874e-13, 0, 1.41421, -5.66874e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93897e-15, 0, 1.95016e-17, 1.25895e-16, 0, 5.6379e-13, 0, 0
0.155263, 0, 8.94918e-13, 0, 1.41421, -8.94918e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63979e-15, 0, 3.1453e-17, 2.05515e-16, 0, 8.90042e-13, 0, 0
0.163124, 0, 1.40493e-12, 0, 1.41421, -1.40493e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.28418e-15, 0, 5.0474e-17, 3.33928e-16, 0, 1.39727e-12, 0, 0
0.170986, 0, 2.19339e-12, 0, 1.41421, -2.19339e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13725e-14, 0, 8.05993e-17, 5.40092e-16, 0, 2.1814e-12, 0, 0
0.178848, 0, 3.40545e-12, 0, 1.41421, -3.40545e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76576e-14, 0, 1.28087e-16, 8.69593e-16, 0, 3.3868e-12, 0, 0
0.186709, 0, 5.25828e-12, 0, 1.41421, -5.25828e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72662e-14, 0, 2.02599e-16, 1.39389e-15, 0, 5.22942e-12, 0, 0
0.194571, 0, 8.07482e-12, 0, 1.41421, -8.07482e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18739e-14, 0, 3.18991e-16, 2.22452e-15, 0, 8.0304e-12, 0, 0
0.202432, 0, 1.23325e-11, 0, 1.41421, -1.23325e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39587e-14, 0, 5.00023e-16, 3.53487e-15, 0, 1.22645e-11, 0, 0
0.210294, 0, 1.8733e-11, 0, 1.41421, -1.8733e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.7164e-14, 0, 7.80441e-16, 5.59342e-15, 0, 1.86294e-11, 0, 0
0.218156, 0, 2.83015e-11, 0, 1.41421, -2.83015e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46815e-13, 0, 1.21312e-15, 8.81428e-15, 0, 2.81446e-11, 0, 0
