   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_495.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.0751841, 0, 3.62843e-17, 0, 1.41421, -3.62843e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68533e-19, 0, 0, 3.18995e-22, 9.49853e-18, 0, 2.65169e-17, 0, 0
0.0830485, 0, 6.80307e-17, 0, 1.41421, -6.80307e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0067e-19, 0, 0, 6.03808e-22, 1.80895e-17, 0, 4.944e-17, 0, 0
0.0909129, 0, 1.26529e-16, 0, 1.41421, -1.26529e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.25811e-19, 0, 0, 1.13384e-21, 3.41807e-17, 0, 9.14216e-17, 0, 0
0.0987773, 0, 2.33474e-16, 0, 1.41421, -2.33474e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6981e-18, 0, 0, 2.11251e-21, 6.4091e-17, 0, 1.67683e-16, 0, 0
0.106642, 0, 4.27477e-16, 0, 1.41421, -4.27477e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08978e-18, 0, 0, 3.90573e-21, 1.19274e-16, 0, 3.05109e-16, 0, 0
0.114506, 0, 7.76734e-16, 0, 1.41421, -7.76734e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57789e-18, 0, 0, 7.16667e-21, 2.20344e-16, 0, 5.50804e-16, 0, 0
0.122371, 0, 1.40078e-15, 0, 1.41421, -1.40078e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.99152e-18, 0, 0, 1.30524e-20, 4.04131e-16, 0, 9.8664e-16, 0, 0
0.130235, 0, 2.50759e-15, 0, 1.41421, -2.50759e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77606e-17, 0, 0, 2.35978e-20, 7.35987e-16, 0, 1.75382e-15, 0, 0
0.138099, 0, 4.45638e-15, 0, 1.41421, -4.45638e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13317e-17, 0, 0, 4.23548e-20, 1.33107e-15, 0, 3.09394e-15, 0, 0
0.145964, 0, 7.86309e-15, 0, 1.41421, -7.86309e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4859e-17, 0, 0, 7.54799e-20, 2.39095e-15, 0, 5.4172e-15, 0, 0
0.153828, 0, 1.37764e-14, 0, 1.41421, -1.37764e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.53425e-17, 0, 0, 1.33569e-19, 4.26612e-15, 0, 9.41484e-15, 0, 0
0.161693, 0, 2.39691e-14, 0, 1.41421, -2.39691e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64485e-16, 0, 0, 2.34725e-19, 7.5619e-15, 0, 1.62424e-14, 0, 0
0.169557, 0, 4.14173e-14, 0, 1.41421, -4.14173e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81708e-16, 0, 0, 4.09675e-19, 1.33173e-14, 0, 2.78179e-14, 0, 0
0.177422, 0, 7.1083e-14, 0, 1.41421, -7.1083e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78996e-16, 0, 0, 7.10201e-19, 2.33041e-14, 0, 4.72992e-14, 0, 0
0.185286, 0, 1.21183e-13, 0, 1.41421, -1.21183e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.0863e-16, 0, 0, 1.223e-18, 4.05246e-14, 0, 7.98486e-14, 0, 0
0.19315, 0, 2.05234e-13, 0, 1.41421, -2.05234e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35543e-15, 0, 0, 2.09227e-18, 7.00355e-14, 0, 1.33841e-13, 0, 0
0.201015, 0, 3.45331e-13, 0, 1.41421, -3.45331e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25597e-15, 0, 0, 3.55631e-18, 1.20311e-13, 0, 2.2276e-13, 0, 0
0.208879, 0, 5.77344e-13, 0, 1.41421, -5.77344e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72857e-15, 0, 0, 6.00646e-18, 2.05449e-13, 0, 3.6816e-13, 0, 0
0.216744, 0, 9.5915e-13, 0, 1.41421, -9.5915e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.11959e-15, 0, 0, 1.00815e-17, 3.48788e-13, 0, 6.04232e-13, 0, 0
0.224608, 0, 1.58356e-12, 0, 1.41421, -1.58356e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.97458e-15, 0, 0, 1.68179e-17, 5.88742e-13, 0, 9.84822e-13, 0, 0
0.232472, 0, 2.59847e-12, 0, 1.41421, -2.59847e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61464e-14, 0, 0, 2.78888e-17, 9.88194e-13, 0, 1.5941e-12, 0, 0
0.240337, 0, 4.23822e-12, 0, 1.41421, -4.23822e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59587e-14, 0, 0, 4.59798e-17, 1.64956e-12, 0, 2.56266e-12, 0, 0
0.248201, 0, 6.87202e-12, 0, 1.41421, -6.87202e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1451e-14, 0, 0, 7.53804e-17, 2.73878e-12, 0, 4.09171e-12, 0, 0
0.256066, 0, 1.10782e-11, 0, 1.41421, -1.10782e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5743e-14, 0, 0, 1.22911e-16, 4.5235e-12, 0, 6.48887e-12, 0, 0
0.26393, 0, 1.77582e-11, 0, 1.41421, -1.77582e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03572e-13, 0, 0, 1.99369e-16, 7.43333e-12, 0, 1.02211e-11, 0, 0
0.271795, 0, 2.83096e-11, 0, 1.41421, -2.83096e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62079e-13, 0, 0, 3.21788e-16, 1.21551e-11, 0, 1.59921e-11, 0, 0
0.279659, 0, 4.48895e-11, 0, 1.41421, -4.48895e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51958e-13, 0, 0, 5.16951e-16, 1.97824e-11, 0, 2.48546e-11, 0, 0
0.287523, 0, 7.08121e-11, 0, 1.41421, -7.08121e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89096e-13, 0, 0, 8.26856e-16, 3.20502e-11, 0, 3.83721e-11, 0, 0
0.295388, 0, 1.1115e-10, 5.38099e-43, 1.41421, -1.1115e-10, 5.38099e-43, 0, 5.38099e-43, 5.38099e-43, 5.38099e-43, 5.38099e-43, 5.38099e-43, 5.38099e-43, 5.38099e-43, 5.38099e-43, 5.38099e-43, 5.38099e-43, 5.96945e-13, 5.38099e-43, 5.38099e-43, 1.31722e-15, 5.17018e-11, 5.38099e-43, 5.88497e-11, 5.38099e-43, 5.38099e-43
0.303252, 0, 1.73636e-10, 8.98513e-42, 1.41421, -1.73636e-10, 8.98513e-42, 0, 8.98513e-42, 8.98513e-42, 8.98513e-42, 8.98513e-42, 8.98513e-42, 8.98513e-42, 8.98513e-42, 8.98513e-42, 8.98513e-42, 8.98513e-42, 9.09868e-13, 8.98513e-42, 8.98513e-42, 2.09073e-15, 8.30626e-11, 8.98513e-42, 8.96618e-11, 8.98513e-42, 8.98513e-42
0.311117, 0, 2.70028e-10, 1.24801e-40, 1.41421, -2.70028e-10, 1.24801e-40, 0, 1.24801e-40, 1.24801e-40, 1.24801e-40, 1.24801e-40, 1.24801e-40, 1.24801e-40, 1.24801e-40, 1.24801e-40, 1.24801e-40, 1.24801e-40, 1.37788e-12, 1.24801e-40, 1.24801e-40, 3.30766e-15, 1.32935e-10, 1.24801e-40, 1.35712e-10, 1.24801e-40, 1.24801e-40
0.318981, 0, 4.18145e-10, 1.54254e-39, 1.41421, -4.18145e-10, 1.54254e-39, 0, 1.54254e-39, 1.54254e-39, 1.54254e-39, 1.54254e-39, 1.54254e-39, 1.54254e-39, 1.54254e-39, 1.54254e-39, 1.54254e-39, 1.54254e-39, 2.07324e-12, 1.54254e-39, 1.54254e-39, 5.21807e-15, 2.1199e-10, 1.54254e-39, 2.04077e-10, 1.54254e-39, 1.54254e-39
0.326846, 0, 6.44939e-10, 1.70602e-38, 1.41421, -6.44939e-10, 1.70602e-38, 0, 1.70602e-38, 1.70602e-38, 1.70602e-38, 1.70602e-38, 1.70602e-38, 1.70602e-38, 1.70602e-38, 1.70602e-38, 1.70602e-38, 1.70602e-38, 3.0997e-12, 1.70602e-38, 1.70602e-38, 8.21214e-15, 3.36941e-10, 1.70602e-38, 3.04891e-10, 1.70602e-38, 1.70602e-38
0.33471, 0, 9.91107e-10, 1.70856e-37, 1.41421, -9.91107e-10, 1.70856e-37, 0, 1.70856e-37, 1.70856e-37, 1.70856e-37, 1.70856e-37, 1.70856e-37, 1.70856e-37, 1.70856e-37, 1.70856e-37, 1.70856e-37, 1.70856e-37, 4.60516e-12, 1.70856e-37, 1.70856e-37, 1.2899e-14, 5.33917e-10, 1.70856e-37, 4.52571e-10, 1.70856e-37, 1.70856e-37
0.342574, 0, 1.51801e-09, 1.55661e-36, 1.41421, -1.51801e-09, 1.55661e-36, 0, 1.55661e-36, 1.55661e-36, 1.55661e-36, 1.55661e-36, 1.55661e-36, 1.55661e-36, 1.55661e-36, 1.55661e-36, 1.55661e-36, 1.55661e-36, 6.79904e-12, 1.55661e-36, 1.55661e-36, 2.02299e-14, 8.43714e-10, 1.55661e-36, 6.67475e-10, 1.55661e-36, 1.55661e-36
0.350439, 0, 2.31811e-09, 1.29775e-35, 1.41421, -2.31811e-09, 1.29775e-35, 0, 1.29775e-35, 1.29775e-35, 1.29775e-35, 1.29775e-35, 1.29775e-35, 1.29775e-35, 1.29775e-35, 1.29775e-35, 1.29775e-35, 1.29775e-35, 9.97602e-12, 1.29775e-35, 1.29775e-35, 3.16926e-14, 1.32995e-09, 1.29775e-35, 9.7815e-10, 1.29775e-35, 1.29775e-35
0.358303, 0, 3.53067e-09, 9.93832e-35, 1.41421, -3.53067e-09, 9.93832e-35, 0, 9.93832e-35, 9.93832e-35, 9.93832e-35, 9.93832e-35, 9.93832e-35, 9.93832e-35, 9.93832e-35, 9.93832e-35, 9.93832e-35, 9.93832e-35, 1.4548e-11, 9.93832e-35, 9.93832e-35, 4.96146e-14, 2.09173e-09, 9.93832e-35, 1.42434e-09, 9.93832e-35, 9.93832e-35
0.366168, 0, 5.36544e-09, 6.88728e-34, 1.41421, -5.36544e-09, 6.88728e-34, 0, 6.88728e-34, 6.88728e-34, 6.88728e-34, 6.88728e-34, 6.88728e-34, 6.88728e-34, 6.88728e-34, 6.88728e-34, 6.88728e-34, 6.88728e-34, 2.10871e-11, 6.88728e-34, 6.88728e-34, 7.76413e-14, 3.28327e-09, 6.88728e-34, 2.06101e-09, 6.88728e-34, 6.88728e-34
0.374032, 0, 8.13831e-09, 4.65558e-33, 1.41421, -8.13831e-09, 4.65558e-33, 0, 4.65558e-33, 4.65558e-33, 4.65558e-33, 4.65558e-33, 4.65558e-33, 4.65558e-33, 4.65558e-33, 4.65558e-33, 4.65558e-33, 4.65558e-33, 3.03829e-11, 4.65558e-33, 4.65558e-33, 1.21483e-13, 5.14423e-09, 4.65558e-33, 2.96358e-09, 4.65558e-33, 4.65558e-33
0.381896, 0, 1.23253e-08, 2.56615e-32, 1.41421, -1.23253e-08, 2.56615e-32, 0, 2.56615e-32, 2.56615e-32, 2.56615e-32, 2.56615e-32, 2.56615e-32, 2.56615e-32, 2.56615e-32, 2.56615e-32, 2.56615e-32, 2.56615e-32, 4.35188e-11, 2.56615e-32, 2.56615e-32, 1.90086e-13, 8.04666e-09, 2.56615e-32, 4.23493e-09, 2.56615e-32, 2.56615e-32
0.389761, 0, 1.86438e-08, 1.34315e-31, 1.41421, -1.86438e-08, 1.34315e-31, 0, 1.34315e-31, 1.34315e-31, 1.34315e-31, 1.34315e-31, 1.34315e-31, 1.34315e-31, 1.34315e-31, 1.34315e-31, 1.34315e-31, 1.34315e-31, 6.19726e-11, 1.34315e-31, 1.34315e-31, 2.97464e-13, 1.25672e-08, 1.34315e-31, 6.01433e-09, 1.34315e-31, 1.34315e-31
0.397625, 0, 2.81747e-08, 7.11828e-31, 1.41421, -2.81747e-08, 7.11828e-31, 0, 7.11828e-31, 7.11828e-31, 7.11828e-31, 7.11828e-31, 7.11828e-31, 7.11828e-31, 7.11828e-31, 7.11828e-31, 7.11828e-31, 7.11828e-31, 8.77476e-11, 7.11828e-31, 7.11828e-31, 4.65533e-13, 1.95974e-08, 7.11828e-31, 8.48904e-09, 7.11828e-31, 7.11828e-31
0.40549, 0, 4.25468e-08, 3.63767e-30, 1.41421, -4.25468e-08, 3.63767e-30, 0, 3.63767e-30, 3.63767e-30, 3.63767e-30, 3.63767e-30, 3.63767e-30, 3.63767e-30, 3.63767e-30, 3.63767e-30, 3.63767e-30, 3.63767e-30, 1.23545e-10, 3.63767e-30, 3.63767e-30, 7.28527e-13, 3.05133e-08, 3.63767e-30, 1.19092e-08, 3.63767e-30, 3.63767e-30
0.413354, 0, 6.42405e-08, 3.65539e-29, 1.41421, -6.42405e-08, 3.65539e-29, 0, 3.65539e-29, 3.65539e-29, 3.65539e-29, 3.65539e-29, 3.65539e-29, 3.65539e-29, 3.65539e-29, 3.65539e-29, 3.65539e-29, 3.65539e-29, 1.72991e-10, 3.65539e-29, 3.65539e-29, 1.14081e-12, 4.74594e-08, 3.65539e-29, 1.66069e-08, 3.65539e-29, 3.65539e-29
0.421219, 0, 9.68958e-08, 1.63212e-28, 1.41421, -9.68958e-08, 1.63212e-28, 0, 1.63212e-28, 1.63212e-28, 1.63212e-28, 1.63212e-28, 1.63212e-28, 1.63212e-28, 1.63212e-28, 1.63212e-28, 1.63212e-28, 1.63212e-28, 2.40911e-10, 1.63212e-28, 1.63212e-28, 1.78362e-12, 7.36341e-08, 1.63212e-28, 2.30189e-08, 1.63212e-28, 1.63212e-28
0.429083, 0, 1.46067e-07, 6.98001e-28, 1.41421, -1.46067e-07, 6.98001e-28, 0, 6.98001e-28, 6.98001e-28, 6.98001e-28, 6.98001e-28, 6.98001e-28, 6.98001e-28, 6.98001e-28, 6.98001e-28, 6.98001e-28, 6.98001e-28, 3.33717e-10, 6.98001e-28, 6.98001e-28, 2.78599e-12, 1.14013e-07, 6.98001e-28, 3.17178e-08, 6.98001e-28, 6.98001e-28
0.436947, 0, 2.20039e-07, 2.84711e-27, 1.41421, -2.20039e-07, 2.84711e-27, 0, 2.84711e-27, 2.84711e-27, 2.84711e-27, 2.84711e-27, 2.84711e-27, 2.84711e-27, 2.84711e-27, 2.84711e-27, 2.84711e-27, 2.84711e-27, 4.5987e-10, 2.84711e-27, 2.84711e-27, 4.34576e-12, 1.76127e-07, 2.84711e-27, 4.34477e-08, 2.84711e-27, 2.84711e-27
0.444812, 0, 3.31167e-07, 1.10874e-26, 1.41421, -3.31167e-07, 1.10874e-26, 0, 1.10874e-26, 1.10874e-26, 1.10874e-26, 1.10874e-26, 1.10874e-26, 1.10874e-26, 1.10874e-26, 1.10874e-26, 1.10874e-26, 1.10874e-26, 6.30485e-10, 1.10874e-26, 1.10874e-26, 6.76647e-12, 2.7136e-07, 1.10874e-26, 5.91702e-08, 1.10874e-26, 1.10874e-26
0.452676, 0, 4.9781e-07, 4.12678e-26, 1.41421, -4.9781e-07, 4.12678e-26, 0, 4.12678e-26, 4.12678e-26, 4.12678e-26, 4.12678e-26, 4.12678e-26, 4.12678e-26, 4.12678e-26, 4.12678e-26, 4.12678e-26, 4.12678e-26, 8.60086e-10, 4.12678e-26, 4.12678e-26, 1.05114e-11, 4.16821e-07, 4.12678e-26, 8.01189e-08, 4.12678e-26, 4.12678e-26
0.460541, 0, 7.47112e-07, 1.47062e-25, 1.41421, -7.47112e-07, 1.47062e-25, 0, 1.47062e-25, 1.47062e-25, 1.47062e-25, 1.47062e-25, 1.47062e-25, 1.47062e-25, 1.47062e-25, 1.47062e-25, 1.47062e-25, 1.47062e-25, 1.16756e-09, 1.47062e-25, 1.47062e-25, 1.62837e-11, 6.38061e-07, 1.47062e-25, 1.07867e-07, 1.47062e-25, 1.47062e-25
0.468405, 0, 1.11958e-06, 5.07433e-25, 1.41421, -1.11958e-06, 2.95571e-11, 0, 2.74429e-15, 4.93029e-15, 2.49706e-11, 2.10769e-10, 9.05088e-12, 1.65927e-10, 3.17669e-11, 5.86838e-11, 5.55401e-12, 4.55771e-11, 1.57739e-09, 2.18558e-12, 8.03432e-14, 2.51443e-11, 9.72971e-07, 4.559e-16, 1.44424e-07, 5.07433e-25, 5.07433e-25
0.47627, 0, 1.67375e-06, 5.37597e-11, 1.41421, -1.67375e-06, 1.50033e-10, 5.37597e-11, 5.37686e-11, 5.37757e-11, 1.35094e-10, 7.40275e-10, 8.32401e-11, 5.94214e-10, 1.5723e-10, 2.44904e-10, 7.18501e-11, 2.02213e-10, 2.17483e-09, 6.08785e-11, 5.40214e-11, 9.24444e-11, 1.47738e-06, 5.37612e-11, 1.92354e-07, 5.37597e-11, 5.37597e-11
0.484134, 0, 2.49513e-06, 1.72524e-10, 1.41421, -2.49513e-06, 4.15677e-10, 1.72524e-10, 1.72547e-10, 1.72565e-10, 3.77946e-10, 1.90643e-09, 2.46982e-10, 1.53753e-09, 4.33856e-10, 6.55289e-10, 2.18215e-10, 5.47466e-10, 3.01149e-09, 1.90504e-10, 1.73185e-10, 2.31798e-10, 2.23277e-06, 1.72528e-10, 2.54834e-07, 1.72524e-10, 1.72524e-10
0.491998, 0, 3.70757e-06, 4.30535e-10, 1.41421, -3.70757e-06, 9.89938e-10, 4.30535e-10, 4.30587e-10, 4.30628e-10, 9.03134e-10, 4.4196e-09, 6.01833e-10, 3.57089e-09, 1.03176e-09, 1.5412e-09, 5.35651e-10, 1.29314e-09, 4.21314e-09, 4.719e-10, 4.32055e-10, 5.20949e-10, 3.35716e-06, 4.30543e-10, 3.35916e-07, 4.30535e-10, 4.30535e-10
0.499863, 0, 5.48919e-06, 9.81973e-10, 1.41421, -5.48919e-06, 2.2081e-09, 9.81973e-10, 9.82087e-10, 9.82177e-10, 2.01784e-09, 9.72541e-09, 1.35743e-09, 7.86518e-09, 2.29977e-09, 3.41638e-09, 1.21237e-09, 2.87267e-09, 5.99932e-09, 1.07264e-09, 9.85306e-10, 1.11922e-09, 5.02011e-06, 9.81992e-10, 4.40671e-07, 9.81973e-10, 9.81973e-10
0.507727, 0, 8.09485e-06, 2.14089e-09, 1.41421, -8.09485e-06, 4.74412e-09, 2.14089e-09, 2.14113e-09, 2.14133e-09, 4.34018e-09, 2.07044e-08, 2.93805e-09, 1.67548e-08, 4.93875e-09, 7.30946e-09, 2.63006e-09, 6.15508e-09, 8.76667e-09, 2.33339e-09, 2.14797e-09, 2.34815e-09, 7.46315e-06, 2.14093e-09, 5.7556e-07, 2.14089e-09, 2.14089e-09
0.515592, 0, 1.18994e-05, 4.52901e-09, 1.41421, -1.18994e-05, 9.91966e-09, 4.52901e-09, 4.52951e-09, 4.52991e-09, 9.08318e-09, 4.29694e-08, 6.17972e-09, 3.47909e-08, 1.03227e-08, 1.52318e-08, 5.54196e-09, 1.28414e-08, 1.32406e-08, 4.92762e-09, 4.54366e-09, 4.84031e-09, 1.10395e-05, 4.52909e-09, 7.48866e-07, 4.52901e-09, 4.52901e-09
0.523456, 0, 1.74041e-05, 9.35198e-09, 1.41421, -1.74041e-05, 2.02727e-08, 9.35198e-09, 9.353e-09, 9.35381e-09, 1.85781e-08, 8.7227e-08, 1.26961e-08, 7.06585e-08, 2.10892e-08, 3.10345e-08, 1.14041e-08, 2.61918e-08, 2.07566e-08, 1.01595e-08, 9.38167e-09, 9.81691e-09, 1.62144e-05, 9.35215e-09, 9.71406e-07, 9.35198e-09, 9.35198e-09
