   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_33.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00539481, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00248126, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0103573, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0182334, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0261095, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0339855, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0418616, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0497377, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0576137, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0654898, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0733659, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.081242, 0, 4.11773e-30, 0, 1.41421, -4.11773e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58972e-32, 0, 0, 6.99747e-35, 0, 1.59851e-35, 0, 4.10174e-30, 0, 0, 0
0.089118, 0, 4.48044e-29, 0, 1.41421, -4.48044e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7296e-31, 0, 0, 7.61318e-34, 0, 4.04524e-33, 0, 4.46266e-29, 0, 0, 0
0.0969941, 0, 3.05978e-28, 0, 1.41421, -3.05978e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18112e-30, 0, 0, 5.19894e-33, 0, 4.21976e-32, 0, 3.04749e-28, 0, 0, 0
0.10487, 0, 1.67018e-27, 0, 1.41421, -1.67018e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.44695e-30, 0, 0, 2.84376e-32, 0, 2.82178e-31, 0, 1.66343e-27, 0, 0, 0
0.112746, 0, 7.94035e-27, 0, 1.41421, -7.94035e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06493e-29, 0, 0, 1.35825e-31, 0, 1.51967e-30, 0, 7.90804e-27, 0, 0, 0
0.120622, 0, 3.4263e-26, 0, 1.41421, -3.4263e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32251e-28, 0, 0, 5.89845e-31, 0, 7.15408e-30, 0, 3.4123e-26, 0, 0, 0
