   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_67.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0144498, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00653221, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00138535, 0, 6.0213e-25, 0, 1.41421, -6.0213e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02953e-27, 0, 0, 1.55612e-29, 0, 6.78449e-29, 0, 5.99017e-25, 0, 0, 0
0.00930291, 0, 1.73579e-24, 0, 1.41421, -1.73579e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.73334e-27, 0, 0, 4.52236e-29, 0, 2.03989e-28, 0, 1.72681e-24, 0, 0, 0
0.0172205, 0, 4.84648e-24, 0, 1.41421, -4.84648e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43841e-26, 0, 0, 1.27334e-28, 0, 5.90989e-28, 0, 4.82138e-24, 0, 0, 0
0.025138, 0, 1.31551e-23, 0, 1.41421, -1.31551e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.61873e-26, 0, 0, 3.48636e-28, 0, 1.65804e-27, 0, 1.30869e-23, 0, 0, 0
0.0330556, 0, 3.48145e-23, 0, 1.41421, -3.48145e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75161e-25, 0, 0, 9.30866e-28, 0, 4.52156e-27, 0, 3.46339e-23, 0, 0, 0
0.0409731, 0, 9.00377e-23, 0, 1.41421, -9.00377e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53002e-25, 0, 0, 2.42934e-27, 0, 1.20209e-26, 0, 8.95702e-23, 0, 0, 0
0.0488907, 0, 2.27987e-22, 0, 1.41421, -2.27987e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14705e-24, 0, 0, 6.20863e-27, 0, 3.1229e-26, 0, 2.26802e-22, 0, 0, 0
0.0568083, 0, 5.66106e-22, 0, 1.41421, -5.66106e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8482e-24, 0, 0, 1.55629e-26, 0, 7.94306e-26, 0, 5.63162e-22, 0, 0, 0
0.0647258, 0, 1.38025e-21, 0, 1.41421, -1.38025e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.94431e-24, 0, 0, 3.83128e-26, 0, 1.98116e-25, 0, 1.37307e-21, 0, 0, 0
0.0726434, 0, 3.30811e-21, 0, 1.41421, -3.30811e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66437e-23, 0, 0, 9.2736e-26, 0, 4.85224e-25, 0, 3.29089e-21, 0, 0, 0
0.080561, 0, 7.80156e-21, 0, 1.41421, -7.80156e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92509e-23, 0, 0, 2.20914e-25, 0, 1.16828e-24, 0, 7.76092e-21, 0, 0, 0
0.0884785, 0, 1.81187e-20, 0, 1.41421, -1.81187e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.11579e-23, 0, 0, 5.18368e-25, 0, 2.76802e-24, 0, 1.80243e-20, 0, 0, 0
0.0963961, 0, 4.14701e-20, 0, 1.41421, -4.14701e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08641e-22, 0, 0, 1.19898e-24, 0, 6.45915e-24, 0, 4.12538e-20, 0, 0, 0
0.104314, 0, 9.36017e-20, 0, 1.41421, -9.36017e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70921e-22, 0, 0, 2.73543e-24, 0, 1.48558e-23, 0, 9.31132e-20, 0, 0, 0
0.112231, 0, 2.08458e-19, 0, 1.41421, -2.08458e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04877e-21, 0, 0, 6.1593e-24, 0, 3.36985e-23, 0, 2.07369e-19, 0, 0, 0
0.120149, 0, 4.58307e-19, 0, 1.41421, -4.58307e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30578e-21, 0, 0, 1.36946e-23, 0, 7.54365e-23, 0, 4.55912e-19, 0, 0, 0
0.128066, 0, 9.95162e-19, 0, 1.41421, -9.95162e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00672e-21, 0, 0, 3.00802e-23, 0, 1.66737e-22, 0, 9.89959e-19, 0, 0, 0
0.135984, 0, 2.13502e-18, 0, 1.41421, -2.13502e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07414e-20, 0, 0, 6.52983e-23, 0, 3.64052e-22, 0, 2.12385e-18, 0, 0, 0
0.143901, 0, 4.52728e-18, 0, 1.41421, -4.52728e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27769e-20, 0, 0, 1.40143e-22, 0, 7.85524e-22, 0, 4.50358e-18, 0, 0, 0
0.151819, 0, 9.49157e-18, 0, 1.41421, -9.49157e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77521e-20, 0, 0, 2.97465e-22, 0, 1.67566e-21, 0, 9.44184e-18, 0, 0, 0
0.159737, 0, 1.96802e-17, 0, 1.41421, -1.96802e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.90107e-20, 0, 0, 6.24632e-22, 0, 3.53499e-21, 0, 1.9577e-17, 0, 0, 0
0.167654, 0, 4.03667e-17, 0, 1.41421, -4.03667e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03084e-19, 0, 0, 1.29795e-21, 0, 7.37745e-21, 0, 4.0155e-17, 0, 0, 0
0.175572, 0, 8.19267e-17, 0, 1.41421, -8.19267e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12169e-19, 0, 0, 2.66958e-21, 0, 1.52357e-20, 0, 8.14966e-17, 0, 0, 0
0.183489, 0, 1.6456e-16, 0, 1.41421, -1.6456e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.27891e-19, 0, 0, 5.436e-21, 0, 3.11438e-20, 0, 1.63696e-16, 0, 0, 0
