   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_639.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.171602, 0, 7.09249e-16, 0, 1.41421, -7.09249e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77887e-20, 0, 1.7684e-16, 0, 5.32391e-16, 0, 0
0.179469, 0, 1.35796e-15, 0, 1.41421, -1.35796e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44538e-20, 0, 3.43698e-16, 0, 1.01423e-15, 0, 0
0.187336, 0, 2.57575e-15, 0, 1.41421, -2.57575e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.61223e-20, 0, 6.61956e-16, 0, 1.91373e-15, 0, 0
0.195203, 0, 4.84077e-15, 0, 1.41421, -4.84077e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2576e-19, 0, 1.26363e-15, 0, 3.57701e-15, 0, 0
0.203069, 0, 9.01538e-15, 0, 1.41421, -9.01538e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37073e-19, 0, 2.39127e-15, 0, 6.62387e-15, 0, 0
0.210936, 0, 1.66408e-14, 0, 1.41421, -1.66408e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43036e-19, 0, 4.48674e-15, 0, 1.21536e-14, 0, 0
0.218803, 0, 3.04469e-14, 0, 1.41421, -3.04469e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.20868e-19, 0, 8.34829e-15, 0, 2.20978e-14, 0, 0
0.22667, 0, 5.52261e-14, 0, 1.41421, -5.52261e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50815e-18, 0, 1.54062e-14, 0, 3.98184e-14, 0, 0
0.234537, 0, 9.93184e-14, 0, 1.41421, -9.93184e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74797e-18, 0, 2.82029e-14, 0, 7.11127e-14, 0, 0
0.242404, 0, 1.77113e-13, 0, 1.41421, -1.77113e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96633e-18, 0, 5.12216e-14, 0, 1.25886e-13, 0, 0
0.25027, 0, 3.13224e-13, 0, 1.41421, -3.13224e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.90388e-18, 0, 9.23083e-14, 0, 2.20907e-13, 0, 0
0.258137, 0, 5.49418e-13, 0, 1.41421, -5.49418e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58384e-17, 0, 1.65099e-13, 0, 3.84303e-13, 0, 0
0.266004, 0, 9.55953e-13, 0, 1.41421, -9.55953e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79578e-17, 0, 2.931e-13, 0, 6.62825e-13, 0, 0
