   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_245.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0359684, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0279554, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0199424, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0119295, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00391648, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0040965, 0, 5.96003e-23, 0, 1.41421, -5.96003e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58118e-25, 0, 0, 1.12411e-28, 3.52489e-27, 0, 5.94386e-23, 0, 0
0.0121095, 0, 1.88717e-22, 0, 1.41421, -1.88717e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00659e-25, 0, 0, 3.6504e-28, 1.1737e-26, 0, 1.88204e-22, 0, 0
0.0201225, 0, 4.98655e-22, 0, 1.41421, -4.98655e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32291e-24, 0, 0, 9.7801e-28, 3.17963e-26, 0, 4.973e-22, 0, 0
0.0281354, 0, 1.28785e-21, 0, 1.41421, -1.28785e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41659e-24, 0, 0, 2.56106e-27, 8.40216e-26, 0, 1.28434e-21, 0, 0
0.0361484, 0, 3.25701e-21, 0, 1.41421, -3.25701e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.64068e-24, 0, 0, 6.56748e-27, 2.17063e-25, 0, 3.24815e-21, 0, 0
0.0441614, 0, 8.0788e-21, 0, 1.41421, -8.0788e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14326e-23, 0, 0, 1.65184e-26, 5.49257e-25, 0, 8.0568e-21, 0, 0
0.0521744, 0, 1.96795e-20, 0, 1.41421, -1.96795e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.22086e-23, 0, 0, 4.08038e-26, 1.36344e-24, 0, 1.96259e-20, 0, 0
0.0601873, 0, 4.71314e-20, 0, 1.41421, -4.71314e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25037e-22, 0, 0, 9.91047e-26, 3.32458e-24, 0, 4.70029e-20, 0, 0
0.0682003, 0, 1.11084e-19, 0, 1.41421, -1.11084e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94699e-22, 0, 0, 2.36905e-25, 7.9719e-24, 0, 1.10781e-19, 0, 0
0.0762133, 0, 2.5787e-19, 0, 1.41421, -2.5787e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.84111e-22, 0, 0, 5.57836e-25, 1.8816e-23, 0, 2.57167e-19, 0, 0
0.0842263, 0, 5.90032e-19, 0, 1.41421, -5.90032e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56531e-21, 0, 0, 1.29485e-24, 4.37523e-23, 0, 5.88422e-19, 0, 0
0.0922393, 0, 1.33153e-18, 0, 1.41421, -1.33153e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53246e-21, 0, 0, 2.96476e-24, 1.00299e-22, 0, 1.3279e-18, 0, 0
0.100252, 0, 2.96536e-18, 0, 1.41421, -2.96536e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.86686e-21, 0, 0, 6.69998e-24, 2.2683e-22, 0, 2.95726e-18, 0, 0
0.108265, 0, 6.52028e-18, 0, 1.41421, -6.52028e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72978e-20, 0, 0, 1.49517e-23, 5.06356e-22, 0, 6.50246e-18, 0, 0
0.116278, 0, 1.41616e-17, 0, 1.41421, -1.41616e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75696e-20, 0, 0, 3.29645e-23, 1.11632e-21, 0, 1.41229e-17, 0, 0
0.124291, 0, 3.03943e-17, 0, 1.41421, -3.03943e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.06334e-20, 0, 0, 7.18313e-23, 2.43163e-21, 0, 3.03112e-17, 0, 0
0.132304, 0, 6.44847e-17, 0, 1.41421, -6.44847e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71072e-19, 0, 0, 1.54759e-22, 5.23553e-21, 0, 6.43082e-17, 0, 0
0.140317, 0, 1.35284e-16, 0, 1.41421, -1.35284e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58895e-19, 0, 0, 3.29777e-22, 1.11465e-20, 0, 1.34913e-16, 0, 0
0.14833, 0, 2.80726e-16, 0, 1.41421, -2.80726e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.44738e-19, 0, 0, 6.95239e-22, 2.34738e-20, 0, 2.79957e-16, 0, 0
