   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0906827, 0, 3.13179e-15, 0, 1.41421, -3.13179e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56156e-17, 0, 2.69069e-20, 7.00334e-17, 0, 3.04611e-15, 0, 0
0.0985546, 0, 5.35997e-15, 0, 1.41421, -5.35997e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67103e-17, 0, 4.68413e-20, 1.22872e-16, 0, 5.21034e-15, 0, 0
0.106427, 0, 9.11342e-15, 0, 1.41421, -9.11342e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53874e-17, 0, 8.10299e-20, 2.14295e-16, 0, 8.85366e-15, 0, 0
0.114299, 0, 1.5395e-14, 0, 1.41421, -1.5395e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.66227e-17, 0, 1.39301e-19, 3.71561e-16, 0, 1.49467e-14, 0, 0
0.122171, 0, 2.58397e-14, 0, 1.41421, -2.58397e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28521e-16, 0, 2.38011e-19, 6.40547e-16, 0, 2.50703e-14, 0, 0
0.130043, 0, 4.30953e-14, 0, 1.41421, -4.30953e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14196e-16, 0, 4.04208e-19, 1.09802e-15, 0, 4.17826e-14, 0, 0
0.137915, 0, 7.1422e-14, 0, 1.41421, -7.1422e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54725e-16, 0, 6.82359e-19, 1.87175e-15, 0, 6.91948e-14, 0, 0
0.145787, 0, 1.17631e-13, 0, 1.41421, -1.17631e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.83766e-16, 0, 1.14514e-18, 3.17322e-15, 0, 1.13872e-13, 0, 0
0.153659, 0, 1.92537e-13, 0, 1.41421, -1.92537e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.54714e-16, 0, 1.91061e-18, 5.35053e-15, 0, 1.86229e-13, 0, 0
0.161531, 0, 3.13209e-13, 0, 1.41421, -3.13209e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55173e-15, 0, 3.16952e-18, 8.97371e-15, 0, 3.02681e-13, 0, 0
0.169403, 0, 5.06413e-13, 0, 1.41421, -5.06413e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5066e-15, 0, 5.22831e-18, 1.49726e-14, 0, 4.88928e-13, 0, 0
0.177275, 0, 8.13844e-13, 0, 1.41421, -8.13844e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02436e-15, 0, 8.57661e-18, 2.48532e-14, 0, 7.84958e-13, 0, 0
0.185147, 0, 1.30006e-12, 0, 1.41421, -1.30006e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.42197e-15, 0, 1.39926e-17, 4.10452e-14, 0, 1.25257e-12, 0, 0
0.193019, 0, 2.06436e-12, 0, 1.41421, -2.06436e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01863e-14, 0, 2.27068e-17, 6.74491e-14, 0, 1.9867e-12, 0, 0
0.20089, 0, 3.25858e-12, 0, 1.41421, -3.25858e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60603e-14, 0, 3.66566e-17, 1.10296e-13, 0, 3.13218e-12, 0, 0
0.208762, 0, 5.11334e-12, 0, 1.41421, -5.11334e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51709e-14, 0, 5.8876e-17, 1.79495e-13, 0, 4.90862e-12, 0, 0
0.216634, 0, 7.97689e-12, 0, 1.41421, -7.97689e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92157e-14, 0, 9.40977e-17, 2.90734e-13, 0, 7.64684e-12, 0, 0
0.224506, 0, 1.23717e-11, 0, 1.41421, -1.23717e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.07371e-14, 0, 1.49673e-16, 4.68741e-13, 0, 1.1842e-11, 0, 0
0.232378, 0, 1.90768e-11, 0, 1.41421, -1.90768e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.35175e-14, 0, 2.3698e-16, 7.52336e-13, 0, 1.82307e-11, 0, 0
