   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_150.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00423254, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0036379, 0, 1.34419e-19, 0, 1.41421, -1.34419e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.88304e-22, 0, 0, 1.29359e-24, 6.34588e-22, 0, 1.33095e-19, 0, 0
0.0115083, 0, 2.73826e-19, 0, 1.41421, -2.73826e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40201e-21, 0, 0, 2.66994e-24, 1.31934e-21, 0, 2.71102e-19, 0, 0
0.0193788, 0, 5.51974e-19, 0, 1.41421, -5.51974e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82587e-21, 0, 0, 5.4541e-24, 2.714e-21, 0, 5.46428e-19, 0, 0
0.0272492, 0, 1.10137e-18, 0, 1.41421, -1.10137e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.63795e-21, 0, 0, 1.10307e-23, 5.5261e-21, 0, 1.09019e-18, 0, 0
0.0351197, 0, 2.17593e-18, 0, 1.41421, -2.17593e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11375e-20, 0, 0, 2.20942e-23, 1.11414e-20, 0, 2.15362e-18, 0, 0
0.0429901, 0, 4.25766e-18, 0, 1.41421, -4.25766e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17906e-20, 0, 0, 4.38392e-23, 2.22493e-20, 0, 4.21358e-18, 0, 0
0.0508605, 0, 8.25311e-18, 0, 1.41421, -8.25311e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22346e-20, 0, 0, 8.61917e-23, 4.40223e-20, 0, 8.16676e-18, 0, 0
0.058731, 0, 1.58519e-17, 0, 1.41421, -1.58519e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.11117e-20, 0, 0, 1.67954e-22, 8.63241e-20, 0, 1.56843e-17, 0, 0
0.0666014, 0, 3.01753e-17, 0, 1.41421, -3.01753e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54384e-19, 0, 0, 3.24435e-22, 1.67804e-19, 0, 2.98528e-17, 0, 0
0.0744719, 0, 5.69385e-17, 0, 1.41421, -5.69385e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91277e-19, 0, 0, 6.21384e-22, 3.23434e-19, 0, 5.63232e-17, 0, 0
0.0823423, 0, 1.06519e-16, 0, 1.41421, -1.06519e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44844e-19, 0, 0, 1.18027e-21, 6.18307e-19, 0, 1.05355e-16, 0, 0
0.0902128, 0, 1.99435e-16, 0, 1.41421, -1.99435e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01995e-18, 0, 0, 2.25119e-21, 1.18893e-18, 0, 1.97224e-16, 0, 0
0.0980832, 0, 3.66523e-16, 0, 1.41421, -3.66523e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87421e-18, 0, 0, 4.20222e-21, 2.23418e-18, 0, 3.62411e-16, 0, 0
0.105954, 0, 6.68185e-16, 0, 1.41421, -6.68185e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41628e-18, 0, 0, 7.78342e-21, 4.16663e-18, 0, 6.60594e-16, 0, 0
0.113824, 0, 1.20848e-15, 0, 1.41421, -1.20848e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.17775e-18, 0, 0, 1.43068e-20, 7.71303e-18, 0, 1.19457e-15, 0, 0
0.121695, 0, 2.16856e-15, 0, 1.41421, -2.16856e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1084e-17, 0, 0, 2.61002e-20, 1.41744e-17, 0, 2.14328e-15, 0, 0
0.129565, 0, 3.86136e-15, 0, 1.41421, -3.86136e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9733e-17, 0, 0, 4.7263e-20, 2.58632e-17, 0, 3.81572e-15, 0, 0
0.137435, 0, 6.82313e-15, 0, 1.41421, -6.82313e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48628e-17, 0, 0, 8.49613e-20, 4.68614e-17, 0, 6.74132e-15, 0, 0
0.145306, 0, 1.19658e-14, 0, 1.41421, -1.19658e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.11281e-17, 0, 0, 1.51632e-19, 8.4326e-17, 0, 1.18201e-14, 0, 0
0.153176, 0, 2.08278e-14, 0, 1.41421, -2.08278e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0638e-16, 0, 0, 2.68705e-19, 1.5072e-16, 0, 2.05704e-14, 0, 0
0.161047, 0, 3.59853e-14, 0, 1.41421, -3.59853e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83763e-16, 0, 0, 4.72842e-19, 2.67604e-16, 0, 3.55335e-14, 0, 0
