   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_706.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.197084, 0, 3.58123e-10, 0, 1.41421, -3.58123e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24822e-12, 0, 0, 2.30954e-12, 0, 0, 3.54565e-10, 0, 0, 0
0.204968, 0, 4.9645e-10, 0, 1.41421, -4.9645e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73077e-12, 0, 0, 3.34254e-12, 0, 0, 4.91376e-10, 0, 0, 0
0.212851, 0, 6.85503e-10, 1.21913e-43, 1.41421, -6.85503e-10, 0, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 2.39056e-12, 1.21913e-43, 1.21913e-43, 4.83243e-12, 1.21913e-43, 1.21913e-43, 6.7828e-10, 1.21913e-43, 1.21913e-43, 1.21913e-43
0.220734, 0, 9.42851e-10, 2.04029e-42, 1.41421, -9.42851e-10, 0, 2.04029e-42, 2.04029e-42, 2.04029e-42, 2.04029e-42, 2.04029e-42, 2.04029e-42, 2.04029e-42, 2.04029e-42, 2.04029e-42, 2.04029e-42, 2.04029e-42, 3.28916e-12, 2.04029e-42, 2.04029e-42, 6.98063e-12, 2.04029e-42, 2.04029e-42, 9.32581e-10, 2.04029e-42, 2.04029e-42, 2.04029e-42
0.228618, 0, 1.29176e-09, 2.92129e-41, 1.41421, -1.29176e-09, 0, 2.92129e-41, 2.92129e-41, 2.92129e-41, 2.92129e-41, 2.92129e-41, 2.92129e-41, 2.92129e-41, 2.92129e-41, 2.92129e-41, 2.92129e-41, 2.92129e-41, 4.50821e-12, 2.92129e-41, 2.92129e-41, 1.00777e-11, 2.92129e-41, 2.92129e-41, 1.27718e-09, 2.92129e-41, 2.92129e-41, 2.92129e-41
0.236501, 0, 1.76295e-09, 3.7112e-40, 1.41421, -1.76295e-09, 0, 3.7112e-40, 3.7112e-40, 3.7112e-40, 3.7112e-40, 3.7112e-40, 3.7112e-40, 3.7112e-40, 3.7112e-40, 3.7112e-40, 3.7112e-40, 3.7112e-40, 6.15558e-12, 3.7112e-40, 3.7112e-40, 1.45432e-11, 3.7112e-40, 3.7112e-40, 1.74225e-09, 3.7112e-40, 3.7112e-40, 3.7112e-40
0.244385, 0, 2.39674e-09, 4.22402e-39, 1.41421, -2.39674e-09, 0, 4.22402e-39, 4.22402e-39, 4.22402e-39, 4.22402e-39, 4.22402e-39, 4.22402e-39, 4.22402e-39, 4.22402e-39, 4.22402e-39, 4.22402e-39, 4.22402e-39, 8.37318e-12, 4.22402e-39, 4.22402e-39, 2.09833e-11, 4.22402e-39, 4.22402e-39, 2.36738e-09, 4.22402e-39, 4.22402e-39, 4.22402e-39
0.252268, 0, 3.24589e-09, 4.33533e-38, 1.41421, -3.24589e-09, 0, 4.33533e-38, 4.33533e-38, 4.33533e-38, 4.33533e-38, 4.33533e-38, 4.33533e-38, 4.33533e-38, 4.33533e-38, 4.33533e-38, 4.33533e-38, 4.33533e-38, 1.1347e-11, 4.33533e-38, 4.33533e-38, 3.02742e-11, 4.33533e-38, 4.33533e-38, 3.20427e-09, 4.33533e-38, 4.33533e-38, 4.33533e-38
0.260152, 0, 4.37918e-09, 4.03355e-37, 1.41421, -4.37918e-09, 0, 4.03355e-37, 4.03355e-37, 4.03355e-37, 4.03355e-37, 4.03355e-37, 4.03355e-37, 4.03355e-37, 4.03355e-37, 4.03355e-37, 4.03355e-37, 4.03355e-37, 1.53199e-11, 4.03355e-37, 4.03355e-37, 4.36836e-11, 4.03355e-37, 4.03355e-37, 4.32017e-09, 4.03355e-37, 4.03355e-37, 4.03355e-37
0.268035, 0, 5.88583e-09, 3.42003e-36, 1.41421, -5.88583e-09, 0, 3.42003e-36, 3.42003e-36, 3.42003e-36, 3.42003e-36, 3.42003e-36, 3.42003e-36, 3.42003e-36, 3.42003e-36, 3.42003e-36, 3.42003e-36, 3.42003e-36, 2.06076e-11, 3.42003e-36, 3.42003e-36, 6.30455e-11, 3.42003e-36, 3.42003e-36, 5.80218e-09, 3.42003e-36, 3.42003e-36, 3.42003e-36
0.275919, 0, 7.88119e-09, 2.65621e-35, 1.41421, -7.88119e-09, 0, 2.65621e-35, 2.65621e-35, 2.65621e-35, 2.65621e-35, 2.65621e-35, 2.65621e-35, 2.65621e-35, 2.65621e-35, 2.65621e-35, 2.65621e-35, 2.65621e-35, 2.76194e-11, 2.65621e-35, 2.65621e-35, 9.10134e-11, 2.65621e-35, 2.65621e-35, 7.76255e-09, 2.65621e-35, 2.65621e-35, 2.65621e-35
0.283802, 0, 1.05137e-08, 1.89867e-34, 1.41421, -1.05137e-08, 0, 1.89867e-34, 1.89867e-34, 1.89867e-34, 1.89867e-34, 1.89867e-34, 1.89867e-34, 1.89867e-34, 1.89867e-34, 1.89867e-34, 1.89867e-34, 1.89867e-34, 3.68832e-11, 1.89867e-34, 1.89867e-34, 1.31425e-10, 1.89867e-34, 1.89867e-34, 1.03454e-08, 1.89867e-34, 1.89867e-34, 1.89867e-34
0.291686, 0, 1.3974e-08, 1.27057e-33, 1.41421, -1.3974e-08, 0, 1.27057e-33, 1.27057e-33, 1.27057e-33, 1.27057e-33, 1.27057e-33, 1.27057e-33, 1.27057e-33, 1.27057e-33, 1.27057e-33, 1.27057e-33, 1.27057e-33, 4.90785e-11, 1.27057e-33, 1.27057e-33, 1.89829e-10, 1.27057e-33, 1.27057e-33, 1.37351e-08, 1.27057e-33, 1.27057e-33, 1.27057e-33
0.299569, 0, 1.85054e-08, 8.29703e-33, 1.41421, -1.85054e-08, 0, 8.29703e-33, 8.29703e-33, 8.29703e-33, 8.29703e-33, 8.29703e-33, 8.29703e-33, 8.29703e-33, 8.29703e-33, 8.29703e-33, 8.29703e-33, 8.29703e-33, 6.50757e-11, 8.29703e-33, 8.29703e-33, 2.74236e-10, 8.29703e-33, 8.29703e-33, 1.81661e-08, 8.29703e-33, 8.29703e-33, 8.29703e-33
0.307452, 0, 2.44178e-08, 5.17945e-32, 1.41421, -2.44178e-08, 0, 5.17945e-32, 5.17945e-32, 5.17945e-32, 5.17945e-32, 5.17945e-32, 5.17945e-32, 5.17945e-32, 5.17945e-32, 5.17945e-32, 5.17945e-32, 5.17945e-32, 8.59868e-11, 5.17945e-32, 5.17945e-32, 3.96202e-10, 5.17945e-32, 5.17945e-32, 2.39356e-08, 5.17945e-32, 5.17945e-32, 5.17945e-32
0.315336, 0, 3.21046e-08, 2.98517e-31, 1.41421, -3.21046e-08, 0, 2.98517e-31, 2.98517e-31, 2.98517e-31, 2.98517e-31, 2.98517e-31, 2.98517e-31, 2.98517e-31, 2.98517e-31, 2.98517e-31, 2.98517e-31, 2.98517e-31, 1.13227e-10, 2.98517e-31, 2.98517e-31, 5.72362e-10, 2.98517e-31, 2.98517e-31, 3.1419e-08, 2.98517e-31, 2.98517e-31, 2.98517e-31
0.323219, 0, 4.20629e-08, 1.62052e-30, 1.41421, -4.20629e-08, 0, 1.62052e-30, 1.62052e-30, 1.62052e-30, 1.62052e-30, 1.62052e-30, 1.62052e-30, 1.62052e-30, 1.62052e-30, 1.62052e-30, 1.62052e-30, 1.62052e-30, 1.48591e-10, 1.62052e-30, 1.62052e-30, 8.26624e-10, 1.62052e-30, 1.62052e-30, 4.10877e-08, 1.62052e-30, 1.62052e-30, 1.62052e-30
0.331103, 0, 5.49197e-08, 8.25364e-30, 1.41421, -5.49197e-08, 0, 8.25364e-30, 8.25364e-30, 8.25364e-30, 8.25364e-30, 8.25364e-30, 8.25364e-30, 8.25364e-30, 8.25364e-30, 8.25364e-30, 8.25364e-30, 8.25364e-30, 1.94348e-10, 8.25364e-30, 8.25364e-30, 1.19326e-09, 8.25364e-30, 8.25364e-30, 5.35321e-08, 8.25364e-30, 8.25364e-30, 8.25364e-30
0.338986, 0, 7.14625e-08, 3.94854e-29, 1.41421, -7.14625e-08, 0, 3.94854e-29, 3.94854e-29, 3.94854e-29, 3.94854e-29, 3.94854e-29, 3.94854e-29, 3.94854e-29, 3.94854e-29, 3.94854e-29, 3.94854e-29, 3.94854e-29, 2.53361e-10, 3.94854e-29, 3.94854e-29, 1.72127e-09, 3.94854e-29, 3.94854e-29, 6.94879e-08, 3.94854e-29, 3.94854e-29, 3.94854e-29
0.34687, 0, 9.26778e-08, 1.78806e-28, 1.41421, -9.26778e-08, 0, 1.78806e-28, 1.78806e-28, 1.78806e-28, 1.78806e-28, 1.78806e-28, 1.78806e-28, 1.78806e-28, 1.78806e-28, 1.78806e-28, 1.78806e-28, 1.78806e-28, 3.29222e-10, 1.78806e-28, 1.78806e-28, 2.4805e-09, 1.78806e-28, 1.78806e-28, 8.9868e-08, 1.78806e-28, 1.78806e-28, 1.78806e-28
0.354753, 0, 1.19798e-07, 7.67075e-28, 1.41421, -1.19798e-07, 0, 7.67075e-28, 7.67075e-28, 7.67075e-28, 7.67075e-28, 7.67075e-28, 7.67075e-28, 7.67075e-28, 7.67075e-28, 7.67075e-28, 7.67075e-28, 7.67075e-28, 4.26433e-10, 7.67075e-28, 7.67075e-28, 3.57022e-09, 7.67075e-28, 7.67075e-28, 1.15802e-07, 7.67075e-28, 7.67075e-28, 7.67075e-28
0.362637, 0, 1.5436e-07, 3.12178e-27, 1.41421, -1.5436e-07, 0, 3.12178e-27, 3.12178e-27, 3.12178e-27, 3.12178e-27, 3.12178e-27, 3.12178e-27, 3.12178e-27, 3.12178e-27, 3.12178e-27, 3.12178e-27, 3.12178e-27, 5.50616e-10, 3.12178e-27, 3.12178e-27, 5.13098e-09, 3.12178e-27, 3.12178e-27, 1.48679e-07, 3.12178e-27, 3.12178e-27, 3.12178e-27
0.37052, 0, 1.98273e-07, 1.20782e-26, 1.41421, -1.98273e-07, 0, 1.20782e-26, 1.20782e-26, 1.20782e-26, 1.20782e-26, 1.20782e-26, 1.20782e-26, 1.20782e-26, 1.20782e-26, 1.20782e-26, 1.20782e-26, 1.20782e-26, 7.08768e-10, 1.20782e-26, 1.20782e-26, 7.36107e-09, 1.20782e-26, 1.20782e-26, 1.90203e-07, 1.20782e-26, 1.20782e-26, 1.20782e-26
0.378403, 0, 2.53906e-07, 4.45321e-26, 1.41421, -2.53906e-07, 0, 4.45321e-26, 4.45321e-26, 4.45321e-26, 4.45321e-26, 4.45321e-26, 4.45321e-26, 4.45321e-26, 6.82612e-13, 4.45321e-26, 4.45321e-26, 4.45321e-26, 9.09575e-10, 4.45321e-26, 4.45321e-26, 1.05391e-08, 4.45321e-26, 4.45321e-26, 2.42457e-07, 4.45321e-26, 4.45321e-26, 4.45321e-26
0.386287, 0, 3.24192e-07, 1.56837e-25, 1.41421, -3.24192e-07, 0, 1.56837e-25, 1.56837e-25, 1.56837e-25, 1.56837e-25, 1.56837e-25, 1.56837e-25, 1.56837e-25, 1.97169e-12, 1.56837e-25, 1.56837e-25, 1.56837e-25, 1.16378e-09, 1.56837e-25, 1.56837e-25, 1.50552e-08, 1.56837e-25, 1.56837e-25, 3.07971e-07, 1.56837e-25, 1.56837e-25, 1.56837e-25
0.39417, 0, 4.12755e-07, 5.32975e-25, 1.41421, -4.12755e-07, 0, 5.32975e-25, 5.32975e-25, 5.32975e-25, 5.32975e-25, 5.32975e-25, 5.32975e-25, 5.32975e-25, 4.36939e-12, 5.32975e-25, 5.32975e-25, 5.32975e-25, 1.48465e-09, 5.32975e-25, 5.32975e-25, 2.14527e-08, 5.32975e-25, 5.32975e-25, 3.89813e-07, 5.32975e-25, 5.32975e-25, 5.32975e-25
0.402054, 0, 5.26111e-07, 2.57585e-10, 1.41421, -5.26111e-07, 2.57585e-10, 2.57593e-10, 2.62771e-10, 3.1687e-10, 3.24094e-10, 8.37892e-10, 4.06669e-10, 2.58152e-10, 2.96486e-10, 3.07331e-10, 2.92406e-10, 9.1904e-10, 2.14612e-09, 2.77006e-10, 2.58292e-10, 3.07432e-08, 2.57956e-10, 2.57587e-10, 4.92011e-07, 2.57585e-10, 2.57585e-10, 3.17054e-10
0.409937, 0, 6.69533e-07, 7.38465e-10, 1.41421, -6.69533e-07, 7.38465e-10, 7.38489e-10, 7.53395e-10, 9.09137e-10, 9.29936e-10, 2.40908e-09, 1.16766e-09, 7.40098e-10, 8.41947e-10, 8.81676e-10, 8.3871e-10, 2.64269e-09, 3.13388e-09, 7.94375e-10, 7.40501e-10, 4.39378e-08, 7.46481e-10, 7.38472e-10, 6.18971e-07, 7.38465e-10, 7.38465e-10, 9.09667e-10
0.417821, 0, 8.51451e-07, 1.6273e-09, 1.41421, -8.51451e-07, 1.6273e-09, 1.62735e-09, 1.6603e-09, 2.00454e-09, 2.05051e-09, 5.31987e-09, 2.57594e-09, 1.63091e-09, 1.85001e-09, 1.94384e-09, 1.84887e-09, 5.83622e-09, 4.65707e-09, 1.75088e-09, 1.6318e-09, 6.26525e-08, 1.6505e-09, 1.62732e-09, 7.76418e-07, 1.6273e-09, 1.6273e-09, 2.00571e-09
0.425704, 0, 1.08283e-06, 3.25005e-09, 1.41421, -1.08283e-06, 3.25005e-09, 3.25015e-09, 3.31613e-09, 4.00551e-09, 4.09757e-09, 1.06449e-08, 5.14982e-09, 3.25727e-09, 3.69013e-09, 3.88395e-09, 3.69377e-09, 1.16789e-08, 7.07145e-09, 3.49753e-09, 3.25906e-09, 8.91763e-08, 3.30358e-09, 3.25007e-09, 9.71098e-07, 3.25005e-09, 3.25005e-09, 4.00785e-09
0.433588, 0, 1.37868e-06, 6.18029e-09, 1.41421, -1.37868e-06, 6.18029e-09, 6.18048e-09, 6.3062e-09, 7.61966e-09, 7.79507e-09, 2.02695e-08, 9.7999e-09, 6.19405e-09, 7.01106e-09, 7.38806e-09, 7.02571e-09, 2.22397e-08, 1.09869e-08, 6.65181e-09, 6.19745e-09, 1.26758e-07, 6.29183e-09, 6.18034e-09, 1.2114e-06, 6.18029e-09, 6.18029e-09, 7.62413e-09
0.441471, 0, 1.75987e-06, 1.14089e-08, 1.41421, -1.75987e-06, 1.14089e-08, 1.14093e-08, 1.16417e-08, 1.40696e-08, 1.43939e-08, 3.74532e-08, 1.80998e-08, 1.14344e-08, 1.29912e-08, 1.36415e-08, 1.29717e-08, 4.10951e-08, 1.74381e-08, 1.22805e-08, 1.14407e-08, 1.80015e-07, 1.16282e-08, 1.1409e-08, 1.50773e-06, 1.14089e-08, 1.14089e-08, 1.40779e-08
0.449354, 0, 2.25643e-06, 2.06258e-08, 1.41421, -2.25643e-06, 2.06258e-08, 2.06265e-08, 2.1047e-08, 2.54407e-08, 2.60275e-08, 6.77565e-08, 3.2734e-08, 2.06719e-08, 2.40807e-08, 2.4666e-08, 2.34539e-08, 7.4347e-08, 2.8168e-08, 2.22031e-08, 2.06833e-08, 2.55539e-07, 2.10411e-08, 2.0626e-08, 1.87313e-06, 2.06258e-08, 2.06258e-08, 2.54557e-08
0.457238, 0, 2.91626e-06, 3.66743e-08, 1.41421, -2.91626e-06, 3.66743e-08, 3.66755e-08, 3.74238e-08, 4.52421e-08, 4.62862e-08, 1.2054e-07, 5.82199e-08, 3.67562e-08, 4.87439e-08, 4.38635e-08, 4.17066e-08, 1.32267e-07, 4.60837e-08, 3.9481e-08, 3.67765e-08, 3.62757e-07, 3.74399e-08, 3.66746e-08, 2.32419e-06, 3.66743e-08, 3.66743e-08, 4.52687e-08
0.465121, 0, 3.8065e-06, 6.43993e-08, 1.41421, -3.8065e-06, 6.43993e-08, 6.44013e-08, 6.57164e-08, 7.94567e-08, 8.12917e-08, 2.11789e-07, 1.02265e-07, 6.45433e-08, 9.55032e-08, 7.7034e-08, 7.32433e-08, 2.324e-07, 7.61066e-08, 6.93319e-08, 6.45788e-08, 5.15617e-07, 6.57962e-08, 6.43998e-08, 2.88271e-06, 6.43993e-08, 6.43993e-08, 7.95035e-08
0.473005, 0, 5.01547e-06, 1.11284e-07, 1.41421, -5.01547e-06, 1.11284e-07, 1.11287e-07, 1.13561e-07, 1.37317e-07, 1.4049e-07, 3.6611e-07, 1.7675e-07, 1.11533e-07, 1.70882e-07, 1.33128e-07, 1.26575e-07, 4.01744e-07, 1.25812e-07, 1.19812e-07, 1.11594e-07, 7.32973e-07, 1.13754e-07, 1.11285e-07, 3.57658e-06, 1.11284e-07, 1.11284e-07, 1.37398e-07
0.480888, 0, 6.69484e-06, 1.89955e-07, 1.41421, -6.69484e-06, 1.89955e-07, 1.89961e-07, 1.93844e-07, 2.34414e-07, 2.39832e-07, 6.25146e-07, 3.01758e-07, 1.9038e-07, 2.99848e-07, 2.2726e-07, 2.16068e-07, 6.86001e-07, 2.07934e-07, 2.04519e-07, 1.90485e-07, 1.04326e-06, 1.94265e-07, 1.89956e-07, 4.44454e-06, 1.89955e-07, 1.89955e-07, 2.34552e-07
0.488772, 0, 9.06662e-06, 3.20341e-07, 1.41421, -9.06662e-06, 3.20341e-07, 3.20352e-07, 3.26903e-07, 3.95356e-07, 4.04497e-07, 1.05462e-06, 5.08981e-07, 3.21059e-07, 5.17087e-07, 3.83286e-07, 3.64401e-07, 1.1573e-06, 3.42535e-07, 3.44915e-07, 3.21236e-07, 1.4871e-06, 3.27766e-07, 3.20344e-07, 5.53944e-06, 3.20341e-07, 3.20341e-07, 3.95589e-07
0.496655, 0, 1.24709e-05, 5.33796e-07, 1.41421, -1.24709e-05, 5.33796e-07, 5.33813e-07, 5.44736e-07, 6.58858e-07, 6.74099e-07, 1.75797e-06, 8.48293e-07, 5.34992e-07, 8.82185e-07, 6.38736e-07, 6.07252e-07, 1.92915e-06, 5.61119e-07, 5.74765e-07, 5.35288e-07, 2.12312e-06, 5.46431e-07, 5.33801e-07, 6.93542e-06, 5.33796e-07, 5.33796e-07, 6.59247e-07
0.504539, 0, 1.74203e-05, 8.78955e-07, 1.41421, -1.74203e-05, 8.78955e-07, 8.78983e-07, 8.96978e-07, 1.08499e-06, 1.1101e-06, 2.89573e-06, 1.39708e-06, 8.80925e-07, 1.4891e-06, 1.05184e-06, 9.99971e-07, 3.17775e-06, 9.12507e-07, 9.4645e-07, 8.81412e-07, 3.03577e-06, 9.00199e-07, 8.78962e-07, 8.73713e-06, 8.78955e-07, 8.78955e-07, 1.08563e-06
0.512422, 0, 2.46883e-05, 1.43024e-06, 1.41421, -2.46883e-05, 1.43024e-06, 1.43029e-06, 1.45958e-06, 1.76568e-06, 1.80656e-06, 4.7137e-06, 2.27378e-06, 1.43345e-06, 2.48702e-06, 1.71171e-06, 1.62726e-06, 5.17284e-06, 1.47134e-06, 1.54013e-06, 1.43424e-06, 4.34637e-06, 1.46554e-06, 1.43025e-06, 1.10961e-05, 1.43024e-06, 1.43024e-06, 1.76672e-06
0.520306, 0, 3.54267e-05, 2.29998e-06, 1.41421, -3.54267e-05, 2.29998e-06, 2.30006e-06, 2.3472e-06, 2.83971e-06, 2.90548e-06, 7.58305e-06, 3.65723e-06, 2.30515e-06, 4.11011e-06, 2.75286e-06, 2.61699e-06, 8.3218e-06, 2.35019e-06, 2.47679e-06, 2.30642e-06, 6.22847e-06, 2.35798e-06, 2.3e-06, 1.42255e-05, 2.29998e-06, 2.29998e-06, 2.84138e-06
0.528189, 0, 5.13438e-05, 3.65533e-06, 1.41421, -5.13438e-05, 3.65533e-06, 3.65544e-06, 3.7304e-06, 4.51359e-06, 4.61818e-06, 1.20564e-05, 5.81361e-06, 3.66353e-06, 6.72138e-06, 4.37549e-06, 4.15943e-06, 1.32312e-05, 3.71652e-06, 3.93648e-06, 3.66556e-06, 8.92888e-06, 3.7495e-06, 3.65536e-06, 1.84325e-05, 3.65533e-06, 3.65533e-06, 4.51625e-06
0.536072, 0, 7.49462e-05, 5.74155e-06, 1.41421, -7.49462e-05, 5.74155e-06, 5.74174e-06, 5.85955e-06, 7.09045e-06, 7.25484e-06, 1.89453e-05, 9.13366e-06, 5.75445e-06, 1.0877e-05, 6.87342e-06, 6.53384e-06, 2.07916e-05, 5.81597e-06, 6.18343e-06, 5.75764e-06, 1.27964e-05, 5.89277e-06, 5.7416e-06, 2.41559e-05, 5.74155e-06, 5.74155e-06, 7.09465e-06
