   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_158.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.18688, 0, 2.70863e-13, 0, 1.41421, -2.70863e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62985e-15, 0, 0, 9.61807e-18, 5.76958e-17, 0, 2.68166e-13, 0, 0, 0
0.19478, 0, 4.51361e-13, 0, 1.41421, -4.51361e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38236e-15, 0, 0, 1.63967e-17, 9.92303e-17, 0, 4.46863e-13, 0, 0, 0
0.202681, 0, 7.46756e-13, 0, 1.41421, -7.46756e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.2505e-15, 0, 0, 2.7769e-17, 1.6962e-16, 0, 7.39308e-13, 0, 0, 0
0.210582, 0, 1.22669e-12, 0, 1.41421, -1.22669e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19106e-14, 0, 0, 4.67252e-17, 2.88193e-16, 0, 1.21445e-12, 0, 0, 0
0.218482, 0, 2.00088e-12, 0, 1.41421, -2.00088e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94281e-14, 0, 0, 7.81254e-17, 4.86758e-16, 0, 1.98088e-12, 0, 0, 0
0.226383, 0, 3.24079e-12, 0, 1.41421, -3.24079e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14686e-14, 0, 0, 1.29825e-16, 8.17358e-16, 0, 3.20837e-12, 0, 0, 0
0.234284, 0, 5.21251e-12, 0, 1.41421, -5.21251e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.06173e-14, 0, 0, 2.14443e-16, 1.36469e-15, 0, 5.16031e-12, 0, 0, 0
0.242184, 0, 8.32584e-12, 0, 1.41421, -8.32584e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.08562e-14, 0, 0, 3.52158e-16, 2.26587e-15, 0, 8.24237e-12, 0, 0, 0
0.250085, 0, 1.32073e-11, 0, 1.41421, -1.32073e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28275e-13, 0, 0, 5.7507e-16, 3.74175e-15, 0, 1.30747e-11, 0, 0, 0
0.257986, 0, 2.08073e-11, 0, 1.41421, -2.08073e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02116e-13, 0, 0, 9.34029e-16, 6.14631e-15, 0, 2.05981e-11, 0, 0, 0
0.265887, 0, 3.25581e-11, 0, 1.41421, -3.25581e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16312e-13, 0, 0, 1.50928e-15, 1.00445e-14, 0, 3.22302e-11, 0, 0, 0
0.273787, 0, 5.06004e-11, 0, 1.41421, -5.06004e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91703e-13, 0, 0, 2.42698e-15, 1.63338e-14, 0, 5.00899e-11, 0, 0, 0
0.281688, 0, 7.81124e-11, 0, 1.41421, -7.81124e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59249e-13, 0, 0, 3.88496e-15, 2.64348e-14, 0, 7.73228e-11, 0, 0, 0
0.289589, 0, 1.19798e-10, 2.35418e-43, 1.41421, -1.19798e-10, 0, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 1.16484e-12, 2.35418e-43, 2.35418e-43, 6.203e-15, 4.26564e-14, 2.35418e-43, 1.18584e-10, 2.35418e-43, 2.35418e-43, 2.35418e-43
0.297489, 0, 1.82471e-10, 3.55369e-42, 1.41421, -1.82471e-10, 0, 3.55369e-42, 3.55369e-42, 3.55369e-42, 3.55369e-42, 3.55369e-42, 3.55369e-42, 3.55369e-42, 3.55369e-42, 3.55369e-42, 3.55369e-42, 1.77496e-12, 3.55369e-42, 3.55369e-42, 9.84988e-15, 6.84211e-14, 3.55369e-42, 1.80618e-10, 3.55369e-42, 3.55369e-42, 3.55369e-42
0.30539, 0, 2.76095e-10, 4.75601e-41, 1.41421, -2.76095e-10, 0, 4.75601e-41, 4.75601e-41, 4.75601e-41, 4.75601e-41, 4.75601e-41, 4.75601e-41, 4.75601e-41, 4.75601e-41, 4.75601e-41, 4.75601e-41, 2.68701e-12, 4.75601e-41, 4.75601e-41, 1.55869e-14, 1.09297e-13, 4.75601e-41, 2.73283e-10, 4.75601e-41, 4.75601e-41, 4.75601e-41
0.313291, 0, 4.15011e-10, 5.69373e-40, 1.41421, -4.15011e-10, 0, 5.69373e-40, 5.69373e-40, 5.69373e-40, 5.69373e-40, 5.69373e-40, 5.69373e-40, 5.69373e-40, 5.69373e-40, 5.69373e-40, 5.69373e-40, 4.04141e-12, 5.69373e-40, 5.69373e-40, 2.45903e-14, 1.73916e-13, 5.69373e-40, 4.10771e-10, 5.69373e-40, 5.69373e-40, 5.69373e-40
0.321191, 0, 6.19747e-10, 6.14107e-39, 1.41421, -6.19747e-10, 0, 6.14107e-39, 6.14107e-39, 6.14107e-39, 6.14107e-39, 6.14107e-39, 6.14107e-39, 6.14107e-39, 6.14107e-39, 6.14107e-39, 6.14107e-39, 6.03958e-12, 6.14107e-39, 6.14107e-39, 3.86927e-14, 2.75735e-13, 6.14107e-39, 6.13393e-10, 6.14107e-39, 6.14107e-39, 6.14107e-39
0.329092, 0, 9.19472e-10, 5.99743e-38, 1.41421, -9.19472e-10, 0, 5.99743e-38, 5.99743e-38, 5.99743e-38, 5.99743e-38, 5.99743e-38, 5.99743e-38, 5.99743e-38, 5.99743e-38, 5.99743e-38, 5.99743e-38, 8.96838e-12, 5.99743e-38, 5.99743e-38, 6.07491e-14, 4.35687e-13, 5.99743e-38, 9.10008e-10, 5.99743e-38, 5.99743e-38, 5.99743e-38
0.336993, 0, 1.35535e-09, 5.33355e-37, 1.41421, -1.35535e-09, 0, 5.33355e-37, 5.33355e-37, 5.33355e-37, 5.33355e-37, 5.33355e-37, 5.33355e-37, 5.33355e-37, 5.33355e-37, 5.33355e-37, 5.33355e-37, 1.32338e-11, 5.33355e-37, 5.33355e-37, 9.52095e-14, 6.86273e-13, 5.33355e-37, 1.34134e-09, 5.33355e-37, 5.33355e-37, 5.33355e-37
0.344893, 0, 1.98504e-09, 4.34076e-36, 1.41421, -1.98504e-09, 0, 4.34076e-36, 4.34076e-36, 4.34076e-36, 4.34076e-36, 4.34076e-36, 4.34076e-36, 4.34076e-36, 4.34076e-36, 4.34076e-36, 4.34076e-36, 1.94066e-11, 4.34076e-36, 4.34076e-36, 1.49013e-13, 1.07787e-12, 4.34076e-36, 1.96441e-09, 4.34076e-36, 4.34076e-36, 4.34076e-36
0.352794, 0, 2.88877e-09, 3.24907e-35, 1.41421, -2.88877e-09, 0, 3.24907e-35, 3.24907e-35, 3.24907e-35, 3.24907e-35, 3.24907e-35, 3.24907e-35, 3.24907e-35, 3.24907e-35, 3.24907e-35, 3.24907e-35, 2.82837e-11, 3.24907e-35, 3.24907e-35, 2.32984e-13, 1.68842e-12, 3.24907e-35, 2.85856e-09, 3.24907e-35, 3.24907e-35, 3.24907e-35
0.360695, 0, 4.17733e-09, 2.2565e-34, 1.41421, -4.17733e-09, 0, 2.2565e-34, 2.2565e-34, 2.2565e-34, 2.2565e-34, 2.2565e-34, 2.2565e-34, 2.2565e-34, 2.2565e-34, 2.2565e-34, 2.2565e-34, 4.09717e-11, 2.2565e-34, 2.2565e-34, 3.64018e-13, 2.63836e-12, 2.2565e-34, 4.13335e-09, 2.2565e-34, 2.2565e-34, 2.2565e-34
0.368595, 0, 6.00273e-09, 1.56525e-33, 1.41421, -6.00273e-09, 0, 1.56525e-33, 1.56525e-33, 1.56525e-33, 1.56525e-33, 1.56525e-33, 1.56525e-33, 1.56525e-33, 1.56525e-33, 1.56525e-33, 1.56525e-33, 5.89965e-11, 1.56525e-33, 1.56525e-33, 5.68488e-13, 4.11342e-12, 1.56525e-33, 5.93905e-09, 1.56525e-33, 1.56525e-33, 1.56525e-33
0.376496, 0, 8.57202e-09, 1.02805e-32, 1.41421, -8.57202e-09, 0, 1.02805e-32, 1.02805e-32, 1.02805e-32, 1.02805e-32, 1.02805e-32, 1.02805e-32, 1.02805e-32, 1.02805e-32, 1.02805e-32, 1.02805e-32, 8.44507e-11, 1.02805e-32, 1.02805e-32, 8.87546e-13, 6.39957e-12, 1.02805e-32, 8.48029e-09, 1.02805e-32, 1.02805e-32, 1.02805e-32
0.384397, 0, 1.21654e-08, 6.31035e-32, 1.41421, -1.21654e-08, 0, 6.31035e-32, 6.31035e-32, 6.31035e-32, 6.31035e-32, 6.31035e-32, 6.31035e-32, 6.31035e-32, 6.31035e-32, 6.31035e-32, 6.31035e-32, 1.20186e-10, 6.31035e-32, 6.31035e-32, 1.38537e-12, 9.93615e-12, 6.31035e-32, 1.20338e-08, 6.31035e-32, 6.31035e-32, 6.31035e-32
0.392297, 0, 1.71592e-08, 3.61689e-31, 1.41421, -1.71592e-08, 0, 3.61689e-31, 3.61689e-31, 3.61689e-31, 3.61689e-31, 3.61689e-31, 3.61689e-31, 3.61689e-31, 3.61689e-31, 3.61689e-31, 3.61689e-31, 1.70068e-10, 3.61689e-31, 3.61689e-31, 2.16189e-12, 1.53966e-11, 3.61689e-31, 1.69715e-08, 3.61689e-31, 3.61689e-31, 3.61689e-31
0.400198, 0, 2.40558e-08, 1.94017e-30, 1.41421, -2.40558e-08, 0, 1.94017e-30, 1.94017e-30, 1.94017e-30, 1.94017e-30, 1.94017e-30, 1.94017e-30, 1.94017e-30, 1.94017e-30, 1.94017e-30, 1.94017e-30, 2.39306e-10, 1.94017e-30, 1.94017e-30, 3.37248e-12, 2.381e-11, 1.94017e-30, 2.37893e-08, 1.94017e-30, 1.94017e-30, 1.94017e-30
0.408099, 0, 3.35215e-08, 9.76985e-30, 1.41421, -3.35215e-08, 0, 9.76985e-30, 9.76985e-30, 9.76985e-30, 9.76985e-30, 9.76985e-30, 9.76985e-30, 9.76985e-30, 9.76985e-30, 9.76985e-30, 9.76985e-30, 3.34884e-10, 9.76985e-30, 9.76985e-30, 5.25806e-12, 3.67446e-11, 9.76985e-30, 3.31446e-08, 9.76985e-30, 9.76985e-30, 9.76985e-30
0.415999, 0, 4.64334e-08, 4.63333e-29, 1.41421, -4.64334e-08, 0, 4.63333e-29, 4.63333e-29, 4.63333e-29, 4.63333e-29, 4.63333e-29, 4.63333e-29, 4.63333e-29, 4.63333e-29, 4.63333e-29, 4.63333e-29, 4.66115e-10, 4.63333e-29, 4.63333e-29, 8.19108e-12, 5.65805e-11, 4.63333e-29, 4.59025e-08, 4.63333e-29, 4.63333e-29, 4.63333e-29
0.4239, 0, 6.39393e-08, 2.07603e-28, 1.41421, -6.39393e-08, 0, 2.07603e-28, 2.07603e-28, 2.07603e-28, 2.07603e-28, 2.07603e-28, 2.07603e-28, 2.07603e-28, 2.07603e-28, 2.07603e-28, 2.07603e-28, 6.45353e-10, 2.07603e-28, 2.07603e-28, 1.27452e-11, 8.69144e-11, 2.07603e-28, 6.31943e-08, 2.07603e-28, 2.07603e-28, 2.07603e-28
0.431801, 0, 8.75315e-08, 8.81412e-28, 1.41421, -8.75315e-08, 0, 8.81412e-28, 8.81412e-28, 8.81412e-28, 8.81412e-28, 8.81412e-28, 8.81412e-28, 8.81412e-28, 8.81412e-28, 8.81412e-28, 8.81412e-28, 8.88912e-10, 8.81412e-28, 8.81412e-28, 1.98004e-11, 1.33157e-10, 8.81412e-28, 8.64896e-08, 8.81412e-28, 8.81412e-28, 8.81412e-28
