   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_147.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00327136, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00459674, 0, 1.65371e-17, 0, 1.41421, -1.65371e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72216e-19, 0, 2.63115e-22, 3.08376e-19, 0, 1.60563e-17, 0, 0
0.0124648, 0, 2.97907e-17, 0, 1.41421, -2.97907e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10114e-19, 0, 4.8129e-22, 5.67149e-19, 0, 2.8913e-17, 0, 0
0.0203329, 0, 5.32838e-17, 0, 1.41421, -5.32838e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54441e-19, 0, 8.74242e-22, 1.03602e-18, 0, 5.16924e-17, 0, 0
0.028201, 0, 9.46366e-17, 0, 1.41421, -9.46366e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.8431e-19, 0, 1.57718e-21, 1.88001e-18, 0, 9.17707e-17, 0, 0
0.0360691, 0, 1.66926e-16, 0, 1.41421, -1.66926e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73541e-18, 0, 2.82625e-21, 3.38954e-18, 0, 1.61798e-16, 0, 0
0.0439372, 0, 2.92442e-16, 0, 1.41421, -2.92442e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03888e-18, 0, 5.03123e-21, 6.07275e-18, 0, 2.83326e-16, 0, 0
0.0518053, 0, 5.08921e-16, 0, 1.41421, -5.08921e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2858e-18, 0, 8.8985e-21, 1.08128e-17, 0, 4.92814e-16, 0, 0
0.0596734, 0, 8.79825e-16, 0, 1.41421, -8.79825e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.1334e-18, 0, 1.5638e-20, 1.9136e-17, 0, 8.5154e-16, 0, 0
0.0675415, 0, 1.51117e-15, 0, 1.41421, -1.51117e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56789e-17, 0, 2.7309e-20, 3.36646e-17, 0, 1.4618e-15, 0, 0
0.0754097, 0, 2.57895e-15, 0, 1.41421, -2.57895e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67423e-17, 0, 4.73952e-20, 5.88782e-17, 0, 2.49328e-15, 0, 0
0.0832778, 0, 4.37334e-15, 0, 1.41421, -4.37334e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53222e-17, 0, 8.17525e-20, 1.02386e-16, 0, 4.22555e-15, 0, 0
0.0911459, 0, 7.36981e-15, 0, 1.41421, -7.36981e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.63277e-17, 0, 1.40165e-19, 1.77039e-16, 0, 7.11631e-15, 0, 0
0.099014, 0, 1.23425e-14, 0, 1.41421, -1.23425e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27744e-16, 0, 2.38885e-19, 3.04427e-16, 0, 1.19101e-14, 0, 0
