   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_270.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0041042, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0037605, 0, 1.06905e-22, 0, 1.41421, -1.06905e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78203e-23, 0, 8.90852e-23, 0, 0, 0
0.0116252, 0, 2.63564e-22, 0, 1.41421, -2.63564e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46735e-23, 0, 2.18891e-22, 0, 0, 0
0.0194899, 0, 6.3786e-22, 0, 1.41421, -6.3786e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09839e-22, 0, 5.28021e-22, 0, 0, 0
0.0273546, 0, 1.51712e-21, 0, 1.41421, -1.51712e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65222e-22, 0, 1.2519e-21, 0, 0, 0
0.0352193, 0, 3.54977e-21, 0, 1.41421, -3.54977e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29646e-22, 0, 2.92012e-21, 0, 0, 0
0.043084, 0, 8.17793e-21, 0, 1.41421, -8.17793e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4711e-21, 0, 6.70683e-21, 0, 0, 0
0.0509487, 0, 1.85642e-20, 0, 1.41421, -1.85642e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38541e-21, 0, 1.51788e-20, 0, 0, 0
0.0588134, 0, 4.15521e-20, 0, 1.41421, -4.15521e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67954e-21, 0, 3.38725e-20, 0, 0, 0
0.0666781, 0, 9.17586e-20, 0, 1.41421, -9.17586e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71829e-20, 0, 7.45757e-20, 0, 0, 0
0.0745428, 0, 2.00017e-19, 0, 1.41421, -2.00017e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79449e-20, 0, 1.62072e-19, 0, 0, 0
0.0824075, 0, 4.30587e-19, 0, 1.41421, -4.30587e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.27438e-20, 0, 3.47844e-19, 0, 0, 0
0.0902722, 0, 9.15825e-19, 0, 1.41421, -9.15825e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78258e-19, 0, 7.37567e-19, 0, 0, 0
0.0981369, 0, 1.92525e-18, 0, 1.41421, -1.92525e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7956e-19, 0, 1.54569e-18, 0, 0, 0
0.106002, 0, 4.00159e-18, 0, 1.41421, -4.00159e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.99097e-19, 0, 3.2025e-18, 0, 0, 0
0.113866, 0, 8.22606e-18, 0, 1.41421, -8.22606e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66403e-18, 0, 6.56202e-18, 0, 0, 0
0.121731, 0, 1.67297e-17, 0, 1.41421, -1.67297e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42855e-18, 0, 1.33011e-17, 0, 0, 0
0.129596, 0, 3.36702e-17, 0, 1.41421, -3.36702e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.99207e-18, 0, 2.66781e-17, 0, 0, 0
0.13746, 0, 6.70745e-17, 0, 1.41421, -6.70745e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41168e-17, 0, 5.29577e-17, 0, 0, 0
0.145325, 0, 1.32289e-16, 0, 1.41421, -1.32289e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82239e-17, 0, 1.04065e-16, 0, 0, 0
0.15319, 0, 2.58364e-16, 0, 1.41421, -2.58364e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58924e-17, 0, 2.02472e-16, 0, 0, 0
0.161054, 0, 5.04002e-16, 0, 1.41421, -5.04002e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10864e-16, 0, 3.93138e-16, 0, 0, 0
0.168919, 0, 9.64841e-16, 0, 1.41421, -9.64841e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15305e-16, 0, 7.49535e-16, 0, 0, 0
0.176784, 0, 1.83021e-15, 0, 1.41421, -1.83021e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14472e-16, 0, 1.41573e-15, 0, 0, 0
0.184649, 0, 3.44054e-15, 0, 1.41421, -3.44054e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.91021e-16, 0, 2.64952e-15, 0, 0, 0
0.192513, 0, 6.41056e-15, 0, 1.41421, -6.41056e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49694e-15, 0, 4.91361e-15, 0, 0, 0
0.200378, 0, 1.18403e-14, 0, 1.41421, -1.18403e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80943e-15, 0, 9.03089e-15, 0, 0, 0
0.208243, 0, 2.16811e-14, 0, 1.41421, -2.16811e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.22985e-15, 0, 1.64513e-14, 0, 0, 0
0.216107, 0, 3.93643e-14, 0, 1.41421, -3.93643e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.6579e-15, 0, 2.97063e-14, 0, 0, 0
0.223972, 0, 7.08714e-14, 0, 1.41421, -7.08714e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76953e-14, 0, 5.31761e-14, 0, 0, 0
0.231837, 0, 1.26543e-13, 0, 1.41421, -1.26543e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21718e-14, 0, 9.43707e-14, 0, 0, 0
0.239701, 0, 2.241e-13, 0, 1.41421, -2.241e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80484e-14, 0, 1.66052e-13, 0, 0, 0
0.247566, 0, 3.93677e-13, 0, 1.41421, -3.93677e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03966e-13, 0, 2.89711e-13, 0, 0, 0
0.255431, 0, 6.8608e-13, 0, 1.41421, -6.8608e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84854e-13, 0, 5.01226e-13, 0, 0, 0
