   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_131.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00295598, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00491106, 0, 2.04172e-18, 0, 1.41421, -2.04172e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.16402e-21, 0, 2.00124e-23, 6.65358e-22, 0, 2.03287e-18, 0, 0
0.0127781, 0, 3.87814e-18, 0, 1.41421, -3.87814e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5507e-20, 0, 3.85855e-23, 1.28877e-21, 0, 3.8613e-18, 0, 0
0.0206451, 0, 7.30356e-18, 0, 1.41421, -7.30356e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92036e-20, 0, 7.37758e-23, 2.47555e-21, 0, 7.27181e-18, 0, 0
0.0285122, 0, 1.36401e-17, 0, 1.41421, -1.36401e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45404e-20, 0, 1.39914e-22, 4.71686e-21, 0, 1.35807e-17, 0, 0
0.0363792, 0, 2.52674e-17, 0, 1.41421, -2.52674e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01032e-19, 0, 2.63241e-22, 8.91703e-21, 0, 2.51572e-17, 0, 0
0.0442462, 0, 4.64338e-17, 0, 1.41421, -4.64338e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85664e-19, 0, 4.91436e-22, 1.67288e-20, 0, 4.62309e-17, 0, 0
0.0521132, 0, 8.46663e-17, 0, 1.41421, -8.46663e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38532e-19, 0, 9.10495e-22, 3.11511e-20, 0, 8.42957e-17, 0, 0
0.0599803, 0, 1.53197e-16, 0, 1.41421, -1.53197e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.12543e-19, 0, 1.67436e-21, 5.7587e-20, 0, 1.52525e-16, 0, 0
0.0678473, 0, 2.75114e-16, 0, 1.41421, -2.75114e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10001e-18, 0, 3.05664e-21, 1.05705e-19, 0, 2.73905e-16, 0, 0
0.0757144, 0, 4.90403e-16, 0, 1.41421, -4.90403e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96079e-18, 0, 5.54015e-21, 1.92687e-19, 0, 4.88244e-16, 0, 0
0.0835814, 0, 8.67792e-16, 0, 1.41421, -8.67792e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46968e-18, 0, 9.9708e-21, 3.48867e-19, 0, 8.63964e-16, 0, 0
0.0914484, 0, 1.52458e-15, 0, 1.41421, -1.52458e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.09565e-18, 0, 1.78206e-20, 6.27454e-19, 0, 1.51784e-15, 0, 0
0.0993155, 0, 2.65948e-15, 0, 1.41421, -2.65948e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06331e-17, 0, 3.16332e-20, 1.12118e-18, 0, 2.64769e-15, 0, 0
0.107182, 0, 4.60673e-15, 0, 1.41421, -4.60673e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84185e-17, 0, 5.57742e-20, 1.99063e-18, 0, 4.58627e-15, 0, 0
0.11505, 0, 7.92458e-15, 0, 1.41421, -7.92458e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16834e-17, 0, 9.76865e-20, 3.51221e-18, 0, 7.88929e-15, 0, 0
0.122917, 0, 1.35388e-14, 0, 1.41421, -1.35388e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4129e-17, 0, 1.69975e-19, 6.15877e-18, 0, 1.34783e-14, 0, 0
0.130784, 0, 2.29738e-14, 0, 1.41421, -2.29738e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.18499e-17, 0, 2.93853e-19, 1.07344e-17, 0, 2.2871e-14, 0, 0
0.138651, 0, 3.87227e-14, 0, 1.41421, -3.87227e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54812e-16, 0, 5.04784e-19, 1.85982e-17, 0, 3.85487e-14, 0, 0
0.146518, 0, 6.48338e-14, 0, 1.41421, -6.48338e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59201e-16, 0, 8.61688e-19, 3.20345e-17, 0, 6.45417e-14, 0, 0
0.154385, 0, 1.07837e-13, 0, 1.41421, -1.07837e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31121e-16, 0, 1.46184e-18, 5.48601e-17, 0, 1.0735e-13, 0, 0
0.162252, 0, 1.78507e-13, 0, 1.41421, -1.78507e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.1365e-16, 0, 2.47284e-18, 9.38136e-17, 0, 1.77697e-13, 0, 0
0.170119, 0, 2.92987e-13, 0, 1.41421, -2.92987e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17133e-15, 0, 4.14325e-18, 1.58794e-16, 0, 2.91653e-13, 0, 0
0.177986, 0, 4.77801e-13, 0, 1.41421, -4.77801e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91019e-15, 0, 6.90116e-18, 2.6733e-16, 0, 4.75617e-13, 0, 0
0.185853, 0, 7.74225e-13, 0, 1.41421, -7.74225e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09527e-15, 0, 1.14282e-17, 4.4763e-16, 0, 7.70671e-13, 0, 0
0.19372, 0, 1.2466e-12, 0, 1.41421, -1.2466e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98383e-15, 0, 1.88173e-17, 7.4557e-16, 0, 1.24085e-12, 0, 0
0.201587, 0, 1.99452e-12, 0, 1.41421, -1.99452e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.97417e-15, 0, 3.08107e-17, 1.23536e-15, 0, 1.98528e-12, 0, 0
0.209454, 0, 3.17116e-12, 0, 1.41421, -3.17116e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26788e-14, 0, 5.01737e-17, 2.03642e-15, 0, 3.15639e-12, 0, 0
0.217321, 0, 5.01048e-12, 0, 1.41421, -5.01048e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00337e-14, 0, 8.12715e-17, 3.3401e-15, 0, 4.98703e-12, 0, 0
0.225188, 0, 7.86748e-12, 0, 1.41421, -7.86748e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14592e-14, 0, 1.30964e-16, 5.45141e-15, 0, 7.83044e-12, 0, 0
0.233055, 0, 1.22772e-11, 0, 1.41421, -1.22772e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90963e-14, 0, 2.09985e-16, 8.85445e-15, 0, 1.2219e-11, 0, 0
0.240922, 0, 1.90406e-11, 0, 1.41421, -1.90406e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61519e-14, 0, 3.3507e-16, 1.43142e-14, 0, 1.89498e-11, 0, 0
0.248789, 0, 2.93491e-11, 0, 1.41421, -2.93491e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17397e-13, 0, 5.3221e-16, 2.30348e-14, 0, 2.92082e-11, 0, 0
0.256656, 0, 4.49627e-11, 0, 1.41421, -4.49627e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79885e-13, 0, 8.41659e-16, 3.69034e-14, 0, 4.4745e-11, 0, 0
0.264523, 0, 6.8464e-11, 0, 1.41421, -6.8464e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73973e-13, 0, 1.32559e-15, 5.88677e-14, 0, 6.81298e-11, 0, 0
