   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_42.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.000848675, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00700912, 0, 1.96863e-18, 0, 1.41421, -1.96863e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.1491e-21, 0, 0, 8.08838e-23, 5.72227e-22, 0, 1.95883e-18, 0, 0, 0
0.0148669, 0, 3.72572e-18, 0, 1.41421, -3.72572e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7315e-20, 0, 0, 1.55476e-22, 1.10319e-21, 0, 3.70715e-18, 0, 0, 0
0.0227247, 0, 6.99197e-18, 0, 1.41421, -6.99197e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24945e-20, 0, 0, 2.96398e-22, 2.10947e-21, 0, 6.95707e-18, 0, 0, 0
0.0305825, 0, 1.30142e-17, 0, 1.41421, -1.30142e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04815e-20, 0, 0, 5.60516e-22, 4.00165e-21, 0, 1.29491e-17, 0, 0, 0
0.0384403, 0, 2.40292e-17, 0, 1.41421, -2.40292e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11671e-19, 0, 0, 1.05168e-21, 7.5326e-21, 0, 2.39089e-17, 0, 0, 0
0.0462981, 0, 4.40189e-17, 0, 1.41421, -4.40189e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04569e-19, 0, 0, 1.95811e-21, 1.40728e-20, 0, 4.37983e-17, 0, 0, 0
0.0541559, 0, 8.00177e-17, 0, 1.41421, -8.00177e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71864e-19, 0, 0, 3.61844e-21, 2.60992e-20, 0, 7.96162e-17, 0, 0, 0
0.0620137, 0, 1.44357e-16, 0, 1.41421, -1.44357e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.7086e-19, 0, 0, 6.63742e-21, 4.80577e-20, 0, 1.43631e-16, 0, 0, 0
0.0698715, 0, 2.58495e-16, 0, 1.41421, -2.58495e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20128e-18, 0, 0, 1.20874e-20, 8.78741e-20, 0, 2.57193e-16, 0, 0, 0
0.0777293, 0, 4.59493e-16, 0, 1.41421, -4.59493e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13534e-18, 0, 0, 2.18562e-20, 1.59584e-19, 0, 4.57177e-16, 0, 0, 0
0.0855871, 0, 8.10903e-16, 0, 1.41421, -8.10903e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76836e-18, 0, 0, 3.92446e-20, 2.87878e-19, 0, 8.06808e-16, 0, 0, 0
0.0934449, 0, 1.4209e-15, 0, 1.41421, -1.4209e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.60304e-18, 0, 0, 6.99833e-20, 5.15917e-19, 0, 1.41371e-15, 0, 0, 0
0.101303, 0, 2.47234e-15, 0, 1.41421, -2.47234e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1489e-17, 0, 0, 1.23956e-19, 9.18673e-19, 0, 2.4598e-15, 0, 0, 0
0.10916, 0, 4.27203e-15, 0, 1.41421, -4.27203e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9852e-17, 0, 0, 2.18089e-19, 1.62556e-18, 0, 4.25034e-15, 0, 0, 0
0.117018, 0, 7.33135e-15, 0, 1.41421, -7.33135e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40682e-17, 0, 0, 3.81189e-19, 2.85863e-18, 0, 7.29404e-15, 0, 0, 0
0.124876, 0, 1.25404e-14, 0, 1.41421, -1.25404e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.82737e-17, 0, 0, 6.65598e-19, 5.03019e-18, 0, 1.24764e-14, 0, 0, 0
0.132734, 0, 2.12233e-14, 0, 1.41421, -2.12233e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.8621e-17, 0, 0, 1.14784e-18, 8.73478e-18, 0, 2.11148e-14, 0, 0, 0
0.140592, 0, 3.56815e-14, 0, 1.41421, -3.56815e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65804e-16, 0, 0, 1.96713e-18, 1.50795e-17, 0, 3.54987e-14, 0, 0, 0
0.148449, 0, 5.95975e-14, 0, 1.41421, -5.95975e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76935e-16, 0, 0, 3.35044e-18, 2.58836e-17, 0, 5.92914e-14, 0, 0, 0
0.156307, 0, 9.88985e-14, 0, 1.41421, -9.88985e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59554e-16, 0, 0, 5.67181e-18, 4.41777e-17, 0, 9.83891e-14, 0, 0, 0
0.164165, 0, 1.63061e-13, 0, 1.41421, -1.63061e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57695e-16, 0, 0, 9.54397e-18, 7.49825e-17, 0, 1.62219e-13, 0, 0, 0
