   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_389.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0208558, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0129928, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00512976, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00273326, 0, 1.05337e-14, 0, 1.41421, -1.05337e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00173e-17, 0, 0, 5.32563e-17, 0, 0, 1.04104e-14, 0, 0, 0
0.0105963, 0, 1.61624e-14, 0, 1.41421, -1.61624e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07422e-16, 0, 0, 8.3263e-17, 0, 0, 1.59718e-14, 0, 0, 0
0.0184593, 0, 2.46918e-14, 0, 1.41421, -2.46918e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64095e-16, 0, 0, 1.29635e-16, 0, 0, 2.43981e-14, 0, 0, 0
0.0263223, 0, 3.75606e-14, 0, 1.41421, -3.75606e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49593e-16, 0, 0, 2.01005e-16, 0, 0, 3.711e-14, 0, 0, 0
0.0341853, 0, 5.68926e-14, 0, 1.41421, -5.68926e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78018e-16, 0, 0, 3.104e-16, 0, 0, 5.62042e-14, 0, 0, 0
0.0420483, 0, 8.58094e-14, 0, 1.41421, -8.58094e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.70095e-16, 0, 0, 4.77412e-16, 0, 0, 8.47618e-14, 0, 0, 0
0.0499114, 0, 1.28878e-13, 0, 1.41421, -1.28878e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.56147e-16, 0, 0, 7.31381e-16, 0, 0, 1.27291e-13, 0, 0, 0
0.0577744, 0, 1.92753e-13, 0, 1.41421, -1.92753e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28034e-15, 0, 0, 1.11608e-15, 0, 0, 1.90357e-13, 0, 0, 0
0.0656374, 0, 2.87083e-13, 0, 1.41421, -2.87083e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90672e-15, 0, 0, 1.69658e-15, 0, 0, 2.8348e-13, 0, 0, 0
0.0735004, 0, 4.25801e-13, 0, 1.41421, -4.25801e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82774e-15, 0, 0, 2.56926e-15, 0, 0, 4.20404e-13, 0, 0, 0
0.0813634, 0, 6.28941e-13, 0, 1.41421, -6.28941e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17635e-15, 0, 0, 3.87657e-15, 0, 0, 6.20888e-13, 0, 0, 0
0.0892264, 0, 9.25167e-13, 0, 1.41421, -9.25167e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.14276e-15, 0, 0, 5.82786e-15, 0, 0, 9.13197e-13, 0, 0, 0
0.0970894, 0, 1.35534e-12, 0, 1.41421, -1.35534e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99802e-15, 0, 0, 8.73034e-15, 0, 0, 1.33761e-12, 0, 0, 0
0.104952, 0, 1.97742e-12, 0, 1.41421, -1.97742e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31267e-14, 0, 0, 1.30332e-14, 0, 0, 1.95126e-12, 0, 0, 0
0.112815, 0, 2.8733e-12, 0, 1.41421, -2.8733e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90719e-14, 0, 0, 1.93916e-14, 0, 0, 2.83483e-12, 0, 0, 0
0.120678, 0, 4.15812e-12, 0, 1.41421, -4.15812e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75976e-14, 0, 0, 2.87584e-14, 0, 0, 4.10177e-12, 0, 0, 0
0.128541, 0, 5.99316e-12, 0, 1.41421, -5.99316e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97734e-14, 0, 0, 4.25166e-14, 0, 0, 5.91087e-12, 0, 0, 0
0.136405, 0, 8.60326e-12, 0, 1.41421, -8.60326e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.70905e-14, 0, 0, 6.26688e-14, 0, 0, 8.4835e-12, 0, 0, 0
0.144268, 0, 1.23005e-11, 0, 1.41421, -1.23005e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.16193e-14, 0, 0, 9.21101e-14, 0, 0, 1.21268e-11, 0, 0, 0
0.152131, 0, 1.75163e-11, 0, 1.41421, -1.75163e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16221e-13, 0, 0, 1.35019e-13, 0, 0, 1.72651e-11, 0, 0, 0
0.159994, 0, 2.48443e-11, 0, 1.41421, -2.48443e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64834e-13, 0, 0, 1.97418e-13, 0, 0, 2.44821e-11, 0, 0, 0
0.167857, 0, 3.5098e-11, 0, 1.41421, -3.5098e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32854e-13, 0, 0, 2.87984e-13, 0, 0, 3.45772e-11, 0, 0, 0
0.17572, 0, 4.93873e-11, 0, 1.41421, -4.93873e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27646e-13, 0, 0, 4.19201e-13, 0, 0, 4.86404e-11, 0, 0, 0
