   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_121.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00238486, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0054787, 0, 6.93328e-19, 0, 1.41421, -6.93328e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52458e-21, 0, 0, 1.00012e-23, 3.06601e-21, 0, 6.85728e-19, 0, 0
0.0133423, 0, 1.35209e-18, 0, 1.41421, -1.35209e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.82283e-21, 0, 0, 1.97897e-23, 6.09297e-21, 0, 1.33715e-18, 0, 0
0.0212058, 0, 2.61258e-18, 0, 1.41421, -2.61258e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70464e-20, 0, 0, 3.8806e-23, 1.19986e-20, 0, 2.5835e-18, 0, 0
0.0290694, 0, 5.00305e-18, 0, 1.41421, -5.00305e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26408e-20, 0, 0, 7.54292e-23, 2.34209e-20, 0, 4.94691e-18, 0, 0
0.0369329, 0, 9.49726e-18, 0, 1.41421, -9.49726e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19561e-20, 0, 0, 1.45366e-22, 4.53279e-20, 0, 9.38983e-18, 0, 0
0.0447965, 0, 1.7875e-17, 0, 1.41421, -1.7875e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16598e-19, 0, 0, 2.77815e-22, 8.70006e-20, 0, 1.76711e-17, 0, 0
0.05266, 0, 3.33623e-17, 0, 1.41421, -3.33623e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17599e-19, 0, 0, 5.26628e-22, 1.65643e-19, 0, 3.29785e-17, 0, 0
0.0605236, 0, 6.24787e-17, 0, 1.41421, -6.24787e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07453e-19, 0, 0, 1.00552e-21, 3.18118e-19, 0, 6.17521e-17, 0, 0
0.0683872, 0, 1.14592e-16, 0, 1.41421, -1.14592e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.47232e-19, 0, 0, 1.87353e-21, 5.95499e-19, 0, 1.13248e-16, 0, 0
