   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_137.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00222931, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00563322, 0, 3.75873e-17, 0, 1.41421, -3.75873e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.295e-19, 0, 6.26194e-22, 3.81161e-19, 0, 3.7076e-17, 0, 0
0.0134957, 0, 6.66018e-17, 0, 1.41421, -6.66018e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29413e-19, 0, 1.12766e-21, 6.90033e-19, 0, 6.56812e-17, 0, 0
0.0213583, 0, 1.17204e-16, 0, 1.41421, -1.17204e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03622e-19, 0, 2.0171e-21, 1.24116e-18, 0, 1.15557e-16, 0, 0
0.0292208, 0, 2.04864e-16, 0, 1.41421, -2.04864e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05328e-19, 0, 3.58437e-21, 2.21844e-18, 0, 2.01936e-16, 0, 0
0.0370833, 0, 3.55713e-16, 0, 1.41421, -3.55713e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22438e-18, 0, 6.32829e-21, 3.94086e-18, 0, 3.50542e-16, 0, 0
0.0449459, 0, 6.13607e-16, 0, 1.41421, -6.13607e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1115e-18, 0, 1.11018e-20, 6.95845e-18, 0, 6.04526e-16, 0, 0
0.0528084, 0, 1.05846e-15, 0, 1.41421, -1.05846e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64108e-18, 0, 1.95339e-20, 1.23488e-17, 0, 1.04245e-15, 0, 0
0.0606709, 0, 1.80136e-15, 0, 1.41421, -1.80136e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19485e-18, 0, 3.38161e-20, 2.15317e-17, 0, 1.7736e-15, 0, 0
0.0685335, 0, 3.04666e-15, 0, 1.41421, -3.04666e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04742e-17, 0, 5.81899e-20, 3.73325e-17, 0, 2.99879e-15, 0, 0
0.076396, 0, 5.12125e-15, 0, 1.41421, -5.12125e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76009e-17, 0, 9.95395e-20, 6.43714e-17, 0, 5.03918e-15, 0, 0
0.0842585, 0, 8.55631e-15, 0, 1.41421, -8.55631e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93968e-17, 0, 1.69277e-19, 1.10391e-16, 0, 8.41635e-15, 0, 0
0.092121, 0, 1.42095e-14, 0, 1.41421, -1.42095e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88021e-17, 0, 2.86216e-19, 1.88298e-16, 0, 1.39721e-14, 0, 0
0.0999836, 0, 2.34574e-14, 0, 1.41421, -2.34574e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.05339e-17, 0, 4.81189e-19, 3.19495e-16, 0, 2.30569e-14, 0, 0
0.107846, 0, 3.84956e-14, 0, 1.41421, -3.84956e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32111e-16, 0, 8.04436e-19, 5.39287e-16, 0, 3.78234e-14, 0, 0
