   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_151.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00302279, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00484391, 0, 9.49258e-18, 0, 1.41421, -9.49258e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19817e-20, 0, 0, 1.84963e-22, 3.2888e-20, 0, 9.38753e-18, 0, 0, 0
0.0127106, 0, 1.73586e-17, 0, 1.41421, -1.73586e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3162e-19, 0, 0, 3.43549e-22, 6.13925e-20, 0, 1.71653e-17, 0, 0, 0
0.0205773, 0, 3.15028e-17, 0, 1.41421, -3.15028e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38849e-19, 0, 0, 6.33387e-22, 1.13773e-19, 0, 3.11495e-17, 0, 0, 0
0.028444, 0, 5.6748e-17, 0, 1.41421, -5.6748e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30219e-19, 0, 0, 1.1593e-21, 2.09361e-19, 0, 5.61072e-17, 0, 0, 0
0.0363107, 0, 1.0148e-16, 0, 1.41421, -1.0148e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.69281e-19, 0, 0, 2.10685e-21, 3.82609e-19, 0, 1.00326e-16, 0, 0, 0
0.0441774, 0, 1.80175e-16, 0, 1.41421, -1.80175e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36572e-18, 0, 0, 3.80224e-21, 6.94529e-19, 0, 1.78111e-16, 0, 0, 0
0.0520441, 0, 3.17648e-16, 0, 1.41421, -3.17648e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40755e-18, 0, 0, 6.81511e-21, 1.25247e-18, 0, 3.13981e-16, 0, 0, 0
0.0599108, 0, 5.56137e-16, 0, 1.41421, -5.56137e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21473e-18, 0, 0, 1.21334e-20, 2.24415e-18, 0, 5.49666e-16, 0, 0, 0
0.0677776, 0, 9.67044e-16, 0, 1.41421, -9.67044e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.3281e-18, 0, 0, 2.14595e-20, 3.99573e-18, 0, 9.55698e-16, 0, 0, 0
0.0756443, 0, 1.67024e-15, 0, 1.41421, -1.67024e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26555e-17, 0, 0, 3.77072e-20, 7.07063e-18, 0, 1.65048e-15, 0, 0, 0
0.083511, 0, 2.86563e-15, 0, 1.41421, -2.86563e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17107e-17, 0, 0, 6.58322e-20, 1.24362e-17, 0, 2.83141e-15, 0, 0, 0
0.0913777, 0, 4.88431e-15, 0, 1.41421, -4.88431e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70006e-17, 0, 0, 1.1421e-19, 2.17437e-17, 0, 4.82545e-15, 0, 0, 0
0.0992444, 0, 8.30422e-15, 0, 1.41421, -8.30422e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28992e-17, 0, 0, 1.98112e-19, 3.80858e-17, 0, 8.20303e-15, 0, 0, 0
0.107111, 0, 1.39657e-14, 0, 1.41421, -1.39657e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05768e-16, 0, 0, 3.39257e-19, 6.57807e-17, 0, 1.37938e-14, 0, 0, 0
0.114978, 0, 2.33389e-14, 0, 1.41421, -2.33389e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76733e-16, 0, 0, 5.77481e-19, 1.1298e-16, 0, 2.30486e-14, 0, 0, 0
0.122844, 0, 3.87595e-14, 0, 1.41421, -3.87595e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93464e-16, 0, 0, 9.77164e-19, 1.92977e-16, 0, 3.8272e-14, 0, 0, 0
0.130711, 0, 6.397e-14, 0, 1.41421, -6.397e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84274e-16, 0, 0, 1.64381e-18, 3.27829e-16, 0, 6.31562e-14, 0, 0, 0
0.138578, 0, 1.04929e-13, 0, 1.41421, -1.04929e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.94229e-16, 0, 0, 2.74927e-18, 5.53932e-16, 0, 1.03578e-13, 0, 0, 0
0.146445, 0, 1.71063e-13, 0, 1.41421, -1.71063e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29461e-15, 0, 0, 4.57196e-18, 9.3103e-16, 0, 1.68833e-13, 0, 0, 0
0.154311, 0, 2.7719e-13, 0, 1.41421, -2.7719e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09744e-15, 0, 0, 7.56026e-18, 1.55668e-15, 0, 2.73528e-13, 0, 0, 0
0.162178, 0, 4.46452e-13, 0, 1.41421, -4.46452e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37764e-15, 0, 0, 1.24325e-17, 2.58955e-15, 0, 4.40472e-13, 0, 0, 0
0.170045, 0, 7.14767e-13, 0, 1.41421, -7.14767e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.40666e-15, 0, 0, 2.0333e-17, 4.28598e-15, 0, 7.05055e-13, 0, 0, 0
0.177911, 0, 1.13753e-12, 0, 1.41421, -1.13753e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60299e-15, 0, 0, 3.30755e-17, 7.05844e-15, 0, 1.12184e-12, 0, 0, 0
0.185778, 0, 1.79963e-12, 0, 1.41421, -1.79963e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36078e-14, 0, 0, 5.35203e-17, 1.15673e-14, 0, 1.7744e-12, 0, 0, 0
0.193645, 0, 2.83033e-12, 0, 1.41421, -2.83033e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13975e-14, 0, 0, 8.61574e-17, 1.88648e-14, 0, 2.78998e-12, 0, 0, 0
0.201512, 0, 4.42528e-12, 0, 1.41421, -4.42528e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34491e-14, 0, 0, 1.38001e-16, 3.06201e-14, 0, 4.36107e-12, 0, 0, 0
0.209378, 0, 6.87866e-12, 0, 1.41421, -6.87866e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19835e-14, 0, 0, 2.19958e-16, 4.94689e-14, 0, 6.77699e-12, 0, 0, 0
0.217245, 0, 1.06301e-11, 0, 1.41421, -1.06301e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.03192e-14, 0, 0, 3.48928e-16, 7.95549e-14, 0, 1.04699e-11, 0, 0, 0
0.225112, 0, 1.63327e-11, 0, 1.41421, -1.63327e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23384e-13, 0, 0, 5.50991e-16, 1.27366e-13, 0, 1.60814e-11, 0, 0, 0
0.232978, 0, 2.495e-11, 0, 1.41421, -2.495e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8845e-13, 0, 0, 8.66258e-16, 2.03021e-13, 0, 2.45577e-11, 0, 0, 0
0.240845, 0, 3.78957e-11, 0, 1.41421, -3.78957e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86182e-13, 0, 0, 1.35624e-15, 3.22237e-13, 0, 3.7286e-11, 0, 0, 0
0.248712, 0, 5.72304e-11, 0, 1.41421, -5.72304e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32128e-13, 0, 0, 2.11504e-15, 5.09345e-13, 0, 5.62868e-11, 0, 0, 0
0.256578, 0, 8.59393e-11, 0, 1.41421, -8.59393e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48812e-13, 0, 0, 3.28626e-15, 8.01878e-13, 0, 8.44853e-11, 0, 0, 0
