   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_69.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.092492, 0, 6.50598e-22, 0, 1.41421, -6.50598e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.81729e-24, 0, 0, 4.26443e-27, 6.40954e-26, 0, 6.40712e-22, 0, 0, 0
0.100277, 0, 1.61045e-21, 0, 1.41421, -1.61045e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43011e-23, 0, 0, 1.06417e-26, 1.62277e-25, 0, 1.58598e-21, 0, 0, 0
0.108062, 0, 3.91748e-21, 0, 1.41421, -3.91748e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.91132e-23, 0, 0, 2.61023e-26, 4.03288e-25, 0, 3.85794e-21, 0, 0, 0
0.115848, 0, 9.37373e-21, 0, 1.41421, -9.37373e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41445e-22, 0, 0, 6.29925e-26, 9.84924e-25, 0, 9.23123e-21, 0, 0, 0
0.123633, 0, 2.20815e-20, 0, 1.41421, -2.20815e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33199e-22, 0, 0, 1.49696e-25, 2.36619e-24, 0, 2.17458e-20, 0, 0, 0
0.131418, 0, 5.12478e-20, 0, 1.41421, -5.12478e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.73303e-22, 0, 0, 3.5056e-25, 5.59666e-24, 0, 5.04686e-20, 0, 0, 0
0.139203, 0, 1.17255e-19, 0, 1.41421, -1.17255e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76932e-21, 0, 0, 8.0953e-25, 1.30427e-23, 0, 1.15472e-19, 0, 0, 0
0.146989, 0, 2.64636e-19, 0, 1.41421, -2.64636e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9932e-21, 0, 0, 1.84447e-24, 2.99679e-23, 0, 2.60611e-19, 0, 0, 0
0.154774, 0, 5.89439e-19, 0, 1.41421, -5.89439e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.89427e-21, 0, 0, 4.14857e-24, 6.79275e-23, 0, 5.80472e-19, 0, 0, 0
0.162559, 0, 1.29628e-18, 0, 1.41421, -1.29628e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.956e-20, 0, 0, 9.21539e-24, 1.51972e-22, 0, 1.27656e-18, 0, 0, 0
0.170344, 0, 2.81578e-18, 0, 1.41421, -2.81578e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24882e-20, 0, 0, 2.02253e-23, 3.35745e-22, 0, 2.77294e-18, 0, 0, 0
0.178129, 0, 6.0436e-18, 0, 1.41421, -6.0436e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.11937e-20, 0, 0, 4.38737e-23, 7.3277e-22, 0, 5.95163e-18, 0, 0, 0
0.185915, 0, 1.30272e-17, 0, 1.41421, -1.30272e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9657e-19, 0, 0, 9.5885e-23, 1.61202e-21, 0, 1.28289e-17, 0, 0, 0
0.1937, 0, 2.72689e-17, 0, 1.41421, -2.72689e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11466e-19, 0, 0, 2.02951e-22, 3.42941e-21, 0, 2.68538e-17, 0, 0, 0
0.201485, 0, 5.64616e-17, 0, 1.41421, -5.64616e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.51958e-19, 0, 0, 4.25058e-22, 7.21662e-21, 0, 5.5602e-17, 0, 0, 0
0.20927, 0, 1.15664e-16, 0, 1.41421, -1.15664e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74527e-18, 0, 0, 8.81093e-22, 1.50253e-20, 0, 1.13903e-16, 0, 0, 0
0.217056, 0, 2.3447e-16, 0, 1.41421, -2.3447e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53793e-18, 0, 0, 1.80801e-21, 3.09595e-20, 0, 2.30899e-16, 0, 0, 0
0.224841, 0, 4.70426e-16, 0, 1.41421, -4.70426e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.09824e-18, 0, 0, 3.67338e-21, 6.31444e-20, 0, 4.63261e-16, 0, 0, 0
0.232626, 0, 9.34285e-16, 0, 1.41421, -9.34285e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40973e-17, 0, 0, 7.3908e-21, 1.27507e-19, 0, 9.20053e-16, 0, 0, 0
0.240411, 0, 1.83701e-15, 0, 1.41421, -1.83701e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77182e-17, 0, 0, 1.47281e-20, 2.5496e-19, 0, 1.80902e-15, 0, 0, 0
0.248196, 0, 3.57638e-15, 0, 1.41421, -3.57638e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39627e-17, 0, 0, 2.90736e-20, 5.04921e-19, 0, 3.52188e-15, 0, 0, 0
0.255982, 0, 6.89481e-15, 0, 1.41421, -6.89481e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04033e-16, 0, 0, 5.68613e-20, 9.90511e-19, 0, 6.78973e-15, 0, 0, 0
0.263767, 0, 1.31642e-14, 0, 1.41421, -1.31642e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98627e-16, 0, 0, 1.10196e-19, 1.92508e-18, 0, 1.29636e-14, 0, 0, 0
0.271552, 0, 2.48944e-14, 0, 1.41421, -2.48944e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75616e-16, 0, 0, 2.11644e-19, 3.70727e-18, 0, 2.45149e-14, 0, 0, 0
0.279337, 0, 4.66315e-14, 0, 1.41421, -4.66315e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.03587e-16, 0, 0, 4.02901e-19, 7.07516e-18, 0, 4.59204e-14, 0, 0, 0
0.287123, 0, 8.65284e-14, 0, 1.41421, -8.65284e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30556e-15, 0, 0, 7.60333e-19, 1.3383e-17, 0, 8.52087e-14, 0, 0, 0
0.294908, 0, 1.59064e-13, 0, 1.41421, -1.59064e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39998e-15, 0, 0, 1.42263e-18, 2.50936e-17, 0, 1.56637e-13, 0, 0, 0
