   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_268.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00567782, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00218467, 0, 2.99865e-21, 0, 1.41421, -2.99865e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39188e-26, 0, 5.57238e-22, 0, 2.44139e-21, 0, 0
0.0100471, 0, 6.69811e-21, 0, 1.41421, -6.69811e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41068e-26, 0, 1.26403e-21, 0, 5.43403e-21, 0, 0
0.0179096, 0, 1.47507e-20, 0, 1.41421, -1.47507e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20669e-25, 0, 2.82555e-21, 0, 1.1925e-20, 0, 0
0.0257721, 0, 3.20482e-20, 0, 1.41421, -3.20482e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6551e-25, 0, 6.22903e-21, 0, 2.58189e-20, 0, 0
0.0336346, 0, 6.87377e-20, 0, 1.41421, -6.87377e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76728e-25, 0, 1.35522e-20, 0, 5.51849e-20, 0, 0
0.0414971, 0, 1.45619e-19, 0, 1.41421, -1.45619e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23739e-24, 0, 2.91165e-20, 0, 1.16501e-19, 0, 0
0.0493596, 0, 3.04848e-19, 0, 1.41421, -3.04848e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62364e-24, 0, 6.18083e-20, 0, 2.43037e-19, 0, 0
0.057222, 0, 6.30935e-19, 0, 1.41421, -6.30935e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.49993e-24, 0, 1.29703e-19, 0, 5.01227e-19, 0, 0
0.0650845, 0, 1.29149e-18, 0, 1.41421, -1.29149e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14036e-23, 0, 2.69178e-19, 0, 1.0223e-18, 0, 0
0.072947, 0, 2.61556e-18, 0, 1.41421, -2.61556e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33947e-23, 0, 5.5271e-19, 0, 2.06282e-18, 0, 0
0.0808095, 0, 5.24255e-18, 0, 1.41421, -5.24255e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75041e-23, 0, 1.12327e-18, 0, 4.11924e-18, 0, 0
0.088672, 0, 1.04031e-17, 0, 1.41421, -1.04031e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.55026e-23, 0, 2.26022e-18, 0, 8.14276e-18, 0, 0
0.0965345, 0, 2.04427e-17, 0, 1.41421, -2.04427e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90148e-22, 0, 4.50433e-18, 0, 1.59382e-17, 0, 0
0.104397, 0, 3.97913e-17, 0, 1.41421, -3.97913e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75038e-22, 0, 8.89308e-18, 0, 3.08978e-17, 0, 0
0.112259, 0, 7.67375e-17, 0, 1.41421, -7.67375e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32933e-22, 0, 1.73992e-17, 0, 5.93376e-17, 0, 0
0.120122, 0, 1.46654e-16, 0, 1.41421, -1.46654e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41956e-21, 0, 3.3742e-17, 0, 1.1291e-16, 0, 0
0.127984, 0, 2.77798e-16, 0, 1.41421, -2.77798e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72539e-21, 0, 6.48746e-17, 0, 2.12921e-16, 0, 0
0.135847, 0, 5.21671e-16, 0, 1.41421, -5.21671e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1876e-21, 0, 1.23689e-16, 0, 3.97976e-16, 0, 0
0.143709, 0, 9.71328e-16, 0, 1.41421, -9.71328e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.79128e-21, 0, 2.33897e-16, 0, 7.37421e-16, 0, 0
0.151572, 0, 1.79352e-15, 0, 1.41421, -1.79352e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83279e-20, 0, 4.38767e-16, 0, 1.35474e-15, 0, 0
0.159434, 0, 3.2846e-15, 0, 1.41421, -3.2846e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40289e-20, 0, 8.16649e-16, 0, 2.46791e-15, 0, 0
0.167297, 0, 5.96691e-15, 0, 1.41421, -5.96691e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.26755e-20, 0, 1.50832e-15, 0, 4.45852e-15, 0, 0
0.175159, 0, 1.07538e-14, 0, 1.41421, -1.07538e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14529e-19, 0, 2.76487e-15, 0, 7.98882e-15, 0, 0
0.183022, 0, 1.92298e-14, 0, 1.41421, -1.92298e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07667e-19, 0, 5.03086e-15, 0, 1.41987e-14, 0, 0
0.190884, 0, 3.41219e-14, 0, 1.41421, -3.41219e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73682e-19, 0, 9.08763e-15, 0, 2.50339e-14, 0, 0
