   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_103.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0796647, 0, 1.97417e-14, 0, 1.41421, -1.97417e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14008e-16, 0, 2.90569e-19, 0, 2.43922e-18, 0, 1.96249e-14, 0, 0, 0
0.0875506, 0, 3.18947e-14, 0, 1.41421, -3.18947e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84191e-16, 0, 4.78693e-19, 0, 4.05169e-18, 0, 3.1706e-14, 0, 0, 0
0.0954364, 0, 5.12518e-14, 0, 1.41421, -5.12518e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95977e-16, 0, 7.84541e-19, 0, 6.69811e-18, 0, 5.09484e-14, 0, 0, 0
0.103322, 0, 8.19167e-14, 0, 1.41421, -8.19167e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73065e-16, 0, 1.27925e-18, 0, 1.1021e-17, 0, 8.14313e-14, 0, 0, 0
0.111208, 0, 1.30235e-13, 0, 1.41421, -1.30235e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.52099e-16, 0, 2.07541e-18, 0, 1.80496e-17, 0, 1.29462e-13, 0, 0, 0
0.119094, 0, 2.05961e-13, 0, 1.41421, -2.05961e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18942e-15, 0, 3.35035e-18, 0, 2.94249e-17, 0, 2.04739e-13, 0, 0, 0
0.12698, 0, 3.24015e-13, 0, 1.41421, -3.24015e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87119e-15, 0, 5.38201e-18, 0, 4.77552e-17, 0, 3.22091e-13, 0, 0, 0
0.134866, 0, 5.07081e-13, 0, 1.41421, -5.07081e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92843e-15, 0, 8.60393e-18, 0, 7.71586e-17, 0, 5.04067e-13, 0, 0, 0
0.142752, 0, 7.89467e-13, 0, 1.41421, -7.89467e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5593e-15, 0, 1.36893e-17, 0, 1.24117e-16, 0, 7.8477e-13, 0, 0, 0
0.150637, 0, 1.22277e-12, 0, 1.41421, -1.22277e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06187e-15, 0, 2.16788e-17, 0, 1.98784e-16, 0, 1.21549e-12, 0, 0, 0
0.158523, 0, 1.8842e-12, 0, 1.41421, -1.8842e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08821e-14, 0, 3.41743e-17, 0, 3.17006e-16, 0, 1.87296e-12, 0, 0, 0
0.166409, 0, 2.88856e-12, 0, 1.41421, -2.88856e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66833e-14, 0, 5.36325e-17, 0, 5.03397e-16, 0, 2.87132e-12, 0, 0, 0
0.174295, 0, 4.40576e-12, 0, 1.41421, -4.40576e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54475e-14, 0, 8.38033e-17, 0, 7.96054e-16, 0, 4.37944e-12, 0, 0, 0
0.182181, 0, 6.68583e-12, 0, 1.41421, -6.68583e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86195e-14, 0, 1.30392e-16, 0, 1.2537e-15, 0, 6.64583e-12, 0, 0, 0
0.190067, 0, 1.00946e-11, 0, 1.41421, -1.00946e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.83145e-14, 0, 2.0205e-16, 0, 1.96651e-15, 0, 1.00342e-11, 0, 0, 0
0.197952, 0, 1.51647e-11, 0, 1.41421, -1.51647e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.76121e-14, 0, 3.11849e-16, 0, 3.07247e-15, 0, 1.50737e-11, 0, 0, 0
0.205838, 0, 2.2667e-11, 0, 1.41421, -2.2667e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30972e-13, 0, 4.79497e-16, 0, 4.78194e-15, 0, 2.25308e-11, 0, 0, 0
0.213724, 0, 3.37114e-11, 0, 1.41421, -3.37114e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94818e-13, 0, 7.34615e-16, 0, 7.41462e-15, 0, 3.35085e-11, 0, 0, 0
0.22161, 0, 4.98872e-11, 0, 1.41421, -4.98872e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88351e-13, 0, 1.12164e-15, 0, 1.14547e-14, 0, 4.95863e-11, 0, 0, 0
0.229496, 0, 7.34576e-11, 0, 1.41421, -7.34576e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24686e-13, 0, 1.70713e-15, 0, 1.76336e-14, 0, 7.30136e-11, 0, 0, 0
0.237382, 0, 1.07628e-10, 0, 1.41421, -1.07628e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.22408e-13, 0, 2.59058e-15, 0, 2.70525e-14, 0, 1.06976e-10, 0, 0, 0
0.245268, 0, 1.56914e-10, 0, 1.41421, -1.56914e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.07728e-13, 0, 3.9207e-15, 0, 4.13655e-14, 0, 1.55961e-10, 0, 0, 0
0.253153, 0, 2.27643e-10, 5.04467e-44, 1.41421, -2.27643e-10, 5.04467e-44, 0, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 1.3174e-12, 5.04467e-44, 5.91946e-15, 5.04467e-44, 6.3051e-14, 5.04467e-44, 2.26257e-10, 5.04467e-44, 5.04467e-44, 5.04467e-44
