   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_673.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0230547, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0151592, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00726368, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000631851, 0, 5.22003e-17, 0, 1.41421, -5.22003e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75908e-19, 0, 0, 5.73616e-20, 0, 4.83176e-19, 0, 5.14839e-17, 0, 0, 0
0.00852738, 0, 9.21482e-17, 0, 1.41421, -9.21482e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10464e-19, 0, 0, 1.03086e-19, 0, 8.69413e-19, 0, 9.08652e-17, 0, 0, 0
0.0164229, 0, 1.616e-16, 0, 1.41421, -1.616e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44344e-19, 0, 0, 1.84051e-19, 0, 1.55479e-18, 0, 1.59316e-16, 0, 0, 0
0.0243184, 0, 2.81566e-16, 0, 1.41421, -2.81566e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.48241e-19, 0, 0, 3.26504e-19, 0, 2.76373e-18, 0, 2.77527e-16, 0, 0, 0
0.032214, 0, 4.87478e-16, 0, 1.41421, -4.87478e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64133e-18, 0, 0, 5.7558e-19, 0, 4.88385e-18, 0, 4.80377e-16, 0, 0, 0
0.0401095, 0, 8.38699e-16, 0, 1.41421, -8.38699e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82321e-18, 0, 0, 1.00841e-18, 0, 8.58062e-18, 0, 8.26286e-16, 0, 0, 0
0.048005, 0, 1.43408e-15, 0, 1.41421, -1.43408e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.82617e-18, 0, 0, 1.75598e-18, 0, 1.49904e-17, 0, 1.4125e-15, 0, 0, 0
0.0559005, 0, 2.4372e-15, 0, 1.41421, -2.4372e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.19991e-18, 0, 0, 3.03949e-18, 0, 2.60432e-17, 0, 2.39992e-15, 0, 0, 0
0.0637961, 0, 4.11713e-15, 0, 1.41421, -4.11713e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38482e-17, 0, 0, 5.23016e-18, 0, 4.49989e-17, 0, 4.05305e-15, 0, 0, 0
0.0716916, 0, 6.91375e-15, 0, 1.41421, -6.91375e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32483e-17, 0, 0, 8.9474e-18, 0, 7.73349e-17, 0, 6.80422e-15, 0, 0, 0
0.0795871, 0, 1.15419e-14, 0, 1.41421, -1.15419e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87995e-17, 0, 0, 1.52188e-17, 0, 1.32207e-16, 0, 1.13557e-14, 0, 0, 0
0.0874826, 0, 1.91564e-14, 0, 1.41421, -1.91564e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.43763e-17, 0, 0, 2.57393e-17, 0, 2.24839e-16, 0, 1.88414e-14, 0, 0, 0
0.0953782, 0, 3.16116e-14, 0, 1.41421, -3.16116e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06198e-16, 0, 0, 4.32903e-17, 0, 3.80419e-16, 0, 3.10817e-14, 0, 0, 0
0.103274, 0, 5.18676e-14, 0, 1.41421, -5.18676e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74187e-16, 0, 0, 7.24085e-17, 0, 6.40404e-16, 0, 5.09806e-14, 0, 0, 0
0.111169, 0, 8.46227e-14, 0, 1.41421, -8.46227e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84087e-16, 0, 0, 1.20455e-16, 0, 1.0727e-15, 0, 8.31455e-14, 0, 0, 0
0.119065, 0, 1.37289e-13, 0, 1.41421, -1.37289e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.60719e-16, 0, 0, 1.99307e-16, 0, 1.78797e-15, 0, 1.34841e-13, 0, 0, 0
0.12696, 0, 2.21494e-13, 0, 1.41421, -2.21494e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.43001e-16, 0, 0, 3.2803e-16, 0, 2.96569e-15, 0, 2.17457e-13, 0, 0, 0
0.134856, 0, 3.5537e-13, 0, 1.41421, -3.5537e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19159e-15, 0, 0, 5.37071e-16, 0, 4.89553e-15, 0, 3.48746e-13, 0, 0, 0
0.142751, 0, 5.67034e-13, 0, 1.41421, -5.67034e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9005e-15, 0, 0, 8.74793e-16, 0, 8.04345e-15, 0, 5.56215e-13, 0, 0, 0
0.150647, 0, 8.99831e-13, 0, 1.41421, -8.99831e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01453e-15, 0, 0, 1.41765e-15, 0, 1.3154e-14, 0, 8.82245e-13, 0, 0, 0
0.158542, 0, 1.4202e-12, 0, 1.41421, -1.4202e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75553e-15, 0, 0, 2.28592e-15, 0, 2.14127e-14, 0, 1.39175e-12, 0, 0, 0
0.166438, 0, 2.2294e-12, 0, 1.41421, -2.2294e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.46136e-15, 0, 0, 3.66792e-15, 0, 3.46987e-14, 0, 2.18358e-12, 0, 0, 0
0.174333, 0, 3.48088e-12, 0, 1.41421, -3.48088e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16436e-14, 0, 0, 5.85727e-15, 0, 5.59772e-14, 0, 3.4074e-12, 0, 0, 0
0.182229, 0, 5.40583e-12, 0, 1.41421, -5.40583e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80725e-14, 0, 0, 9.30973e-15, 0, 8.9907e-14, 0, 5.28854e-12, 0, 0, 0
0.190124, 0, 8.35062e-12, 0, 1.41421, -8.35062e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79011e-14, 0, 0, 1.47297e-14, 0, 1.43779e-13, 0, 8.16421e-12, 0, 0, 0
0.19802, 0, 1.28312e-11, 0, 1.41421, -1.28312e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28455e-14, 0, 0, 2.32021e-14, 0, 2.28954e-13, 0, 1.25362e-11, 0, 0, 0
0.205916, 0, 1.96121e-11, 0, 1.41421, -1.96121e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.54456e-14, 0, 0, 3.63917e-14, 0, 3.63071e-13, 0, 1.91472e-11, 0, 0, 0
0.213811, 0, 2.98189e-11, 0, 1.41421, -2.98189e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.94386e-14, 0, 0, 5.68446e-14, 0, 5.73407e-13, 0, 2.90892e-11, 0, 0, 0
0.221707, 0, 4.51007e-11, 0, 1.41421, -4.51007e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50293e-13, 0, 0, 8.84447e-14, 0, 9.02002e-13, 0, 4.39599e-11, 0, 0, 0
0.229602, 0, 6.78591e-11, 0, 1.41421, -6.78591e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25965e-13, 0, 0, 1.37101e-13, 0, 1.41342e-12, 0, 6.60826e-11, 0, 0, 0
0.237498, 0, 1.01573e-10, 0, 1.41421, -1.01573e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37964e-13, 0, 0, 2.11786e-13, 0, 2.20651e-12, 0, 9.88167e-11, 0, 0, 0
0.245393, 0, 1.51252e-10, 0, 1.41421, -1.51252e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02847e-13, 0, 0, 3.26098e-13, 0, 3.43211e-12, 0, 1.46991e-10, 0, 0, 0
0.253289, 0, 2.24073e-10, 0, 1.41421, -2.24073e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.44301e-13, 0, 0, 5.00626e-13, 0, 5.31985e-12, 0, 2.17508e-10, 0, 0, 0
0.261184, 0, 3.30259e-10, 1.63952e-43, 1.41421, -3.30259e-10, 0, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.09602e-12, 1.63952e-43, 1.63952e-43, 7.66516e-13, 1.63952e-43, 8.21827e-12, 1.63952e-43, 3.20178e-10, 1.63952e-43, 1.63952e-43, 1.63952e-43
0.26908, 0, 4.84293e-10, 2.75495e-42, 1.41421, -4.84293e-10, 0, 2.75495e-42, 2.75495e-42, 2.75495e-42, 2.75495e-42, 2.75495e-42, 2.75495e-42, 2.75495e-42, 2.75495e-42, 2.75495e-42, 2.75495e-42, 2.75495e-42, 1.60566e-12, 2.75495e-42, 2.75495e-42, 1.17086e-12, 2.75495e-42, 1.26551e-11, 2.75495e-42, 4.68862e-10, 2.75495e-42, 2.75495e-42, 2.75495e-42
0.276975, 0, 7.06588e-10, 3.88748e-41, 1.41421, -7.06588e-10, 0, 3.88748e-41, 3.88748e-41, 3.88748e-41, 3.88748e-41, 3.88748e-41, 3.88748e-41, 3.88748e-41, 3.88748e-41, 3.88748e-41, 3.88748e-41, 3.88748e-41, 2.34028e-12, 3.88748e-41, 3.88748e-41, 1.78488e-12, 3.88748e-41, 1.94281e-11, 3.88748e-41, 6.83034e-10, 3.88748e-41, 3.88748e-41, 3.88748e-41
0.284871, 0, 1.02575e-09, 4.8546e-40, 1.41421, -1.02575e-09, 0, 4.8546e-40, 4.8546e-40, 4.8546e-40, 4.8546e-40, 4.8546e-40, 4.8546e-40, 4.8546e-40, 4.8546e-40, 4.8546e-40, 4.8546e-40, 4.8546e-40, 3.3937e-12, 4.8546e-40, 4.8546e-40, 2.71629e-12, 4.8546e-40, 2.97396e-11, 4.8546e-40, 9.89899e-10, 4.8546e-40, 4.8546e-40, 4.8546e-40
0.292766, 0, 1.48166e-09, 5.43795e-39, 1.41421, -1.48166e-09, 0, 5.43795e-39, 5.43795e-39, 5.43795e-39, 5.43795e-39, 5.43795e-39, 5.43795e-39, 5.43795e-39, 5.43795e-39, 5.43795e-39, 5.43795e-39, 5.43795e-39, 4.89646e-12, 5.43795e-39, 5.43795e-39, 4.12815e-12, 5.43795e-39, 4.54001e-11, 5.43795e-39, 1.42724e-09, 5.43795e-39, 5.43795e-39, 5.43795e-39
0.300662, 0, 2.12966e-09, 5.49828e-38, 1.41421, -2.12966e-09, 0, 5.49828e-38, 5.49828e-38, 5.49828e-38, 5.49828e-38, 5.49828e-38, 5.49828e-38, 5.49828e-38, 5.49828e-38, 5.49828e-38, 5.49828e-38, 5.49828e-38, 7.02927e-12, 5.49828e-38, 5.49828e-38, 6.26743e-12, 5.49828e-38, 6.91295e-11, 5.49828e-38, 2.04723e-09, 5.49828e-38, 5.49828e-38, 5.49828e-38
0.308557, 0, 3.04609e-09, 5.04481e-37, 1.41421, -3.04609e-09, 0, 5.04481e-37, 5.04481e-37, 5.04481e-37, 5.04481e-37, 5.04481e-37, 5.04481e-37, 5.04481e-37, 5.04481e-37, 5.04481e-37, 5.04481e-37, 5.04481e-37, 1.00408e-11, 5.04481e-37, 5.04481e-37, 9.50854e-12, 5.04481e-37, 1.05009e-10, 5.04481e-37, 2.92153e-09, 5.04481e-37, 5.04481e-37, 5.04481e-37
0.316453, 0, 4.33579e-09, 4.22237e-36, 1.41421, -4.33579e-09, 0, 4.22237e-36, 4.22237e-36, 4.22237e-36, 4.22237e-36, 4.22237e-36, 4.22237e-36, 4.22237e-36, 4.22237e-36, 4.22237e-36, 4.22237e-36, 4.22237e-36, 1.42719e-11, 4.22237e-36, 4.22237e-36, 1.44196e-11, 4.22237e-36, 1.59151e-10, 4.22237e-36, 4.14795e-09, 4.22237e-36, 4.22237e-36, 4.22237e-36
0.324348, 0, 6.14203e-09, 3.24036e-35, 1.41421, -6.14203e-09, 0, 3.24036e-35, 3.24036e-35, 3.24036e-35, 3.24036e-35, 3.24036e-35, 3.24036e-35, 3.24036e-35, 3.24036e-35, 3.24036e-35, 3.24036e-35, 3.24036e-35, 2.01864e-11, 3.24036e-35, 3.24036e-35, 2.18632e-11, 3.24036e-35, 2.40702e-10, 3.24036e-35, 5.85928e-09, 3.24036e-35, 3.24036e-35, 3.24036e-35
0.332244, 0, 8.65969e-09, 2.29119e-34, 1.41421, -8.65969e-09, 0, 2.29119e-34, 2.29119e-34, 2.29119e-34, 2.29119e-34, 2.29119e-34, 2.29119e-34, 2.29119e-34, 2.29119e-34, 2.29119e-34, 2.29119e-34, 2.29119e-34, 2.84134e-11, 2.29119e-34, 2.29119e-34, 3.315e-11, 2.29119e-34, 3.6332e-10, 2.29119e-34, 8.2348e-09, 2.29119e-34, 2.29119e-34, 2.29119e-34
0.34014, 0, 1.21526e-08, 1.53972e-33, 1.41421, -1.21526e-08, 0, 1.53972e-33, 1.53972e-33, 1.53972e-33, 1.53972e-33, 1.53972e-33, 1.53972e-33, 1.53972e-33, 1.53972e-33, 1.53972e-33, 1.53972e-33, 1.53972e-33, 3.98013e-11, 1.53972e-33, 1.53972e-33, 5.02713e-11, 1.53972e-33, 5.47375e-10, 1.53972e-33, 1.15151e-08, 1.53972e-33, 1.53972e-33, 1.53972e-33
