   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_269.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00409976, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00376257, 0, 2.37363e-19, 0, 1.41421, -2.37363e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74262e-20, 0, 1.89937e-19, 0, 0, 0
0.0116249, 0, 4.7402e-19, 0, 1.41421, -4.7402e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.59735e-20, 0, 3.78046e-19, 0, 0, 0
0.0194872, 0, 9.37378e-19, 0, 1.41421, -9.37378e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92333e-19, 0, 7.45045e-19, 0, 0, 0
0.0273496, 0, 1.83611e-18, 0, 1.41421, -1.83611e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8183e-19, 0, 1.45428e-18, 0, 0, 0
0.0352119, 0, 3.56342e-18, 0, 1.41421, -3.56342e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.51167e-19, 0, 2.81225e-18, 0, 0, 0
0.0430743, 0, 6.85386e-18, 0, 1.41421, -6.85386e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4648e-18, 0, 5.38906e-18, 0, 0, 0
0.0509366, 0, 1.30678e-17, 0, 1.41421, -1.30678e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83207e-18, 0, 1.02357e-17, 0, 0, 0
0.0587989, 0, 2.47036e-17, 0, 1.41421, -2.47036e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4303e-18, 0, 1.92733e-17, 0, 0, 0
0.0666613, 0, 4.63122e-17, 0, 1.41421, -4.63122e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03283e-17, 0, 3.59838e-17, 0, 0, 0
0.0745236, 0, 8.61173e-17, 0, 1.41421, -8.61173e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94902e-17, 0, 6.66271e-17, 0, 0, 0
0.0823859, 0, 1.58861e-16, 0, 1.41421, -1.58861e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64976e-17, 0, 1.22363e-16, 0, 0, 0
