   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_77.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.189116, 0, 5.32658e-24, 0, 1.41421, -5.32658e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34306e-29, 2.842e-28, 0, 5.32626e-24, 0, 0, 0
0.197041, 0, 1.88419e-23, 0, 1.41421, -1.88419e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18572e-28, 1.05685e-27, 0, 1.88407e-23, 0, 0, 0
0.204965, 0, 6.41634e-23, 0, 1.41421, -6.41634e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04957e-28, 3.76222e-27, 0, 6.41592e-23, 0, 0, 0
0.21289, 0, 2.11166e-22, 0, 1.41421, -2.11166e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33693e-27, 1.28876e-26, 0, 2.11151e-22, 0, 0, 0
0.220814, 0, 7.31426e-22, 0, 1.41421, -7.31426e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.65597e-27, 4.71057e-26, 0, 7.31375e-22, 0, 0, 0
0.228739, 0, 2.2415e-21, 0, 1.41421, -2.2415e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43196e-26, 1.48986e-25, 0, 2.24133e-21, 0, 0, 0
0.236664, 0, 6.70028e-21, 0, 1.41421, -6.70028e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29673e-26, 4.58772e-25, 0, 6.69978e-21, 0, 0, 0
0.244588, 0, 1.95641e-20, 0, 1.41421, -1.95641e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25968e-25, 1.37781e-24, 0, 1.95626e-20, 0, 0, 0
0.252513, 0, 5.58686e-20, 0, 1.41421, -5.58686e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61266e-25, 4.04165e-24, 0, 5.58642e-20, 0, 0, 0
0.260438, 0, 1.56196e-19, 0, 1.41421, -1.56196e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01462e-24, 1.15944e-23, 0, 1.56184e-19, 0, 0, 0
0.268362, 0, 4.27916e-19, 0, 1.41421, -4.27916e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79309e-24, 3.25626e-23, 0, 4.2788e-19, 0, 0, 0
0.276287, 0, 1.14967e-18, 0, 1.41421, -1.14967e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.54254e-24, 8.96148e-23, 0, 1.14957e-18, 0, 0, 0
0.284212, 0, 3.03118e-18, 0, 1.41421, -3.03118e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99943e-23, 2.41867e-22, 0, 3.03092e-18, 0, 0, 0
0.292136, 0, 7.84743e-18, 0, 1.41421, -7.84743e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2061e-23, 6.40636e-22, 0, 7.84674e-18, 0, 0, 0
0.300061, 0, 1.99596e-17, 0, 1.41421, -1.99596e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33223e-22, 1.66631e-21, 0, 1.99578e-17, 0, 0, 0
0.307986, 0, 4.9898e-17, 0, 1.41421, -4.9898e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35205e-22, 4.2584e-21, 0, 4.98934e-17, 0, 0, 0
0.31591, 0, 1.22658e-16, 0, 1.41421, -1.22658e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.29652e-22, 1.06976e-20, 0, 1.22647e-16, 0, 0, 0
0.323835, 0, 2.96585e-16, 0, 1.41421, -2.96585e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02071e-21, 2.64281e-20, 0, 2.96556e-16, 0, 0, 0
0.331759, 0, 7.0563e-16, 0, 1.41421, -7.0563e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84485e-21, 6.42314e-20, 0, 7.05561e-16, 0, 0, 0
0.339684, 0, 1.65235e-15, 0, 1.41421, -1.65235e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14383e-20, 1.53631e-19, 0, 1.65218e-15, 0, 0, 0
0.347609, 0, 3.8092e-15, 0, 1.41421, -3.8092e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65997e-20, 3.61737e-19, 0, 3.80881e-15, 0, 0, 0
0.355533, 0, 8.647e-15, 0, 1.41421, -8.647e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.09467e-20, 8.38709e-19, 0, 8.6461e-15, 0, 0, 0
0.363458, 0, 1.93322e-14, 0, 1.41421, -1.93322e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37626e-19, 1.91532e-18, 0, 1.93302e-14, 0, 0, 0
0.371383, 0, 4.25753e-14, 0, 1.41421, -4.25753e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06363e-19, 4.30905e-18, 0, 4.25707e-14, 0, 0, 0
0.379307, 0, 9.23762e-14, 0, 1.41421, -9.23762e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.72483e-19, 9.5527e-18, 0, 9.23659e-14, 0, 0, 0
0.387232, 0, 1.97491e-13, 0, 1.41421, -1.97491e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45599e-18, 2.08719e-17, 0, 1.97468e-13, 0, 0, 0
0.395157, 0, 4.16073e-13, 5.60519e-44, 1.41421, -4.16073e-13, 5.60519e-44, 0, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 3.11037e-18, 4.49539e-17, 5.60519e-44, 4.16025e-13, 5.60519e-44, 5.60519e-44, 5.60519e-44
