   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_92.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0761069, 0, 1.16219e-14, 0, 1.41421, -1.16219e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62619e-17, 0, 1.86138e-19, 1.46947e-18, 0, 1.1584e-14, 0, 0
0.083972, 0, 1.90516e-14, 0, 1.41421, -1.90516e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94435e-17, 0, 3.10783e-19, 2.47673e-18, 0, 1.89894e-14, 0, 0
0.0918371, 0, 3.10535e-14, 0, 1.41421, -3.10535e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.6891e-17, 0, 5.1609e-19, 4.15356e-18, 0, 3.09519e-14, 0, 0
0.0997023, 0, 5.03308e-14, 0, 1.41421, -5.03308e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57038e-16, 0, 8.52446e-19, 6.93129e-18, 0, 5.0166e-14, 0, 0
0.107567, 0, 8.11185e-14, 0, 1.41421, -8.11185e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.531e-16, 0, 1.40058e-18, 1.15103e-17, 0, 8.08525e-14, 0, 0
0.115433, 0, 1.30013e-13, 0, 1.41421, -1.30013e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05658e-16, 0, 2.28919e-18, 1.90224e-17, 0, 1.29586e-13, 0, 0
0.123298, 0, 2.0723e-13, 0, 1.41421, -2.0723e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.46589e-16, 0, 3.72231e-18, 3.12877e-17, 0, 2.06549e-13, 0, 0
0.131163, 0, 3.28498e-13, 0, 1.41421, -3.28498e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02497e-15, 0, 6.02186e-18, 5.12192e-17, 0, 3.27416e-13, 0, 0
0.139028, 0, 5.17892e-13, 0, 1.41421, -5.17892e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61593e-15, 0, 9.69323e-18, 8.3465e-17, 0, 5.16183e-13, 0, 0
0.146893, 0, 8.12053e-13, 0, 1.41421, -8.12053e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53382e-15, 0, 1.55259e-17, 1.3539e-16, 0, 8.09369e-13, 0, 0
0.154758, 0, 1.26644e-12, 0, 1.41421, -1.26644e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95171e-15, 0, 2.47475e-17, 2.18629e-16, 0, 1.26224e-12, 0, 0
0.162623, 0, 1.96447e-12, 0, 1.41421, -1.96447e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.13003e-15, 0, 3.92582e-17, 3.51474e-16, 0, 1.95795e-12, 0, 0
0.170488, 0, 3.03097e-12, 0, 1.41421, -3.03097e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.4584e-15, 0, 6.1988e-17, 5.62559e-16, 0, 3.02089e-12, 0, 0
0.178354, 0, 4.65159e-12, 0, 1.41421, -4.65159e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45165e-14, 0, 9.74331e-17, 8.96523e-16, 0, 4.63608e-12, 0, 0
0.186219, 0, 7.10491e-12, 0, 1.41421, -7.10491e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21747e-14, 0, 1.52752e-16, 1.426e-15, 0, 7.08115e-12, 0, 0
0.194084, 0, 1.0788e-11, 0, 1.41421, -1.0788e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.36729e-14, 0, 2.37994e-16, 2.25309e-15, 0, 1.07518e-11, 0, 0
0.201949, 0, 1.62944e-11, 0, 1.41421, -1.62944e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08662e-14, 0, 3.69273e-16, 3.54534e-15, 0, 1.62396e-11, 0, 0
0.209814, 0, 2.44827e-11, 0, 1.41421, -2.44827e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64383e-14, 0, 5.70692e-16, 5.5564e-15, 0, 2.44001e-11, 0, 0
0.217679, 0, 3.65939e-11, 0, 1.41421, -3.65939e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14271e-13, 0, 8.78639e-16, 8.67412e-15, 0, 3.647e-11, 0, 0
0.225544, 0, 5.4412e-11, 0, 1.41421, -5.4412e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69948e-13, 0, 1.34791e-15, 1.34894e-14, 0, 5.42272e-11, 0, 0
0.233409, 0, 8.04868e-11, 0, 1.41421, -8.04868e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51455e-13, 0, 2.06086e-15, 2.08999e-14, 0, 8.02124e-11, 0, 0
0.241274, 0, 1.18442e-10, 0, 1.41421, -1.18442e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70149e-13, 0, 3.14111e-15, 3.22643e-14, 0, 1.18036e-10, 0, 0
0.24914, 0, 1.73398e-10, 7.00649e-45, 1.41421, -1.73398e-10, 7.00649e-45, 0, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 7.00649e-45, 5.42099e-13, 7.00649e-45, 4.77395e-15, 4.96342e-14, 7.00649e-45, 1.72802e-10, 7.00649e-45, 7.00649e-45
0.257005, 0, 2.52552e-10, 1.24716e-43, 1.41421, -2.52552e-10, 1.24716e-43, 0, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 1.24716e-43, 7.89911e-13, 1.24716e-43, 7.23703e-15, 7.60985e-14, 1.24716e-43, 2.51678e-10, 1.24716e-43, 1.24716e-43
0.26487, 0, 3.65954e-10, 1.82449e-42, 1.41421, -3.65954e-10, 1.82449e-42, 0, 1.82449e-42, 1.82449e-42, 1.82449e-42, 1.82449e-42, 1.82449e-42, 1.82449e-42, 1.82449e-42, 1.82449e-42, 1.82449e-42, 1.14521e-12, 1.82449e-42, 1.09461e-14, 1.16295e-13, 1.82449e-42, 3.64681e-10, 1.82449e-42, 1.82449e-42
0.272735, 0, 5.27573e-10, 2.44695e-41, 1.41421, -5.27573e-10, 2.44695e-41, 0, 2.44695e-41, 2.44695e-41, 2.44695e-41, 2.44695e-41, 2.44695e-41, 2.44695e-41, 2.44695e-41, 2.44695e-41, 2.44695e-41, 1.65202e-12, 2.44695e-41, 1.65239e-14, 1.77174e-13, 2.44695e-41, 5.25727e-10, 2.44695e-41, 2.44695e-41
0.2806, 0, 7.56705e-10, 2.94452e-40, 1.41421, -7.56705e-10, 2.94452e-40, 0, 2.94452e-40, 2.94452e-40, 2.94452e-40, 2.94452e-40, 2.94452e-40, 2.94452e-40, 2.94452e-40, 2.94452e-40, 2.94452e-40, 2.37126e-12, 2.94452e-40, 2.49037e-14, 2.69125e-13, 2.94452e-40, 7.5404e-10, 2.94452e-40, 2.94452e-40
0.288465, 0, 1.07986e-09, 3.19203e-39, 1.41421, -1.07986e-09, 3.19203e-39, 0, 3.19203e-39, 3.19203e-39, 3.19203e-39, 3.19203e-39, 3.19203e-39, 3.19203e-39, 3.19203e-39, 3.19203e-39, 3.19203e-39, 3.38686e-12, 3.19203e-39, 3.74849e-14, 4.07649e-13, 3.19203e-39, 1.07603e-09, 3.19203e-39, 3.19203e-39
0.29633, 0, 1.53324e-09, 3.13037e-38, 1.41421, -1.53324e-09, 3.13037e-38, 0, 3.13037e-38, 3.13037e-38, 3.13037e-38, 3.13037e-38, 3.13037e-38, 3.13037e-38, 3.13037e-38, 3.13037e-38, 3.13037e-38, 4.81373e-12, 3.13037e-38, 5.63673e-14, 6.15831e-13, 3.13037e-38, 1.52775e-09, 3.13037e-38, 3.13037e-38
0.304195, 0, 2.16604e-09, 2.79179e-37, 1.41421, -2.16604e-09, 2.79179e-37, 0, 2.79179e-37, 2.79179e-37, 2.79179e-37, 2.79179e-37, 2.79179e-37, 2.79179e-37, 2.79179e-37, 2.79179e-37, 2.79179e-37, 6.8085e-12, 2.79179e-37, 8.47052e-14, 9.27991e-13, 2.79179e-37, 2.15822e-09, 2.79179e-37, 2.79179e-37
0.312061, 0, 3.0447e-09, 2.27612e-36, 1.41421, -3.0447e-09, 2.27612e-36, 0, 2.27612e-36, 2.27612e-36, 2.27612e-36, 2.27612e-36, 2.27612e-36, 2.27612e-36, 2.27612e-36, 2.27612e-36, 2.27612e-36, 9.58354e-12, 2.27612e-36, 1.27241e-13, 1.39506e-12, 2.27612e-36, 3.03359e-09, 2.27612e-36, 2.27612e-36
0.319926, 0, 4.25848e-09, 1.70489e-35, 1.41421, -4.25848e-09, 1.70489e-35, 0, 1.70489e-35, 1.70489e-35, 1.70489e-35, 1.70489e-35, 1.70489e-35, 1.70489e-35, 1.70489e-35, 1.70489e-35, 1.70489e-35, 1.34253e-11, 1.70489e-35, 1.91108e-13, 2.09253e-12, 1.70489e-35, 4.24277e-09, 1.70489e-35, 1.70489e-35
0.327791, 0, 5.9266e-09, 1.174e-34, 1.41421, -5.9266e-09, 1.174e-34, 0, 1.174e-34, 1.174e-34, 1.174e-34, 1.174e-34, 1.174e-34, 1.174e-34, 1.174e-34, 1.174e-34, 1.174e-34, 1.87185e-11, 1.174e-34, 2.87046e-13, 3.13205e-12, 1.174e-34, 5.90446e-09, 1.174e-34, 1.174e-34
0.335656, 0, 8.20749e-09, 7.93334e-34, 1.41421, -8.20749e-09, 7.93334e-34, 0, 7.93334e-34, 7.93334e-34, 7.93334e-34, 7.93334e-34, 7.93334e-34, 7.93334e-34, 7.93334e-34, 7.93334e-34, 7.93334e-34, 2.5977e-11, 7.93334e-34, 4.31227e-13, 4.67856e-12, 7.93334e-34, 8.17641e-09, 7.93334e-34, 7.93334e-34
0.343521, 0, 1.13104e-08, 5.17553e-33, 1.41421, -1.13104e-08, 5.17553e-33, 0, 5.17553e-33, 5.17553e-33, 5.17553e-33, 5.17553e-33, 5.17553e-33, 5.17553e-33, 5.17553e-33, 5.17553e-33, 5.17553e-33, 3.58839e-11, 5.17553e-33, 6.47993e-13, 6.97522e-12, 5.17553e-33, 1.12669e-08, 5.17553e-33, 5.17553e-33
0.351386, 0, 1.55105e-08, 3.16973e-32, 1.41421, -1.55105e-08, 3.16973e-32, 0, 3.16973e-32, 3.16973e-32, 3.16973e-32, 3.16973e-32, 3.16973e-32, 3.16973e-32, 3.16973e-32, 3.16973e-32, 3.16973e-32, 4.9344e-11, 3.16973e-32, 9.73977e-13, 1.03799e-11, 3.16973e-32, 1.54498e-08, 3.16973e-32, 3.16973e-32
0.359251, 0, 2.1167e-08, 1.81357e-31, 1.41421, -2.1167e-08, 1.81357e-31, 0, 1.81357e-31, 1.81357e-31, 1.81357e-31, 1.81357e-31, 1.81357e-31, 1.81357e-31, 1.81357e-31, 1.81357e-31, 1.81357e-31, 6.75491e-11, 1.81357e-31, 1.46423e-12, 1.54182e-11, 1.81357e-31, 2.10826e-08, 1.81357e-31, 1.81357e-31
0.367116, 0, 2.87473e-08, 9.70615e-31, 1.41421, -2.87473e-08, 9.70615e-31, 0, 9.70615e-31, 9.70615e-31, 9.70615e-31, 9.70615e-31, 9.70615e-31, 9.70615e-31, 9.70615e-31, 9.70615e-31, 9.70615e-31, 9.20627e-11, 9.70615e-31, 2.2014e-12, 2.286e-11, 9.70615e-31, 2.86302e-08, 9.70615e-31, 9.70615e-31
0.374982, 0, 3.88555e-08, 4.87265e-30, 1.41421, -3.88555e-08, 4.87265e-30, 0, 4.87265e-30, 4.87265e-30, 4.87265e-30, 4.87265e-30, 4.87265e-30, 4.87265e-30, 4.87265e-30, 4.87265e-30, 4.87265e-30, 1.24928e-10, 4.87265e-30, 3.30923e-12, 3.38306e-11, 4.87265e-30, 3.86934e-08, 4.87265e-30, 4.87265e-30
0.382847, 0, 5.22684e-08, 2.30188e-29, 1.41421, -5.22684e-08, 2.30188e-29, 0, 2.30188e-29, 2.30188e-29, 2.30188e-29, 2.30188e-29, 2.30188e-29, 2.30188e-29, 2.30188e-29, 2.30188e-29, 2.30188e-29, 1.68801e-10, 2.30188e-29, 4.97263e-12, 4.99695e-11, 2.30188e-29, 5.20446e-08, 2.30188e-29, 2.30188e-29
0.390712, 0, 6.99798e-08, 1.0265e-28, 1.41421, -6.99798e-08, 1.0265e-28, 0, 1.0265e-28, 1.0265e-28, 1.0265e-28, 1.0265e-28, 1.0265e-28, 1.0265e-28, 1.0265e-28, 1.0265e-28, 1.0265e-28, 2.27125e-10, 1.0265e-28, 7.46701e-12, 7.36576e-11, 1.0265e-28, 6.96716e-08, 1.0265e-28, 1.0265e-28
0.398577, 0, 9.32548e-08, 4.33423e-28, 1.41421, -9.32548e-08, 4.33423e-28, 0, 4.33423e-28, 4.33423e-28, 4.33423e-28, 4.33423e-28, 4.33423e-28, 4.33423e-28, 4.33423e-28, 4.33423e-28, 4.33423e-28, 3.04342e-10, 4.33423e-28, 1.12012e-11, 1.0834e-10, 4.33423e-28, 9.28309e-08, 4.33423e-28, 4.33423e-28
0.406442, 0, 1.23694e-07, 1.73767e-27, 1.41421, -1.23694e-07, 1.73767e-27, 0, 1.73767e-27, 1.73767e-27, 1.73767e-27, 1.73767e-27, 1.73767e-27, 1.73767e-27, 1.73767e-27, 1.73767e-27, 1.73767e-27, 4.06161e-10, 1.73767e-27, 1.67796e-11, 1.58982e-10, 1.73767e-27, 1.23112e-07, 1.73767e-27, 1.73767e-27
0.414307, 0, 1.63315e-07, 6.63248e-27, 1.41421, -1.63315e-07, 6.63248e-27, 0, 6.63248e-27, 6.63248e-27, 6.63248e-27, 6.63248e-27, 6.63248e-27, 6.63248e-27, 6.63248e-27, 6.63248e-27, 6.63248e-27, 5.39891e-10, 6.63248e-27, 2.50923e-11, 2.32708e-10, 6.63248e-27, 1.62517e-07, 6.63248e-27, 6.63248e-27
0.422172, 0, 2.14644e-07, 2.41631e-26, 1.41421, -2.14644e-07, 2.41631e-26, 0, 2.41631e-26, 2.41631e-26, 2.41631e-26, 2.41631e-26, 2.41631e-26, 7.17763e-14, 2.41631e-26, 2.41631e-26, 2.41631e-26, 7.14855e-10, 2.41631e-26, 3.74434e-11, 3.39692e-10, 2.41631e-26, 2.13552e-07, 2.41631e-26, 2.41631e-26
0.430037, 0, 2.80831e-07, 8.42233e-26, 1.41421, -2.80831e-07, 8.42233e-26, 0, 8.42233e-26, 8.42233e-26, 8.42233e-26, 8.42233e-26, 8.42233e-26, 2.20592e-13, 8.42233e-26, 8.42233e-26, 8.42233e-26, 9.42893e-10, 8.42233e-26, 5.57346e-11, 4.94384e-10, 8.42233e-26, 2.79338e-07, 8.42233e-26, 8.42233e-26
0.437903, 0, 3.6703e-07, 2.85077e-25, 1.41421, -3.6703e-07, 3.54091e-12, 0, 6.95831e-15, 3.25763e-14, 3.1807e-14, 9.50721e-14, 3.84441e-11, 3.71861e-12, 6.70371e-12, 1.88185e-12, 1.13925e-09, 1.23902e-09, 1.41436e-14, 8.27246e-11, 7.17206e-10, 1.53241e-15, 3.63784e-07, 2.85077e-25, 1.31022e-11
0.445768, 0, 4.78648e-07, 5.07772e-10, 1.41421, -4.78648e-07, 5.18618e-10, 5.07772e-10, 5.07794e-10, 5.07872e-10, 5.0787e-10, 5.08063e-10, 6.25528e-10, 5.18687e-10, 5.28306e-10, 5.13536e-10, 3.99736e-09, 2.1299e-09, 5.07816e-10, 6.30171e-10, 1.54461e-09, 5.07777e-10, 4.7217e-07, 5.07772e-10, 5.47905e-10
0.453633, 0, 6.22962e-07, 1.55649e-09, 1.41421, -6.22962e-07, 1.58215e-09, 1.55649e-09, 1.55654e-09, 1.55673e-09, 1.55672e-09, 1.55718e-09, 1.83501e-09, 1.58196e-09, 1.60506e-09, 1.57013e-09, 9.80998e-09, 3.67246e-09, 1.5566e-09, 1.73696e-09, 3.0498e-09, 1.5565e-09, 6.10431e-07, 1.55649e-09, 1.65141e-09
0.461498, 0, 8.10368e-07, 3.68312e-09, 1.41421, -8.10368e-07, 3.73828e-09, 3.68312e-09, 3.68322e-09, 3.68362e-09, 3.68361e-09, 3.6846e-09, 4.28206e-09, 3.73751e-09, 3.78756e-09, 3.71244e-09, 2.14323e-08, 6.43334e-09, 3.68334e-09, 3.94819e-09, 5.82524e-09, 3.68314e-09, 7.86412e-07, 3.68312e-09, 3.88724e-09
0.469363, 0, 1.05551e-06, 7.92181e-09, 1.41421, -1.05551e-06, 8.03485e-09, 7.92181e-09, 7.92203e-09, 7.92285e-09, 7.92283e-09, 7.92485e-09, 9.14914e-09, 8.03279e-09, 8.13583e-09, 7.98189e-09, 4.42924e-08, 1.14837e-08, 7.92226e-09, 8.30958e-09, 1.09817e-08, 7.92186e-09, 1.00998e-06, 7.92181e-09, 8.3401e-09
0.477228, 0, 1.38006e-06, 1.62304e-08, 1.41421, -1.38006e-06, 1.64551e-08, 1.62304e-08, 1.62308e-08, 1.62324e-08, 1.62324e-08, 1.62364e-08, 1.86703e-08, 1.64502e-08, 1.66558e-08, 1.63498e-08, 8.85356e-08, 2.08274e-08, 1.62313e-08, 1.67952e-08, 2.0582e-08, 1.62305e-08, 1.29396e-06, 1.62304e-08, 1.70619e-08
0.485093, 0, 1.81713e-06, 3.22596e-08, 1.41421, -1.81713e-06, 3.26965e-08, 3.22596e-08, 3.22605e-08, 3.22636e-08, 3.22635e-08, 3.22714e-08, 3.70026e-08, 3.27406e-08, 3.30867e-08, 3.24918e-08, 1.72813e-07, 3.81719e-08, 3.22614e-08, 3.30786e-08, 3.84239e-08, 3.22598e-08, 1.65532e-06, 3.22596e-08, 3.38761e-08
0.492958, 0, 2.41867e-06, 6.26941e-08, 1.41421, -2.41867e-06, 6.35275e-08, 6.26941e-08, 6.26957e-08, 6.27018e-08, 6.27016e-08, 6.27165e-08, 7.1742e-08, 6.36732e-08, 6.42718e-08, 6.3137e-08, 3.3082e-07, 7.02718e-08, 6.26974e-08, 6.38761e-08, 7.13788e-08, 6.26945e-08, 2.1171e-06, 6.26941e-08, 6.57777e-08
0.500824, 0, 3.26878e-06, 1.19568e-07, 1.41421, -3.26878e-06, 1.21131e-07, 1.19568e-07, 1.19571e-07, 1.19583e-07, 1.19582e-07, 1.1961e-07, 1.36537e-07, 1.22171e-07, 1.22527e-07, 1.20399e-07, 6.22408e-07, 1.29247e-07, 1.19575e-07, 1.21266e-07, 1.31743e-07, 1.19569e-07, 2.7116e-06, 1.19568e-07, 1.25351e-07
0.508689, 0, 4.50294e-06, 2.24185e-07, 1.41421, -4.50294e-06, 2.27069e-07, 2.24185e-07, 2.24191e-07, 2.24212e-07, 2.24211e-07, 2.24263e-07, 2.55497e-07, 2.29942e-07, 2.29645e-07, 2.25718e-07, 1.1521e-06, 2.36506e-07, 2.24197e-07, 2.26612e-07, 2.41164e-07, 2.24186e-07, 3.48553e-06, 2.24185e-07, 2.34857e-07
0.516554, 0, 6.34273e-06, 4.136e-07, 1.41421, -6.34273e-06, 4.18839e-07, 4.136e-07, 4.1361e-07, 4.13648e-07, 4.13647e-07, 4.1374e-07, 4.70482e-07, 4.25394e-07, 4.23519e-07, 4.16384e-07, 2.09925e-06, 4.29231e-07, 4.13621e-07, 4.17052e-07, 4.37156e-07, 4.13602e-07, 4.50817e-06, 4.136e-07, 4.32986e-07
0.524419, 0, 9.14902e-06, 7.51173e-07, 1.41421, -9.14902e-06, 7.60545e-07, 7.51173e-07, 7.51192e-07, 7.51259e-07, 7.51257e-07, 7.51425e-07, 8.52923e-07, 7.74338e-07, 7.68916e-07, 7.56154e-07, 3.76642e-06, 7.70937e-07, 7.51211e-07, 7.56059e-07, 7.83682e-07, 7.51177e-07, 5.88444e-06, 7.51173e-07, 7.85851e-07
0.532284, 0, 1.35055e-05, 1.34339e-06, 1.41421, -1.35055e-05, 1.3599e-06, 1.34339e-06, 1.34342e-06, 1.34354e-06, 1.34354e-06, 1.34383e-06, 1.52264e-06, 1.38705e-06, 1.37465e-06, 1.35217e-06, 6.65527e-06, 1.3683e-06, 1.34346e-06, 1.35027e-06, 1.38802e-06, 1.3434e-06, 7.77585e-06, 1.34339e-06, 1.40448e-06
0.540149, 0, 2.0349e-05, 2.36611e-06, 1.41421, -2.0349e-05, 2.39475e-06, 2.36611e-06, 2.36616e-06, 2.36637e-06, 2.36636e-06, 2.36688e-06, 2.67713e-06, 2.44736e-06, 2.42034e-06, 2.38133e-06, 1.1583e-05, 2.3974e-06, 2.36622e-06, 2.37574e-06, 2.42705e-06, 2.36612e-06, 1.04323e-05, 2.36611e-06, 2.47211e-06
0.548014, 0, 3.11622e-05, 4.1047e-06, 1.41421, -3.11622e-05, 4.15367e-06, 4.1047e-06, 4.1048e-06, 4.10515e-06, 4.10514e-06, 4.10602e-06, 4.6363e-06, 4.25405e-06, 4.1974e-06, 4.13072e-06, 1.9858e-05, 4.14388e-06, 4.1049e-06, 4.11814e-06, 4.18751e-06, 4.10472e-06, 1.42411e-05, 4.1047e-06, 4.28588e-06
0.55588, 0, 4.82606e-05, 7.01423e-06, 1.41421, -4.82606e-05, 7.09667e-06, 7.01423e-06, 7.01439e-06, 7.01499e-06, 7.01497e-06, 7.01644e-06, 7.90928e-06, 7.28527e-06, 7.1703e-06, 7.05804e-06, 3.35381e-05, 7.06314e-06, 7.01456e-06, 7.03286e-06, 7.12617e-06, 7.01426e-06, 1.97996e-05, 7.01423e-06, 7.31927e-06
0.563745, 0, 7.52083e-05, 1.18075e-05, 1.41421, -7.52083e-05, 1.19442e-05, 1.18075e-05, 1.18077e-05, 1.18087e-05, 1.18087e-05, 1.18111e-05, 1.32921e-05, 1.22931e-05, 1.20663e-05, 1.18801e-05, 5.58027e-05, 1.18683e-05, 1.1808e-05, 1.18332e-05, 1.19581e-05, 1.18075e-05, 2.80243e-05, 1.18075e-05, 1.23134e-05
0.57161, 0, 0.000117396, 1.95812e-05, 1.41421, -0.000117396, 1.98046e-05, 1.95812e-05, 1.95816e-05, 1.95832e-05, 1.95832e-05, 1.95872e-05, 2.20073e-05, 2.04403e-05, 2.00042e-05, 1.96999e-05, 9.14772e-05, 1.96567e-05, 1.95821e-05, 1.96165e-05, 1.97829e-05, 1.95813e-05, 4.02979e-05, 1.95812e-05, 2.0408e-05
0.579475, 0, 0.000182849, 3.19929e-05, 1.41421, -0.000182849, 3.23526e-05, 3.19929e-05, 3.19936e-05, 3.19962e-05, 3.19961e-05, 3.20025e-05, 3.58992e-05, 3.3493e-05, 3.2674e-05, 3.21841e-05, 0.000147754, 3.20864e-05, 3.19943e-05, 3.20412e-05, 3.2262e-05, 3.1993e-05, 5.86885e-05, 3.19929e-05, 3.33242e-05
0.58734, 0, 0.000283316, 5.15022e-05, 1.41421, -0.000283316, 5.2073e-05, 5.15022e-05, 5.15033e-05, 5.15075e-05, 5.15073e-05, 5.15175e-05, 5.76997e-05, 5.40876e-05, 5.25829e-05, 5.18056e-05, 0.000235159, 5.16177e-05, 5.15045e-05, 5.15681e-05, 5.18598e-05, 5.15025e-05, 8.6241e-05, 5.15022e-05, 5.36144e-05
0.595205, 0, 0.000435684, 8.16928e-05, 1.41421, -0.000435684, 8.25852e-05, 8.16928e-05, 8.16945e-05, 8.1701e-05, 8.17008e-05, 8.17167e-05, 9.13816e-05, 8.60896e-05, 8.33822e-05, 8.2167e-05, 0.000368812, 8.1835e-05, 8.16963e-05, 8.17822e-05, 8.21663e-05, 8.16931e-05, 0.000127369, 8.16928e-05, 8.49949e-05
0.60307, 0, 0.000663807, 0.00012769, 1.41421, -0.000663807, 0.000129065, 0.00012769, 0.000127692, 0.000127702, 0.000127702, 0.000127727, 0.000142617, 0.000135068, 0.000130293, 0.00012842, 0.000570038, 0.000127865, 0.000127695, 0.000127811, 0.000128315, 0.00012769, 0.000188367, 0.00012769, 0.000132777
0.610935, 0, 0.00100075, 0.000196684, 1.41421, -0.00100075, 0.000198771, 0.000196684, 0.000196688, 0.000196703, 0.000196703, 0.00019674, 0.000219348, 0.000208898, 0.000200636, 0.000197793, 0.000868325, 0.000196898, 0.000196692, 0.000196847, 0.000197507, 0.000196685, 0.000278051, 0.000196684, 0.000204408
0.6188, 0, 0.00149153, 0.000298575, 1.41421, -0.00149153, 0.000301699, 0.000298575, 0.000298581, 0.000298604, 0.000298603, 0.000298659, 0.000332493, 0.000318523, 0.000304489, 0.000300235, 0.00130369, 0.000298838, 0.000298587, 0.000298794, 0.000299657, 0.000298576, 0.000408562, 0.000298575, 0.000310135
