   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_92.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00254435, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00532077, 0, 1.04078e-16, 0, 1.41421, -1.04078e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24749e-19, 0, 1.42739e-21, 1.05352e-20, 0, 1.03742e-16, 0, 0
0.0131859, 0, 1.80147e-16, 0, 1.41421, -1.80147e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62101e-19, 0, 2.51167e-21, 1.8651e-20, 0, 1.79564e-16, 0, 0
0.021051, 0, 3.09828e-16, 0, 1.41421, -3.09828e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.66733e-19, 0, 4.3922e-21, 3.28244e-20, 0, 3.08824e-16, 0, 0
0.0289161, 0, 5.29524e-16, 0, 1.41421, -5.29524e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65223e-18, 0, 7.63401e-21, 5.74361e-20, 0, 5.27807e-16, 0, 0
0.0367813, 0, 8.99422e-16, 0, 1.41421, -8.99422e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80638e-18, 0, 1.31892e-20, 9.99352e-20, 0, 8.96503e-16, 0, 0
0.0446464, 0, 1.51842e-15, 0, 1.41421, -1.51842e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73776e-18, 0, 2.26528e-20, 1.7292e-19, 0, 1.51349e-15, 0, 0
0.0525115, 0, 2.54804e-15, 0, 1.41421, -2.54804e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.95034e-18, 0, 3.86811e-20, 2.97587e-19, 0, 2.53975e-15, 0, 0
0.0603766, 0, 4.25049e-15, 0, 1.41421, -4.25049e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32623e-17, 0, 6.56734e-20, 5.09405e-19, 0, 4.23666e-15, 0, 0
0.0682418, 0, 7.04888e-15, 0, 1.41421, -7.04888e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19936e-17, 0, 1.10872e-19, 8.67428e-19, 0, 7.02591e-15, 0, 0
