   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_86.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00382878, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00404063, 0, 4.32701e-17, 0, 1.41421, -4.32701e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7374e-19, 0, 6.74764e-22, 9.28621e-21, 0, 4.28864e-17, 0, 0
0.01191, 0, 7.61856e-17, 0, 1.41421, -7.61856e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58039e-19, 0, 1.2068e-21, 1.67157e-20, 0, 7.55096e-17, 0, 0
0.0197795, 0, 1.33254e-16, 0, 1.41421, -1.33254e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15095e-18, 0, 2.14448e-21, 2.99028e-20, 0, 1.32071e-16, 0, 0
0.0276489, 0, 2.31555e-16, 0, 1.41421, -2.31555e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99999e-18, 0, 3.78667e-21, 5.31694e-20, 0, 2.29498e-16, 0, 0
0.0355183, 0, 3.99797e-16, 0, 1.41421, -3.99797e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45311e-18, 0, 6.64493e-21, 9.39784e-20, 0, 3.96243e-16, 0, 0
0.0433877, 0, 6.85922e-16, 0, 1.41421, -6.85922e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92439e-18, 0, 1.15895e-20, 1.65144e-19, 0, 6.79821e-16, 0, 0
0.0512571, 0, 1.16949e-15, 0, 1.41421, -1.16949e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0101e-17, 0, 2.00917e-20, 2.88547e-19, 0, 1.15908e-15, 0, 0
0.0591265, 0, 1.98172e-15, 0, 1.41421, -1.98172e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71161e-17, 0, 3.4625e-20, 5.01341e-19, 0, 1.96407e-15, 0, 0
0.066996, 0, 3.33764e-15, 0, 1.41421, -3.33764e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8827e-17, 0, 5.93219e-20, 8.66276e-19, 0, 3.30789e-15, 0, 0
0.0748654, 0, 5.58751e-15, 0, 1.41421, -5.58751e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.82586e-17, 0, 1.01048e-19, 1.48876e-18, 0, 5.53766e-15, 0, 0
0.0827348, 0, 9.29833e-15, 0, 1.41421, -9.29833e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.03079e-17, 0, 1.71141e-19, 2.54492e-18, 0, 9.2153e-15, 0, 0
0.0906042, 0, 1.53825e-14, 0, 1.41421, -1.53825e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32854e-16, 0, 2.88228e-19, 4.32758e-18, 0, 1.5245e-14, 0, 0
0.0984736, 0, 2.5299e-14, 0, 1.41421, -2.5299e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18499e-16, 0, 4.82728e-19, 7.32096e-18, 0, 2.50727e-14, 0, 0
0.106343, 0, 4.13673e-14, 0, 1.41421, -4.13673e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57275e-16, 0, 8.0405e-19, 1.23218e-17, 0, 4.09969e-14, 0, 0
0.114212, 0, 6.72527e-14, 0, 1.41421, -6.72527e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80835e-16, 0, 1.33201e-18, 2.06344e-17, 0, 6.66499e-14, 0, 0
0.122082, 0, 1.08712e-13, 0, 1.41421, -1.08712e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.38901e-16, 0, 2.19483e-18, 3.43837e-17, 0, 1.07737e-13, 0, 0
0.129951, 0, 1.74735e-13, 0, 1.41421, -1.74735e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50911e-15, 0, 3.59746e-18, 5.70137e-17, 0, 1.73165e-13, 0, 0
