   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_560.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.198063, 0, 3.29707e-11, 0, 1.41421, -3.29707e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19945e-13, 0, 0, 2.72196e-13, 0, 2.09289e-14, 0, 3.23576e-11, 0, 0
0.205918, 0, 4.77288e-11, 0, 1.41421, -4.77288e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63124e-13, 0, 0, 4.07263e-13, 0, 3.16546e-14, 0, 4.68267e-11, 0, 0
0.213773, 0, 6.87762e-11, 0, 1.41421, -6.87762e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.67317e-13, 0, 0, 6.07778e-13, 0, 4.7717e-14, 0, 6.74534e-11, 0, 0
0.221627, 0, 9.86531e-11, 0, 1.41421, -9.86531e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.5717e-13, 0, 0, 9.04902e-13, 0, 7.16962e-14, 0, 9.67194e-11, 0, 0
0.229482, 0, 1.40866e-10, 0, 1.41421, -1.40866e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36672e-12, 0, 0, 1.3445e-12, 0, 1.07387e-13, 0, 1.38048e-10, 0, 0
0.237336, 0, 2.00233e-10, 5.46506e-44, 1.41421, -2.00233e-10, 0, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 5.46506e-44, 1.94272e-12, 5.46506e-44, 5.46506e-44, 1.9941e-12, 5.46506e-44, 1.60358e-13, 5.46506e-44, 1.96135e-10, 5.46506e-44, 5.46506e-44
0.245191, 0, 2.83338e-10, 9.33265e-43, 1.41421, -2.83338e-10, 0, 9.33265e-43, 9.33265e-43, 9.33265e-43, 9.33265e-43, 9.33265e-43, 9.33265e-43, 9.33265e-43, 9.33265e-43, 9.33265e-43, 9.33265e-43, 9.33265e-43, 2.74913e-12, 9.33265e-43, 9.33265e-43, 2.95313e-12, 9.33265e-43, 2.3876e-13, 9.33265e-43, 2.77397e-10, 9.33265e-43, 9.33265e-43
0.253045, 0, 3.99141e-10, 1.34216e-41, 1.41421, -3.99141e-10, 0, 1.34216e-41, 1.34216e-41, 1.34216e-41, 1.34216e-41, 1.34216e-41, 1.34216e-41, 1.34216e-41, 1.34216e-41, 1.34216e-41, 1.34216e-41, 1.34216e-41, 3.87298e-12, 1.34216e-41, 1.34216e-41, 4.36813e-12, 1.34216e-41, 3.54497e-13, 1.34216e-41, 3.90545e-10, 1.34216e-41, 1.34216e-41
0.2609, 0, 5.59771e-10, 1.71138e-40, 1.41421, -5.59771e-10, 0, 1.71138e-40, 1.71138e-40, 1.71138e-40, 1.71138e-40, 1.71138e-40, 1.71138e-40, 1.71138e-40, 1.71138e-40, 1.71138e-40, 1.71138e-40, 1.71138e-40, 5.43216e-12, 1.71138e-40, 1.71138e-40, 6.45527e-12, 1.71138e-40, 5.24925e-13, 1.71138e-40, 5.47359e-10, 1.71138e-40, 1.71138e-40
0.268755, 0, 7.81574e-10, 1.95548e-39, 1.41421, -7.81574e-10, 0, 1.95548e-39, 1.95548e-39, 1.95548e-39, 1.95548e-39, 1.95548e-39, 1.95548e-39, 1.95548e-39, 1.95548e-39, 1.95548e-39, 1.95548e-39, 1.95548e-39, 7.58559e-12, 1.95548e-39, 1.95548e-39, 9.53363e-12, 1.95548e-39, 7.75297e-13, 1.95548e-39, 7.6368e-10, 1.95548e-39, 1.95548e-39
0.276609, 0, 1.08647e-09, 2.01587e-38, 1.41421, -1.08647e-09, 0, 2.01587e-38, 2.01587e-38, 2.01587e-38, 2.01587e-38, 2.01587e-38, 2.01587e-38, 2.01587e-38, 2.01587e-38, 2.01587e-38, 2.01587e-38, 2.01587e-38, 1.05466e-11, 2.01587e-38, 2.01587e-38, 1.40748e-11, 2.01587e-38, 1.14229e-12, 2.01587e-38, 1.06071e-09, 2.01587e-38, 2.01587e-38
0.284464, 0, 1.50373e-09, 1.88449e-37, 1.41421, -1.50373e-09, 0, 1.88449e-37, 1.88449e-37, 1.88449e-37, 1.88449e-37, 1.88449e-37, 1.88449e-37, 1.88449e-37, 1.88449e-37, 1.88449e-37, 1.88449e-37, 1.88449e-37, 1.46e-11, 1.88449e-37, 1.88449e-37, 2.07761e-11, 1.88449e-37, 1.67908e-12, 1.88449e-37, 1.46668e-09, 1.88449e-37, 1.88449e-37
0.292318, 0, 2.07224e-09, 1.60528e-36, 1.41421, -2.07224e-09, 0, 1.60528e-36, 1.60528e-36, 1.60528e-36, 1.60528e-36, 1.60528e-36, 1.60528e-36, 1.60528e-36, 1.60528e-36, 1.60528e-36, 1.60528e-36, 1.60528e-36, 2.01246e-11, 1.60528e-36, 1.60528e-36, 3.06697e-11, 1.60528e-36, 2.46261e-12, 1.60528e-36, 2.01898e-09, 1.60528e-36, 1.60528e-36
0.300173, 0, 2.84345e-09, 1.25291e-35, 1.41421, -2.84345e-09, 0, 1.25291e-35, 1.25291e-35, 1.25291e-35, 1.25291e-35, 1.25291e-35, 1.25291e-35, 1.25291e-35, 1.25291e-35, 1.25291e-35, 1.25291e-35, 1.25291e-35, 2.76221e-11, 1.25291e-35, 1.25291e-35, 4.52842e-11, 1.25291e-35, 3.60411e-12, 1.25291e-35, 2.76693e-09, 1.25291e-35, 1.25291e-35
0.308028, 0, 3.88513e-09, 9.00214e-35, 1.41421, -3.88513e-09, 0, 9.00214e-35, 9.00214e-35, 9.00214e-35, 9.00214e-35, 9.00214e-35, 9.00214e-35, 9.00214e-35, 9.00214e-35, 9.00214e-35, 9.00214e-35, 9.00214e-35, 3.77535e-11, 9.00214e-35, 9.00214e-35, 6.68836e-11, 9.00214e-35, 5.26397e-12, 9.00214e-35, 3.77523e-09, 9.00214e-35, 9.00214e-35
0.315882, 0, 5.28619e-09, 5.96367e-34, 1.41421, -5.28619e-09, 0, 5.96367e-34, 5.96367e-34, 5.96367e-34, 5.96367e-34, 5.96367e-34, 5.96367e-34, 5.96367e-34, 5.96367e-34, 5.96367e-34, 5.96367e-34, 5.96367e-34, 5.13864e-11, 5.96367e-34, 5.96367e-34, 9.88205e-11, 5.96367e-34, 7.67314e-12, 5.96367e-34, 5.12831e-09, 5.96367e-34, 5.96367e-34
0.323737, 0, 7.16274e-09, 3.9626e-33, 1.41421, -7.16274e-09, 0, 3.9626e-33, 3.9626e-33, 3.9626e-33, 3.9626e-33, 3.9626e-33, 3.9626e-33, 3.9626e-33, 3.9626e-33, 3.9626e-33, 3.9626e-33, 3.9626e-33, 6.96546e-11, 3.9626e-33, 3.9626e-33, 1.46057e-10, 3.9626e-33, 1.11635e-11, 3.9626e-33, 6.93587e-09, 3.9626e-33, 3.9626e-33
0.331591, 0, 9.66589e-09, 2.50284e-32, 1.41421, -9.66589e-09, 0, 2.50284e-32, 2.50284e-32, 2.50284e-32, 2.50284e-32, 2.50284e-32, 2.50284e-32, 2.50284e-32, 2.50284e-32, 2.50284e-32, 2.50284e-32, 2.50284e-32, 9.40342e-11, 2.50284e-32, 2.50284e-32, 2.15932e-10, 2.50284e-32, 1.6211e-11, 2.50284e-32, 9.33971e-09, 2.50284e-32, 2.50284e-32
0.339446, 0, 1.29915e-08, 1.47406e-31, 1.41421, -1.29915e-08, 0, 1.47406e-31, 1.47406e-31, 1.47406e-31, 1.47406e-31, 1.47406e-31, 1.47406e-31, 1.47406e-31, 1.47406e-31, 1.47406e-31, 1.47406e-31, 1.47406e-31, 1.26438e-10, 1.47406e-31, 1.47406e-31, 3.1928e-10, 1.47406e-31, 2.34967e-11, 1.47406e-31, 1.25223e-08, 1.47406e-31, 1.47406e-31
0.3473, 0, 1.73925e-08, 8.126e-31, 1.41421, -1.73925e-08, 0, 8.126e-31, 8.126e-31, 8.126e-31, 8.126e-31, 8.126e-31, 8.126e-31, 8.126e-31, 8.126e-31, 8.126e-31, 8.126e-31, 8.126e-31, 1.69336e-10, 8.126e-31, 8.126e-31, 4.72075e-10, 8.126e-31, 3.39929e-11, 8.126e-31, 1.6717e-08, 8.126e-31, 8.126e-31
0.355155, 0, 2.31944e-08, 4.19667e-30, 1.41421, -2.31944e-08, 0, 4.19667e-30, 4.19667e-30, 4.19667e-30, 4.19667e-30, 4.19667e-30, 4.19667e-30, 4.19667e-30, 4.19667e-30, 4.19667e-30, 4.19667e-30, 4.19667e-30, 2.25906e-10, 4.19667e-30, 4.19667e-30, 6.97804e-10, 4.19667e-30, 4.90834e-11, 4.19667e-30, 2.22216e-08, 4.19667e-30, 4.19667e-30
0.36301, 0, 3.08151e-08, 2.03574e-29, 1.41421, -3.08151e-08, 0, 2.03574e-29, 2.03574e-29, 2.03574e-29, 2.03574e-29, 2.03574e-29, 2.03574e-29, 2.03574e-29, 2.03574e-29, 2.03574e-29, 2.03574e-29, 2.03574e-29, 3.00219e-10, 2.03574e-29, 2.03574e-29, 1.03092e-09, 2.03574e-29, 7.07329e-11, 2.03574e-29, 2.94132e-08, 2.03574e-29, 2.03574e-29
0.370864, 0, 4.07889e-08, 9.31349e-29, 1.41421, -4.07889e-08, 0, 9.31349e-29, 9.31349e-29, 9.31349e-29, 9.31349e-29, 9.31349e-29, 9.31349e-29, 9.31349e-29, 9.31349e-29, 9.31349e-29, 9.31349e-29, 9.31349e-29, 3.97471e-10, 9.31349e-29, 9.31349e-29, 1.52182e-09, 9.31349e-29, 1.01721e-10, 9.31349e-29, 3.87679e-08, 9.31349e-29, 9.31349e-29
0.378719, 0, 5.3798e-08, 4.02998e-28, 1.41421, -5.3798e-08, 0, 4.02998e-28, 4.02998e-28, 4.02998e-28, 4.02998e-28, 4.02998e-28, 4.02998e-28, 4.02998e-28, 4.02998e-28, 4.02998e-28, 4.02998e-28, 4.02998e-28, 5.24272e-10, 4.02998e-28, 4.02998e-28, 2.24391e-09, 4.02998e-28, 1.45966e-10, 4.02998e-28, 5.08838e-08, 4.02998e-28, 4.02998e-28
0.386573, 0, 7.07102e-08, 1.65337e-27, 1.41421, -7.07102e-08, 0, 1.65337e-27, 1.65337e-27, 1.65337e-27, 1.65337e-27, 1.65337e-27, 1.65337e-27, 1.65337e-27, 1.65337e-27, 1.65337e-27, 1.65337e-27, 1.65337e-27, 6.89e-10, 1.65337e-27, 1.65337e-27, 3.30379e-09, 1.65337e-27, 2.08973e-10, 1.65337e-27, 6.65085e-08, 1.65337e-27, 1.65337e-27
0.394428, 0, 9.26283e-08, 6.44825e-27, 1.41421, -9.26283e-08, 0, 6.44825e-27, 6.44825e-27, 6.44825e-27, 6.44825e-27, 6.44825e-27, 6.44825e-27, 6.44825e-27, 6.44825e-27, 6.44825e-27, 6.44825e-27, 6.44825e-27, 9.02235e-10, 6.44825e-27, 6.44825e-27, 4.85558e-09, 6.44825e-27, 2.9844e-10, 6.44825e-27, 8.65721e-08, 6.44825e-27, 6.44825e-27
0.402283, 0, 1.20951e-07, 2.39671e-26, 1.41421, -1.20951e-07, 0, 2.39671e-26, 2.39671e-26, 2.39671e-26, 2.39671e-26, 2.39671e-26, 2.39671e-26, 2.39671e-26, 3.1538e-13, 2.39671e-26, 2.39671e-26, 2.39671e-26, 1.17729e-09, 2.39671e-26, 2.39671e-26, 7.12117e-09, 2.39671e-26, 4.25087e-10, 2.39671e-26, 1.12227e-07, 2.39671e-26, 2.39671e-26
0.410137, 0, 1.57447e-07, 8.51032e-26, 1.41421, -1.57447e-07, 0, 8.51032e-26, 8.51032e-26, 8.51032e-26, 8.51032e-26, 8.51032e-26, 8.51032e-26, 8.51032e-26, 9.38392e-13, 8.51032e-26, 8.51032e-26, 8.51032e-26, 1.53087e-09, 8.51032e-26, 8.51032e-26, 1.04185e-08, 8.51032e-26, 6.03772e-10, 8.51032e-26, 1.44893e-07, 8.51032e-26, 8.51032e-26
0.417992, 0, 2.04356e-07, 2.90866e-25, 1.41421, -2.04356e-07, 0, 2.90866e-25, 2.90866e-25, 2.90866e-25, 2.90866e-25, 2.90866e-25, 2.90866e-25, 2.90866e-25, 2.14755e-12, 2.90866e-25, 2.90866e-25, 2.90866e-25, 1.98383e-09, 2.90866e-25, 2.90866e-25, 1.52009e-08, 2.90866e-25, 8.54982e-10, 2.90866e-25, 1.86314e-07, 2.90866e-25, 2.90866e-25
0.425846, 0, 2.65268e-07, 2.6413e-11, 1.41421, -2.65268e-07, 2.6413e-11, 2.64219e-11, 3.07843e-11, 2.64386e-11, 3.13653e-11, 8.0851e-11, 3.90385e-10, 2.71805e-11, 4.48818e-11, 5.67466e-11, 4.76138e-11, 2.06592e-10, 2.58864e-09, 2.90301e-11, 2.65948e-11, 2.2138e-08, 2.65186e-11, 1.23323e-09, 2.64132e-11, 2.38678e-07, 2.6413e-11, 5.37249e-11
0.433701, 0, 3.43731e-07, 7.89002e-11, 1.41421, -3.43731e-07, 7.89002e-11, 7.89265e-11, 9.18616e-11, 7.89761e-11, 9.35843e-11, 2.40315e-10, 1.15812e-09, 8.1176e-11, 1.29249e-10, 1.68843e-10, 1.41763e-10, 6.13153e-10, 3.3772e-09, 8.66601e-11, 7.94391e-11, 3.21403e-08, 8.08867e-11, 1.77652e-09, 7.89006e-11, 3.04575e-07, 7.89002e-11, 1.59883e-10
